date,Taker Buy Volume
2018-09-01,70580642.82033838
2018-09-02,84837296.9913435
2018-09-03,52330615.60050528
2018-09-04,54176094.59262862
2018-09-05,131837424.81609523
2018-09-06,125011386.43475956
2018-09-07,81470501.95821722
2018-09-08,80547425.83774288
2018-09-09,98951667.19110169
2018-09-10,93184023.63852318
2018-09-11,107579593.11332944
2018-09-12,141386576.19778275
2018-09-13,176955510.34131002
2018-09-14,207711253.2464825
2018-09-15,170677051.3245953
2018-09-16,174733393.55993673
2018-09-17,181904666.2773497
2018-09-18,155335424.73463875
2018-09-19,164719359.52523375
2018-09-20,122693235.3196674
2018-09-21,167318088.88230106
2018-09-22,118219925.70338456
2018-09-23,98358321.32100365
2018-09-24,124334976.6366651
2018-09-25,147333908.6702033
2018-09-26,150232360.15214893
2018-09-27,147968133.44901484
2018-09-28,142688734.51701865
2018-09-29,133696398.51793528
2018-09-30,116087243.86931749
2018-10-01,125643711.54299828
2018-10-02,109914563.4046736
2018-10-03,136320161.8795782
2018-10-04,103917536.3452931
2018-10-05,95519562.24627209
2018-10-06,75959582.6790451
2018-10-07,76272867.26854508
2018-10-08,93159667.28463192
2018-10-09,79598121.35121793
2018-10-10,106009696.34815544
2018-10-11,155553533.12926367
2018-10-12,144924899.64336908
2018-10-13,97470625.7314801
2018-10-14,87239448.09284098
2018-10-15,321878107.68592227
2018-10-16,112950833.19969817
2018-10-17,89226424.40501998
2018-10-18,114052676.3740938
2018-10-19,89547145.25335445
2018-10-20,72410746.61448392
2018-10-21,73516570.82967028
2018-10-22,72852074.17094766
2018-10-23,92836835.46992992
2018-10-24,62354840.62899445
2018-10-25,61221007.31820585
2018-10-26,91841774.9973307
2018-10-27,37535226.57695153
2018-10-28,43437920.07708258
2018-10-29,96986951.19229214
2018-10-30,63762434.12949736
2018-10-31,87690180.12717669
2018-11-01,39966511.97532428
2018-11-02,74583410.21814284
2018-11-03,35182679.88736385
2018-11-04,210326376.4153964
2018-11-05,157241075.6300596
2018-11-06,269968538.52918804
2018-11-07,240212062.76203808
2018-11-08,176480199.95952073
2018-11-09,121060821.01432665
2018-11-10,81962755.1685715
2018-11-11,84265247.59963313
2018-11-12,113139432.59922288
2018-11-13,155213064.8034951
2018-11-14,343906344.42417073
2018-11-15,210883986.68858284
2018-11-16,98398684.8860248
2018-11-17,50987671.24945237
2018-11-18,61313829.90827734
2018-11-19,282545237.326809
2018-11-20,283902951.0182096
2018-11-21,149711072.46653134
2018-11-22,75538988.86818999
2018-11-23,114935562.65158996
2018-11-24,79080586.59032188
2018-11-25,143529097.80215457
2018-11-26,100329918.12231822
2018-11-27,76670191.90920556
2018-11-28,97975482.48447289
2018-11-29,81011121.00399889
2018-11-30,54366508.7844902
2018-12-01,56228799.20562389
2018-12-02,35440901.69341727
2018-12-03,42028271.37675206
2018-12-04,36208062.79699236
2018-12-05,35455925.67929928
2018-12-06,88210272.16454087
2018-12-07,118533930.56328052
