date,timestamp_utc,Market Cap
2015-11-09,2015-11-09T00:00:00Z,74583485.22223103
2015-11-10,2015-11-10T00:00:00Z,67284355.668282
2015-11-11,2015-11-11T00:00:00Z,56091160.68710999
2015-11-12,2015-11-12T00:00:00Z,65838296.72704239
2015-11-13,2015-11-13T00:00:00Z,67359988.293282
2015-11-14,2015-11-14T00:00:00Z,65888054.4020424
2015-11-15,2015-11-15T00:00:00Z,68853409.83667697
2015-11-16,2015-11-16T00:00:00Z,69308681.57530025
2015-11-17,2015-11-17T00:00:00Z,74956097.99948
2015-11-18,2015-11-18T00:00:00Z,74778645.4851461
2015-11-19,2015-11-19T00:00:00Z,70509318.6601362
2015-11-20,2015-11-20T00:00:00Z,69032240.4220216
2015-11-21,2015-11-21T00:00:00Z,72059353.0795008
2015-11-22,2015-11-22T00:00:00Z,72836150.27668309
2015-11-23,2015-11-23T00:00:00Z,69106800.0970216
2015-11-24,2015-11-24T00:00:00Z,68381573.87885554
2015-11-25,2015-11-25T00:00:00Z,65397384.1439226
2015-11-26,2015-11-26T00:00:00Z,64668513.1295528
2015-11-27,2015-11-27T00:00:00Z,66196972.4895424
2015-11-28,2015-11-28T00:00:00Z,68478440.4560893
2015-11-29,2015-11-29T00:00:00Z,65492194.4329851
2015-11-30,2015-11-30T00:00:00Z,66269055.07704239
2015-12-01,2015-12-01T00:00:00Z,65539959.879860096
2015-12-02,2015-12-02T00:00:00Z,61794621.28457359
2015-12-03,2015-12-03T00:00:00Z,62571506.75050589
2015-12-04,2015-12-04T00:00:00Z,63347791.00081319
2015-12-05,2015-12-05T00:00:00Z,65628057.49592044
2015-12-06,2015-12-06T00:00:00Z,62259416.84488788
2015-12-07,2015-12-07T00:00:00Z,59639938.8399017
2015-12-08,2015-12-08T00:00:00Z,60008872.48141524
2015-12-09,2015-12-09T00:00:00Z,60824635.48004103
2015-12-10,2015-12-10T00:00:00Z,63766247.34014376
2015-12-11,2015-12-11T00:00:00Z,68027336.6222446
2015-12-12,2015-12-12T00:00:00Z,72604739.2795008
2015-12-13,2015-12-13T00:00:00Z,69599920.51668507
2015-12-14,2015-12-14T00:00:00Z,74927707.16011019
2015-12-15,2015-12-15T00:00:00Z,75711567.21823
2015-12-16,2015-12-16T00:00:00Z,60817633.72326994
2015-12-17,2015-12-17T00:00:00Z,71219013.22576119
2015-12-18,2015-12-18T00:00:00Z,68212421.324532
2015-12-19,2015-12-19T00:00:00Z,67742111.25760664
2015-12-20,2015-12-20T00:00:00Z,80774616.0163212
2015-12-21,2015-12-21T00:00:00Z,69042762.5951518
2015-12-22,2015-12-22T00:00:00Z,66790717.01454239
2015-12-23,2015-12-23T00:00:00Z,66126180.17570899
2015-12-24,2015-12-24T00:00:00Z,66078786.35954759
2015-12-25,2015-12-25T00:00:00Z,66861899.8020424
2015-12-26,2015-12-26T00:00:00Z,64833110.96230643
2015-12-27,2015-12-27T00:00:00Z,69797391.84006764
2015-12-28,2015-12-28T00:00:00Z,66544048.945319735
2015-12-29,2015-12-29T00:00:00Z,65434445.52330279
2015-12-30,2015-12-30T00:00:00Z,67934165.50672463
2015-12-31,2015-12-31T00:00:00Z,72245637.39811128
2016-01-01,2016-01-01T00:00:00Z,70101158.57665172
2016-01-02,2016-01-02T00:00:00Z,72739042.61741482
2016-01-03,2016-01-03T00:00:00Z,73172485.5295008
2016-01-04,2016-01-04T00:00:00Z,72436321.73231849
2016-01-05,2016-01-05T00:00:00Z,71898322.15799734
2016-01-06,2016-01-06T00:00:00Z,72489013.18544349
2016-01-07,2016-01-07T00:00:00Z,71751371.7976362
2016-01-08,2016-01-08T00:00:00Z,75213854.66230029
2016-01-09,2016-01-09T00:00:00Z,75241036.50683154
2016-01-10,2016-01-10T00:00:00Z,76414127.06198
2016-01-11,2016-01-11T00:00:00Z,81792011.4735061
2016-01-12,2016-01-12T00:00:00Z,93664468.72106303
2016-01-13,2016-01-13T00:00:00Z,87006079.4050954
2016-01-14,2016-01-14T00:00:00Z,89528970.41095409
2016-01-15,2016-01-15T00:00:00Z,99428033.7963108
2016-01-16,2016-01-16T00:00:00Z,92790609.05760989
2016-01-17,2016-01-17T00:00:00Z,101112538.3530636
2016-01-18,2016-01-18T00:00:00Z,112354379.80423754
2016-01-19,2016-01-19T00:00:00Z,103869577.8874816
2016-01-20,2016-01-20T00:00:00Z,107551662.55801626
2016-01-21,2016-01-21T00:00:00Z,114746182.07519493
2016-01-22,2016-01-22T00:00:00Z,116631625.72833428
2016-01-23,2016-01-23T00:00:00Z,153515214.43646
2016-01-24,2016-01-24T00:00:00Z,161248177.517658
2016-01-25,2016-01-25T00:00:00Z,199364847.7268047
2016-01-26,2016-01-26T00:00:00Z,176727093.55538085
2016-01-27,2016-01-27T00:00:00Z,184472729.323752
2016-01-28,2016-01-28T00:00:00Z,195797045.09365863
2016-01-29,2016-01-29T00:00:00Z,192193991.3196081
2016-01-30,2016-01-30T00:00:00Z,187791386.93091583
2016-01-31,2016-01-31T00:00:00Z,169360909.5188058
2016-02-01,2016-02-01T00:00:00Z,166721175.652704
2016-02-02,2016-02-02T00:00:00Z,188433045.3637584
2016-02-03,2016-02-03T00:00:00Z,194930252.1493966
2016-02-04,2016-02-04T00:00:00Z,196544337.7687665
2016-02-05,2016-02-05T00:00:00Z,197727714.6092049
2016-02-06,2016-02-06T00:00:00Z,196599805.978477
2016-02-07,2016-02-07T00:00:00Z,223585308.8355887
2016-02-08,2016-02-08T00:00:00Z,246204692.60244992
2016-02-09,2016-02-09T00:00:00Z,308828450.12292
2016-02-10,2016-02-10T00:00:00Z,335977098.2699804
2016-02-11,2016-02-11T00:00:00Z,463547693.1941569
2016-02-12,2016-02-12T00:00:00Z,425066649.1220901
2016-02-13,2016-02-13T00:00:00Z,412092926.9109371
2016-02-14,2016-02-14T00:00:00Z,402165214.097296
2016-02-15,2016-02-15T00:00:00Z,398600411.1336509
2016-02-16,2016-02-16T00:00:00Z,328925088.34361523
2016-02-17,2016-02-17T00:00:00Z,293760321.72631687
2016-02-18,2016-02-18T00:00:00Z,347723659.7598527
2016-02-19,2016-02-19T00:00:00Z,365661598.6825456
2016-02-20,2016-02-20T00:00:00Z,338937272.33034265
2016-02-21,2016-02-21T00:00:00Z,358935078.39227986
2016-02-22,2016-02-22T00:00:00Z,434282983.922088
2016-02-23,2016-02-23T00:00:00Z,430550700.7799265
2016-02-24,2016-02-24T00:00:00Z,483798863.50846976
2016-02-25,2016-02-25T00:00:00Z,473541939.8566683
2016-02-26,2016-02-26T00:00:00Z,455856711.26259
2016-02-27,2016-02-27T00:00:00Z,490256950.50212944
2016-02-28,2016-02-28T00:00:00Z,505002752.400665
2016-02-29,2016-02-29T00:00:00Z,493425696.8591955
2016-03-01,2016-03-01T00:00:00Z,587095097.2320114
2016-03-02,2016-03-02T00:00:00Z,654193583.5381267
2016-03-03,2016-03-03T00:00:00Z,704213944.270294
2016-03-04,2016-03-04T00:00:00Z,780730179.5358887
2016-03-05,2016-03-05T00:00:00Z,847890099.5327476
2016-03-06,2016-03-06T00:00:00Z,871407962.9824543
2016-03-07,2016-03-07T00:00:00Z,739336239.1852752
2016-03-08,2016-03-08T00:00:00Z,760727303.6999247
2016-03-09,2016-03-09T00:00:00Z,900543244.315869
2016-03-10,2016-03-10T00:00:00Z,872772353.6735561
2016-03-11,2016-03-11T00:00:00Z,862143592.409879
2016-03-12,2016-03-12T00:00:00Z,1049751177.9601934
2016-03-13,2016-03-13T00:00:00Z,1124126400.5522711
2016-03-14,2016-03-14T00:00:00Z,977697810.3306895
2016-03-15,2016-03-15T00:00:00Z,1023546187.418188
2016-03-16,2016-03-16T00:00:00Z,980213003.0437542
2016-03-17,2016-03-17T00:00:00Z,864856734.4929987
2016-03-18,2016-03-18T00:00:00Z,858986811.9038981
2016-03-19,2016-03-19T00:00:00Z,827444812.4275645
2016-03-20,2016-03-20T00:00:00Z,809548076.1617366
2016-03-21,2016-03-21T00:00:00Z,924213231.206364
2016-03-22,2016-03-22T00:00:00Z,897160093.6649885
2016-03-23,2016-03-23T00:00:00Z,973556121.1660416
2016-03-24,2016-03-24T00:00:00Z,876715836.1998113
2016-03-25,2016-03-25T00:00:00Z,836356751.3027687
2016-03-26,2016-03-26T00:00:00Z,862588368.8347347
2016-03-27,2016-03-27T00:00:00Z,819273776.2913485
2016-03-28,2016-03-28T00:00:00Z,908145083.431647
2016-03-29,2016-03-29T00:00:00Z,913059717.5357332
2016-03-30,2016-03-30T00:00:00Z,931506376.043838
2016-03-31,2016-03-31T00:00:00Z,894131364.0681499
2016-04-01,2016-04-01T00:00:00Z,915286745.7276156
2016-04-02,2016-04-02T00:00:00Z,917513603.2763752
2016-04-03,2016-04-03T00:00:00Z,914104265.5317752
2016-04-04,2016-04-04T00:00:00Z,878242802.8113894
2016-04-05,2016-04-05T00:00:00Z,824085733.8924817
2016-04-06,2016-04-06T00:00:00Z,837164066.6138525
2016-04-07,2016-04-07T00:00:00Z,799405599.0382288
2016-04-08,2016-04-08T00:00:00Z,764171661.2302768
2016-04-09,2016-04-09T00:00:00Z,721119482.6892174
2016-04-10,2016-04-10T00:00:00Z,706717898.693943
2016-04-11,2016-04-11T00:00:00Z,687097027.2843515
2016-04-12,2016-04-12T00:00:00Z,590929640.8217674
2016-04-13,2016-04-13T00:00:00Z,636341396.2786266
2016-04-14,2016-04-14T00:00:00Z,669807784.2180957
2016-04-15,2016-04-15T00:00:00Z,648312922.5817823
2016-04-16,2016-04-16T00:00:00Z,678786161.5185689
2016-04-17,2016-04-17T00:00:00Z,737947799.4127014
2016-04-18,2016-04-18T00:00:00Z,712902687.8838304
2016-04-19,2016-04-19T00:00:00Z,694917046.500752
2016-04-20,2016-04-20T00:00:00Z,671423192.7956768
2016-04-21,2016-04-21T00:00:00Z,649397370.9488354
2016-04-22,2016-04-22T00:00:00Z,627490380.200937
2016-04-23,2016-04-23T00:00:00Z,666582026.3068511
2016-04-24,2016-04-24T00:00:00Z,646314750.9281545
2016-04-25,2016-04-25T00:00:00Z,600866301.7276306
2016-04-26,2016-04-26T00:00:00Z,590383127.4548863
2016-04-27,2016-04-27T00:00:00Z,622972895.8775496
2016-04-28,2016-04-28T00:00:00Z,574267110.5662299
2016-04-29,2016-04-29T00:00:00Z,588863239.6393384
2016-04-30,2016-04-30T00:00:00Z,696389868.0989686
2016-05-01,2016-05-01T00:00:00Z,699925518.5297285
2016-05-02,2016-05-02T00:00:00Z,802786556.4595714
2016-05-03,2016-05-03T00:00:00Z,746692708.5153146
2016-05-04,2016-05-04T00:00:00Z,746190381.6784447
2016-05-05,2016-05-05T00:00:00Z,777508431.9793049
2016-05-06,2016-05-06T00:00:00Z,753885051.8997734
2016-05-07,2016-05-07T00:00:00Z,750831491.6291077
2016-05-08,2016-05-08T00:00:00Z,759274770.1469297
2016-05-09,2016-05-09T00:00:00Z,747655921.6847594
2016-05-10,2016-05-10T00:00:00Z,751888365.3704193
2016-05-11,2016-05-11T00:00:00Z,793748331.6426488
2016-05-12,2016-05-12T00:00:00Z,810061970.1253574
2016-05-13,2016-05-13T00:00:00Z,845107614.0346316
2016-05-14,2016-05-14T00:00:00Z,820312577.2681074
2016-05-15,2016-05-15T00:00:00Z,795018647.0629613
2016-05-16,2016-05-16T00:00:00Z,891444166.5092124
2016-05-17,2016-05-17T00:00:00Z,975454017.5812944
2016-05-18,2016-05-18T00:00:00Z,1089753611.982618
2016-05-19,2016-05-19T00:00:00Z,1178797640.139231
2016-05-20,2016-05-20T00:00:00Z,1086211752.6126556
2016-05-21,2016-05-21T00:00:00Z,1127572087.798944
2016-05-22,2016-05-22T00:00:00Z,1140871180.9788609
2016-05-23,2016-05-23T00:00:00Z,1072253066.355558
2016-05-24,2016-05-24T00:00:00Z,1028487488.393344
2016-05-25,2016-05-25T00:00:00Z,1013628899.4015676
2016-05-26,2016-05-26T00:00:00Z,998271641.6286696
2016-05-27,2016-05-27T00:00:00Z,908772212.1081223
2016-05-28,2016-05-28T00:00:00Z,957546599.065313
2016-05-29,2016-05-29T00:00:00Z,1002369369.8044634
2016-05-30,2016-05-30T00:00:00Z,1017343835.1519308
2016-05-31,2016-05-31T00:00:00Z,1139096943.3246188
2016-06-01,2016-06-01T00:00:00Z,1124068524.3863423
2016-06-02,2016-06-02T00:00:00Z,1106373425.9216156
2016-06-03,2016-06-03T00:00:00Z,1116922673.7811637
2016-06-04,2016-06-04T00:00:00Z,1125819074.1161833
2016-06-05,2016-06-05T00:00:00Z,1127064591.2402086
2016-06-06,2016-06-06T00:00:00Z,1126630478.5349026
2016-06-07,2016-06-07T00:00:00Z,1172323967.659299
2016-06-08,2016-06-08T00:00:00Z,1164790275.4943817
2016-06-09,2016-06-09T00:00:00Z,1168489223.498736
2016-06-10,2016-06-10T00:00:00Z,1129994040.1723323
2016-06-11,2016-06-11T00:00:00Z,1158055453.6627629
2016-06-12,2016-06-12T00:00:00Z,1277387869.0751705
2016-06-13,2016-06-13T00:00:00Z,1432820559.471398
2016-06-14,2016-06-14T00:00:00Z,1521841345.9770565
2016-06-15,2016-06-15T00:00:00Z,1479034295.2563553
2016-06-16,2016-06-16T00:00:00Z,1661469988.9015396
2016-06-17,2016-06-17T00:00:00Z,1245216402.1748304
