date,timestamp_utc,Open,High,Low,Close,Volume
2016-04-08,2016-04-08T00:00:00Z,14900.0,14900.0,13900.0,13900.0,0.11
2016-04-10,2016-04-10T00:00:00Z,11100.0,11100.0,10900.0,10900.0,4.1512
2016-04-11,2016-04-11T00:00:00Z,11000.0,11000.0,7500.0,10500.0,660.4125
2016-04-12,2016-04-12T00:00:00Z,10000.0,10200.0,8500.0,8500.0,1913.0724
2016-04-13,2016-04-13T00:00:00Z,8700.0,9900.0,8500.0,9700.0,337.7374
2016-04-14,2016-04-14T00:00:00Z,9600.0,10600.0,9200.0,9200.0,390.6904
2016-04-15,2016-04-15T00:00:00Z,10000.0,10100.0,9700.0,9800.0,476.899
2016-04-16,2016-04-16T00:00:00Z,9900.0,10100.0,9900.0,10100.0,39.3914
2016-04-17,2016-04-17T00:00:00Z,10000.0,15500.0,9600.0,11400.0,628.6352
2016-04-18,2016-04-18T00:00:00Z,11000.0,11000.0,10300.0,10400.0,154.9557
2016-04-19,2016-04-19T00:00:00Z,10500.0,11000.0,10100.0,10100.0,611.0651
2016-04-20,2016-04-20T00:00:00Z,9900.0,10500.0,9700.0,10500.0,476.396
2016-04-21,2016-04-21T00:00:00Z,10500.0,11800.0,9100.0,9100.0,1023.9366
2016-04-22,2016-04-22T00:00:00Z,9300.0,9900.0,8900.0,9000.0,1130.299
2016-04-23,2016-04-23T00:00:00Z,9200.0,9500.0,9000.0,9500.0,389.6944
2016-04-24,2016-04-24T00:00:00Z,9700.0,10000.0,9000.0,9000.0,1326.3132
2016-04-25,2016-04-25T00:00:00Z,9300.0,11500.0,8600.0,8700.0,1863.3358
2016-04-26,2016-04-26T00:00:00Z,8800.0,8800.0,8300.0,8300.0,2980.3713
2016-04-27,2016-04-27T00:00:00Z,8700.0,9600.0,8600.0,9300.0,1539.0855
2016-04-28,2016-04-28T00:00:00Z,9200.0,9200.0,8400.0,8400.0,1267.2339
2016-04-29,2016-04-29T00:00:00Z,8500.0,9000.0,8300.0,8700.0,369.9277
2016-04-30,2016-04-30T00:00:00Z,8800.0,10600.0,8500.0,9900.0,2418.4095
2016-05-01,2016-05-01T00:00:00Z,9800.0,10400.0,9700.0,10000.0,1564.85
2016-05-02,2016-05-02T00:00:00Z,10500.0,12500.0,10300.0,11100.0,4211.7843
2016-05-03,2016-05-03T00:00:00Z,11800.0,12200.0,10700.0,10700.0,2354.5678
2016-05-04,2016-05-04T00:00:00Z,10900.0,11800.0,10600.0,11100.0,2152.3596
2016-05-05,2016-05-05T00:00:00Z,10900.0,11500.0,10800.0,11500.0,190.1616
2016-05-06,2016-05-06T00:00:00Z,11000.0,11700.0,10600.0,11000.0,1482.9494
2016-05-07,2016-05-07T00:00:00Z,10900.0,11000.0,10700.0,10900.0,989.8041
2016-05-08,2016-05-08T00:00:00Z,10900.0,11000.0,10300.0,10300.0,933.1273
2016-05-09,2016-05-09T00:00:00Z,10800.0,11000.0,10400.0,10400.0,3040.8366
2016-05-10,2016-05-10T00:00:00Z,10900.0,11800.0,10900.0,11000.0,3183.1623
2016-05-11,2016-05-11T00:00:00Z,11100.0,13100.0,8000.0,11500.0,5421.11084899
2016-05-12,2016-05-12T00:00:00Z,11600.0,13000.0,11500.0,11500.0,14537.408257234873
2016-05-13,2016-05-13T00:00:00Z,12200.0,13100.0,11600.0,12300.0,18090.13977122
2016-05-14,2016-05-14T00:00:00Z,12100.0,12700.0,11600.0,12100.0,19580.29499114
2016-05-15,2016-05-15T00:00:00Z,11900.0,12200.0,11500.0,11800.0,2216.35827122
2016-05-16,2016-05-16T00:00:00Z,11700.0,13000.0,11700.0,12800.0,10792.45885604
2016-05-17,2016-05-17T00:00:00Z,12900.0,15900.0,12900.0,14500.0,16198.698320282434
2016-05-18,2016-05-18T00:00:00Z,14100.0,17300.0,13100.0,15537.95547143,22633.52243899581
2016-05-19,2016-05-19T00:00:00Z,15600.0,18000.0,15000.0,18000.0,27844.324483560435
2016-05-20,2016-05-20T00:00:00Z,18000.0,18900.0,15700.0,16400.0,26221.961715749585
2016-05-21,2016-05-21T00:00:00Z,16900.0,17000.0,15500.0,16700.0,9559.327444648949
2016-05-22,2016-05-22T00:00:00Z,16700.0,17800.0,16300.0,17100.0,7139.854798243795
2016-05-23,2016-05-23T00:00:00Z,17100.0,19800.0,16000.0,16000.0,37210.237658261656
2016-05-24,2016-05-24T00:00:00Z,16600.0,17000.0,14177.41888957,15600.0,25482.796284217467
2016-05-25,2016-05-25T00:00:00Z,15700.0,15900.0,14200.0,15000.0,16144.896509973569
2016-05-26,2016-05-26T00:00:00Z,14900.0,15500.0,14400.0,14800.0,7896.855907524286
2016-05-27,2016-05-27T00:00:00Z,14600.0,15100.0,12800.0,13701.30631228,35547.549501846195
2016-05-28,2016-05-28T00:00:00Z,13800.0,15300.0,12900.0,15200.0,28579.539345332243
2016-05-29,2016-05-29T00:00:00Z,15000.0,15900.0,14300.0,15400.0,10644.408226659085
2016-05-30,2016-05-30T00:00:00Z,15600.0,16000.0,15400.0,16000.0,9568.8905549
2016-05-31,2016-05-31T00:00:00Z,16200.0,17559.08626538,15800.0,17100.0,18028.770033208093
2016-06-01,2016-06-01T00:00:00Z,17200.0,17700.0,16000.0,16900.0,14131.368685016276
2016-06-02,2016-06-02T00:00:00Z,16900.0,17000.0,16300.0,16300.0,14144.77234808
2016-06-03,2016-06-03T00:00:00Z,16300.0,16800.0,15700.0,16300.0,17521.51921383578
2016-06-04,2016-06-04T00:00:00Z,16300.0,16500.0,15800.0,16300.0,6754.19990638
2016-06-05,2016-06-05T00:00:00Z,16300.0,16500.0,16100.0,16400.0,10586.74655471
2016-06-06,2016-06-06T00:00:00Z,16500.0,16500.0,16200.0,16500.0,4412.80259532
2016-06-07,2016-06-07T00:00:00Z,16500.0,17500.0,16300.0,17200.0,11654.040047490222
2016-06-08,2016-06-08T00:00:00Z,17200.0,17700.0,17000.0,17200.0,15777.358357625597
2016-06-09,2016-06-09T00:00:00Z,17100.0,17500.0,16900.0,17300.0,12711.60246154954
2016-06-10,2016-06-10T00:00:00Z,17200.0,17500.0,16600.0,16900.0,21632.355776873686
