date,Active Sending Addresses
2020-06-01,4411
2020-06-02,4778
2020-06-03,4004
2020-06-04,4170
2020-06-05,4088
2020-06-06,3712
2020-06-07,4218
2020-06-08,5213
2020-06-09,5742
2020-06-10,6759
2020-06-11,6344
2020-06-12,6306
2020-06-13,4995
2020-06-14,4727
2020-06-15,6755
2020-06-16,5392
2020-06-17,5486
2020-06-18,5824
2020-06-19,5611
2020-06-20,8474
2020-06-21,8443
2020-06-22,9617
2020-06-23,8039
2020-06-24,8449
2020-06-25,8062
2020-06-26,7412
2020-06-27,7844
2020-06-28,8257
2020-06-29,7308
2020-06-30,7611
2020-07-01,7659
2020-07-02,11651
2020-07-03,10332
2020-07-04,7956
2020-07-05,7643
2020-07-06,8547
2020-07-07,9057
2020-07-08,9208
2020-07-09,8414
2020-07-10,7930
2020-07-11,7021
2020-07-12,6508
2020-07-13,9141
2020-07-14,7984
2020-07-15,8628
2020-07-16,8645
2020-07-17,8887
2020-07-18,8900
2020-07-19,7535
2020-07-20,10325
2020-07-21,10095
2020-07-22,10761
2020-07-23,12027
2020-07-24,13023
2020-07-25,11643
2020-07-26,9546
2020-07-27,11033
2020-07-28,9795
2020-07-29,10378
2020-07-30,10684
2020-07-31,11098
2020-08-01,9618
2020-08-02,10713
2020-08-03,10473
2020-08-04,11709
2020-08-05,11857
2020-08-06,13162
2020-08-07,13611
2020-08-08,11410
2020-08-09,11888
2020-08-10,14757
2020-08-11,16171
2020-08-12,15391
2020-08-13,17519
2020-08-14,19939
2020-08-15,15002
2020-08-16,14735
2020-08-17,17035
2020-08-18,19584
2020-08-19,19375
2020-08-20,19139
2020-08-21,18324
2020-08-22,17711
2020-08-23,16097
2020-08-24,17425
2020-08-25,17711
2020-08-26,24209
2020-08-27,23613
2020-08-28,22433
2020-08-29,27441
2020-08-30,38414
2020-08-31,28520
2020-09-01,30626
2020-09-02,36432
2020-09-03,39518
2020-09-04,38866
2020-09-05,34603
2020-09-06,32014
2020-09-07,30036
2020-09-08,37492
2020-09-09,31805
2020-09-10,38030
2020-09-11,41761
2020-09-12,31038
2020-09-13,32688
2020-09-14,34320
2020-09-15,39796
2020-09-16,33818
2020-09-17,35575
2020-09-18,37311
2020-09-19,39641
2020-09-20,38779
2020-09-21,41055
2020-09-22,39981
2020-09-23,42729
2020-09-24,38720
2020-09-25,47815
2020-09-26,49884
2020-09-27,49194
2020-09-28,48172
2020-09-29,48553
2020-09-30,42345
2020-10-01,38438
2020-10-02,47796
2020-10-03,36240
2020-10-04,35673
2020-10-05,40513
2020-10-06,31359
2020-10-07,48273
2020-10-08,51166
2020-10-09,41626
2020-10-10,42233
2020-10-11,38830
2020-10-12,42109
2020-10-13,44416
2020-10-14,41117
2020-10-15,39784
2020-10-16,38284
2020-10-17,38175
2020-10-18,30818
2020-10-19,45054
2020-10-20,58633
2020-10-21,126444
2020-10-22,70946
2020-10-23,34386
2020-10-24,31741
2020-10-25,46149
2020-10-26,41240
2020-10-27,41162
2020-10-28,37138
2020-10-29,39570
2020-10-30,43877
2020-10-31,44386
2020-11-01,32695
2020-11-02,42337
2020-11-03,34944
2020-11-04,34383
2020-11-05,47013
2020-11-06,48718
2020-11-07,42708
2020-11-08,32878
2020-11-09,40702
2020-11-10,37410
2020-11-11,43545
2020-11-12,72801
2020-11-13,46788
2020-11-14,37128
2020-11-15,37505
2020-11-16,44090
2020-11-17,44007
2020-11-18,40239
2020-11-19,39221
2020-11-20,39953
2020-11-21,35822
2020-11-22,33201
2020-11-23,48225
2020-11-24,43828
2020-11-25,30259
2020-11-26,36483
2020-11-27,34652
2020-11-28,31341
2020-11-29,28948
2020-11-30,35883
2020-12-01,38519
2020-12-02,34559
2020-12-03,39388
2020-12-04,89765
2020-12-05,67303
2020-12-06,33197
2020-12-07,38139
2020-12-08,40009
2020-12-09,37498
2020-12-10,39308
2020-12-11,35948
2020-12-12,39519
2020-12-13,35546
2020-12-14,37953
2020-12-15,39867
2020-12-16,40449
2020-12-17,73667
2020-12-18,52212
2020-12-19,43818
2020-12-20,41848
2020-12-21,47084
2020-12-22,52328
2020-12-23,47844
2020-12-24,54605
2020-12-25,49927
2020-12-26,45012
2020-12-27,47168
2020-12-28,43460
2020-12-29,57466
2020-12-30,51437
2020-12-31,49254
2021-01-01,42716
2021-01-02,44537
2021-01-03,48757
2021-01-04,68027
2021-01-05,56035
2021-01-06,67175
2021-01-07,52704
2021-01-08,51371
2021-01-09,57481
2021-01-10,66531
2021-01-11,65867
2021-01-12,58591
2021-01-13,63929
2021-01-14,74802
2021-01-15,59151
2021-01-16,55971
2021-01-17,54536
2021-01-18,65504
2021-01-19,76019
2021-01-20,69363
2021-01-21,60881
2021-01-22,77251
2021-01-23,56762
2021-01-24,57753
2021-01-25,68412
2021-01-26,65707
2021-01-27,65016
2021-01-28,66359
2021-01-29,90313
2021-01-30,72335
2021-01-31,79479
2021-02-01,81266
2021-02-02,81878
2021-02-03,83911
2021-02-04,90051
2021-02-05,97754
2021-02-06,108549
2021-02-07,93148
2021-02-08,109672
2021-02-09,122547
2021-02-10,110953
2021-02-11,94974
2021-02-12,83027
2021-02-13,90354
2021-02-14,83505
2021-02-15,108025
2021-02-16,108097
2021-02-17,93969
2021-02-18,166782
2021-02-19,140682
2021-02-20,133215
2021-02-21,124174
2021-02-22,139966
2021-02-23,136206
2021-02-24,137149
2021-02-25,129543
2021-02-26,111746
2021-02-27,113166
2021-02-28,124908
2021-03-01,203109
2021-03-02,112750
2021-03-03,112426
2021-03-04,102182
2021-03-05,99935
2021-03-06,93581
2021-03-07,98397
2021-03-08,110674
2021-03-09,121262
2021-03-10,137147
2021-03-11,164676
2021-03-12,120340
2021-03-13,116586
2021-03-14,118287
2021-03-15,139482
2021-03-16,134000
2021-03-17,130596
2021-03-18,418091
2021-03-19,326852
2021-03-20,181475
2021-03-21,175795
2021-03-22,170883
2021-03-23,138737
2021-03-24,189484
2021-03-25,138823
2021-03-26,143544
2021-03-27,140580
2021-03-28,133338
2021-03-29,156212
2021-03-30,183424
2021-03-31,206596
2021-04-01,222831
2021-04-02,215900
2021-04-03,194127
2021-04-04,199713
2021-04-05,186513
2021-04-06,216250
2021-04-07,202009
2021-04-08,190667
