date,Active Receiving Addresses (%)
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,0.0
2019-07-04,0.0
2019-07-05,0.0
2019-07-06,0.0
2019-07-07,0.0
2019-07-08,0.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,0.0
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,0.0
2019-07-16,0.0
2019-07-17,0.77272727
2019-07-18,0.9619966
2019-07-19,0.99766628
2019-07-20,0.99655568
2019-07-21,0.99529135
2019-07-22,0.99828767
2019-07-23,0.99884393
2019-07-24,0.99646851
2019-07-25,0.99882284
2019-07-26,0.9976825
2019-07-27,0.9988578
2019-07-28,0.99297012
2019-07-29,0.99820574
2019-07-30,0.9982217
2019-07-31,0.99577805
2019-08-01,0.99705015
2019-08-02,0.99647059
2019-08-03,0.99821853
2019-08-04,0.99941793
2019-08-05,0.99827784
2019-08-06,0.99783198
2019-08-07,0.99834983
2019-08-08,0.99777901
2019-08-09,0.99831839
2019-08-10,0.99669967
2019-08-11,0.99891775
2019-08-12,0.99734043
2019-08-13,0.99735869
2019-08-14,0.99791883
2019-08-15,0.99633891
2019-08-16,0.80291971
2019-08-17,0.65333333
2019-08-18,0.91457286
2019-08-19,0.88659794
2019-08-20,0.89265537
2019-08-21,0.83478261
2019-08-22,0.87777778
2019-08-23,0.92462312
2019-08-24,0.73563218
2019-08-25,0.84962406
2019-08-26,0.91860465
2019-08-27,0.91052632
2019-08-28,0.89847716
2019-08-29,0.85955056
2019-08-30,0.92118227
2019-08-31,0.91284404
2019-09-01,0.95435685
2019-09-02,0.9173913
2019-09-03,0.94560669
2019-09-04,0.92672414
2019-09-05,0.92156863
2019-09-06,0.8358209
2019-09-07,0.890625
2019-09-08,0.89017341
2019-09-09,0.68531469
2019-09-10,0.92241379
2019-09-11,0.80808081
2019-09-12,0.78082192
2019-09-13,0.82352941
2019-09-14,0.8
2019-09-15,0.7704918
2019-09-16,0.73404255
2019-09-17,0.68376068
2019-09-18,0.85454545
2019-09-19,0.81609195
2019-09-20,0.81818182
2019-09-21,0.76470588
2019-09-22,0.83544304
2019-09-23,0.8
2019-09-24,0.78616352
2019-09-25,0.88757396
2019-09-26,0.93464052
2019-09-27,0.86666667
2019-09-28,0.92105263
2019-09-29,0.91946309
2019-09-30,0.81818182
2019-10-01,0.88622754
2019-10-02,0.61858191
2019-10-03,0.77272727
2019-10-04,0.76868327
2019-10-05,0.86567164
2019-10-06,0.86896552
2019-10-07,0.83333333
2019-10-08,0.86
2019-10-09,0.85849057
2019-10-10,0.61797753
2019-10-11,0.70531401
2019-10-12,0.7394636
2019-10-13,0.65938865
2019-10-14,0.52360965
2019-10-15,0.66812227
2019-10-16,0.65176023
2019-10-17,0.42799462
2019-10-18,0.58173077
2019-10-19,0.83060109
2019-10-20,0.844
2019-10-21,0.87763713
2019-10-22,0.47121951
2019-10-23,0.80210526
2019-10-24,0.79428571
2019-10-25,0.88318584
2019-10-26,0.91190865
2019-10-27,0.94524496
2019-10-28,0.90283843
2019-10-29,0.94576271
2019-10-30,0.8968254
2019-10-31,0.89322917
2019-11-01,0.80933063
2019-11-02,0.80147059
2019-11-03,0.64864865
2019-11-04,0.91222571
2019-11-05,0.89016511
2019-11-06,0.90068493
2019-11-07,0.81711146
2019-11-08,0.93132328
2019-11-09,0.88552739
2019-11-10,0.93170234
2019-11-11,0.94336283
2019-11-12,0.97890467
2019-11-13,0.76740947
2019-11-14,0.6688172
2019-11-15,0.77741083
2019-11-16,0.96284668
2019-11-17,0.94353827
2019-11-18,0.8879892
2019-11-19,0.84015345
2019-11-20,0.89216945
2019-11-21,0.90713587
2019-11-22,0.90950226
2019-11-23,0.86675127
2019-11-24,0.77824268
2019-11-25,0.91971545
2019-11-26,0.8944591
2019-11-27,0.80098039
2019-11-28,0.97839375
2019-11-29,0.98970781
2019-11-30,0.85391766
2019-12-01,0.81855956
2019-12-02,0.99035521
2019-12-03,0.99488446
2019-12-04,0.96508645
2019-12-05,0.99230418
2019-12-06,0.99234568
2019-12-07,0.99479895
2019-12-08,0.9908105
2019-12-09,0.86565836
2019-12-10,0.88129804
2019-12-11,0.83867735
2019-12-12,0.90226337
2019-12-13,0.86442308
2019-12-14,0.8777336
2019-12-15,0.8978186
2019-12-16,0.90712353
2019-12-17,0.9077961
2019-12-18,0.88906373
2019-12-19,0.90892364
2019-12-20,0.87655502
2019-12-21,0.84989858
2019-12-22,0.89735099
2019-12-23,0.93510324
2019-12-24,0.89443378
2019-12-25,0.82340862
2019-12-26,0.88174274
2019-12-27,0.98909793
2019-12-28,0.99489252
2019-12-29,0.99469274
2019-12-30,0.90020647
2019-12-31,0.87711487
2020-01-01,0.93732194
2020-01-02,0.91291028
2020-01-03,0.98109282
2020-01-04,0.99307547
2020-01-05,0.99280811
2020-01-06,0.99582329
2020-01-07,0.98209437
2020-01-08,0.99309032
2020-01-09,0.98659717
2020-01-10,0.98988675
2020-01-11,0.99056151
2020-01-12,0.9934465
2020-01-13,0.98840565
2020-01-14,0.98898072
2020-01-15,0.97747978
2020-01-16,0.98999471
2020-01-17,0.99210416
2020-01-18,0.9885816
2020-01-19,0.98899445
2020-01-20,0.98915047
2020-01-21,0.98848352
2020-01-22,0.99161868
2020-01-23,0.70166113
2020-01-24,0.98811252
2020-01-25,0.99280222
