date,Estimated Leverage Ratio
2019-03-30,0.05260992
2019-03-31,0.05610774
2019-04-01,0.05487981
2019-04-02,0.05744231
2019-04-03,0.04620303
2019-04-04,0.05046435
2019-04-05,0.05290239
2019-04-06,0.05258928
2019-04-07,0.04926009
2019-04-08,0.04798026
2019-04-09,0.04774334
2019-04-10,0.04930381
2019-04-11,0.05466243
2019-04-12,0.05093392
2019-04-13,0.05222338
2019-04-14,0.05517474
2019-04-15,0.05420788
2019-04-16,0.05582391
2019-04-17,0.05723919
2019-04-18,0.05850897
2019-04-19,0.05802583
2019-04-20,0.05755241
2019-04-21,0.05902187
2019-04-22,0.05888762
2019-04-23,0.05945531
2019-04-24,0.05934021
2019-04-25,0.04799894
2019-04-26,0.05179528
2019-04-27,0.05144876
2019-04-28,0.05109451
2019-04-29,0.05295646
2019-04-30,0.0548236
2019-05-01,0.05391736
2019-05-02,0.05497417
2019-05-03,0.05996337
2019-05-04,0.05620999
2019-05-05,0.05187466
2019-05-06,0.05842357
2019-05-07,0.05562813
2019-05-08,0.0568835
2019-05-09,0.05649118
2019-05-10,0.05418468
2019-05-11,0.05996466
2019-05-12,0.05279941
2019-05-13,0.05860477
2019-05-14,0.05796229
2019-05-15,0.06434246
2019-05-16,0.06128056
2019-05-17,0.04307524
2019-05-18,0.04235485
2019-05-19,0.04739097
2019-05-20,0.04608794
2019-05-21,0.04993806
2019-05-22,0.04412766
2019-05-23,0.0443196
2019-05-24,0.04760315
2019-05-25,0.05304582
2019-05-26,0.05673539
2019-05-27,0.05539525
2019-05-28,0.05270219
2019-05-29,0.05113155
2019-05-30,0.04515354
2019-05-31,0.04224214
2019-06-01,0.04513506
2019-06-02,0.04555435
2019-06-03,0.04318506
2019-06-04,0.03874896
2019-06-05,0.03719394
2019-06-06,0.03741592
2019-06-07,0.04238263
2019-06-08,0.04129675
2019-06-09,0.04115325
2019-06-10,0.04361924
2019-06-11,0.04230416
2019-06-12,0.04285062
2019-06-13,0.04054676
2019-06-14,0.04665383
2019-06-15,0.04900041
2019-06-16,0.04489174
2019-06-17,0.04967758
2019-06-18,0.0448579
2019-06-19,0.0481761
2019-06-20,0.05085816
2019-06-21,0.05384155
2019-06-22,0.05216548
2019-06-23,0.0510176
2019-06-24,0.04811925
2019-06-25,0.05156227
2019-06-26,0.05182953
2019-06-27,0.04380914
2019-06-28,0.04606677
2019-06-29,0.043378
2019-06-30,0.03958792
2019-07-01,0.0411984
2019-07-02,0.04284286
2019-07-03,0.0459121
2019-07-04,0.04370142
2019-07-05,0.04203987
2019-07-06,0.04087812
2019-07-07,0.04389768
2019-07-08,0.04518747
2019-07-09,0.04743544
2019-07-10,0.0467974
2019-07-11,0.04185429
2019-07-12,0.04449412
2019-07-13,0.04276414
2019-07-14,0.03626688
2019-07-15,0.02978653
2019-07-16,0.0277019
2019-07-17,0.02558986
2019-07-18,0.0260526
2019-07-19,0.02513679
2019-07-20,0.02795834
2019-07-21,0.02623393
2019-07-22,0.02695827
2019-07-23,0.02647511
2019-07-24,0.0250287
2019-07-25,0.02492503
2019-07-26,0.02768349
2019-07-27,0.02637837
2019-07-28,0.0258718
2019-07-29,0.02553202
2019-07-30,0.02785299
2019-07-31,0.02800326
2019-08-01,0.0295796
2019-08-02,0.03075638
2019-08-03,0.03002682
2019-08-04,0.03072741
2019-08-05,0.03460543
2019-08-06,0.0336554
2019-08-07,0.03374146
2019-08-08,0.03455481
2019-08-09,0.03386077
2019-08-10,0.03096337
2019-08-11,0.03294581
2019-08-12,0.03151625
2019-08-13,0.02957871
2019-08-14,0.02963426
2019-08-15,0.03011631
2019-08-16,0.03132598
2019-08-17,0.03113461
2019-08-18,0.03204242
2019-08-19,0.03140171
2019-08-20,0.03159268
2019-08-21,0.03053017
2019-08-22,0.03182014
2019-08-23,0.0316414
2019-08-24,0.03117046
2019-08-25,0.03322648
2019-08-26,0.0299112
2019-08-27,0.03156329
2019-08-28,0.03349188
2019-08-29,0.03217262
2019-08-30,0.03342703
2019-08-31,0.03359197
2019-09-01,0.03335251
2019-09-02,0.04011935
2019-09-03,0.03714346
2019-09-04,0.0359782
2019-09-05,0.0471584
2019-09-06,0.0488393
2019-09-07,0.05238047
2019-09-08,0.04811445
2019-09-09,0.04911895
