date,Open Interest
2019-03-30,102936575.0864352
2019-03-31,109172772.8283936
2019-04-01,105975511.2214462
2019-04-02,130456846.1292044
2019-04-03,102685089.30730148
2019-04-04,110688843.8051856
2019-04-05,122479109.38398638
2019-04-06,121452462.2551764
2019-04-07,121133373.79046184
2019-04-08,122849498.068826
2019-04-09,119456097.7809112
2019-04-10,124161971.174969
2019-04-11,127293639.6156724
2019-04-12,118586590.9964946
2019-04-13,120989831.39631364
2019-04-14,130273302.502596
2019-04-15,121327932.636342
2019-04-16,129288446.1743014
2019-04-17,131829140.736243
2019-04-18,141918012.17008838
2019-04-19,139858603.1858168
2019-04-20,138973141.089832
2019-04-21,140517981.97287288
2019-04-22,140129053.540954
2019-04-23,141052630.8514455
2019-04-24,138539756.108928
2019-04-25,102756314.86512163
2019-04-26,109251000.14163156
2019-04-27,110666281.049362
2019-04-28,108029669.97823612
2019-04-29,112946095.23830378
2019-04-30,116892168.3453995
2019-05-01,113320075.92022648
2019-05-02,115773293.95879686
2019-05-03,131813960.00571258
2019-05-04,120732123.20017
2019-05-05,115444393.85528238
2019-05-06,138732259.83129525
2019-05-07,125927007.71536374
2019-05-08,129130626.7087232
2019-05-09,130827457.19888958
2019-05-10,125762363.41213672
2019-05-11,155778554.0129247
2019-05-12,135762011.06931305
2019-05-13,156173953.74994
2019-05-14,169770817.74078718
2019-05-15,215458445.607936
2019-05-16,222829186.9837837
2019-05-17,149351105.03339
2019-05-18,139638214.5244424
2019-05-19,175115054.5378984
2019-05-20,164293243.27604705
2019-05-21,180276902.6436608
2019-05-22,152008677.45343894
2019-05-23,152493051.16020828
2019-05-24,166271686.99057874
2019-05-25,186020454.6877281
2019-05-26,212613359.674788
2019-05-27,212238959.6573045
2019-05-28,201407597.7493885
2019-05-29,194324167.42839512
2019-05-30,161628060.5433813
2019-05-31,157420559.16025186
2019-06-01,165321082.581256
2019-06-02,169107410.7480958
2019-06-03,148308114.5977504
2019-06-04,128065812.036848
2019-06-05,125382291.01852566
2019-06-06,129001417.679889
2019-06-07,145697228.0432762
2019-06-08,137795286.54825324
2019-06-09,129154890.7980144
2019-06-10,148056769.07646176
2019-06-11,141519219.74778748
2019-06-12,153918392.877531
2019-06-13,143499098.0942275
2019-06-14,169945012.61254445
2019-06-15,181807471.45754
2019-06-16,166516481.78002757
2019-06-17,187613075.82009324
2019-06-18,162838826.5359132
2019-06-19,176993011.642662
2019-06-20,189739763.7177675
2019-06-21,220670296.270522
2019-06-22,225666033.3338327
2019-06-23,221549334.1287762
2019-06-24,212163914.29407248
2019-06-25,231442896.8794709
2019-06-26,245992108.11361748
2019-06-27,181880769.73290345
2019-06-28,200334792.254292
2019-06-29,192643370.1404351
2019-06-30,160553070.99290735
2019-07-01,169444620.8590164
2019-07-02,175060173.762005
2019-07-03,194568497.59738824
2019-07-04,173631137.45512673
2019-07-05,169331916.7434924
2019-07-06,164909994.85065106
2019-07-07,188806808.2068736
2019-07-08,199351290.547645
2019-07-09,206832028.856757
2019-07-10,191001387.9178913
2019-07-11,159767549.264842
2019-07-12,172873970.43671998
2019-07-13,162709932.06937858
2019-07-14,115386455.515617
2019-07-15,95703188.43632571
2019-07-16,77066059.92458375
2019-07-17,75603572.8599168
2019-07-18,82658028.97313093
2019-07-19,77612169.97309676
2019-07-20,89118018.70901759
2019-07-21,82475208.60530879
2019-07-22,81671689.1602594
2019-07-23,78395001.13053599
2019-07-24,75538653.95536
2019-07-25,76419915.08515841
2019-07-26,84981119.300961
2019-07-27,76351388.14673555
2019-07-28,76314703.66869661
2019-07-29,74933861.7922523
2019-07-30,81726670.37278983
2019-07-31,85641598.60433179
2019-08-01,89908990.69545361
2019-08-02,93127518.75678876
2019-08-03,92561028.9788283
2019-08-04,93918660.0290984
2019-08-05,114309916.7543936
2019-08-06,108397339.05994137
2019-08-07,108836469.01515186
2019-08-08,110576921.15939562
2019-08-09,102905871.67879298
2019-08-10,92328055.81766547
2019-08-11,102851312.2908675
2019-08-12,96073359.6180065
2019-08-13,88956312.144855
2019-08-14,79927947.1823504
2019-08-15,81563275.12876564
2019-08-16,83390446.42511776
2019-08-17,82958896.95814699
2019-08-18,89441602.42844959
2019-08-19,91436993.955188
2019-08-20,89236490.9031975
2019-08-21,82236460.0095242
2019-08-22,87157880.948352
2019-08-23,88644420.7946225
2019-08-24,86010711.01529878
2019-08-25,89628147.21382119
2019-08-26,81522473.87246701
2019-08-27,85537071.70671825
2019-08-28,83551225.6421575
2019-08-29,78262945.35985462
2019-08-30,81263957.5744946
2019-08-31,83282913.61772078
2019-09-01,82193621.1764
2019-09-02,103201688.30596
2019-09-03,97360989.89109376
2019-09-04,92223853.867225
2019-09-05,120084436.732794
2019-09-06,121109353.7690166
2019-09-07,136846813.055832
2019-09-08,128258487.1042546
2019-09-09,130643185.29803488
2019-09-10,131674906.1797157
2019-09-11,128723140.08283
2019-09-12,135425913.66843843
2019-09-13,134755995.51007798
2019-09-14,153181902.473728
2019-09-15,154497524.9943844
2019-09-16,164783718.2058517
2019-09-17,163357355.83804342
2019-09-18,168282423.90305376
2019-09-19,175812068.79604924
2019-09-20,180278645.1344629
2019-09-21,178864705.6033275
2019-09-22,169891823.74570966
2019-09-23,152784255.505779
