date,Short Liquidations
2018-12-28,110.481493
2018-12-29,312.886518
2018-12-30,532.218238
2018-12-31,0.095325
2019-01-01,238.047807
2019-01-02,3333.4677235
2019-01-03,306.602835
2019-01-04,769.8196045
2019-01-05,962.198529
2019-01-06,182.0077225
2019-01-07,712.9153574999999
2019-01-08,423.44365
2019-01-09,141.358133
2019-01-10,165.54405999999997
2019-01-11,1467.28962
2019-01-12,73.239933
2019-01-13,1045.988269
2019-01-14,1568.558593
2019-01-15,509.470367
2019-01-16,673.1351975
2019-01-17,417.0611335
2019-01-18,6.2125875
2019-01-19,364.975238
2019-01-20,35.105000000000004
2019-01-21,53.16
2019-01-22,84.6872125
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,10.665
2019-01-26,52.793402
2019-01-27,0.0
2019-01-28,206.4314195
2019-01-29,20.442
2019-01-30,608.077228
2019-01-31,136.04501499999998
2019-02-01,311.076828
2019-02-02,1982.298936
2019-02-03,35.889
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,0.78309
2019-02-07,0.0
2019-02-08,2444.150427
2019-02-09,429.794912
2019-02-10,1745.0080225
2019-02-11,245.610948
2019-02-12,13.6657375
2019-02-13,110.377729
2019-02-14,71.8151265
2019-02-15,102.70166
2019-02-16,13.2806175
2019-02-17,2322.967473
2019-02-18,7321.810918
2019-02-19,488.4591855
2019-02-20,870.856636
2019-02-21,200.40987
2019-02-22,788.45783
2019-02-23,7462.9687655
2019-02-24,1025.0040985
2019-02-25,299.351072
2019-02-26,3.797
2019-02-27,631.357453
2019-02-28,151.418683
2019-03-01,141.319641
2019-03-02,0.0722445
2019-03-03,26.74118
2019-03-04,1337.197796
2019-03-05,5677.239806
2019-03-06,477.087125
2019-03-07,12.5451
2019-03-08,424.6181
2019-03-09,327.40474
2019-03-10,0.0
2019-03-11,594.73398
2019-03-12,378.816884
2019-03-13,0.0
2019-03-14,400.8824525
2019-03-15,1596.6814599999998
2019-03-16,2098.60524
2019-03-17,19.0824
2019-03-18,651.5002
2019-03-19,3.983
2019-03-20,0.2416799999999999
2019-03-21,1.6841639999999998
2019-03-22,19.945
2019-03-23,0.0
2019-03-24,0.0
2019-03-25,0.0
2019-03-26,269.483082
2019-03-27,172.85933
2019-03-28,0.0
2019-03-29,1232.7671779999998
2019-03-30,459.487614
2019-03-31,0.0
2019-04-01,0.0411999999999999
2019-04-02,150588.7146005
2019-04-03,39857.0899475
2019-04-04,1197.228762
2019-04-05,1267.9564545
2019-04-06,12637.97821
2019-04-07,6812.440356499999
2019-04-08,24706.561326
2019-04-09,207.982117
2019-04-10,6054.787462
2019-04-11,541.1563385
2019-04-12,1611.5133675000002
2019-04-13,72.475596
2019-04-14,3662.6512545
2019-04-15,686.9372844999999
2019-04-16,11833.4296665
2019-04-17,81.1231685
2019-04-18,20887.4213035
2019-04-19,342.62115900000003
2019-04-20,8069.409315999999
2019-04-21,173.746175
2019-04-22,1921.3300855
2019-04-23,7123.443674
2019-04-24,2182.6287300000004
2019-04-25,1643.645353
2019-04-26,444.0013825
2019-04-27,6005.468116
2019-04-28,0.0
2019-04-29,1021.9293195
2019-04-30,13876.6288145
2019-05-01,3036.046696
2019-05-02,3117.2049745
2019-05-03,27425.6422395
2019-05-04,1007.6933695
2019-05-05,393.593159
2019-05-06,27217.1841245
2019-05-07,37527.8382315
