Datetime,Fees (Total)
2026-04-10T00:00:00Z,2.6725929
2026-04-09T00:00:00Z,2.3998083
2026-04-08T00:00:00Z,2.44339218
2026-04-07T00:00:00Z,2.36089633
2026-04-06T00:00:00Z,2.17566785
2026-04-05T00:00:00Z,1.61238194
2026-04-04T00:00:00Z,2.04944825
2026-04-03T00:00:00Z,2.61456449
2026-04-02T00:00:00Z,2.54700179
2026-04-01T00:00:00Z,2.55197884
2026-03-31T00:00:00Z,2.47214933
2026-03-30T00:00:00Z,2.49977593
2026-03-29T00:00:00Z,1.63426923
2026-03-28T00:00:00Z,1.86462916
2026-03-27T00:00:00Z,2.6733837
2026-03-26T00:00:00Z,2.36815757
2026-03-25T00:00:00Z,2.65232443
2026-03-24T00:00:00Z,2.50001762
2026-03-23T00:00:00Z,2.45047982
2026-03-22T00:00:00Z,2.07426659
2026-03-21T00:00:00Z,2.68381319
2026-03-20T00:00:00Z,2.72301647
2026-03-19T00:00:00Z,2.94951944
2026-03-18T00:00:00Z,2.61759393
2026-03-17T00:00:00Z,3.07890037
2026-03-16T00:00:00Z,2.54280709
2026-03-15T00:00:00Z,1.96875992
2026-03-14T00:00:00Z,2.05410207
2026-03-13T00:00:00Z,3.34653123
2026-03-12T00:00:00Z,2.69225377
2026-03-11T00:00:00Z,2.79884208
2026-03-10T00:00:00Z,2.69723863
2026-03-09T00:00:00Z,2.5166538
2026-03-08T00:00:00Z,1.96417132
2026-03-07T00:00:00Z,2.21186868
2026-03-06T00:00:00Z,2.92696968
2026-03-05T00:00:00Z,2.75420401
2026-03-04T00:00:00Z,3.03064152
2026-03-03T00:00:00Z,2.70504003
2026-03-02T00:00:00Z,2.65880637
2026-03-01T00:00:00Z,2.55280047
2026-02-28T00:00:00Z,2.52753703
2026-02-27T00:00:00Z,3.0155843
2026-02-26T00:00:00Z,3.43086166
2026-02-25T00:00:00Z,2.91444115
2026-02-24T00:00:00Z,2.69560444
2026-02-23T00:00:00Z,2.60488702
2026-02-22T00:00:00Z,1.87910113
2026-02-21T00:00:00Z,2.15964537
2026-02-20T00:00:00Z,2.59073275
2026-02-19T00:00:00Z,2.3578648
2026-02-18T00:00:00Z,2.30638378
2026-02-17T00:00:00Z,2.29023986
2026-02-16T00:00:00Z,2.21631648
2026-02-15T00:00:00Z,1.85144308
2026-02-14T00:00:00Z,2.18313033
2026-02-13T00:00:00Z,2.76451144
2026-02-12T00:00:00Z,2.55175314
2026-02-11T00:00:00Z,2.93574854
2026-02-10T00:00:00Z,2.5959583
2026-02-09T00:00:00Z,2.92349561
2026-02-08T00:00:00Z,2.23211711
2026-02-07T00:00:00Z,2.76788886
2026-02-06T00:00:00Z,6.2408455
2026-02-05T00:00:00Z,5.5928349
2026-02-04T00:00:00Z,3.21760022
2026-02-03T00:00:00Z,3.29510479
2026-02-02T00:00:00Z,3.41784239
2026-02-01T00:00:00Z,2.52159004
2026-01-31T00:00:00Z,3.0406678
2026-01-30T00:00:00Z,3.3506196
2026-01-29T00:00:00Z,2.73977676
2026-01-28T00:00:00Z,2.87090808
