Datetime,Fees USD (Total)
2026-04-10T00:00:00Z,193707.52231567
2026-04-09T00:00:00Z,171532.67331893
2026-04-08T00:00:00Z,174846.92049337
2026-04-07T00:00:00Z,162652.77980435
2026-04-06T00:00:00Z,151149.23268351
2026-04-05T00:00:00Z,108370.08023501
2026-04-04T00:00:00Z,137583.12488115
2026-04-03T00:00:00Z,174729.97300007
2026-04-02T00:00:00Z,170080.71614138
2026-04-01T00:00:00Z,174549.93054402
2026-03-31T00:00:00Z,166483.76740136
2026-03-30T00:00:00Z,167774.7551455
2026-03-29T00:00:00Z,108740.78975794
2026-03-28T00:00:00Z,124073.05828412
2026-03-27T00:00:00Z,178685.24131001
2026-03-26T00:00:00Z,164684.67760883
2026-03-25T00:00:00Z,188542.23420296
2026-03-24T00:00:00Z,175806.51317971
2026-03-23T00:00:00Z,171242.22814021
2026-03-22T00:00:00Z,142449.81371402
2026-03-21T00:00:00Z,189365.30759766
2026-03-20T00:00:00Z,191473.36755704
2026-03-19T00:00:00Z,206952.98706172
2026-03-18T00:00:00Z,189529.8688086
2026-03-17T00:00:00Z,228879.33231814
2026-03-16T00:00:00Z,187470.24251348
2026-03-15T00:00:00Z,141015.9370657
2026-03-14T00:00:00Z,145348.43986398
2026-03-13T00:00:00Z,239694.86217632
2026-03-12T00:00:00Z,188605.6509741
2026-03-11T00:00:00Z,196570.68726596
2026-03-10T00:00:00Z,189728.37849568
2026-03-09T00:00:00Z,171695.85360611
2026-03-08T00:00:00Z,131828.02334901
2026-03-07T00:00:00Z,150064.02282022
2026-03-06T00:00:00Z,203022.2336839
2026-03-05T00:00:00Z,198339.03336858
2026-03-04T00:00:00Z,215991.8112484
2026-03-03T00:00:00Z,183717.25922102
2026-03-02T00:00:00Z,179675.2889301
2026-03-01T00:00:00Z,169692.2437567
2026-02-28T00:00:00Z,164693.92737357
2026-02-27T00:00:00Z,200400.03613385
2026-02-26T00:00:00Z,232664.20115896
2026-02-25T00:00:00Z,194744.59000546
2026-02-24T00:00:00Z,171879.54401288
2026-02-23T00:00:00Z,170381.27103233
2026-02-22T00:00:00Z,127383.92564508
2026-02-21T00:00:00Z,147181.14536226
2026-02-20T00:00:00Z,175075.7549124
2026-02-19T00:00:00Z,157287.87825396
