date,Exchange In-House Flow (Total)
2015-11-10,52682.41378488
2015-11-11,36386.89615606
2015-11-12,77606.34592622
2015-11-13,79549.86869887
2015-11-14,43469.7773411
2015-11-15,41957.02459172
2015-11-16,38024.23331882
2015-11-17,28070.10936471
2015-11-18,20998.70136566
2015-11-19,19981.89394753
2015-11-20,18661.19192608
2015-11-21,20118.85372538
2015-11-22,14090.59700999
2015-11-23,23005.80477454
2015-11-24,24799.58169561
2015-11-25,22571.20241696
2015-11-26,21104.27900229
2015-11-27,25229.56957098
2015-11-28,17255.20899177
2015-11-29,80875.43546986
2015-11-30,235466.67424836
2015-12-01,44448.61544458
2015-12-02,25016.3242034
2015-12-03,30049.6284959
2015-12-04,36475.09220859
2015-12-05,18588.41715006
2015-12-06,19771.39851816
2015-12-07,23429.31388376
2015-12-08,25011.99200558
2015-12-09,19288.38458141
2015-12-10,21769.46484354
2015-12-11,23874.92263279
2015-12-12,20055.81561342
2015-12-13,18553.89353332
2015-12-14,26409.33805382
2015-12-15,35976.38757761
2015-12-16,26847.65104915
2015-12-17,18825.7961669
2015-12-18,20682.05782258
2015-12-19,37143.19036941
2015-12-20,32322.28045282
2015-12-21,25554.48858497
2015-12-22,27807.91265194
2015-12-23,26689.38820309
2015-12-24,22262.46245132
2015-12-25,9916.60320915
2015-12-26,12881.81869481
2015-12-27,11375.19717148
2015-12-28,19533.58149244
2015-12-29,20375.618686
2015-12-30,24543.25606925
2015-12-31,20759.7530452
2016-01-01,17655.72910263
2016-01-02,16188.04658821
2016-01-03,14140.8883988
2016-01-04,15783.31650684
2016-01-05,18869.64434251
2016-01-06,22968.63388928
2016-01-07,35524.66655763
2016-01-08,18898.29955534
2016-01-09,17555.09918574
2016-01-10,14129.20659292
2016-01-11,19221.56554376
2016-01-12,22984.31227299
2016-01-13,26114.67231071
2016-01-14,18852.54780559
2016-01-15,35208.43883066
2016-01-16,20611.3183339
2016-01-17,23175.92358379
2016-01-18,24443.96583838
2016-01-19,29047.19692487
2016-01-20,39451.68362803
2016-01-21,44738.79417326
2016-01-22,36970.36167313
2016-01-23,27564.98879564
2016-01-24,32566.05819491
2016-01-25,27236.98111978
2016-01-26,30331.92438535
2016-01-27,22793.1019018
2016-01-28,18250.90103035
2016-01-29,24055.17859666
2016-01-30,47032.87200369
2016-01-31,88381.84787405
2016-02-01,92058.38113497
2016-02-02,85808.9032796
2016-02-03,69409.48690029
2016-02-04,76901.7464807
2016-02-05,75104.52423982
2016-02-06,59531.04436826
2016-02-07,62723.81171716
2016-02-08,56078.69394653
2016-02-09,78301.7642963
2016-02-10,88170.77656743
2016-02-11,109726.88964948
2016-02-12,111648.44296386
2016-02-13,82408.09975328
2016-02-14,82144.37794473
2016-02-15,98059.28392981
2016-02-16,99509.43016882
2016-02-17,97710.17396644
2016-02-18,90020.06562869
2016-02-19,84604.58281795
2016-02-20,72839.88066282
2016-02-21,74242.51416352
2016-02-22,69717.17835481
2016-02-23,76285.27014642
2016-02-24,78948.58136542
2016-02-25,100351.0157746
2016-02-26,98251.31669512
2016-02-27,93763.72474553
2016-02-28,59508.07072291
2016-02-29,45489.39285523
2016-03-01,63045.25851295
2016-03-02,30187.79110976
2016-03-03,71683.51093776
2016-03-04,58134.3447582
2016-03-05,53042.35745595
2016-03-06,38066.5098617
2016-03-07,47090.40687367
2016-03-08,76320.52375547
2016-03-09,68378.96425732
2016-03-10,54199.9204683
2016-03-11,53314.35724221
2016-03-12,42192.17302138
2016-03-13,38025.12300753
2016-03-14,57225.93067411
2016-03-15,61685.68919763
2016-03-16,54306.67678371
2016-03-17,88234.03309319
2016-03-18,81088.39126611
2016-03-19,50194.50420732
2016-03-20,42203.04471951
2016-03-21,75762.14162675
2016-03-22,73251.27064551
2016-03-23,71334.09719149
2016-03-24,73280.98568639
2016-03-25,45006.86013028
2016-03-26,49147.97373532
2016-03-27,54838.63903902
2016-03-28,78283.78009805
2016-03-29,73150.29370688
2016-03-30,70662.74860339
2016-03-31,63283.43701731
2016-04-01,75273.1897126
2016-04-02,81022.273463
2016-04-03,81477.93003901
2016-04-04,93361.15712728
2016-04-05,76345.84947267
2016-04-06,83750.28880967
2016-04-07,82977.25954584
2016-04-08,72247.66122087
2016-04-09,45760.09688987
2016-04-10,45123.47281089
2016-04-11,60898.55770224
2016-04-12,68484.93709629
2016-04-13,81802.86159864
2016-04-14,81305.04166681
2016-04-15,79012.2950547
2016-04-16,67319.28312835
2016-04-17,99776.42560908
2016-04-18,76593.85083174
2016-04-19,87199.35054107
2016-04-20,67357.65337694
2016-04-21,95841.95286744
2016-04-22,65937.94526787
2016-04-23,57349.77891883
2016-04-24,128246.84308364
2016-04-25,120380.40286597
2016-04-26,69151.17909818
2016-04-27,74347.90510969
2016-04-28,67602.38767858
2016-04-29,66200.07418998
2016-04-30,57886.09397833
2016-05-01,53926.52488905
2016-05-02,115964.15114753
2016-05-03,73044.22487602
2016-05-04,99428.59493441
2016-05-05,106086.49404193
2016-05-06,105643.18987079
2016-05-07,58217.4119251
2016-05-08,86280.05362917
2016-05-09,103967.63267863
2016-05-10,73578.46096227
2016-05-11,69361.33793124
2016-05-12,74572.07973941
2016-05-13,81302.33229597
2016-05-14,66954.53030617
2016-05-15,61229.52285317
2016-05-16,97146.03547433
2016-05-17,102384.75992576
2016-05-18,96877.14074488
2016-05-19,98593.12633921
2016-05-20,63703.59500382
2016-05-21,77356.67458541
2016-05-22,45961.83224104
2016-05-23,67733.58039721
2016-05-24,26918.5105723
2016-05-25,12105.31092855
2016-05-26,19548.28686484
2016-05-27,14162.57861483
2016-05-28,39639.76414871
2016-05-29,143078.11029634
2016-05-30,145873.7556681
2016-05-31,110878.74642444
2016-06-01,128520.1397885
2016-06-02,98280.64985641
2016-06-03,33753.13935753
2016-06-04,11393.0639163
2016-06-05,17693.0275275
2016-06-06,58602.01297523
2016-06-07,41832.69869279
2016-06-08,14206.51590177
2016-06-09,20320.80767064
2016-06-10,21200.15490388
2016-06-11,11981.36223833
2016-06-12,75345.71587516
2016-06-13,64471.66075877
2016-06-14,49052.82121624
2016-06-15,27715.75914455
2016-06-16,47063.42538762
2016-06-17,27791.58577075
2016-06-18,12961.30794009
2016-06-19,16246.56258582
2016-06-20,35204.95169065
2016-06-21,95930.57577037
2016-06-22,39493.18897845
2016-06-23,35405.29900003
2016-06-24,15688.13830181
2016-06-25,45410.02527466
2016-06-26,46200.88146222
2016-06-27,41138.67484989
2016-06-28,18193.42981431
2016-06-29,19643.31711831
2016-06-30,35963.7137553
2016-07-01,14508.866028
2016-07-02,29280.15447959
2016-07-03,40514.04464336
2016-07-04,63533.34183064
2016-07-05,49877.21760467
2016-07-06,18803.63437425
2016-07-07,16097.74683403
2016-07-08,18283.85562518
2016-07-09,13235.07321379
2016-07-10,17414.06620619
2016-07-11,15085.8950614
2016-07-12,15139.15032842
2016-07-13,18895.69397677
2016-07-14,50352.59485198
2016-07-15,18369.80443325
2016-07-16,8547.83576645
2016-07-17,9782.89597687
2016-07-18,10643.43135013
2016-07-19,12243.45257182
2016-07-20,17014.69311162
2016-07-21,12326.55151052
2016-07-22,15525.51184185
2016-07-23,21393.79045721
2016-07-24,8635.45260442
2016-07-25,38558.95564823
2016-07-26,10939.59173669
2016-07-27,87458.43784165
2016-07-28,28104.75171518
2016-07-29,32187.74016295
2016-07-30,84244.89991786
2016-07-31,23140.24239251
2016-08-01,28206.39391552
2016-08-02,56297.97891392
2016-08-03,33628.79928176
2016-08-04,86064.96994877
2016-08-05,29327.43282765
2016-08-06,95494.37970102
2016-08-07,35629.77125533
2016-08-08,25991.04849863
2016-08-09,39291.65410991
2016-08-10,179649.463888
2016-08-11,50211.30650217
2016-08-12,22821.63127131
2016-08-13,35745.57779673
2016-08-14,26604.11592156
2016-08-15,34153.39157388
2016-08-16,78007.83618897
2016-08-17,75763.25798701
2016-08-18,72263.10329116
2016-08-19,48609.0862367
2016-08-20,25817.15956921
2016-08-21,59637.73415221
2016-08-22,38912.81072759
2016-08-23,20231.33560897
2016-08-24,16699.58450551
2016-08-25,28704.29108382
2016-08-26,23347.07229038
2016-08-27,35697.523795
2016-08-28,13441.03167884
2016-08-29,24553.48495073
2016-08-30,142371.45069363
2016-08-31,82349.40854169
2016-09-01,83822.19504257
2016-09-02,34176.13301617
2016-09-03,10397.02696125
2016-09-04,40635.95309512
2016-09-05,68578.11709141
2016-09-06,31518.00284468
2016-09-07,31211.14490315
2016-09-08,28327.12037324
2016-09-09,42645.79423115
2016-09-10,76902.19484946
2016-09-11,49266.23941598
2016-09-12,73863.72271557
2016-09-13,55024.32838759
2016-09-14,45346.29882719
2016-09-15,152498.8997297
2016-09-16,114046.35286597
2016-09-17,86150.59251007
2016-09-18,48459.07222699
2016-09-19,106810.00065685
2016-09-20,53786.29086319
2016-09-21,40127.83152062
2016-09-22,17404.5359743
2016-09-23,50518.03921032
2016-09-24,65568.76749858
2016-09-25,44627.96189239
2016-09-26,58714.27671814
2016-09-27,88742.69190083
2016-09-28,58813.32204971
2016-09-29,50825.68998067
2016-09-30,23207.84240597
2016-10-01,10474.22875131
2016-10-02,12020.27826303
2016-10-03,85586.9967969
2016-10-04,50893.06699667
2016-10-05,27897.41438637
2016-10-06,16948.32956983
2016-10-07,35894.3011141
2016-10-08,49107.06927667
2016-10-09,52988.2175789
2016-10-10,72343.39922976
2016-10-11,55958.63113327
2016-10-12,51846.72606107
2016-10-13,152600.89553882
2016-10-14,38224.92907065
2016-10-15,56225.88756402
2016-10-16,156368.03211481
2016-10-17,118668.84833444
2016-10-18,164200.45043412
2016-10-19,82184.39799301
2016-10-20,95206.2684594
2016-10-21,60419.64831442
2016-10-22,119242.92172647
2016-10-23,100130.76773433
2016-10-24,98501.60593736
2016-10-25,33680.93895275
2016-10-26,55888.91553554
2016-10-27,59031.18892218
2016-10-28,51725.57515936
2016-10-29,17009.08935239
2016-10-30,19951.92280317
2016-10-31,76387.24790993
2016-11-01,48732.84846571
2016-11-02,132550.8705119
2016-11-03,167940.50080489
2016-11-04,110907.21517224
2016-11-05,31894.92018426
2016-11-06,95359.2829723
2016-11-07,117655.47234799
2016-11-08,108426.81908626
2016-11-09,112759.80036424
2016-11-10,68118.18496218
2016-11-11,121326.72890917
2016-11-12,22551.558555
2016-11-13,89926.35277129
