Datetime,New Supply
2026-04-10T00:00:00Z,390.625
2026-04-09T00:00:00Z,450
2026-04-08T00:00:00Z,462.5
2026-04-07T00:00:00Z,431.25
2026-04-06T00:00:00Z,400
2026-04-05T00:00:00Z,496.875
2026-04-04T00:00:00Z,375
2026-04-03T00:00:00Z,412.5
2026-04-02T00:00:00Z,453.125
2026-04-01T00:00:00Z,506.25
2026-03-31T00:00:00Z,425
2026-03-30T00:00:00Z,425
2026-03-29T00:00:00Z,450
2026-03-28T00:00:00Z,543.75
2026-03-27T00:00:00Z,475
2026-03-26T00:00:00Z,515.625
2026-03-25T00:00:00Z,478.125
2026-03-24T00:00:00Z,390.625
2026-03-23T00:00:00Z,500
2026-03-22T00:00:00Z,506.25
2026-03-21T00:00:00Z,431.25
2026-03-20T00:00:00Z,418.75
2026-03-19T00:00:00Z,418.75
2026-03-18T00:00:00Z,434.375
2026-03-17T00:00:00Z,396.875
2026-03-16T00:00:00Z,390.625
2026-03-15T00:00:00Z,390.625
2026-03-14T00:00:00Z,400
2026-03-13T00:00:00Z,378.125
2026-03-12T00:00:00Z,403.125
2026-03-11T00:00:00Z,434.375
2026-03-10T00:00:00Z,431.25
2026-03-09T00:00:00Z,431.25
2026-03-08T00:00:00Z,418.75
2026-03-07T00:00:00Z,412.5
2026-03-06T00:00:00Z,456.25
2026-03-05T00:00:00Z,518.75
2026-03-04T00:00:00Z,406.25
2026-03-03T00:00:00Z,418.75
2026-03-02T00:00:00Z,425
2026-03-01T00:00:00Z,465.625
2026-02-28T00:00:00Z,446.875
2026-02-27T00:00:00Z,440.625
2026-02-26T00:00:00Z,437.5
2026-02-25T00:00:00Z,487.5
2026-02-24T00:00:00Z,515.625
2026-02-23T00:00:00Z,462.5
2026-02-22T00:00:00Z,512.5
2026-02-21T00:00:00Z,371.875
2026-02-20T00:00:00Z,428.125
2026-02-19T00:00:00Z,496.875
2026-02-18T00:00:00Z,478.125
2026-02-17T00:00:00Z,515.625
2026-02-16T00:00:00Z,546.875
2026-02-15T00:00:00Z,615.625
2026-02-14T00:00:00Z,518.75
2026-02-13T00:00:00Z,471.875
2026-02-12T00:00:00Z,553.125
2026-02-11T00:00:00Z,490.625
2026-02-10T00:00:00Z,450
2026-02-09T00:00:00Z,509.375
2026-02-08T00:00:00Z,531.25
2026-02-07T00:00:00Z,518.75
2026-02-06T00:00:00Z,453.125
2026-02-05T00:00:00Z,396.875
2026-02-04T00:00:00Z,443.75
2026-02-03T00:00:00Z,412.5
2026-02-02T00:00:00Z,368.75
2026-02-01T00:00:00Z,371.875
2026-01-31T00:00:00Z,431.25
2026-01-30T00:00:00Z,409.375
2026-01-29T00:00:00Z,400
2026-01-28T00:00:00Z,343.75
2026-01-27T00:00:00Z,381.25
2026-01-26T00:00:00Z,387.5
2026-01-25T00:00:00Z,337.5
2026-01-24T00:00:00Z,306.25
2026-01-23T00:00:00Z,437.5
2026-01-22T00:00:00Z,503.125
2026-01-21T00:00:00Z,428.125
2026-01-20T00:00:00Z,415.625
2026-01-19T00:00:00Z,468.75
2026-01-18T00:00:00Z,437.5
2026-01-17T00:00:00Z,465.625
2026-01-16T00:00:00Z,406.25
2026-01-15T00:00:00Z,434.375
2026-01-14T00:00:00Z,387.5
2026-01-13T00:00:00Z,421.875
2026-01-12T00:00:00Z,443.75
2026-01-11T00:00:00Z,381.25
2026-01-10T00:00:00Z,506.25
2026-01-09T00:00:00Z,443.75
2026-01-08T00:00:00Z,412.5
2026-01-07T00:00:00Z,459.375
2026-01-06T00:00:00Z,406.25
2026-01-05T00:00:00Z,412.5
2026-01-04T00:00:00Z,453.125
2026-01-03T00:00:00Z,484.375
2026-01-02T00:00:00Z,450
2026-01-01T00:00:00Z,471.875
2025-12-31T00:00:00Z,415.625
2025-12-30T00:00:00Z,371.875
2025-12-29T00:00:00Z,481.25
2025-12-28T00:00:00Z,484.375
2025-12-27T00:00:00Z,425
2025-12-26T00:00:00Z,487.5
2025-12-25T00:00:00Z,431.25
2025-12-24T00:00:00Z,496.875
2025-12-23T00:00:00Z,453.125
2025-12-22T00:00:00Z,434.375
2025-12-21T00:00:00Z,431.25
2025-12-20T00:00:00Z,459.375
2025-12-19T00:00:00Z,453.125
2025-12-18T00:00:00Z,450
2025-12-17T00:00:00Z,431.25
2025-12-16T00:00:00Z,459.375
2025-12-15T00:00:00Z,418.75
2025-12-14T00:00:00Z,400
2025-12-13T00:00:00Z,446.875
2025-12-12T00:00:00Z,453.125
2025-12-11T00:00:00Z,500
2025-12-10T00:00:00Z,484.375
2025-12-09T00:00:00Z,403.125
2025-12-08T00:00:00Z,462.5
2025-12-07T00:00:00Z,500
2025-12-06T00:00:00Z,509.375
2025-12-05T00:00:00Z,371.875
2025-12-04T00:00:00Z,412.5
2025-12-03T00:00:00Z,412.5
2025-12-02T00:00:00Z,396.875
2025-12-01T00:00:00Z,415.625
2025-11-30T00:00:00Z,521.875
2025-11-29T00:00:00Z,428.125
2025-11-28T00:00:00Z,468.75
2025-11-27T00:00:00Z,446.875
2025-11-26T00:00:00Z,512.5
2025-11-25T00:00:00Z,359.375
2025-11-24T00:00:00Z,446.875
2025-11-23T00:00:00Z,443.75
2025-11-22T00:00:00Z,446.875
2025-11-21T00:00:00Z,471.875
2025-11-20T00:00:00Z,409.375
2025-11-19T00:00:00Z,428.125
2025-11-18T00:00:00Z,415.625
2025-11-17T00:00:00Z,387.5
2025-11-16T00:00:00Z,496.875
2025-11-15T00:00:00Z,446.875
2025-11-14T00:00:00Z,450
2025-11-13T00:00:00Z,468.75
2025-11-12T00:00:00Z,440.625
2025-11-11T00:00:00Z,478.125
2025-11-10T00:00:00Z,437.5
2025-11-09T00:00:00Z,440.625
2025-11-08T00:00:00Z,375
2025-11-07T00:00:00Z,443.75
2025-11-06T00:00:00Z,437.5
2025-11-05T00:00:00Z,431.25
2025-11-04T00:00:00Z,409.375
2025-11-03T00:00:00Z,443.75
2025-11-02T00:00:00Z,484.375
2025-11-01T00:00:00Z,431.25
2025-10-31T00:00:00Z,437.5
2025-10-30T00:00:00Z,500
2025-10-29T00:00:00Z,384.375
2025-10-28T00:00:00Z,506.25
2025-10-27T00:00:00Z,459.375
2025-10-26T00:00:00Z,459.375
2025-10-25T00:00:00Z,500
2025-10-24T00:00:00Z,559.375
2025-10-23T00:00:00Z,443.75
2025-10-22T00:00:00Z,478.125
2025-10-21T00:00:00Z,468.75
2025-10-20T00:00:00Z,465.625
2025-10-19T00:00:00Z,434.375
2025-10-18T00:00:00Z,515.625
2025-10-17T00:00:00Z,496.875
2025-10-16T00:00:00Z,478.125
2025-10-15T00:00:00Z,450
2025-10-14T00:00:00Z,528.125
2025-10-13T00:00:00Z,475
2025-10-12T00:00:00Z,453.125
2025-10-11T00:00:00Z,459.375
2025-10-10T00:00:00Z,412.5
2025-10-09T00:00:00Z,375
2025-10-08T00:00:00Z,462.5
2025-10-07T00:00:00Z,431.25
2025-10-06T00:00:00Z,384.375
2025-10-05T00:00:00Z,465.625
2025-10-04T00:00:00Z,418.75
2025-10-03T00:00:00Z,368.75
2025-10-02T00:00:00Z,425
2025-10-01T00:00:00Z,471.875
2025-09-30T00:00:00Z,503.125
2025-09-29T00:00:00Z,437.5
2025-09-28T00:00:00Z,515.625
2025-09-27T00:00:00Z,484.375
2025-09-26T00:00:00Z,412.5
2025-09-25T00:00:00Z,440.625
2025-09-24T00:00:00Z,478.125
2025-09-23T00:00:00Z,450
2025-09-22T00:00:00Z,468.75
2025-09-21T00:00:00Z,506.25
2025-09-20T00:00:00Z,478.125
2025-09-19T00:00:00Z,525
2025-09-18T00:00:00Z,493.75
2025-09-17T00:00:00Z,400
2025-09-16T00:00:00Z,500
2025-09-15T00:00:00Z,509.375
2025-09-14T00:00:00Z,478.125
