Datetime,Fund Price (USD)
2026-04-02T00:00:00Z,52.15
2026-04-01T00:00:00Z,53.05
2026-03-31T00:00:00Z,52.76
2026-03-30T00:00:00Z,51.74
2026-03-27T00:00:00Z,51.37
2026-03-26T00:00:00Z,53.34
2026-03-25T00:00:00Z,55.18
2026-03-24T00:00:00Z,53.97
2026-03-23T00:00:00Z,55.02
2026-03-20T00:00:00Z,54.65
2026-03-19T00:00:00Z,54.71
2026-03-18T00:00:00Z,55.34
2026-03-17T00:00:00Z,58.08
2026-03-16T00:00:00Z,57.64
2026-03-13T00:00:00Z,55.47
2026-03-12T00:00:00Z,54.89
2026-03-11T00:00:00Z,55.05
2026-03-10T00:00:00Z,54.6
2026-03-09T00:00:00Z,53.79
2026-03-06T00:00:00Z,53.06
2026-03-05T00:00:00Z,55.53
2026-03-04T00:00:00Z,56.99
2026-03-03T00:00:00Z,53.18
2026-03-02T00:00:00Z,53.89
2026-02-27T00:00:00Z,51.13
2026-02-26T00:00:00Z,52.58
2026-02-25T00:00:00Z,53.94
2026-02-24T00:00:00Z,50.27
2026-02-23T00:00:00Z,50.23
2026-02-20T00:00:00Z,52.81
2026-02-19T00:00:00Z,52.32
2026-02-18T00:00:00Z,51.64
2026-02-17T00:00:00Z,52.81
2026-02-13T00:00:00Z,53.63
2026-02-12T00:00:00Z,50.95
2026-02-11T00:00:00Z,52.67
2026-02-10T00:00:00Z,53.63
2026-02-09T00:00:00Z,55.19
2026-02-06T00:00:00Z,54.63
2026-02-05T00:00:00Z,49.66
2026-02-04T00:00:00Z,57.22
2026-02-03T00:00:00Z,59.61
2026-02-02T00:00:00Z,60.82
2026-01-30T00:00:00Z,65.37
2026-01-29T00:00:00Z,65.53
2026-01-28T00:00:00Z,69.46
2026-01-27T00:00:00Z,69.69
2026-01-26T00:00:00Z,68.31
2026-01-23T00:00:00Z,69.82
2026-01-22T00:00:00Z,69.75
2026-01-21T00:00:00Z,70.34
2026-01-20T00:00:00Z,69.89
2026-01-16T00:00:00Z,74.58
2026-01-15T00:00:00Z,74.33
2026-01-14T00:00:00Z,76.31
2026-01-13T00:00:00Z,73.78
2026-01-12T00:00:00Z,71.41
2026-01-09T00:00:00Z,70.48
2026-01-08T00:00:00Z,70.96
2026-01-07T00:00:00Z,71
2026-01-06T00:00:00Z,72.2
2026-01-05T00:00:00Z,73.61
2026-01-02T00:00:00Z,70.14
2025-12-31T00:00:00Z,68.36
2025-12-30T00:00:00Z,68.61
2025-12-29T00:00:00Z,68.05
2025-12-26T00:00:00Z,68.4
2025-12-24T00:00:00Z,68.2
2025-12-23T00:00:00Z,68.5
2025-12-22T00:00:00Z,69.03
2025-12-19T00:00:00Z,68.84
2025-12-18T00:00:00Z,66.11
2025-12-17T00:00:00Z,67.1
2025-12-16T00:00:00Z,68.49
2025-12-15T00:00:00Z,67.05
2025-12-12T00:00:00Z,70.58
2025-12-11T00:00:00Z,71.79
2025-12-10T00:00:00Z,72.35
2025-12-09T00:00:00Z,72.82
2025-12-08T00:00:00Z,70.99
2025-12-05T00:00:00Z,69.9
2025-12-04T00:00:00Z,72.38
2025-12-03T00:00:00Z,72.73
2025-12-02T00:00:00Z,71.25
2025-12-01T00:00:00Z,66.92
2025-11-28T00:00:00Z,71.01
2025-11-26T00:00:00Z,70.38
2025-11-25T00:00:00Z,68.36
2025-11-24T00:00:00Z,69.73
2025-11-21T00:00:00Z,66.16
2025-11-20T00:00:00Z,67.56
2025-11-19T00:00:00Z,69.99
2025-11-18T00:00:00Z,72.64
2025-11-17T00:00:00Z,71.84
2025-11-14T00:00:00Z,73.78
2025-11-13T00:00:00Z,76.68
2025-11-12T00:00:00Z,79.49
2025-11-11T00:00:00Z,80.47
2025-11-10T00:00:00Z,83.05
2025-11-07T00:00:00Z,81.3
2025-11-06T00:00:00Z,78.98
2025-11-05T00:00:00Z,81.35
2025-11-04T00:00:00Z,78.87
2025-11-03T00:00:00Z,83.5
2025-10-31T00:00:00Z,86.02
2025-10-30T00:00:00Z,83.34
2025-10-29T00:00:00Z,86.66
2025-10-28T00:00:00Z,89.02
2025-10-27T00:00:00Z,90.09
2025-10-24T00:00:00Z,86.69
2025-10-23T00:00:00Z,86.42
2025-10-22T00:00:00Z,84.5
2025-10-21T00:00:00Z,87.64
2025-10-20T00:00:00Z,86.89
2025-10-17T00:00:00Z,83.46
2025-10-16T00:00:00Z,84.8
2025-10-15T00:00:00Z,87.23
2025-10-14T00:00:00Z,88.29
2025-10-13T00:00:00Z,90.86
2025-10-10T00:00:00Z,91.42
2025-10-09T00:00:00Z,94.9
2025-10-08T00:00:00Z,96.78
2025-10-07T00:00:00Z,95.37
2025-10-06T00:00:00Z,98.43
2025-10-03T00:00:00Z,96.36
2025-10-02T00:00:00Z,94.93
2025-10-01T00:00:00Z,92.2
2025-09-30T00:00:00Z,89.77
2025-09-29T00:00:00Z,89.73
2025-09-26T00:00:00Z,85.65
2025-09-25T00:00:00Z,85.76
2025-09-24T00:00:00Z,89.01
2025-09-23T00:00:00Z,87.58
2025-09-22T00:00:00Z,87.98
2025-09-19T00:00:00Z,90.34
2025-09-18T00:00:00Z,92.24
2025-09-17T00:00:00Z,90.79
2025-09-16T00:00:00Z,91.73
2025-09-15T00:00:00Z,90.49
2025-09-12T00:00:00Z,91.75
2025-09-11T00:00:00Z,89.92
2025-09-10T00:00:00Z,89.22
2025-09-09T00:00:00Z,87.42
2025-09-08T00:00:00Z,88.04
2025-09-05T00:00:00Z,87.66
2025-09-04T00:00:00Z,86.23
2025-09-03T00:00:00Z,88.16
2025-09-02T00:00:00Z,87.02
2025-08-29T00:00:00Z,84.99
2025-08-28T00:00:00Z,87.95
2025-08-27T00:00:00Z,88.07
2025-08-26T00:00:00Z,87.31
2025-08-25T00:00:00Z,87.02
2025-08-22T00:00:00Z,91.73
2025-08-21T00:00:00Z,88.1
2025-08-20T00:00:00Z,89.79
2025-08-19T00:00:00Z,88.83
2025-08-18T00:00:00Z,91.39
2025-08-15T00:00:00Z,91.9
2025-08-14T00:00:00Z,92.75
2025-08-13T00:00:00Z,96.6
2025-08-12T00:00:00Z,94.06
2025-08-11T00:00:00Z,93.59
2025-08-08T00:00:00Z,91.58
2025-08-07T00:00:00Z,92.44
2025-08-06T00:00:00Z,90.68
2025-08-05T00:00:00Z,89.38
2025-08-04T00:00:00Z,90.23
2025-08-01T00:00:00Z,88.89
2025-07-31T00:00:00Z,91.78
2025-07-30T00:00:00Z,91.88
2025-07-29T00:00:00Z,92.38
2025-07-28T00:00:00Z,92.88
2025-07-25T00:00:00Z,91.87
2025-07-24T00:00:00Z,93.68
2025-07-23T00:00:00Z,93.16
2025-07-22T00:00:00Z,93.9
2025-07-21T00:00:00Z,91.84
2025-07-18T00:00:00Z,92.36
2025-07-17T00:00:00Z,93.66
2025-07-16T00:00:00Z,93.9
2025-07-15T00:00:00Z,91.63
2025-07-14T00:00:00Z,94.38
2025-07-11T00:00:00Z,93.04
2025-07-10T00:00:00Z,89.3
2025-07-09T00:00:00Z,88.08
2025-07-08T00:00:00Z,85.64
2025-07-07T00:00:00Z,85.04
2025-07-03T00:00:00Z,86.07
2025-07-02T00:00:00Z,86.43
2025-07-01T00:00:00Z,82.96
2025-06-30T00:00:00Z,84.83
2025-06-27T00:00:00Z,84.16
2025-06-26T00:00:00Z,84.75
2025-06-25T00:00:00Z,84.89
2025-06-24T00:00:00Z,83.24
2025-06-23T00:00:00Z,81.3
2025-06-20T00:00:00Z,81.35
2025-06-18T00:00:00Z,81.76
2025-06-17T00:00:00Z,82.5
2025-06-16T00:00:00Z,85.65
2025-06-13T00:00:00Z,82.83
2025-06-12T00:00:00Z,84.19
2025-06-11T00:00:00Z,85.77
2025-06-10T00:00:00Z,86.35
2025-06-09T00:00:00Z,85.67
2025-06-06T00:00:00Z,82.23
2025-06-05T00:00:00Z,80.25
2025-06-04T00:00:00Z,82.72
2025-06-03T00:00:00Z,83.8
2025-06-02T00:00:00Z,82.35
2025-05-30T00:00:00Z,82.47
2025-05-29T00:00:00Z,83.26
2025-05-28T00:00:00Z,84.31
2025-05-27T00:00:00Z,86.67
2025-05-23T00:00:00Z,85.76
2025-05-22T00:00:00Z,87.72
2025-05-21T00:00:00Z,85.73
2025-05-20T00:00:00Z,84.49
2025-05-19T00:00:00Z,83.24
2025-05-16T00:00:00Z,82.13
2025-05-15T00:00:00Z,81.38
2025-05-14T00:00:00Z,81.52
2025-05-13T00:00:00Z,82.73
2025-05-12T00:00:00Z,80.33
2025-05-09T00:00:00Z,81.47
2025-05-08T00:00:00Z,79.98
2025-05-07T00:00:00Z,75.9
2025-05-06T00:00:00Z,74.93
2025-05-05T00:00:00Z,74.42
2025-05-02T00:00:00Z,76.55
2025-05-01T00:00:00Z,76.22
2025-04-30T00:00:00Z,74.27
2025-04-29T00:00:00Z,75.25
2025-04-28T00:00:00Z,74.81
2025-04-25T00:00:00Z,75.34
2025-04-24T00:00:00Z,73.92
2025-04-23T00:00:00Z,73.84
2025-04-22T00:00:00Z,72.29
2025-04-21T00:00:00Z,69.06
2025-04-17T00:00:00Z,67.09
2025-04-16T00:00:00Z,66.62
2025-04-15T00:00:00Z,66.38
2025-04-14T00:00:00Z,67.12
2025-04-11T00:00:00Z,66.27
2025-04-10T00:00:00Z,62.82
2025-04-09T00:00:00Z,65.04
2025-04-08T00:00:00Z,60.61
2025-04-07T00:00:00Z,61.59
2025-04-04T00:00:00Z,66.32
2025-04-03T00:00:00Z,64.76
2025-04-02T00:00:00Z,68.7
2025-04-01T00:00:00Z,67.16
2025-03-31T00:00:00Z,65.17
2025-03-28T00:00:00Z,66.18
2025-03-27T00:00:00Z,68.8
2025-03-26T00:00:00Z,68.41
2025-03-25T00:00:00Z,69.72
2025-03-24T00:00:00Z,69.77
2025-03-21T00:00:00Z,66.32
2025-03-20T00:00:00Z,66.5
2025-03-19T00:00:00Z,67.59
2025-03-18T00:00:00Z,65.08
2025-03-17T00:00:00Z,66.81
2025-03-14T00:00:00Z,66.95
2025-03-13T00:00:00Z,63.38
2025-03-12T00:00:00Z,65.57
2025-03-11T00:00:00Z,65.7
2025-03-10T00:00:00Z,62.43
2025-03-07T00:00:00Z,68.79
2025-03-06T00:00:00Z,70.44
2025-03-05T00:00:00Z,71.56
2025-03-04T00:00:00Z,68.74
2025-03-03T00:00:00Z,68.03
2025-02-28T00:00:00Z,66.61
2025-02-27T00:00:00Z,65.95
2025-02-26T00:00:00Z,66.71
2025-02-25T00:00:00Z,69.62
2025-02-24T00:00:00Z,74.34
2025-02-21T00:00:00Z,75.06
2025-02-20T00:00:00Z,78.01
2025-02-19T00:00:00Z,76.08
2025-02-18T00:00:00Z,74.48
2025-02-14T00:00:00Z,77.01
2025-02-13T00:00:00Z,76.22
2025-02-12T00:00:00Z,76.8
2025-02-11T00:00:00Z,75.4
2025-02-10T00:00:00Z,77.09
2025-02-07T00:00:00Z,75.85
2025-02-06T00:00:00Z,76.78
2025-02-05T00:00:00Z,77.08
2025-02-04T00:00:00Z,78.19
2025-02-03T00:00:00Z,80.17
2025-01-31T00:00:00Z,80.41
2025-01-30T00:00:00Z,83.18
2025-01-29T00:00:00Z,82.58
2025-01-28T00:00:00Z,80.17
2025-01-27T00:00:00Z,80.25
2025-01-24T00:00:00Z,83.17
2025-01-23T00:00:00Z,81.9
2025-01-22T00:00:00Z,82.7
2025-01-21T00:00:00Z,84.12
2025-01-17T00:00:00Z,83.05
2025-01-16T00:00:00Z,79.56
2025-01-15T00:00:00Z,78.97
2025-01-14T00:00:00Z,76.47
2025-01-13T00:00:00Z,74.16
2025-01-10T00:00:00Z,75.09
2025-01-08T00:00:00Z,74.48
2025-01-07T00:00:00Z,76.45
2025-01-06T00:00:00Z,81.04
2025-01-03T00:00:00Z,78.02
2025-01-02T00:00:00Z,77.21
2024-12-31T00:00:00Z,74.02
2024-12-30T00:00:00Z,74.65
2024-12-27T00:00:00Z,74.88
2024-12-26T00:00:00Z,75.76
2024-12-24T00:00:00Z,78.45
2024-12-23T00:00:00Z,73.71
2024-12-20T00:00:00Z,76.47
2024-12-19T00:00:00Z,76.32
2024-12-18T00:00:00Z,79.81
2024-12-17T00:00:00Z,84.71
2024-12-16T00:00:00Z,84.02
2024-12-13T00:00:00Z,80.77
2024-12-12T00:00:00Z,79.41
2024-12-11T00:00:00Z,80.51
2024-12-10T00:00:00Z,76.56
2024-12-09T00:00:00Z,76.33
2024-12-06T00:00:00Z,80.7
2024-12-05T00:00:00Z,78.69
2024-12-04T00:00:00Z,78.69
2024-12-03T00:00:00Z,75.95
2024-12-02T00:00:00Z,76.03
2024-11-29T00:00:00Z,77.09
2024-11-27T00:00:00Z,76.82
2024-11-26T00:00:00Z,72.17
2024-11-25T00:00:00Z,75.42
2024-11-22T00:00:00Z,78.87
2024-11-21T00:00:00Z,78.05
2024-11-20T00:00:00Z,74.99
2024-11-19T00:00:00Z,73.58
2024-11-18T00:00:00Z,72.77
2024-11-15T00:00:00Z,72.81
2024-11-14T00:00:00Z,69.5
2024-11-13T00:00:00Z,71.31
2024-11-12T00:00:00Z,71.23
2024-11-11T00:00:00Z,69.22
2024-11-08T00:00:00Z,61.05
2024-11-07T00:00:00Z,60.88
2024-11-06T00:00:00Z,60.6
2024-11-05T00:00:00Z,55.17
2024-11-04T00:00:00Z,53.49
2024-11-01T00:00:00Z,55.01
2024-10-31T00:00:00Z,55.61
2024-10-30T00:00:00Z,57.08
2024-10-29T00:00:00Z,57.67
2024-10-28T00:00:00Z,55.38
2024-10-25T00:00:00Z,53.09
2024-10-24T00:00:00Z,54.32
2024-10-23T00:00:00Z,52.83
2024-10-22T00:00:00Z,53.64
2024-10-21T00:00:00Z,53.89
2024-10-18T00:00:00Z,54.6
2024-10-17T00:00:00Z,53.16
2024-10-16T00:00:00Z,53.88
2024-10-15T00:00:00Z,53.3
2024-10-14T00:00:00Z,52.48
2024-10-11T00:00:00Z,50.27
2024-10-10T00:00:00Z,47.49
2024-10-09T00:00:00Z,48.52
2024-10-08T00:00:00Z,49.52
2024-10-07T00:00:00Z,50.44
2024-10-04T00:00:00Z,49.68
2024-10-03T00:00:00Z,48.58
2024-10-02T00:00:00Z,47.92
2024-10-01T00:00:00Z,49.12
2024-09-30T00:00:00Z,50.5
2024-09-27T00:00:00Z,52.31
2024-09-26T00:00:00Z,51.54
2024-09-25T00:00:00Z,50.3
2024-09-24T00:00:00Z,51.23
2024-09-23T00:00:00Z,50.41
2024-09-20T00:00:00Z,50.03
2024-09-19T00:00:00Z,50.38
2024-09-18T00:00:00Z,47.79
2024-09-17T00:00:00Z,47.77
2024-09-16T00:00:00Z,46.14
2024-09-13T00:00:00Z,47.64
2024-09-12T00:00:00Z,46.53
2024-09-11T00:00:00Z,45.9
2024-09-10T00:00:00Z,46.19
2024-09-09T00:00:00Z,45.51
2024-09-06T00:00:00Z,42.6
2024-09-05T00:00:00Z,44.66
2024-09-04T00:00:00Z,46.25
2024-09-03T00:00:00Z,46.2
2024-08-30T00:00:00Z,46.75
2024-08-29T00:00:00Z,47.21
2024-08-28T00:00:00Z,46.94
2024-08-27T00:00:00Z,49.51
2024-08-26T00:00:00Z,50.5
2024-08-23T00:00:00Z,50.79
2024-08-22T00:00:00Z,48.06
2024-08-21T00:00:00Z,49.12
2024-08-20T00:00:00Z,47.49
2024-08-19T00:00:00Z,47.02
2024-08-16T00:00:00Z,47.63
2024-08-15T00:00:00Z,45.5
2024-08-14T00:00:00Z,46.99
2024-08-13T00:00:00Z,48.5
2024-08-12T00:00:00Z,47.1
2024-08-09T00:00:00Z,48.41
2024-08-08T00:00:00Z,47.43
2024-08-07T00:00:00Z,43.67
2024-08-06T00:00:00Z,45.32
2024-08-05T00:00:00Z,42.62
2024-08-02T00:00:00Z,49.87
2024-08-01T00:00:00Z,50.53
2024-07-31T00:00:00Z,52.07
2024-07-30T00:00:00Z,52.6
2024-07-29T00:00:00Z,59.68
2024-07-26T00:00:00Z,60.33
2024-07-25T00:00:00Z,57.36
2024-07-24T00:00:00Z,58.23
2024-07-23T00:00:00Z,58.1
2024-07-22T00:00:00Z,60.56
2024-07-19T00:00:00Z,59.68
2024-07-18T00:00:00Z,56.4
2024-07-17T00:00:00Z,57.33
2024-07-16T00:00:00Z,57.85
2024-07-15T00:00:00Z,56.29
2024-07-12T00:00:00Z,51.14
2024-07-11T00:00:00Z,50.9
2024-07-10T00:00:00Z,50.92
2024-07-09T00:00:00Z,51.35
2024-07-08T00:00:00Z,50.09
2024-07-05T00:00:00Z,50.15
2024-07-03T00:00:00Z,53.66
2024-07-02T00:00:00Z,54.89
2024-07-01T00:00:00Z,56.09
2024-06-28T00:00:00Z,53.24
2024-06-27T00:00:00Z,54.52
2024-06-26T00:00:00Z,54.13
2024-06-25T00:00:00Z,55.02
2024-06-24T00:00:00Z,52.61
2024-06-21T00:00:00Z,57.04
2024-06-20T00:00:00Z,57.73
2024-06-18T00:00:00Z,57.18
2024-06-17T00:00:00Z,59.21
2024-06-14T00:00:00Z,58.18
2024-06-13T00:00:00Z,59.14
2024-06-12T00:00:00Z,59.95
2024-06-11T00:00:00Z,59.88
2024-06-10T00:00:00Z,61.73
2024-06-07T00:00:00Z,61.48
2024-06-06T00:00:00Z,62.63
2024-06-05T00:00:00Z,63.35
2024-06-04T00:00:00Z,62.62
2024-06-03T00:00:00Z,61.51
2024-05-31T00:00:00Z,60.09
2024-05-30T00:00:00Z,61.04
2024-05-29T00:00:00Z,59.71
2024-05-28T00:00:00Z,60.78
2024-05-24T00:00:00Z,61.53
2024-05-23T00:00:00Z,59.7
2024-05-22T00:00:00Z,61.95
2024-05-21T00:00:00Z,61.6
2024-05-20T00:00:00Z,62.4
2024-05-17T00:00:00Z,59.73
2024-05-16T00:00:00Z,58.02
2024-05-15T00:00:00Z,58.82
2024-05-14T00:00:00Z,54.78
2024-05-13T00:00:00Z,56.19
2024-05-10T00:00:00Z,53.99
