Datetime,Fund Volume
2026-04-09T00:00:00Z,46746400
2026-04-08T00:00:00Z,71348270
2026-04-07T00:00:00Z,38379346
2026-04-06T00:00:00Z,55549696
2026-04-02T00:00:00Z,51368141
2026-04-01T00:00:00Z,54371222
2026-03-31T00:00:00Z,81190578
2026-03-30T00:00:00Z,61644350
2026-03-27T00:00:00Z,89187978
2026-03-26T00:00:00Z,64674933
2026-03-25T00:00:00Z,57498252
2026-03-24T00:00:00Z,75098169
2026-03-23T00:00:00Z,73401000
2026-03-20T00:00:00Z,65456532
2026-03-19T00:00:00Z,80384582
2026-03-18T00:00:00Z,83598070
2026-03-17T00:00:00Z,60876297
2026-03-16T00:00:00Z,85933517
2026-03-13T00:00:00Z,118841638
2026-03-12T00:00:00Z,63880536
2026-03-11T00:00:00Z,67918684
2026-03-10T00:00:00Z,89538393
2026-03-09T00:00:00Z,100903514
2026-03-06T00:00:00Z,77943859
2026-03-05T00:00:00Z,4442039
2026-03-04T00:00:00Z,158557547
2026-03-03T00:00:00Z,106039291
2026-03-02T00:00:00Z,151364324
2026-02-27T00:00:00Z,69123083
2026-02-26T00:00:00Z,85519889
2026-02-25T00:00:00Z,113296682
2026-02-24T00:00:00Z,66463469
2026-02-23T00:00:00Z,90136795
2026-02-20T00:00:00Z,95651026
2026-02-19T00:00:00Z,63994278
2026-02-18T00:00:00Z,71362338
2026-02-17T00:00:00Z,79512406
2026-02-16T00:00:00Z,56565
2026-02-13T00:00:00Z,93457631
2026-02-12T00:00:00Z,91783369
2026-02-11T00:00:00Z,99406987
2026-02-10T00:00:00Z,85604979
2026-02-09T00:00:00Z,109454821
2026-02-06T00:00:00Z,202428889
2026-02-05T00:00:00Z,382856316
2026-02-04T00:00:00Z,168634037
2026-02-03T00:00:00Z,203683023
2026-02-02T00:00:00Z,178710655
2026-01-30T00:00:00Z,113195480
2026-01-29T00:00:00Z,154877773
2026-01-28T00:00:00Z,64050908
2026-01-27T00:00:00Z,71328386
2026-01-26T00:00:00Z,62190459
2026-01-23T00:00:00Z,65877733
2026-01-22T00:00:00Z,65064147
2026-01-21T00:00:00Z,107383589
2026-01-20T00:00:00Z,102712056
