Datetime,Transfers Between EOA (Mean)
2026-04-10T00:00:00Z,174.40214964
2026-04-09T00:00:00Z,169.7162181
2026-04-08T00:00:00Z,149.88647444
2026-04-07T00:00:00Z,191.68863193
2026-04-06T00:00:00Z,170.47573222
2026-04-05T00:00:00Z,156.35758082
2026-04-04T00:00:00Z,158.57699805
2026-04-03T00:00:00Z,174.61206296
2026-04-02T00:00:00Z,173.62663695
2026-04-01T00:00:00Z,149.74532515
2026-03-31T00:00:00Z,181.48674295
2026-03-30T00:00:00Z,149.18482355
2026-03-29T00:00:00Z,114.95176356
2026-03-28T00:00:00Z,200.2710944
2026-03-27T00:00:00Z,201.02639296
2026-03-26T00:00:00Z,170.47571867
2026-03-25T00:00:00Z,112.2707113
2026-03-24T00:00:00Z,172.09247911
2026-03-23T00:00:00Z,173
2026-03-22T00:00:00Z,106.61350635
2026-03-21T00:00:00Z,147.58535565
2026-03-20T00:00:00Z,150.88167247
2026-03-19T00:00:00Z,175.60008364
2026-03-18T00:00:00Z,180.91065196
2026-03-17T00:00:00Z,152.98349189
2026-03-16T00:00:00Z,112.09918972
2026-03-15T00:00:00Z,82.63777003
2026-03-14T00:00:00Z,118.6902803
2026-03-13T00:00:00Z,115.63538762
2026-03-12T00:00:00Z,124.9972067
2026-03-11T00:00:00Z,114.12381219
2026-03-10T00:00:00Z,108.81487696
2026-03-09T00:00:00Z,101.36692254
2026-03-08T00:00:00Z,80.87381484
2026-03-07T00:00:00Z,92.32560413
2026-03-06T00:00:00Z,105.16745943
2026-03-05T00:00:00Z,98.57132896
2026-03-04T00:00:00Z,80.13007676
2026-03-03T00:00:00Z,82.04672897
2026-03-02T00:00:00Z,106.19455307
2026-03-01T00:00:00Z,82.44732441
2026-02-28T00:00:00Z,100.8578815
2026-02-27T00:00:00Z,91.80775129
2026-02-26T00:00:00Z,97.71755193
2026-02-25T00:00:00Z,138.28260262
2026-02-24T00:00:00Z,97.67019794
2026-02-23T00:00:00Z,102.89623431
2026-02-22T00:00:00Z,81.54374478
2026-02-21T00:00:00Z,77.31743375
2026-02-20T00:00:00Z,84.48035117
2026-02-19T00:00:00Z,86.26032366
2026-02-18T00:00:00Z,92.21162693
2026-02-17T00:00:00Z,89.53312875
2026-02-16T00:00:00Z,96.4283324
2026-02-15T00:00:00Z,79.68807467
2026-02-14T00:00:00Z,94.40373623
2026-02-13T00:00:00Z,114.01353992
2026-02-12T00:00:00Z,109.48667504
2026-02-11T00:00:00Z,153.24169226
2026-02-10T00:00:00Z,198.92481833
2026-02-09T00:00:00Z,181.70460894
2026-02-08T00:00:00Z,146.03361936
2026-02-07T00:00:00Z,236.81681095
2026-02-06T00:00:00Z,143.38055323
2026-02-05T00:00:00Z,121.10587413
2026-02-04T00:00:00Z,156.84340045
2026-02-03T00:00:00Z,169.29346762
2026-02-02T00:00:00Z,133.61731844
2026-02-01T00:00:00Z,162.35860913
2026-01-31T00:00:00Z,90.56413119
2026-01-30T00:00:00Z,105.94004462
2026-01-29T00:00:00Z,160.75090656
2026-01-28T00:00:00Z,162.67038483
2026-01-27T00:00:00Z,142.31827057
2026-01-26T00:00:00Z,118.33124128
