Datetime,External Contract Calls (Mean)
2026-04-10T00:00:00Z,153.15368509
2026-04-09T00:00:00Z,155.22409706
2026-04-08T00:00:00Z,179.93494916
2026-04-07T00:00:00Z,159.51462803
2026-04-06T00:00:00Z,161.46304045
2026-04-05T00:00:00Z,121.65593645
2026-04-04T00:00:00Z,125.0737956
2026-04-03T00:00:00Z,141.1210475
2026-04-02T00:00:00Z,159.0497353
2026-04-01T00:00:00Z,173.54730673
2026-03-31T00:00:00Z,178.39226905
2026-03-30T00:00:00Z,163.30185521
2026-03-29T00:00:00Z,130.82183187
2026-03-28T00:00:00Z,140.7417154
2026-03-27T00:00:00Z,164.70967742
2026-03-26T00:00:00Z,164.66745744
2026-03-25T00:00:00Z,168.24574616
2026-03-24T00:00:00Z,178.1821727
2026-03-23T00:00:00Z,167.65489813
2026-03-22T00:00:00Z,144.64615599
2026-03-21T00:00:00Z,145.73012552
2026-03-20T00:00:00Z,179.27233449
2026-03-19T00:00:00Z,186.16267076
2026-03-18T00:00:00Z,176.41867932
2026-03-17T00:00:00Z,180.06043649
2026-03-16T00:00:00Z,181.08885163
2026-03-15T00:00:00Z,157.99721254
2026-03-14T00:00:00Z,156.21810068
2026-03-13T00:00:00Z,179.46556051
2026-03-12T00:00:00Z,175.36368715
2026-03-11T00:00:00Z,178.95108999
2026-03-10T00:00:00Z,193.99105145
2026-03-09T00:00:00Z,183.23321703
2026-03-08T00:00:00Z,149.23354713
2026-03-07T00:00:00Z,163.20994552
2026-03-06T00:00:00Z,182.4809737
2026-03-05T00:00:00Z,190.19788035
2026-03-04T00:00:00Z,184.74235869
2026-03-03T00:00:00Z,185.31538569
2026-03-02T00:00:00Z,184.62583799
2026-03-01T00:00:00Z,164.17781494
2026-02-28T00:00:00Z,168.40455562
2026-02-27T00:00:00Z,178.68897254
2026-02-26T00:00:00Z,185.0966123
2026-02-25T00:00:00Z,176.46285954
2026-02-24T00:00:00Z,173.98090326
2026-02-23T00:00:00Z,165.20864714
2026-02-22T00:00:00Z,143.67929785
2026-02-21T00:00:00Z,143.33235704
2026-02-20T00:00:00Z,163.1127369
2026-02-19T00:00:00Z,179.78111049
2026-02-18T00:00:00Z,170.63223198
