Datetime,Tokens Transferred by External Contract Calls USD (Mean)
2026-04-10T00:00:00Z,5413.890585540718
2026-04-09T00:00:00Z,5513.471180950645
2026-04-08T00:00:00Z,5015.95591261204
2026-04-07T00:00:00Z,5826.993354128777
2026-04-06T00:00:00Z,4935.69607774759
2026-04-05T00:00:00Z,1183.80844719647
2026-04-04T00:00:00Z,1277.7977402534807
2026-04-03T00:00:00Z,2166.1989405323816
2026-04-02T00:00:00Z,3749.8241697775898
2026-04-01T00:00:00Z,5720.361020060801
2026-03-31T00:00:00Z,7856.736935499977
2026-03-30T00:00:00Z,7384.811800943096
2026-03-29T00:00:00Z,1765.2359964721918
2026-03-28T00:00:00Z,1723.0544687015763
2026-03-27T00:00:00Z,5789.62535514321
2026-03-26T00:00:00Z,6229.767633588501
2026-03-25T00:00:00Z,2838.87312207417
2026-03-24T00:00:00Z,1959.0654158699124
2026-03-23T00:00:00Z,3484.4947504124925
2026-03-22T00:00:00Z,1642.670452809869
2026-03-21T00:00:00Z,1131.5287482767062
2026-03-20T00:00:00Z,5090.97427578235
2026-03-19T00:00:00Z,3593.1412030564757
2026-03-18T00:00:00Z,6779.998325463481
2026-03-17T00:00:00Z,4561.126917328909
2026-03-16T00:00:00Z,5016.777988539927
2026-03-15T00:00:00Z,1353.2265469457689
2026-03-14T00:00:00Z,1436.4091667581176
2026-03-13T00:00:00Z,4371.585101007772
2026-03-12T00:00:00Z,3040.5593741250236
2026-03-11T00:00:00Z,3063.4006897733293
2026-03-10T00:00:00Z,4276.927707529915
2026-03-09T00:00:00Z,3252.6292998400245
2026-03-08T00:00:00Z,2011.5499816657773
2026-03-07T00:00:00Z,1479.142360715409
2026-03-06T00:00:00Z,5985.153339881389
2026-03-05T00:00:00Z,4625.014164951584
2026-03-04T00:00:00Z,6096.310796019505
2026-03-03T00:00:00Z,3535.032689807927
2026-03-02T00:00:00Z,5331.861953597119
2026-03-01T00:00:00Z,2111.396410241868
2026-02-28T00:00:00Z,1665.9441900849565
