Datetime,Transactions Between EOA (Mean)
2026-04-10T00:00:00Z,179.45491346
2026-04-09T00:00:00Z,172.00264956
2026-04-08T00:00:00Z,152.66318429
2026-04-07T00:00:00Z,194.34940095
2026-04-06T00:00:00Z,174.03403068
2026-04-05T00:00:00Z,159.0777592
2026-04-04T00:00:00Z,161.21136174
2026-04-03T00:00:00Z,176.36955008
2026-04-02T00:00:00Z,175.45709111
2026-04-01T00:00:00Z,152.07061122
2026-03-31T00:00:00Z,183.34259001
2026-03-30T00:00:00Z,151.01227507
2026-03-29T00:00:00Z,117.04712115
2026-03-28T00:00:00Z,202.78682818
2026-03-27T00:00:00Z,202.99483312
2026-03-26T00:00:00Z,172.93971532
2026-03-25T00:00:00Z,114.94449093
2026-03-24T00:00:00Z,174.65654596
2026-03-23T00:00:00Z,175.30714485
2026-03-22T00:00:00Z,109.36026231
2026-03-21T00:00:00Z,150.7013947
2026-03-20T00:00:00Z,153.98954704
2026-03-19T00:00:00Z,178.76289378
2026-03-18T00:00:00Z,184.16655033
2026-03-17T00:00:00Z,155.76412983
2026-03-16T00:00:00Z,115.01075719
2026-03-15T00:00:00Z,86.74940767
2026-03-14T00:00:00Z,122.68372612
2026-03-13T00:00:00Z,120.11614612
2026-03-12T00:00:00Z,128.75614525
2026-03-11T00:00:00Z,117.30142538
2026-03-10T00:00:00Z,116.29558166
2026-03-09T00:00:00Z,110.50244243
2026-03-08T00:00:00Z,87.51087563
2026-03-07T00:00:00Z,99.83098198
2026-03-06T00:00:00Z,112.88836038
2026-03-05T00:00:00Z,110.24989541
2026-03-04T00:00:00Z,93.10760642
2026-03-03T00:00:00Z,94.67136281
2026-03-02T00:00:00Z,117.58812849
2026-03-01T00:00:00Z,92.75752508
2026-02-28T00:00:00Z,109.79024595
2026-02-27T00:00:00Z,102.44918444
2026-02-26T00:00:00Z,108.04753938
2026-02-25T00:00:00Z,148.86177046
2026-02-24T00:00:00Z,110.35768051
2026-02-23T00:00:00Z,113.60097629
2026-02-22T00:00:00Z,92.05210365
2026-02-21T00:00:00Z,88.71366806
2026-02-20T00:00:00Z,94.04389632
2026-02-19T00:00:00Z,94.93777902
2026-02-18T00:00:00Z,101.91942005
2026-02-17T00:00:00Z,98.11382341
2026-02-16T00:00:00Z,107.62283882
2026-02-15T00:00:00Z,88.87266648
2026-02-14T00:00:00Z,104.86951066
2026-02-13T00:00:00Z,123.65214964
2026-02-12T00:00:00Z,116.911539
2026-02-11T00:00:00Z,160.62370846
2026-02-10T00:00:00Z,206.28982672
2026-02-09T00:00:00Z,185.33924581
2026-02-08T00:00:00Z,149.43747362
2026-02-07T00:00:00Z,240.0389556
2026-02-06T00:00:00Z,146.56091087
2026-02-05T00:00:00Z,123.97034965
2026-02-04T00:00:00Z,159.73811521
2026-02-03T00:00:00Z,172.30801511
2026-02-02T00:00:00Z,137.06075419
2026-02-01T00:00:00Z,164.9614579
2026-01-31T00:00:00Z,93.19385904
2026-01-30T00:00:00Z,108.64375349
2026-01-29T00:00:00Z,166.1846583
2026-01-28T00:00:00Z,169.72211378
2026-01-27T00:00:00Z,148.37949791
2026-01-26T00:00:00Z,124.35230126
2026-01-25T00:00:00Z,118.90925565
2026-01-24T00:00:00Z,130.28471835
2026-01-23T00:00:00Z,159.30550126
2026-01-22T00:00:00Z,123.99804415
2026-01-21T00:00:00Z,140.85584832
2026-01-20T00:00:00Z,115.19514577
2026-01-19T00:00:00Z,138.6600223
2026-01-18T00:00:00Z,102.50069618
2026-01-17T00:00:00Z,151.79015616
2026-01-16T00:00:00Z,212.82339833
2026-01-15T00:00:00Z,177.97071538
2026-01-14T00:00:00Z,165.39575774
2026-01-13T00:00:00Z,133.71368598
2026-01-12T00:00:00Z,115.98073164
2026-01-11T00:00:00Z,98.58410042
2026-01-10T00:00:00Z,98.41110026
2026-01-09T00:00:00Z,107.08238082
2026-01-08T00:00:00Z,103.84488541
2026-01-07T00:00:00Z,105.11630829
2026-01-06T00:00:00Z,90.93633324
2026-01-05T00:00:00Z,104.35767137
2026-01-04T00:00:00Z,82.75097602
2026-01-03T00:00:00Z,108.05202232
2026-01-02T00:00:00Z,94.51407862
2026-01-01T00:00:00Z,108.19079498
2025-12-31T00:00:00Z,103.32993862
2025-12-30T00:00:00Z,101.82101875
2025-12-29T00:00:00Z,128.26029884
2025-12-28T00:00:00Z,78.23316134
2025-12-27T00:00:00Z,72.56682028
2025-12-26T00:00:00Z,75.21960073
2025-12-25T00:00:00Z,68.67067039
2025-12-24T00:00:00Z,84.66731735
2025-12-23T00:00:00Z,81.42735401
2025-12-22T00:00:00Z,80.53581902
2025-12-21T00:00:00Z,62.65310671
2025-12-20T00:00:00Z,78.40301213
2025-12-19T00:00:00Z,76.17633086
2025-12-18T00:00:00Z,82.46904263
2025-12-17T00:00:00Z,71.41139506
2025-12-16T00:00:00Z,69.17629816
2025-12-15T00:00:00Z,62.54259777
2025-12-14T00:00:00Z,48.53711973
2025-12-13T00:00:00Z,56.41552448
2025-12-12T00:00:00Z,65.2208304
2025-12-11T00:00:00Z,71.17325484
2025-12-10T00:00:00Z,70.86855452
2025-12-09T00:00:00Z,64.51727043
2025-12-08T00:00:00Z,57.8157193
2025-12-07T00:00:00Z,51.24386826
2025-12-06T00:00:00Z,64.89045141
2025-12-05T00:00:00Z,77.5921369
2025-12-04T00:00:00Z,82.06134516
2025-12-03T00:00:00Z,88.25983364
2025-12-02T00:00:00Z,84.19764838
2025-12-01T00:00:00Z,81.0513574
2025-11-30T00:00:00Z,73.03603855
2025-11-29T00:00:00Z,67.31624529
2025-11-28T00:00:00Z,77.37868163
2025-11-27T00:00:00Z,97.92511569
2025-11-26T00:00:00Z,75.64167369
2025-11-25T00:00:00Z,73.59354748
2025-11-24T00:00:00Z,65.90288529
2025-11-23T00:00:00Z,57.09480337
2025-11-22T00:00:00Z,63.2405295
2025-11-21T00:00:00Z,66.38500421
2025-11-20T00:00:00Z,74.01486885
2025-11-19T00:00:00Z,68.7040888
2025-11-18T00:00:00Z,65.53796491
2025-11-17T00:00:00Z,64.80541907
2025-11-16T00:00:00Z,62.1205981
2025-11-15T00:00:00Z,72.74849713
2025-11-14T00:00:00Z,73.93404136
2025-11-13T00:00:00Z,68.21742785
2025-11-12T00:00:00Z,65.51125717
2025-11-11T00:00:00Z,66.80874317
2025-11-10T00:00:00Z,74.62617215
2025-11-09T00:00:00Z,71.14744485
2025-11-08T00:00:00Z,69.92857143
2025-11-07T00:00:00Z,68.037208
2025-11-06T00:00:00Z,72.79009929
2025-11-05T00:00:00Z,70.33235294
2025-11-04T00:00:00Z,71.57885906
2025-11-03T00:00:00Z,69.51837362
2025-11-02T00:00:00Z,73.55105462
2025-11-01T00:00:00Z,69.05200615
2025-10-31T00:00:00Z,85.24908938
2025-10-30T00:00:00Z,73.67161462
2025-10-29T00:00:00Z,72.85422496
2025-10-28T00:00:00Z,82.18069585
2025-10-27T00:00:00Z,74.20308123
2025-10-26T00:00:00Z,61.50733138
2025-10-25T00:00:00Z,62.27722634
2025-10-24T00:00:00Z,71.94494256
2025-10-23T00:00:00Z,71.04432599
2025-10-22T00:00:00Z,75.43652686
2025-10-21T00:00:00Z,79.07891042
2025-10-20T00:00:00Z,68.05306753
2025-10-19T00:00:00Z,62.58227317
2025-10-18T00:00:00Z,66.92261405
2025-10-17T00:00:00Z,78.17344514
2025-10-16T00:00:00Z,75.81159826
2025-10-15T00:00:00Z,79.86947398
2025-10-14T00:00:00Z,71.92615385
2025-10-13T00:00:00Z,71.50412876
2025-10-12T00:00:00Z,71.47849162
2025-10-11T00:00:00Z,73.97610731
2025-10-10T00:00:00Z,74.88598209
2025-10-09T00:00:00Z,75.40209644
2025-10-08T00:00:00Z,73.78711485
2025-10-07T00:00:00Z,71.88614138
2025-10-06T00:00:00Z,78.83904349
2025-10-05T00:00:00Z,63.1105682
2025-10-04T00:00:00Z,67.85782189
2025-10-03T00:00:00Z,76.37562814
2025-10-02T00:00:00Z,86.84373251
2025-10-01T00:00:00Z,78.53823529
2025-09-30T00:00:00Z,77.55890985
2025-09-29T00:00:00Z,72.63528426
2025-09-28T00:00:00Z,66.54643357
2025-09-27T00:00:00Z,64.73707017
2025-09-26T00:00:00Z,74.13537729
2025-09-25T00:00:00Z,69.47509793
2025-09-24T00:00:00Z,71.34352744
2025-09-23T00:00:00Z,77.60672433
2025-09-22T00:00:00Z,70.76961813
2025-09-21T00:00:00Z,67.95717884
2025-09-20T00:00:00Z,72.25489374
2025-09-19T00:00:00Z,80.67090376
2025-09-18T00:00:00Z,89.7417237
2025-09-17T00:00:00Z,77.61563154
2025-09-16T00:00:00Z,85.12765363
2025-09-15T00:00:00Z,85.65636796
2025-09-14T00:00:00Z,78.28113234
2025-09-13T00:00:00Z,86.58420539
