Datetime,Tokens Transferred Between EOA USD (Mean)
2026-04-10T00:00:00Z,2876.917983305236
2026-04-09T00:00:00Z,1874.7083892961357
2026-04-08T00:00:00Z,2875.5095770697294
2026-04-07T00:00:00Z,2073.9954148829593
2026-04-06T00:00:00Z,2072.3196656263353
2026-04-05T00:00:00Z,792.6746464449509
2026-04-04T00:00:00Z,659.0063325431811
2026-04-03T00:00:00Z,1010.525379877257
2026-04-02T00:00:00Z,2030.6792566410536
2026-04-01T00:00:00Z,2951.9775656474135
2026-03-31T00:00:00Z,2392.90652573053
2026-03-30T00:00:00Z,2816.891780490437
2026-03-29T00:00:00Z,1058.349204360738
2026-03-28T00:00:00Z,632.0670707307271
2026-03-27T00:00:00Z,2923.6916335878655
2026-03-26T00:00:00Z,3002.0470627542577
2026-03-25T00:00:00Z,3694.5877150609085
2026-03-24T00:00:00Z,2658.2082737734804
2026-03-23T00:00:00Z,2556.7377939582084
2026-03-22T00:00:00Z,6242.133709069505
2026-03-21T00:00:00Z,686.3920171356074
2026-03-20T00:00:00Z,2677.2393662818004
2026-03-19T00:00:00Z,2419.040748798289
2026-03-18T00:00:00Z,3047.21404307568
2026-03-17T00:00:00Z,3233.62793981121
2026-03-16T00:00:00Z,5083.755451128145
2026-03-15T00:00:00Z,1971.3311703132722
2026-03-14T00:00:00Z,1266.9446495288994
2026-03-13T00:00:00Z,4027.794389775155
2026-03-12T00:00:00Z,3491.316001316287
2026-03-11T00:00:00Z,4324.407222372288
2026-03-10T00:00:00Z,4317.2676898287555
2026-03-09T00:00:00Z,4206.0207752823635
2026-03-08T00:00:00Z,2769.4378407333325
2026-03-07T00:00:00Z,2029.1908110741101
2026-03-06T00:00:00Z,4276.745980647047
2026-03-05T00:00:00Z,5088.71720001492
2026-03-04T00:00:00Z,7760.089615436832
2026-03-03T00:00:00Z,5038.717873575531
2026-03-02T00:00:00Z,4842.852434582513
2026-03-01T00:00:00Z,2923.1164019300268
2026-02-28T00:00:00Z,2641.2927178178847
