Datetime,Tokens Transferred by Contract Calls USD (Mean)
2026-04-10T00:00:00Z,1828.0851314368233
2026-04-09T00:00:00Z,1717.3830067402387
2026-04-08T00:00:00Z,2109.5750106216183
2026-04-07T00:00:00Z,2335.1645834708484
2026-04-06T00:00:00Z,2031.1312891244477
2026-04-05T00:00:00Z,975.4745379075174
2026-04-04T00:00:00Z,678.5942906324021
2026-04-03T00:00:00Z,1049.0364245925546
2026-04-02T00:00:00Z,1655.4859746470977
2026-04-01T00:00:00Z,2844.7717106225045
2026-03-31T00:00:00Z,2969.4698639766752
2026-03-30T00:00:00Z,2478.0163784543324
2026-03-29T00:00:00Z,957.4774109269238
2026-03-28T00:00:00Z,870.4144347506888
2026-03-27T00:00:00Z,2035.9787353071167
2026-03-26T00:00:00Z,2225.464784183185
2026-03-25T00:00:00Z,1442.7336415013344
2026-03-24T00:00:00Z,2263.8750551723642
2026-03-23T00:00:00Z,2398.1496077735123
2026-03-22T00:00:00Z,1363.8354409455405
2026-03-21T00:00:00Z,699.296167995761
2026-03-20T00:00:00Z,1991.6721121189908
2026-03-19T00:00:00Z,2388.5925109273317
2026-03-18T00:00:00Z,2768.2004610747344
2026-03-17T00:00:00Z,2398.608966928395
2026-03-16T00:00:00Z,4218.696587539258
2026-03-15T00:00:00Z,1379.7644013587903
2026-03-14T00:00:00Z,2304.4037025121725
2026-03-13T00:00:00Z,3048.0806459966634
2026-03-12T00:00:00Z,2256.5886444621206
2026-03-11T00:00:00Z,2583.4953149339553
2026-03-10T00:00:00Z,2820.079368172645
2026-03-09T00:00:00Z,2260.235385230105
2026-03-08T00:00:00Z,4833.7457637300995
2026-03-07T00:00:00Z,1945.4077643231994
2026-03-06T00:00:00Z,3681.740665624611
2026-03-05T00:00:00Z,3163.5800452604217
2026-03-04T00:00:00Z,6068.950218758793
2026-03-03T00:00:00Z,3194.059119584339
2026-03-02T00:00:00Z,3667.6752157546225
2026-03-01T00:00:00Z,2766.3117230892135
2026-02-28T00:00:00Z,1887.2100982718828
2026-02-27T00:00:00Z,2775.33061255965
2026-02-26T00:00:00Z,4566.05802937145
2026-02-25T00:00:00Z,5115.051413230998
2026-02-24T00:00:00Z,2473.408646522318
2026-02-23T00:00:00Z,3165.744593781201
2026-02-22T00:00:00Z,2072.5994707945633
2026-02-21T00:00:00Z,1625.812217215513
2026-02-20T00:00:00Z,3586.8407379928176
2026-02-19T00:00:00Z,2602.7808169511954
2026-02-18T00:00:00Z,3164.4922496246145
2026-02-17T00:00:00Z,3071.0997086831608
2026-02-16T00:00:00Z,2636.4119331668317
2026-02-15T00:00:00Z,2918.038995044574
2026-02-14T00:00:00Z,3628.9769041420373
2026-02-13T00:00:00Z,3370.9724956047835
2026-02-12T00:00:00Z,2657.370912588305
2026-02-11T00:00:00Z,3197.744858914829
2026-02-10T00:00:00Z,2257.781948329531
2026-02-09T00:00:00Z,2157.9973553409204
2026-02-08T00:00:00Z,1986.590516596421
2026-02-07T00:00:00Z,2214.2840579519557
2026-02-06T00:00:00Z,8657.80557844206
2026-02-05T00:00:00Z,8039.745270560895
2026-02-04T00:00:00Z,3399.6176315568046
2026-02-03T00:00:00Z,3460.9119409383075
2026-02-02T00:00:00Z,4915.538353445776
2026-02-01T00:00:00Z,4355.485530853582
2026-01-31T00:00:00Z,6015.8240383730545
2026-01-30T00:00:00Z,3314.469610874154
2026-01-29T00:00:00Z,6337.671486765406
2026-01-28T00:00:00Z,4386.982746106184
2026-01-27T00:00:00Z,4724.777278150144
2026-01-26T00:00:00Z,5402.368108625721
2026-01-25T00:00:00Z,3671.336202236108
2026-01-24T00:00:00Z,1467.1813487856896
2026-01-23T00:00:00Z,3910.2092705076834
2026-01-22T00:00:00Z,4634.564762018067
2026-01-21T00:00:00Z,5250.498816011712
2026-01-20T00:00:00Z,5557.030388828104
2026-01-19T00:00:00Z,4178.86548327424
2026-01-18T00:00:00Z,2849.2562107684903
2026-01-17T00:00:00Z,4502.00500583237
2026-01-16T00:00:00Z,4001.157563386071
2026-01-15T00:00:00Z,2995.3144420531603
2026-01-14T00:00:00Z,6565.03549355119
2026-01-13T00:00:00Z,4244.777707221
2026-01-12T00:00:00Z,4986.299604041045
2026-01-11T00:00:00Z,2900.274448650652
2026-01-10T00:00:00Z,3881.1152677532355
2026-01-09T00:00:00Z,3453.7118550683354
2026-01-08T00:00:00Z,6681.835221887419
2026-01-07T00:00:00Z,5413.77673327077
2026-01-06T00:00:00Z,7573.191058156601
2026-01-05T00:00:00Z,5960.529774785412
2026-01-04T00:00:00Z,3242.5559020577894
2026-01-03T00:00:00Z,3910.809884874133
2026-01-02T00:00:00Z,4231.786611372946
2026-01-01T00:00:00Z,3308.158071488742
2025-12-31T00:00:00Z,4498.537262826241
2025-12-30T00:00:00Z,3950.695961152428
2025-12-29T00:00:00Z,4142.576772253882
2025-12-28T00:00:00Z,3825.665431221606
2025-12-27T00:00:00Z,3370.6080606274345
2025-12-26T00:00:00Z,3833.7633322691227
2025-12-25T00:00:00Z,1977.862516146464
2025-12-24T00:00:00Z,3826.685114740933
2025-12-23T00:00:00Z,4411.19293556615
2025-12-22T00:00:00Z,4361.686852195481
2025-12-21T00:00:00Z,1842.3120109880306
2025-12-20T00:00:00Z,2066.1252596646505
2025-12-19T00:00:00Z,6531.864438416051
2025-12-18T00:00:00Z,5296.991074182968
