Datetime,Transfers by External Contract Calls (Mean)
2026-04-10T00:00:00Z,19.84840871
2026-04-09T00:00:00Z,18.07600056
2026-04-08T00:00:00Z,17.56275247
2026-04-07T00:00:00Z,18.93619393
2026-04-06T00:00:00Z,18.96387727
2026-04-05T00:00:00Z,16.40942029
2026-04-04T00:00:00Z,16.03007519
2026-04-03T00:00:00Z,17.05669313
2026-04-02T00:00:00Z,19.61340206
2026-04-01T00:00:00Z,18.42227184
2026-03-31T00:00:00Z,17.90357243
2026-03-30T00:00:00Z,17.88129446
2026-03-29T00:00:00Z,15.3281751
2026-03-28T00:00:00Z,17.68295739
2026-03-27T00:00:00Z,20.44658567
2026-03-26T00:00:00Z,19.51702484
2026-03-25T00:00:00Z,20.52761506
2026-03-24T00:00:00Z,26.86657382
2026-03-23T00:00:00Z,21.46134524
2026-03-22T00:00:00Z,22.68620064
2026-03-21T00:00:00Z,21.34128312
2026-03-20T00:00:00Z,22.20278746
2026-03-19T00:00:00Z,28.3488988
2026-03-18T00:00:00Z,22.41937736
2026-03-17T00:00:00Z,25.75489647
2026-03-16T00:00:00Z,27.89354568
2026-03-15T00:00:00Z,23.11832753
2026-03-14T00:00:00Z,24.29270674
2026-03-13T00:00:00Z,23.47546012
2026-03-12T00:00:00Z,23.08156425
2026-03-11T00:00:00Z,21.86989939
2026-03-10T00:00:00Z,21.00167785
2026-03-09T00:00:00Z,22.74235869
2026-03-08T00:00:00Z,19.22629671
2026-03-07T00:00:00Z,21.03841319
2026-03-06T00:00:00Z,21.41731953
2026-03-05T00:00:00Z,23.78217822
2026-03-04T00:00:00Z,23.55980461
2026-03-03T00:00:00Z,23.4449714
2026-03-02T00:00:00Z,23.70740223
2026-03-01T00:00:00Z,23.97212932
2026-02-28T00:00:00Z,25.87562884
2026-02-27T00:00:00Z,23.76537014
2026-02-26T00:00:00Z,24.57047261
2026-02-25T00:00:00Z,26.61770455
2026-02-24T00:00:00Z,26.45720658
2026-02-23T00:00:00Z,23.83723849
2026-02-22T00:00:00Z,20.27347451
2026-02-21T00:00:00Z,21.6362622
2026-02-20T00:00:00Z,25.2171126
2026-02-19T00:00:00Z,25.91085379
2026-02-18T00:00:00Z,24.82991775
2026-02-17T00:00:00Z,24.58222904
2026-02-16T00:00:00Z,24.04489682
