Datetime,Tokens Transferred Between EOA USD (Total)
2026-04-10T00:00:00Z,3594470235.947278
2026-04-09T00:00:00Z,2281585724.5670223
2026-04-08T00:00:00Z,3094148947.7622266
2026-04-07T00:00:00Z,2853695325.149474
2026-04-06T00:00:00Z,2533019122.8113914
2026-04-05T00:00:00Z,889398392.1534567
2026-04-04T00:00:00Z,750542312.1334289
2026-04-03T00:00:00Z,1266733984.6913369
2026-04-02T00:00:00Z,2530819312.117692
2026-04-01T00:00:00Z,3167693326.257098
2026-03-31T00:00:00Z,3112056295.5344296
2026-03-30T00:00:00Z,3012682660.5852056
2026-03-29T00:00:00Z,872660778.1064421
2026-03-28T00:00:00Z,909131774.9843291
2026-03-27T00:00:00Z,4208800291.131412
2026-03-26T00:00:00Z,3667387751.2254214
2026-03-25T00:00:00Z,2974072913.457445
2026-03-24T00:00:00Z,3284545940.073083
2026-03-23T00:00:00Z,3169633864.450282
2026-03-22T00:00:00Z,4769608124.966299
2026-03-21T00:00:00Z,726331109.4366769
2026-03-20T00:00:00Z,2898315084.1918864
2026-03-19T00:00:00Z,3047398678.502388
2026-03-18T00:00:00Z,3948771931.5021796
2026-03-17T00:00:00Z,3536056226.509993
2026-03-16T00:00:00Z,4079235876.51793
2026-03-15T00:00:00Z,1168853505.4891672
2026-03-14T00:00:00Z,1078332065.664233
2026-03-13T00:00:00Z,3340398915.832958
2026-03-12T00:00:00Z,3124657994.8580503
2026-03-11T00:00:00Z,3531613646.294776
2026-03-10T00:00:00Z,3359887676.0030904
2026-03-09T00:00:00Z,3054807652.962929
2026-03-08T00:00:00Z,1606348722.4470327
2026-03-07T00:00:00Z,1341211929.2967327
2026-03-06T00:00:00Z,3214988193.2536693
2026-03-05T00:00:00Z,3596985196.416547
2026-03-04T00:00:00Z,4455315771.089979
2026-03-03T00:00:00Z,2963738582.2120123
2026-03-02T00:00:00Z,3682277377.192117
2026-03-01T00:00:00Z,1729438434.2706847
2026-02-28T00:00:00Z,1906323964.8651621
2026-02-27T00:00:00Z,2747225310.7482686
2026-02-26T00:00:00Z,3755821282.070071
2026-02-25T00:00:00Z,4713698009.147279
2026-02-24T00:00:00Z,3411734977.3464904
2026-02-23T00:00:00Z,3200570655.818438
2026-02-22T00:00:00Z,992783654.0406107
2026-02-21T00:00:00Z,946521791.7977443
2026-02-20T00:00:00Z,3359602007.3192534
2026-02-19T00:00:00Z,2555654924.9733787
2026-02-18T00:00:00Z,2511229117.4910464
2026-02-17T00:00:00Z,3177815430.3056755
2026-02-16T00:00:00Z,1942938972.5663893
2026-02-15T00:00:00Z,3271620175.5553617
2026-02-14T00:00:00Z,1297330578.4005592
2026-02-13T00:00:00Z,3806235018.9985995
2026-02-12T00:00:00Z,3354409584.452403
2026-02-11T00:00:00Z,2719973100.7736373
2026-02-10T00:00:00Z,4260455265.9175854
2026-02-09T00:00:00Z,4439701689.917416
2026-02-08T00:00:00Z,2027382344.8535557
2026-02-07T00:00:00Z,3752874367.365359
2026-02-06T00:00:00Z,8852543678.799124
2026-02-05T00:00:00Z,6147671222.807547
2026-02-04T00:00:00Z,6192243351.839231
2026-02-03T00:00:00Z,7647004726.574434
2026-02-02T00:00:00Z,7470321651.979311
2026-02-01T00:00:00Z,4243540320.0063863
2026-01-31T00:00:00Z,4344049728.238619
2026-01-30T00:00:00Z,4998372522.635206
2026-01-29T00:00:00Z,3788121323.9953785
2026-01-28T00:00:00Z,4020279158.0045567
2026-01-27T00:00:00Z,3917587163.3635216
2026-01-26T00:00:00Z,5179911811.375189
2026-01-25T00:00:00Z,2553500673.725512
2026-01-24T00:00:00Z,1217828620.3122313
2026-01-23T00:00:00Z,3947935555.41411
2026-01-22T00:00:00Z,5302144286.474167
2026-01-21T00:00:00Z,7020010848.256066
2026-01-20T00:00:00Z,4512964923.570095
2026-01-19T00:00:00Z,3901579702.025157
2026-01-18T00:00:00Z,1626557619.1288788
2026-01-17T00:00:00Z,1787354656.3669944
2026-01-16T00:00:00Z,4466886895.2703085
2026-01-15T00:00:00Z,5582549427.493631
2026-01-14T00:00:00Z,5554574510.768892
2026-01-13T00:00:00Z,4677728814.729832
2026-01-12T00:00:00Z,3826209636.8437886
2026-01-11T00:00:00Z,1544115429.8251917
2026-01-10T00:00:00Z,1682583481.6267421
2026-01-09T00:00:00Z,3944574198.468618
2026-01-08T00:00:00Z,5262591843.033578
2026-01-07T00:00:00Z,5574272875.341354
2026-01-06T00:00:00Z,5749692617.254495
2026-01-05T00:00:00Z,4581138636.427627
2026-01-04T00:00:00Z,1524938576.7989786
2026-01-03T00:00:00Z,2099089222.583419
2026-01-02T00:00:00Z,4074509946.3297606
2026-01-01T00:00:00Z,1804350383.6244159
2025-12-31T00:00:00Z,4563416322.352094
2025-12-30T00:00:00Z,4309279110.372662
2025-12-29T00:00:00Z,4256132222.442399
2025-12-28T00:00:00Z,1342136092.2395935
2025-12-27T00:00:00Z,1351158186.0952482
2025-12-26T00:00:00Z,4082258466.5551424
2025-12-25T00:00:00Z,1695783281.49667
2025-12-24T00:00:00Z,3989495638.4444237
2025-12-23T00:00:00Z,5673377439.473774
2025-12-22T00:00:00Z,4113414081.206488
2025-12-21T00:00:00Z,1360604904.1949112
2025-12-20T00:00:00Z,1119790314.4303417
2025-12-19T00:00:00Z,5285883226.478724
2025-12-18T00:00:00Z,4247389435.8077564
2025-12-17T00:00:00Z,6862343002.82119
2025-12-16T00:00:00Z,5222221888.092077
2025-12-15T00:00:00Z,4820718235.793617
2025-12-14T00:00:00Z,2256224127.281459
2025-12-13T00:00:00Z,1629769219.3945577
2025-12-12T00:00:00Z,5151530498.055765
2025-12-11T00:00:00Z,5811395925.118488
2025-12-10T00:00:00Z,5515543749.501915
2025-12-09T00:00:00Z,4829529541.467585
2025-12-08T00:00:00Z,3676228891.1197686
2025-12-07T00:00:00Z,1486983469.8812644
2025-12-06T00:00:00Z,1302221007.8553705
2025-12-05T00:00:00Z,4431849867.443623
2025-12-04T00:00:00Z,4735182845.991294
2025-12-03T00:00:00Z,5090649086.15928
2025-12-02T00:00:00Z,4856789640.426641
2025-12-01T00:00:00Z,4847458421.109408
2025-11-30T00:00:00Z,1206876539.393739
2025-11-29T00:00:00Z,1851527472.5320969
2025-11-28T00:00:00Z,4207298542.2469263
2025-11-27T00:00:00Z,2844676923.6289597
2025-11-26T00:00:00Z,4226216635.638244
2025-11-25T00:00:00Z,4018331009.4653945
2025-11-24T00:00:00Z,5061741051.871481
2025-11-23T00:00:00Z,12766833312.995731
2025-11-22T00:00:00Z,2288907408.9811587
2025-11-21T00:00:00Z,7443637039.094192
2025-11-20T00:00:00Z,4728965862.383813
2025-11-19T00:00:00Z,5741819464.672629
2025-11-18T00:00:00Z,7455055131.709195
2025-11-17T00:00:00Z,5373955206.2896385
2025-11-16T00:00:00Z,2402088983.13649
2025-11-15T00:00:00Z,2083588104.9655437
2025-11-14T00:00:00Z,7419129917.291844
2025-11-13T00:00:00Z,6552999380.581413
2025-11-12T00:00:00Z,5138867842.510676
2025-11-11T00:00:00Z,4330454756.830087
2025-11-10T00:00:00Z,5051007498.283936
2025-11-09T00:00:00Z,2327090402.956359
2025-11-08T00:00:00Z,1655094797.0309126
2025-11-07T00:00:00Z,6774664409.248767
2025-11-06T00:00:00Z,6126854072.005639
2025-11-05T00:00:00Z,8150904197.581993
2025-11-04T00:00:00Z,9641333702.784595
2025-11-03T00:00:00Z,6547557095.970959
2025-11-02T00:00:00Z,2709636945.102625
2025-11-01T00:00:00Z,3624377451.9229627
2025-10-31T00:00:00Z,6333947728.508164
2025-10-30T00:00:00Z,6359147304.835146
2025-10-29T00:00:00Z,6665384398.950074
