Datetime,Tokens Transferred Between EOA (Total)
2026-04-10T00:00:00Z,1600633.0521573357
2026-04-09T00:00:00Z,1041950.4287065237
2026-04-08T00:00:00Z,1412871.0108612063
2026-04-07T00:00:00Z,1274170.6925771185
2026-04-06T00:00:00Z,1202287.0389903078
2026-04-05T00:00:00Z,421698.46429129964
2026-04-04T00:00:00Z,363414.61919067305
2026-04-03T00:00:00Z,616846.0147122976
2026-04-02T00:00:00Z,1230471.978704708
2026-04-01T00:00:00Z,1480373.060688049
2026-03-31T00:00:00Z,1479405.7719797129
2026-03-30T00:00:00Z,1487952.7411143342
2026-03-29T00:00:00Z,440077.9082526795
2026-03-28T00:00:00Z,456150.9798837016
2026-03-27T00:00:00Z,2112704.2623466873
2026-03-26T00:00:00Z,1781161.884480319
2026-03-25T00:00:00Z,1371637.7035082136
2026-03-24T00:00:00Z,1523773.8407808277
2026-03-23T00:00:00Z,1473186.322416752
2026-03-22T00:00:00Z,2322781.1791350697
2026-03-21T00:00:00Z,348444.20729867026
2026-03-20T00:00:00Z,1350604.8912564837
2026-03-19T00:00:00Z,1425470.030002465
2026-03-18T00:00:00Z,1792190.091915658
2026-03-17T00:00:00Z,1525552.6630054766
2026-03-16T00:00:00Z,1733606.776813936
2026-03-15T00:00:00Z,536554.9984901747
2026-03-14T00:00:00Z,514322.8775866779
2026-03-13T00:00:00Z,1596344.5777432576
2026-03-12T00:00:00Z,1506609.5431517165
2026-03-11T00:00:00Z,1720915.4376774984
2026-03-10T00:00:00Z,1649682.3909822071
2026-03-09T00:00:00Z,1532511.5334663992
2026-03-08T00:00:00Z,829264.7714908875
2026-03-07T00:00:00Z,681156.9504824829
2026-03-06T00:00:00Z,1624731.9630924
2026-03-05T00:00:00Z,1735190.6267361604
2026-03-04T00:00:00Z,2093898.6597298775
2026-03-03T00:00:00Z,1494727.0091746347
2026-03-02T00:00:00Z,1816387.1871135985
2026-03-01T00:00:00Z,891438.2092160522
2026-02-28T00:00:00Z,970330.0371062133
2026-02-27T00:00:00Z,1422602.9275406485
2026-02-26T00:00:00Z,1852318.426882071
2026-02-25T00:00:00Z,2289773.6668392853
2026-02-24T00:00:00Z,1840955.1349713902
2026-02-23T00:00:00Z,1724839.3203692092
2026-02-22T00:00:00Z,507238.9550009539
2026-02-21T00:00:00Z,479797.1973748571
2026-02-20T00:00:00Z,1705759.8690493666
2026-02-19T00:00:00Z,1310557.7636358498
2026-02-18T00:00:00Z,1284454.2637409559
2026-02-17T00:00:00Z,1596334.6625775453
2026-02-16T00:00:00Z,972784.0146822747
2026-02-15T00:00:00Z,1664574.843717802
2026-02-14T00:00:00Z,622109.9312633506
2026-02-13T00:00:00Z,1858959.062195472
2026-02-12T00:00:00Z,1721814.3878196063
2026-02-11T00:00:00Z,1402287.6060058647
2026-02-10T00:00:00Z,2107393.9786538184
2026-02-09T00:00:00Z,2108571.6159791774
2026-02-08T00:00:00Z,970742.9209522846
2026-02-07T00:00:00Z,1798921.775879215
2026-02-06T00:00:00Z,4288184.219646995
2026-02-05T00:00:00Z,3371614.7820698996
2026-02-04T00:00:00Z,2889019.9888463933
2026-02-03T00:00:00Z,3427264.0871972432
2026-02-02T00:00:00Z,3185638.3031886662
2026-02-01T00:00:00Z,1869125.926430327
2026-01-31T00:00:00Z,1771843.684814277
2026-01-30T00:00:00Z,1849005.4216343414
2026-01-29T00:00:00Z,1342755.340756213
2026-01-28T00:00:00Z,1337463.2884192849
2026-01-27T00:00:00Z,1295639.4255018672
2026-01-26T00:00:00Z,1769437.3900551638
2026-01-25T00:00:00Z,907011.39962534
2026-01-24T00:00:00Z,412683.9505734294
2026-01-23T00:00:00Z,1335021.6541509025
2026-01-22T00:00:00Z,1796948.835464436
2026-01-21T00:00:00Z,2356040.39540904
2026-01-20T00:00:00Z,1536936.794005262
2026-01-19T00:00:00Z,1224022.7106289102
2026-01-18T00:00:00Z,495494.2341765671
2026-01-17T00:00:00Z,540167.90405821
2026-01-16T00:00:00Z,1355739.8675375546
2026-01-15T00:00:00Z,1682716.879672271
2026-01-14T00:00:00Z,1656043.40122658
2026-01-13T00:00:00Z,1407695.5754935078
2026-01-12T00:00:00Z,1237486.6090461116
2026-01-11T00:00:00Z,495013.6995117546
2026-01-10T00:00:00Z,545651.7786850458
2026-01-09T00:00:00Z,1278964.3364785125
2026-01-08T00:00:00Z,1695551.8464183393
2026-01-07T00:00:00Z,1760858.952612592
2026-01-06T00:00:00Z,1745496.2503792215
2026-01-05T00:00:00Z,1420642.9306143804
2026-01-04T00:00:00Z,485208.7331772066
2026-01-03T00:00:00Z,671602.1690025531
2026-01-02T00:00:00Z,1304195.7221079606
2026-01-01T00:00:00Z,601449.6407888088
2025-12-31T00:00:00Z,1538100.9912498887
2025-12-30T00:00:00Z,1450841.7387879358
