Datetime,Contract Calls (Total)
2026-04-10T00:00:00Z,12337486
2026-04-09T00:00:00Z,13104796
2026-04-08T00:00:00Z,12860693
2026-04-07T00:00:00Z,12575031
2026-04-06T00:00:00Z,13085528
2026-04-05T00:00:00Z,12997254
2026-04-04T00:00:00Z,12749161
2026-04-03T00:00:00Z,12415586
2026-04-02T00:00:00Z,13316449
2026-04-01T00:00:00Z,12720425
2026-03-31T00:00:00Z,12006350
2026-03-30T00:00:00Z,12347662
2026-03-29T00:00:00Z,11544800
2026-03-28T00:00:00Z,11490739
2026-03-27T00:00:00Z,12527797
2026-03-26T00:00:00Z,12563983
2026-03-25T00:00:00Z,13338411
2026-03-24T00:00:00Z,12554681
2026-03-23T00:00:00Z,13303680
2026-03-22T00:00:00Z,17279377
2026-03-21T00:00:00Z,12168128
2026-03-20T00:00:00Z,13163832
2026-03-19T00:00:00Z,12993256
2026-03-18T00:00:00Z,12833419
2026-03-17T00:00:00Z,12969221
2026-03-16T00:00:00Z,13230955
2026-03-15T00:00:00Z,12594667
2026-03-14T00:00:00Z,12096892
2026-03-13T00:00:00Z,12952993
2026-03-12T00:00:00Z,12774884
2026-03-11T00:00:00Z,12761910
2026-03-10T00:00:00Z,12624718
2026-03-09T00:00:00Z,12860345
2026-03-08T00:00:00Z,12275924
2026-03-07T00:00:00Z,12180598
2026-03-06T00:00:00Z,12688199
2026-03-05T00:00:00Z,12630758
2026-03-04T00:00:00Z,13512517
2026-03-03T00:00:00Z,13252745
2026-03-02T00:00:00Z,13489836
2026-03-01T00:00:00Z,14287364
2026-02-28T00:00:00Z,14165924
2026-02-27T00:00:00Z,13868656
2026-02-26T00:00:00Z,13609560
2026-02-25T00:00:00Z,13039354
2026-02-24T00:00:00Z,13522008
2026-02-23T00:00:00Z,13737211
2026-02-22T00:00:00Z,11954160
2026-02-21T00:00:00Z,12428356
2026-02-20T00:00:00Z,13804832
2026-02-19T00:00:00Z,13403865
2026-02-18T00:00:00Z,12440752
2026-02-17T00:00:00Z,12375689
2026-02-16T00:00:00Z,12264275
2026-02-15T00:00:00Z,13016991
2026-02-14T00:00:00Z,12381246
2026-02-13T00:00:00Z,12470933
2026-02-12T00:00:00Z,12711386
2026-02-11T00:00:00Z,12541910
2026-02-10T00:00:00Z,12042796
2026-02-09T00:00:00Z,12308741
2026-02-08T00:00:00Z,12479580
2026-02-07T00:00:00Z,12073024
2026-02-06T00:00:00Z,13879450
2026-02-05T00:00:00Z,14378318
2026-02-04T00:00:00Z,14140654
2026-02-03T00:00:00Z,12987641
2026-02-02T00:00:00Z,14142598
2026-02-01T00:00:00Z,12892129
2026-01-31T00:00:00Z,13303321
2026-01-30T00:00:00Z,12706733
2026-01-29T00:00:00Z,12560658
2026-01-28T00:00:00Z,11791389
2026-01-27T00:00:00Z,12000561
2026-01-26T00:00:00Z,12515988
2026-01-25T00:00:00Z,12627844
2026-01-24T00:00:00Z,14531579
2026-01-23T00:00:00Z,12294548
2026-01-22T00:00:00Z,12613027
2026-01-21T00:00:00Z,13156578
2026-01-20T00:00:00Z,13115092
2026-01-19T00:00:00Z,12280468
2026-01-18T00:00:00Z,11288438
2026-01-17T00:00:00Z,11266966
2026-01-16T00:00:00Z,11657280
2026-01-15T00:00:00Z,11708513
2026-01-14T00:00:00Z,12314731
2026-01-13T00:00:00Z,12247174
2026-01-12T00:00:00Z,12189333
2026-01-11T00:00:00Z,11386999
2026-01-10T00:00:00Z,11588667
2026-01-09T00:00:00Z,12163261
2026-01-08T00:00:00Z,13069801
2026-01-07T00:00:00Z,13651850
2026-01-06T00:00:00Z,13681934
2026-01-05T00:00:00Z,13824822
2026-01-04T00:00:00Z,13616915
2026-01-03T00:00:00Z,13451488
2026-01-02T00:00:00Z,13525790
2026-01-01T00:00:00Z,12757351
2025-12-31T00:00:00Z,13212353
2025-12-30T00:00:00Z,12705812
2025-12-29T00:00:00Z,13493813
2025-12-28T00:00:00Z,12551957
2025-12-27T00:00:00Z,13173429
2025-12-26T00:00:00Z,13440688
2025-12-25T00:00:00Z,13387412
2025-12-24T00:00:00Z,12361029
2025-12-23T00:00:00Z,12350944
2025-12-22T00:00:00Z,13372713
2025-12-21T00:00:00Z,13582455
2025-12-20T00:00:00Z,14506232
2025-12-19T00:00:00Z,16460665
2025-12-18T00:00:00Z,19704224
2025-12-17T00:00:00Z,22881743
2025-12-16T00:00:00Z,24808613
2025-12-15T00:00:00Z,23665076
2025-12-14T00:00:00Z,37334711
2025-12-13T00:00:00Z,27184955
2025-12-12T00:00:00Z,31385419
2025-12-11T00:00:00Z,29756928
2025-12-10T00:00:00Z,31632664
2025-12-09T00:00:00Z,35326449
2025-12-08T00:00:00Z,40017403
2025-12-07T00:00:00Z,43771096
2025-12-06T00:00:00Z,16827220
2025-12-05T00:00:00Z,13679493
2025-12-04T00:00:00Z,12250609
2025-12-03T00:00:00Z,13150269
2025-12-02T00:00:00Z,12530224
2025-12-01T00:00:00Z,13470822
2025-11-30T00:00:00Z,11922317
2025-11-29T00:00:00Z,12012155
2025-11-28T00:00:00Z,13996546
2025-11-27T00:00:00Z,11978335
2025-11-26T00:00:00Z,13790084
2025-11-25T00:00:00Z,11461120
2025-11-24T00:00:00Z,11295399
2025-11-23T00:00:00Z,10380377
2025-11-22T00:00:00Z,10482191
2025-11-21T00:00:00Z,11929908
2025-11-20T00:00:00Z,11708973
2025-11-19T00:00:00Z,11670114
2025-11-18T00:00:00Z,11708353
2025-11-17T00:00:00Z,11362204
2025-11-16T00:00:00Z,10787495
2025-11-15T00:00:00Z,10045233
2025-11-14T00:00:00Z,11662515
2025-11-13T00:00:00Z,11510281
2025-11-12T00:00:00Z,11522771
2025-11-11T00:00:00Z,11672105
2025-11-10T00:00:00Z,11901910
2025-11-09T00:00:00Z,10030017
2025-11-08T00:00:00Z,10124117
2025-11-07T00:00:00Z,12501414
2025-11-06T00:00:00Z,11806429
