date,Africa,Asia,Europe,Latin America,North America,Oceania,Southeast Asia
2020-01-31,0,469027,1169,11486,129885,55,10738
2020-02-29,0,776224,3133,17282,209172,66,12742
2020-03-31,0,989464,6399,28939,317328,115,14484
2020-04-30,0,1066880,11129,41649,369201,114,14844
2020-05-31,2,1262294,14535,61121,454340,142,14802
2020-06-30,25,1388741,15231,40462,530438,200,14682
2020-07-31,35,1422636,25775,26075,611019,375,19162
2020-08-31,6,1652121,50466,18531,764345,439,22254
2020-09-30,26,1329270,73384,17832,632258,431,18662
2020-10-31,39,1263030,55800,21673,545648,361,19163
2020-11-30,14,1367945,60850,31321,644805,555,25288
2020-12-31,16,1503350,93958,35436,746122,948,26455
2021-01-31,26,1563775,132980,76470,892056,1260,30118
2021-02-28,14,1308297,271673,82452,925607,1958,17841
2021-03-31,171,1206077,457733,42467,2338024,1718,15964
2021-04-30,2168,1477581,689382,43453,5348550,2165,18487
2021-05-31,7086,1212555,1072759,35524,7302860,3130,24064
2021-06-30,3488,973222,395798,28596,5861056,1893,19658
2021-07-31,2346,863121,298390,26492,5233350,2058,17514
2021-08-31,4403,818334,531630,31732,5663917,4106,24599
2021-09-30,10073,799787,662606,36015,6621503,7558,38839
2021-10-31,13846,738575,716423,37144,8347212,5156,41468
2021-11-30,23307,765718,1020541,43027,8875907,10567,53141
2021-12-31,10090,613792,970558,33036,7849890,9607,46580
2022-01-31,9584,464746,754969,28146,7789969,25527,39984
2022-02-28,6721,352589,958770,21614,8787660,65746,29587
2022-03-31,5320,484933,1042605,26116,8513270,32874,30046
2022-04-30,6119,495023,1204941,25701,4547646,12719,70686
2022-05-31,5691,626775,1501298,32032,3988399,8046,126468
2022-06-30,5954,450060,1236522,30365,4200954,13201,33538
2022-07-31,5616,398681,1157801,33147,2735513,142424,20974
2022-08-31,5338,482137,1186824,45628,1625790,6375,27255
2022-09-30,5235,516107,1241935,39055,1370952,5627,33316
2022-10-31,5022,484509,1254186,41980,1401891,6318,56498
2022-11-30,4165,708953,1622338,63178,1707481,6822,39851
2022-12-31,3567,621730,1720416,64025,1267094,5412,33751
2023-01-31,15251,868693,1981923,72799,1458276,13610,94563
2023-02-28,4509,790395,1773594,74390,1281650,70106,41354
2023-03-31,5223,957444,2001860,78451,1390178,24164,37202
2023-04-30,6925,748824,1915764,57894,1237408,49474,31008
2023-05-31,10530,926573,2189160,53298,1609778,13745,51658
2023-06-30,4430,835245,1897823,44340,1750513,20538,31579
2023-07-31,5519,937579,1946559,46686,1173309,35431,36670
2023-08-31,4321,1339280,1947368,51006,1049422,42311,35747
2023-09-30,3644,934856,1811906,52988,1020827,14931,33463
2023-10-31,4622,1052672,2345928,73144,1315130,10323,53232
2023-11-30,24298,1982189,3328648,95113,1919389,22958,99639
2023-12-31,56592,1565210,4333172,160468,2509160,36161,239510
2024-01-31,41384,1821300,4198262,205227,2341401,32276,532241
2024-02-29,42563,2399266,5000078,187173,2279434,35167,722218
2024-03-31,51770,3065151,8707816,214504,3663878,66738,2085913
2024-04-30,38504,3317297,6598280,187422,3022274,168494,1346387
2024-05-31,37421,2892999,8875217,186443,3270183,155442,921896
2024-06-30,33780,2597954,8535202,182508,3140362,94184,618435
2024-07-31,38850,3144214,10543905,251947,3253741,59132,588382
2024-08-31,37326,2897886,19618757,311383,3531478,48041,611789
2024-09-30,35911,2649567,20899842,244195,3692145,53943,563584
2024-10-31,64104,3015904,19749690,279673,5149184,91425,689660
2024-11-30,110007,4190797,20247157,392246,8776250,122960,791261
2024-12-31,128958,4467436,28539170,412215,8961593,97996,752826
2025-01-31,170932,6464033,27233149,523153,9009786,164244,1178195
2025-02-28,116830,6578109,18356358,772722,8747866,214184,1974989
2025-03-31,370207,5733168,19092064,880742,13478284,817722,1512125
2025-04-30,380956,6865371,15187043,710141,11196189,796472,1039006
2025-05-31,101335,7565124,12976869,544182,8235572,672210,1582964
2025-06-30,90435,5030331,11658715,502466,8093012,289866,1167332
2025-07-31,138316,6962365,15248668,689756,11185950,562688,1388682
2025-08-31,125151,7187591,15073497,923406,12434467,767603,1506069
2025-09-30,140764,5834374,13449880,1109008,12333862,652065,1277639
2025-10-31,79261,6366487,12251577,1246071,11591884,236656,1534725
2025-11-30,56436,6913895,11716869,1163028,9902981,159750,1783853
2025-12-31,59852,6202632,8868346,1208576,7856128,132503,1333555
2026-01-31,85156,6405486,8186364,1381711,8163240,130635,1535217
2026-02-28,113898,13336940,19706132,3187788,20667214,333469,3409632
2026-03-31,191937,18045915,35624169,5839557,36628487,576385,4035691
