date,Avalanche C-Chain,Ethereum,Near,Sui,Polygon PoS,Solana
2015-08-07,,0,,,,
2015-08-08,,175,,,,
2015-08-09,,210,,,,
2015-08-10,,189,,,,
2015-08-11,,251,,,,
2015-08-12,,322,,,,
2015-08-13,,420,,,,
2015-08-14,,553,,,,
2015-08-15,,563,,,,
2015-08-16,,563,,,,
2015-08-17,,563,,,,
2015-08-18,,606,,,,
2015-08-19,,624,,,,
2015-08-20,,533,,,,
2015-08-21,,675,,,,
2015-08-22,,648,,,,
2015-08-23,,703,,,,
2015-08-24,,749,,,,
2015-08-25,,799,,,,
2015-08-26,,775,,,,
2015-08-27,,796,,,,
2015-08-28,,799,,,,
2015-08-29,,755,,,,
2015-08-30,,790,,,,
2015-08-31,,853,,,,
2015-09-01,,804,,,,
2015-09-02,,785,,,,
2015-09-03,,682,,,,
2015-09-04,,695,,,,
2015-09-05,,724,,,,
2015-09-06,,882,,,,
2015-09-07,,850,,,,
2015-09-08,,900,,,,
2015-09-09,,878,,,,
2015-09-10,,913,,,,
2015-09-11,,972,,,,
2015-09-12,,867,,,,
2015-09-13,,867,,,,
2015-09-14,,927,,,,
2015-09-15,,840,,,,
2015-09-16,,835,,,,
2015-09-17,,904,,,,
2015-09-18,,818,,,,
2015-09-19,,794,,,,
2015-09-20,,856,,,,
2015-09-21,,919,,,,
2015-09-22,,916,,,,
2015-09-23,,905,,,,
2015-09-24,,937,,,,
2015-09-25,,906,,,,
2015-09-26,,850,,,,
2015-09-27,,859,,,,
2015-09-28,,932,,,,
2015-09-29,,849,,,,
2015-09-30,,870,,,,
2015-10-01,,847,,,,
2015-10-02,,798,,,,
2015-10-03,,812,,,,
2015-10-04,,823,,,,
2015-10-05,,813,,,,
2015-10-06,,834,,,,
2015-10-07,,816,,,,
2015-10-08,,817,,,,
2015-10-09,,823,,,,
2015-10-10,,760,,,,
2015-10-11,,801,,,,
2015-10-12,,798,,,,
2015-10-13,,795,,,,
2015-10-14,,884,,,,
2015-10-15,,813,,,,
2015-10-16,,821,,,,
2015-10-17,,806,,,,
2015-10-18,,768,,,,
2015-10-19,,793,,,,
2015-10-20,,767,,,,
2015-10-21,,829,,,,
2015-10-22,,781,,,,
2015-10-23,,886,,,,
2015-10-24,,822,,,,
2015-10-25,,848,,,,
2015-10-26,,917,,,,
2015-10-27,,1030,,,,
2015-10-28,,1043,,,,
2015-10-29,,1151,,,,
2015-10-30,,1174,,,,
2015-10-31,,1099,,,,
2015-11-01,,1105,,,,
2015-11-02,,1244,,,,
2015-11-03,,1175,,,,
2015-11-04,,1142,,,,
2015-11-05,,1193,,,,
2015-11-06,,1156,,,,
2015-11-07,,1076,,,,
2015-11-08,,1130,,,,
2015-11-09,,1235,,,,
2015-11-10,,1198,,,,
2015-11-11,,1201,,,,
2015-11-12,,1153,,,,
2015-11-13,,1144,,,,
2015-11-14,,1187,,,,
2015-11-15,,1172,,,,
2015-11-16,,1227,,,,
2015-11-17,,1247,,,,
2015-11-18,,1243,,,,
2015-11-19,,1210,,,,
2015-11-20,,1021,,,,
2015-11-21,,1042,,,,
2015-11-22,,988,,,,
2015-11-23,,1071,,,,
2015-11-24,,1080,,,,
2015-11-25,,1063,,,,
2015-11-26,,1069,,,,
2015-11-27,,988,,,,
2015-11-28,,1011,,,,
2015-11-29,,1027,,,,
2015-11-30,,944,,,,
2015-12-01,,939,,,,
2015-12-02,,899,,,,
2015-12-03,,960,,,,
2015-12-04,,917,,,,
2015-12-05,,935,,,,
2015-12-06,,1167,,,,
2015-12-07,,1202,,,,
2015-12-08,,1046,,,,
2015-12-09,,1046,,,,
2015-12-10,,1037,,,,
2015-12-11,,1071,,,,
2015-12-12,,1140,,,,
2015-12-13,,1212,,,,
2015-12-14,,1446,,,,
2015-12-15,,1417,,,,
2015-12-16,,1411,,,,
2015-12-17,,1467,,,,
2015-12-18,,1399,,,,
2015-12-19,,1411,,,,
2015-12-20,,1422,,,,
2015-12-21,,1481,,,,
2015-12-22,,1462,,,,
2015-12-23,,1435,,,,
2015-12-24,,1440,,,,
2015-12-25,,1383,,,,
2015-12-26,,1421,,,,
2015-12-27,,1387,,,,
2015-12-28,,1542,,,,
2015-12-29,,1498,,,,
2015-12-30,,1406,,,,
2015-12-31,,1610,,,,
2016-01-01,,1472,,,,
2016-01-02,,1527,,,,
