date,Aave,Compound,Kamino,Morpho,Spark,Maple,Tydro
2020-06-21,0.0,19.65262933340881,0,0,0,0.0,0.0
2020-06-28,0.0,1070.8928508072115,0,0,0,0.0,0.0
2020-07-05,0.0,2454.693354701842,0,0,0,0.0,0.0
2020-07-12,0.0,278.3704505799778,0,0,0,0.0,0.0
2020-07-19,0.0,261.89612594887694,0,0,0,0.0,0.0
2020-07-26,0.0,259.29365619492376,0,0,0,0.0,0.0
2020-08-02,0.0,269.8273411873794,0,0,0,0.0,0.0
2020-08-09,0.0,211.3545202407358,0,0,0,0.0,0.0
2020-08-16,0.0,208.09424769779463,0,0,0,0.0,0.0
2020-08-23,0.0,66842.43422142198,0,0,0,0.0,0.0
2020-08-30,0.0,86430.50807227845,0,0,0,0.0,0.0
2020-09-06,0.0,92862.21928747036,0,0,0,0.0,0.0
2020-09-13,0.0,68427.9014035173,0,0,0,0.0,0.0
2020-09-20,0.0,90061.97861568227,0,0,0,0.0,0.0
2020-09-27,0.0,60306.49259865777,0,0,0,0.0,0.0
2020-10-04,0.0,60894.56882664121,0,0,0,0.0,0.0
2020-10-11,0.0,62634.921013344414,0,0,0,0.0,0.0
2020-10-18,0.0,82930.30691234043,0,0,0,0.0,0.0
2020-10-25,0.0,87484.99495116259,0,0,0,0.0,0.0
2020-11-01,0.0,87015.98688175961,0,0,0,0.0,0.0
2020-11-08,0.0,91509.56115708772,0,0,0,0.0,0.0
2020-11-15,0.0,101858.84072626858,0,0,0,0.0,0.0
2020-11-22,0.0,110802.13660665604,0,0,0,0.0,0.0
2020-11-29,0.0,121085.24470408802,0,0,0,0.0,0.0
2020-12-06,0.0,114540.28578333676,0,0,0,0.0,0.0
2020-12-13,0.0,121562.33759430298,0,0,0,0.0,0.0
2020-12-20,0.0,247918.7983550969,0,0,0,0.0,0.0
2020-12-27,6222.390604617463,305363.1863708048,0,0,0,0.0,0.0
2021-01-03,17915.76283372129,451596.7779234568,0,0,0,0.0,0.0
2021-01-10,28804.237486762748,384260.40317034186,0,0,0,0.0,0.0
2021-01-17,32167.23000606308,465417.86908671295,0,0,0,0.0,0.0
2021-01-24,53379.7379774615,523609.55966283777,0,0,0,0.0,0.0
2021-01-31,56594.26203500368,436778.9915356361,0,0,0,0.0,0.0
2021-02-07,96928.56234431878,707896.7309470496,0,0,0,0.0,0.0
2021-02-14,175371.03774281242,1123891.7530941537,0,0,0,0.0,0.0
2021-02-21,293019.57039078354,1224333.231477936,0,0,0,0.0,0.0
2021-02-28,192585.76138969505,951204.6400161884,0,0,0,0.0,0.0
2021-03-07,197282.61046380343,874947.2831104425,0,0,0,0.0,0.0
2021-03-14,373152.63449089846,1009184.7036888202,0,0,0,0.0,0.0
2021-03-21,286615.54389086686,962851.1230181982,0,0,0,0.0,0.0
2021-03-28,198883.7624991532,1070126.0095372228,0,0,0,0.0,0.0
2021-04-04,323959.99977156287,1360174.216530034,0,0,0,0.0,0.0
2021-04-11,323248.42388161446,1451437.6325319349,0,0,0,0.0,0.0
2021-04-18,458854.20093699294,1399295.8379308346,0,0,0,0.0,0.0
2021-04-25,283143.22980418394,983878.9675945973,0,0,0,0.0,0.0
2021-05-02,552290.9135734395,886523.949094221,0,0,0,0.0,0.0
2021-05-09,998550.9086349652,1014638.6587928789,0,0,0,0.0,0.0
2021-05-16,1427877.543867759,1181024.1423408976,0,0,0,0.0,0.0
2021-05-23,1102440.0298480468,813927.3838200099,0,0,0,0.0,0.0
2021-05-30,543673.7603032034,482762.7479922185,0,0,0,84822.84000000001,0.0
2021-06-06,459713.4116638645,488779.6024585776,0,0,0,0.0,0.0
2021-06-13,453799.6197518086,502516.7195388211,0,0,0,0.0,0.0
2021-06-20,451324.2136166419,485915.8940206328,0,0,0,0.0,0.0
2021-06-27,483635.27137890726,382334.092500958,0,0,0,0.0,0.0
2021-07-04,459687.15515422507,327789.21106199326,0,0,0,39962.45,0.0
2021-07-11,520549.132629691,409067.8143608908,0,0,0,0.0,0.0
2021-07-18,458933.7494003561,538011.0000780758,0,0,0,77693.99,0.0
2021-07-25,493851.92166310095,589074.851127773,0,0,0,21314.11,0.0
2021-08-01,535490.5022947956,638472.4817163239,0,0,0,25055.33,0.0
2021-08-08,567717.3993405778,654506.2265888293,0,0,0,31220.73,0.0
2021-08-15,736941.0129491335,700867.3446634255,0,0,0,49522.09,0.0
2021-08-22,878703.951221749,731881.1809660345,0,0,0,71719.92,0.0
2021-08-29,987396.3561333652,763312.5861485021,0,0,0,62461.89,0.0
2021-09-05,1222667.1686189766,838626.4101340557,0,0,0,46324.3,0.0
2021-09-12,1145699.7493100455,892740.6945097249,0,0,0,84264.76,0.0
2021-09-19,1092054.1093810988,797176.7097238706,0,0,0,2512.35,0.0
2021-09-26,972720.9136485396,807897.4416644137,0,0,0,0.0,0.0
2021-10-03,914463.338797556,737298.4429199814,0,0,0,30057.76,0.0
2021-10-10,1014104.5491726666,599055.9014443146,0,0,0,27971.59,0.0
2021-10-17,1237201.6020041811,677090.3240764794,0,0,0,57618.57000000001,0.0
2021-10-24,1097582.1511340786,928403.7523213802,0,0,0,51269.04,0.0
2021-10-31,1532921.654293031,1008401.3693414576,0,0,0,23773.34,0.0
2021-11-07,1086553.1989982792,982253.293046695,0,0,0,22558.37,0.0
2021-11-14,905960.2180003128,782903.7645687559,0,0,0,75305.34,0.0
2021-11-21,532099.9776106025,735099.1807128809,0,0,0,94623.84,0.0
2021-11-28,619330.6963735131,694521.3170696434,0,0,0,25004.24,0.0
2021-12-05,705820.9398296415,734377.8663596708,0,0,0,103501.22,0.0
