date,BNB Chain,Frax,Jito,Kinetiq,Lido,Mantle,Marinade,Rocket Pool,Stader,STRD,Swell Network
2020-12-19,,,,,1008.7577756849304,,,,,,
2020-12-20,,,,,1453271.256446818,,,,,,
2020-12-21,,,,,2540274.6387098804,,,,,,
2020-12-22,,,,,3537148.251730289,,,,,,
2020-12-23,,,,,4426429.068531914,,,,,,
2020-12-24,,,,,4721174.738937503,,,,,,
2020-12-25,,,,,5845509.806852592,,,,,,
2020-12-26,,,,,7462949.720500406,,,,,,
2020-12-27,,,,,8265157.06957073,,,,,,
2020-12-28,,,,,11300798.548406187,,,,,,
2020-12-29,,,,,11454312.59762875,,,,,,
2020-12-30,,,,,12079232.766458737,,,,,,
2020-12-31,,,,,12286632.597238204,,,,,,
2021-01-01,,,,,12284342.175508251,,,,,,
2021-01-02,,,,,13161300.219659358,,,,,,
2021-01-03,,,,,16561020.999845358,,,,,,
2021-01-04,,,,,17602914.864081785,,,,,,
2021-01-05,,,,,19159015.29833864,,,,,,
2021-01-06,,,,,21523087.938875176,,,,,,
2021-01-07,,,,,22523093.974587902,,,,,,
2021-01-08,,,,,23154483.81485368,,,,,,
2021-01-09,,,,,26143212.92778956,,,,,,
2021-01-10,,,,,27563203.05149001,,,,,,
2021-01-11,,,,,27767444.49789214,,,,,,
2021-01-12,,,,,27467675.95167436,,,,,,
2021-01-13,,,,,31841689.433825187,,,,,,
2021-01-14,,,,,57250191.25352965,,,,,,
2021-01-15,,,,,73977312.88824818,,,,,,
2021-01-16,,,,,82550934.94213144,,,,,,
2021-01-17,,,,,86860407.1747692,,,,,,
2021-01-18,,,,,89591007.1520196,,,,,,
2021-01-19,,,,,98874516.80331542,,,,,,
2021-01-20,,,,,102612902.5394882,,,,,,
2021-01-21,,,,,86139949.5555046,,,,,,
2021-01-22,,,,,95275085.72971328,,,,,,
2021-01-23,,,,,94987852.053749,,,,,,
2021-01-24,,,,,123670009.84556682,,,,,,
2021-01-25,,,,,119381865.5873322,,,,,,
2021-01-26,,,,,123799658.32831883,,,,,,
2021-01-27,,,,,119599855.45079534,,,,,,
