date,Ethereum - ETF Flows,ETHA - ETF Flows,ETHE - ETF Flows,ETHV - ETF Flows,ETHW - ETF Flows,EZET - ETF Flows,FETH - ETF Flows,QETH - ETF Flows,TETH - ETF Flows,ETHB - ETF Flows
2024-07-31,200800000,623200000,-1977100000,51100000,284500000,29500000,279400000,14200000,10800000,0
2024-08-31,38400000,389400000,-583200000,11900000,29600000,5800000,113500000,800000,0,0
2024-09-30,55200000,133500000,-346600000,3200000,12600000,0,85600000,7600000,2900000,0
2024-10-31,5100000,197000000,-196600000,10400000,-8900000,1800000,35900000,2500000,8200000,0
2024-11-30,120400000,778900000,-246600000,39100000,73800000,0,309700000,2500000,-2000000,0
2024-12-31,180900000,1421500000,-273800000,12000000,9700000,500000,752300000,-9600000,-9400000,0
2025-01-31,-6700000,612100000,-272900000,8500000,-1500000,0,-163700000,2000000,1200000,0
2025-02-28,11000000,137200000,-140700000,0,-25500000,0,72800000,0,5200000,0
2025-03-31,-34500000,-200900000,-91500000,-800000,2400000,-1400000,-68500000,-400000,-1500000,0
2025-04-30,34400000,108000000,-124500000,-1800000,-3200000,300000,43500000,1800000,7600000,0
2025-05-31,64000000,424100000,900000,5900000,10300000,3100000,54300000,1600000,0,0
2025-06-30,69400000,917500000,-14100000,1800000,26300000,3000000,160700000,0,500000,0
2025-07-31,459000000,4219200000,-3200000,28400000,102600000,18800000,581800000,3700000,3400000,0
2025-08-31,198700000,3382500000,-214700000,23000000,-21100000,1500000,493200000,1200000,9000000,0
2025-09-30,78600000,315000000,-28700000,6400000,-38800000,8600000,-51600000,4900000,-8800000,0
2025-10-31,65200000,727700000,-174100000,-4800000,-3800000,-5800000,-27800000,-4200000,-7500000,0
2025-11-30,-91000000,-1020200000,-206900000,-20500000,6700000,4800000,-98800000,1100000,1200000,0
2025-12-31,39200000,-579400000,-117100000,-9900000,-4600000,-7800000,59500000,0,3800000,0
2026-01-31,138600000,-325600000,-95400000,-8500000,11600000,2400000,-72300000,0,6600000,0
2026-02-28,111000000,-408500000,-3300000,11400000,-17800000,0,-69200000,1200000,5400000,0
2026-03-31,87100000,-191800000,-29500000,-9100000,-15400000,0,-183800000,-700000,-6400000,260300000
