date,Arbitrum,Avalanche C-Chain,Base,BNB Chain,Ethereum,Hyperliquid,Plasma,Solana
2019-11-17,0,0,0,0,0,0,0,0
2019-11-24,0,0,0,0,18261063,0,0,0
2019-12-01,0,0,0,0,25862173,0,0,0
2019-12-08,0,0,0,0,56471662,0,0,0
2019-12-15,0,0,0,0,63003775,0,0,0
2019-12-22,0,0,0,0,69398110,0,0,0
2019-12-29,0,0,0,0,70770758,0,0,0
2020-01-05,0,0,0,0,74134670,0,0,0
2020-01-12,0,0,0,0,83666470,0,0,0
2020-01-19,0,0,0,0,95889805,0,0,0
2020-01-26,0,0,0,0,101250940,0,0,0
2020-02-02,0,0,0,0,105887252,0,0,0
2020-02-09,0,0,0,0,114049347,0,0,0
2020-02-16,0,0,0,0,125685184,0,0,0
2020-02-23,0,0,0,0,120325566,0,0,0
2020-03-01,0,0,0,0,116237060,0,0,0
2020-03-08,0,0,0,0,120899548,0,0,0
2020-03-15,0,0,0,0,84280732,0,0,0
2020-03-22,0,0,0,0,76280558,0,0,0
2020-03-29,0,0,0,0,80008559,0,0,0
2020-04-05,0,0,0,0,85231374,0,0,0
2020-04-12,0,0,0,0,79745584,0,0,0
2020-04-19,0,0,0,0,86777155,0,0,0
2020-04-26,0,0,0,0,96545178,0,0,0
2020-05-03,0,0,0,0,109638835,0,0,0
2020-05-10,0,0,0,0,107717779,0,0,0
2020-05-17,0,0,0,0,108858094,0,0,0
2020-05-24,0,0,0,0,119165010,0,0,0
2020-05-31,0,0,0,0,128591199,0,0,0
2020-06-07,0,0,0,0,133451919,0,0,0
2020-06-14,0,0,0,0,115324839,0,0,0
2020-06-21,0,0,0,0,124267900,0,0,0
2020-06-28,0,0,0,0,126284398,0,0,0
2020-07-05,0,0,0,0,173805166,0,0,0
2020-07-12,0,0,0,0,190857285,0,0,0
2020-07-19,0,0,0,0,218953929,0,0,0
2020-07-26,0,0,0,0,272929208,0,0,0
2020-08-02,0,0,0,0,361686311,0,0,0
2020-08-09,0,0,0,0,375245351,0,0,0
2020-08-16,0,0,0,0,418785740,0,0,0
2020-08-23,0,0,0,0,1392503944,0,0,0
2020-08-30,0,0,0,0,1372462621,0,0,0
2020-09-06,0,0,0,0,1109735494,0,0,0
2020-09-13,0,0,0,0,1178396217,0,0,0
2020-09-20,0,0,0,0,1635127018,0,0,0
2020-09-27,0,0,0,0,1963255922,0,0,0
2020-10-04,0,0,0,0,1883203216,0,0,0
2020-10-11,0,0,0,0,2009510819,0,0,0
2020-10-18,0,0,0,0,2034425968,0,0,0
2020-10-25,0,0,0,0,2328228911,0,0,0
2020-11-01,0,0,0,0,2281570688,0,0,0
2020-11-08,0,0,0,0,2390569205,0,0,0
2020-11-15,0,0,0,0,2648142403,0,0,0
2020-11-22,0,0,0,0,2783630721,0,0,0
2020-11-29,0,0,0,30133041,2662658887,0,0,0
2020-12-06,0,0,0,53004868,2791474032,0,0,0
2020-12-13,0,0,0,105158962,2920200463,0,0,0
2020-12-20,0,0,0,104389241,3073727929,0,0,0
2020-12-27,0,0,0,115459066,3068500683,0,0,0
2021-01-03,0,0,0,97116669,3249016977,0,0,0
2021-01-10,0,0,0,124510521,3462773274,0,0,0
2021-01-17,0,0,0,99695449,3874071885,0,0,0
2021-01-24,0,0,0,122897639,3987780440,0,0,0
2021-01-31,0,0,0,168511612,4394026897,0,0,0
2021-02-07,0,0,0,316980555,5107440477,0,0,0
2021-02-14,0,0,0,750312186,6225982074,0,0,0
2021-02-21,0,0,0,1924570602,7343391623,0,0,0
2021-02-28,0,0,0,1563314171,6869521287,0,0,0
2021-03-07,0,0,0,1482092590,7663150043,0,0,0
2021-03-14,0,0,0,2540022840,8445848552,0,0,0
2021-03-21,0,0,0,2718527713,9110920280,0,0,0
2021-03-28,0,0,0,2745340723,9228087370,0,0,0
2021-04-04,0,0,0,3421506723,10161774166,0,0,0
2021-04-11,0,0,0,3863212207,11096866091,0,0,0
2021-04-18,0,0,0,5466890619,13274908821,0,0,0
2021-04-25,0,0,0,2309854082,12990120396,0,0,0
2021-05-02,0,0,0,3935035982,16618858543,0,0,0
2021-05-09,0,0,0,7628563955,19133661582,0,0,0
2021-05-16,0,0,0,3442043977,18973651750,0,0,0
2021-05-23,0,0,0,1225966927,14591926494,0,0,0
2021-05-30,0,0,0,1091507105,14290202674,0,0,0
2021-06-06,0,0,0,1218508340,15783993286,0,0,0
2021-06-13,0,0,0,904151620,16232003491,0,0,0
2021-06-20,0,0,0,903062462,16647227497,0,0,0
2021-06-27,0,0,0,796624059,15673232199,0,0,0
2021-07-04,0,0,0,913710511,15100299326,0,0,0
2021-07-11,0,0,0,1031175882,16772709700,0,0,0
2021-07-18,0,0,0,1038930420,18769954718,0,0,0
2021-07-25,0,0,0,1023011472,19322858510,0,0,0
2021-08-01,0,0,0,1256360158,20416409679,0,0,0
2021-08-08,0,0,0,1349986212,20987459520,0,0,0
2021-08-15,0,0,0,1391630062,22397748718,0,0,0
2021-08-22,0,342168708,0,1427288956,22629784948,0,0,0
2021-08-29,0,769796633,0,1375638394,22877372811,0,0,0
2021-09-05,0,767974241,0,1345445090,24663802476,0,0,0
2021-09-12,0,668592940,0,1178720257,24113477817,0,0,0
2021-09-19,0,838864276,0,1203135983,23993283844,0,0,0
2021-09-26,0,915687998,0,1129220075,22888855059,0,0,0
2021-10-03,0,1104716007,0,1236837584,19961741695,0,0,0
2021-10-10,0,2294867909,0,1105126048,20053966476,0,0,0
2021-10-17,0,3012049700,0,1409132238,22368224311,0,0,0
2021-10-24,0,3547243412,0,1293783742,22868725161,0,0,0
2021-10-31,0,3628035755,0,1337917222,21459049369,0,0,0
2021-11-07,0,3935709830,0,1529480381,22673400129,0,0,0
2021-11-14,0,4562952726,0,1559082983,23179910736,0,0,0
2021-11-21,0,5109105018,0,1176044286,23191319826,0,0,0
2021-11-28,0,5314969635,0,1185773042,23169664916,0,0,0
2021-12-05,0,5124769179,0,1057488324,23548041665,0,0,0
2021-12-12,0,4932109488,0,1360129424,23309083335,0,0,0
2021-12-19,0,5173539366,0,1108855628,22496590364,0,0,0
2021-12-26,0,5149594028,0,1144031246,22870048559,0,0,0
2022-01-02,0,5023173281,0,1122606085,22020264836,0,0,0
2022-01-09,0,4409725441,0,966856562,21408224630,0,0,0
2022-01-16,0,4270704257,0,1294574254,21610329298,0,0,0
2022-01-23,0,3287545207,0,752538365,18673207564,0,0,0
2022-01-30,0,3239093090,0,752393376,18182116832,0,0,0
2022-02-06,0,3570471210,0,800026637,18261938048,0,0,0
2022-02-13,0,4322723199,0,754195831,19285835602,0,0,0
2022-02-20,0,4469020620,0,903231497,19135752915,0,0,0
2022-02-27,0,4077468826,0,711253566,16746619029,0,0,0
2022-03-06,0,3916887692,0,927673791,17183591648,0,0,0
2022-03-13,0,3751934505,0,724604846,17158786536,0,0,0
2022-03-20,1645557,3559198244,0,824978995,17831395743,0,0,0
2022-03-27,2305381,3425116367,0,876221500,18338959150,0,0,0
2022-04-03,3802337,3569678510,0,907457484,18593457258,0,0,0
2022-04-10,4585403,2992188809,0,860633648,18705151101,0,0,0
2022-04-17,4619239,2894525271,0,820385197,18416707650,0,0,0
2022-04-24,5558484,4134843652,0,820617170,18429021655,0,0,0
2022-05-01,6615217,4183974191,0,884561106,17151217629,0,0,0
2022-05-08,6702536,2844339049,0,732348813,15862767365,0,0,0
2022-05-15,6026147,1295157037,0,54395100,11497584822,0,0,0
2022-05-22,6931641,1321445562,0,420857826,11280692139,0,0,0
2022-05-29,5784591,943107343,0,423480644,11061848250,0,0,0
2022-06-05,6612563,3142613399,0,408009033,11353411380,0,0,0
2022-06-12,6352212,3386881813,0,414855219,11054204993,0,0,0
2022-06-19,5428740,2322518640,0,306351772,8992643715,0,0,0
2022-06-26,5739601,2376897479,0,346751483,9039830296,0,0,0
2022-07-03,5860166,2230106774,0,337160966,9109790443,0,0,0
2022-07-10,5511968,1726838836,0,363361374,9217851253,0,0,0
2022-07-17,5667644,1759236572,0,341841547,9405906614,0,0,0
2022-07-24,7087089,1510032594,0,360858708,9825486468,0,0,0
2022-07-31,8163168,1464715648,0,386020646,10005139523,0,0,0
2022-08-07,8532101,1421324541,0,389231765,10009158594,0,0,0
2022-08-14,9392855,1536428592,0,399111572,10343252468,0,0,0
2022-08-21,8798689,1119977564,0,362375516,9774500893,0,0,0
2022-08-28,9743600,1093560331,0,356721457,9614673528,0,0,0
2022-09-04,9871942,899821710,0,368476257,9749321205,0,0,0
2022-09-11,12566062,923087688,0,375559080,9929402950,0,0,0
2022-09-18,10725907,865585266,0,353672067,8983670412,0,0,0
2022-09-25,10469556,892033586,0,354534721,9310674413,0,0,0
2022-10-02,10950185,688533298,0,351277076,9268012579,0,0,0
2022-10-09,11230608,674324284,0,468651603,9203729138,0,0,0
2022-10-16,11519669,599791329,0,478448102,8905562449,0,0,0
2022-10-23,12127640,503502042,0,480985095,8743838896,0,0,0
2022-10-30,14483817,507689557,0,503431409,8890888842,0,0,0
2022-11-06,14554616,505850363,0,752876767,8910274695,0,0,0
2022-11-13,12001683,321361862,0,493017528,8481321292,0,0,0
2022-11-20,13461229,328230124,0,481408747,8156098808,0,0,0
2022-11-27,14486388,291699297,0,821380322,7748667011,0,0,0
2022-12-04,16964832,259645783,0,458716239,7848228943,0,0,0
2022-12-11,20066733,238985460,0,465160338,7870959944,0,0,0
2022-12-18,22074697,209125030,0,434936589,7797289383,0,0,0
2022-12-25,21563021,212021394,0,435874831,7749455756,0,0,0
2023-01-01,20482522,187276286,0,426449329,7604410193,0,0,0
2023-01-08,19789134,198208674,0,430757059,7728257355,0,0,0
2023-01-15,22363582,247219358,0,467690685,7916505438,0,0,0
2023-01-22,21674926,250197774,0,493558544,7997824464,0,0,0
2023-01-29,21732502,254249879,0,495177982,8165171568,0,0,0
2023-02-05,24486682,250815519,0,505771952,8323476844,0,0,0
2023-02-12,29406530,245330732,0,502614995,8174168062,0,0,0
2023-02-19,33625331,256239133,0,514435699,8348758303,0,0,0
2023-02-26,35224602,223180954,0,504231775,8318934247,0,0,0
2023-03-05,37075637,163217149,0,503874361,8347660546,0,0,0
2023-03-12,31076775,142762981,0,454158345,9574034047,0,0,0
2023-03-19,39512002,146343507,0,792689971,8769021629,0,0,0
