date,Aptos,Avalanche C-Chain,Ethereum,Near,Sui,Polygon PoS,Solana,TON,Acala,Aioz Network,Aleo,Algorand
2015-08-07,,,80339475.0,,,,,,,,,
2015-08-10,,,64539006.3062722,,,,,,,,,
2015-08-11,,,76013261.054154,,,,,,,,,
2015-08-12,,,110468836.22389,,,,,,,,,
2015-08-13,,,110555313.260253,,,,,,,,,
2015-08-14,,,101215246.378106,,,,,,,,,
2015-08-15,,,89480939.2402503,,,,,,,,,
2015-08-16,,,87313387.9454792,,,,,,,,,
2015-08-17,,,92957858.0620156,,,,,,,,,
2015-08-18,,,90920695.8654775,,,,,,,,,
2015-08-19,,,107749185.841084,,,,,,,,,
2015-08-20,,,102131022.827861,,,,,,,,,
2015-08-21,,,100308763.782298,,,,,,,,,
2015-08-22,,,98488001.4446444,,,,,,,,,
2015-08-23,,,90625948.3179712,,,,,,,,,
2015-08-24,,,84423109.0806637,,,,,,,,,
2015-08-25,,,81454879.4696853,,,,,,,,,
2015-08-26,,,82504022.8230964,,,,,,,,,
2015-08-27,,,86549490.6326621,,,,,,,,,
2015-08-28,,,85515599.8743557,,,,,,,,,
2015-08-29,,,96321049.6917207,,,,,,,,,
2015-08-30,,,98608290.5395479,,,,,,,,,
2015-08-31,,,98446826.4942576,,,,,,,,,
2015-09-01,,,93224371.2591502,,,,,,,,,
2015-09-02,,,92075482.6329798,,,,,,,,,
2015-09-03,,,92596631.5533372,,,,,,,,,
2015-09-04,,,97402782.6191348,,,,,,,,,
2015-09-05,,,94801706.7050199,,,,,,,,,
2015-09-06,,,91718481.3178905,,,,,,,,,
2015-09-07,,,90274690.3994706,,,,,,,,,
2015-09-08,,,88150718.6687617,,,,,,,,,
2015-09-09,,,85308945.82326,,,,,,,,,
2015-09-10,,,71394234.949588,,,,,,,,,
2015-09-11,,,75931677.0125405,,,,,,,,,
2015-09-12,,,68673818.8013579,,,,,,,,,
2015-09-13,,,63965969.2110576,,,,,,,,,
2015-09-14,,,68951445.2301325,,,,,,,,,
2015-09-15,,,66147947.5799284,,,,,,,,,
2015-09-16,,,64693831.0786229,,,,,,,,,
2015-09-17,,,62003275.1207728,,,,,,,,,
