date,Aave,Benqi Finance,Compound,Euler,Fluid,Moonwell,Morpho,Sonne Finance,Spark,Venus
2020-06-30,0.0,0.0,1216.3580740128168,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-07-31,0.0,0.0,820.6150670231154,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-08-31,0.0,0.0,125810.56214041988,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-09-30,0.0,0.0,123105.00054749344,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-10-31,0.0,0.0,170458.45678856762,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-11-30,0.0,0.0,206981.81421596865,0.0,0.0,0.0,0,0.0,0.0,6604.973336641733
2020-12-31,47169.92974759868,0.0,530242.3674985098,0.0,0.0,0.0,0,0.0,0.0,17095.006627419203
2021-01-31,100919.4492264562,0.0,693825.7908916748,0.0,0.0,0.0,0,0.0,0.0,32381.59282435057
2021-02-28,112628.1005324279,0.0,866243.9715280877,0.0,0.0,0.0,0,0.0,0.0,307409.29194586654
2021-03-31,351765.16091142304,0.0,1781610.5212035556,0.0,0.0,0.0,0,0.0,0.0,645583.7004847762
2021-04-30,626640.6923061048,0.0,1095768.346254433,0.0,0.0,0.0,0,0.0,0.0,541899.5124195869
2021-05-31,462930.0866170608,0.0,519440.06602566567,0.0,0.0,0.0,0,0.0,0.0,212823.7454527356
2021-06-30,485206.99285893526,0.0,303168.10483462457,0.0,0.0,0.0,0,0.0,0.0,101290.80339322163
2021-07-31,614979.5315961367,0.0,791123.2850365759,0.0,0.0,0.0,0,0.0,0.0,260809.0938090761
2021-08-31,1632694.057617179,119647.2768846249,959252.9391563012,0.0,0.0,0.0,0,0.0,0.0,215554.8874548748
2021-09-30,905895.6627657828,185696.09909089777,1045414.6970572072,0.0,0.0,0.0,0,0.0,0.0,325622.47336183215
2021-10-31,2325587.6794689875,387826.2526627381,1962442.0962400748,0.0,0.0,0.0,0,0.0,0.0,406912.1196060941
2021-11-30,900433.3311462902,635482.695632138,834947.0526726114,0.0,0.0,0.0,0,0.0,0.0,333269.52768513194
2021-12-31,704253.4919004657,563946.6721302145,747735.0170147917,0.0,0.0,0.0,0,0.0,0.0,215528.63209726705
2022-01-31,459326.2687514917,276315.3352358681,401825.02694390976,0.0,0.0,0.0,0,0.0,0.0,98555.4590807704
2022-02-28,259855.0417319927,289377.9620617836,326062.0920448527,0.0,0.0,0.0,0,0.0,0.0,82673.22452970312
2022-03-31,490397.7737265119,238391.37760719887,398424.34973074327,0.0,0.0,0.0,0,0.0,0.0,182577.48316204007
2022-04-30,873529.6907413355,94821.0123575983,233652.9929857243,0.0,0.0,0.0,0,0.0,0.0,156805.58150532164
2022-05-31,302598.00029084855,18864.489349261075,87330.79320956647,0.0,0.0,0.0,0,0.0,0.0,50470.59974076881
2022-06-30,361494.321031132,16913.994761746413,53321.13570246718,0.0,0.0,0.0,0,0.0,0.0,33306.69647078025
2022-07-31,294367.5413832288,23412.125009225747,62903.58195139706,0.0,0.0,0.0,0,0.0,0.0,34592.09064839639
2022-08-31,402360.589648972,17952.768552581518,66502.30121349527,0.0,0.0,0.0,0,0.0,0.0,42351.70453521689
2022-09-30,229947.15657141653,14681.77372812325,68664.86416831684,0.0,0.0,0.0,0,61.3025087383068,0.0,33919.05097835856
2022-10-31,205340.7988319965,9155.1876569656,53328.88324334802,0.0,0.0,0.0,0,6189.49918591517,0.0,53269.86240948657
2022-11-30,163662.00835836667,4779.308824099366,46906.36851627746,0.0,0.0,0.0,0,8180.326213021751,0.0,554550.5450820619
2022-12-31,167335.2244746109,4353.288648801043,52679.54328474868,0.0,0.0,0.0,0,4773.93618614039,0.0,48983.92901398953
2023-01-31,178690.21344245263,5728.425114543909,77886.59419726506,0.0,0.0,0.0,0,10324.560446103074,0.0,79894.10214908862
2023-02-28,35020.24636570942,7722.141732210458,92237.17775972388,0.0,0.0,0.0,0,20970.12688358364,0.0,75608.08488166626
2023-03-31,72537.74925683113,6207.109258069095,83965.55125791012,0.0,0.0,0.0,0,15921.13113922894,0.0,69252.82275967357
2023-04-30,71792.46804410043,6919.152232726201,98775.7519470271,0.0,0.0,0.0,0,12154.966154887768,0.0,74443.03186297222
2023-05-31,77913.40327336476,6239.345789951486,79970.30347518323,0.0,0.0,0.0,0,9545.998338165342,0.0,53098.16510028945
2023-06-30,99171.81742326396,5120.598245227673,79875.18335685754,0.0,0.0,0.0,0,12134.117585863398,588.2839741780723,70760.7072072189
2023-07-31,271569.1736676505,5170.709971102658,110571.54853290616,0.0,0.0,0.0,0,13664.375717346937,1834.7038474998467,57077.66418055822
2023-08-31,141716.17035322584,3740.354731990024,106039.02740131888,0.0,0.0,1633.0697743851192,0,11169.538425919334,45987.85223602859,112992.69203962963
2023-09-30,397729.8822472104,3490.3259984456504,121889.34283078845,0.0,0.0,662.4145253364445,0,8839.476901027838,26379.8896052864,75633.98353319896
2023-10-31,396897.1551028653,4397.979220740709,131034.80301030054,0.0,0.0,1102.7707136251631,0,8862.35530662271,38056.026788858064,75553.5072170008
2023-11-30,401683.7166179987,6752.85231470787,137264.92963325873,0.0,0.0,2120.296150458224,0,8485.970414143825,84326.57876721257,68836.07646178786
2023-12-31,574757.028830165,14131.034283170706,183224.47176526103,0.0,0.0,3625.145932021219,0,10126.366110208462,126534.37257705626,667816.0389702605
2024-01-31,524560.0247659466,15992.753941344385,286375.0996322619,0.0,0.0,2720.921564642462,1894,9326.573789740472,149478.31297722948,121846.08585769836
2024-02-29,903777.7708587667,18208.80611447914,340211.66827606456,0.0,0.0,5089.708198855398,14768,8543.46093976953,191014.6898442816,671303.4823234592
2024-03-31,1542706.6660678852,29871.287690248548,440002.2092403295,0.0,0.0,8888.272476795066,172352,15688.488937849272,405222.27490163577,535948.2361919244
2024-04-30,1131068.0644340827,16138.268802507942,182603.8786279425,0.0,0.0,8950.380954685394,110337,9172.903100600102,252549.79591526216,627295.1547154465
2024-05-31,1274536.971648303,15778.751035189436,227257.03237692275,0.0,0.0,26700.659905089346,220398,0.0,239681.86417531228,196951.2231754392
2024-06-30,1264549.522418352,12323.60531856697,188331.4109728241,0.0,0.0,26092.979922050363,110123,0.0,274676.0242844621,127884.75554057393
2024-07-31,1165614.865318629,21568.79911550516,152440.01146923442,0.0,0.0,23067.78982117168,156619,0.0,248725.48937516453,109374.83804844395
2024-08-31,779837.1184372245,21292.410380907,95893.59137995329,7.095436241145908,0.0,16624.90544345222,75005,0.0,230556.3495343784,117362.18344330868
2024-09-30,898692.7009420748,26332.870810270982,129036.1218909532,180.6965231735865,0.0,21116.86298038385,143423,0.0,172677.06400551958,83108.77604837147
2024-10-31,1195868.8801658398,30384.52317137627,190067.9948920701,631.8614194114238,0.0,30775.824643298994,134015,0.0,271983.9847646531,102099.61003763007
2024-11-30,2017906.8620943748,32679.558160837867,353079.7125930881,4512.244264943525,0.0,28577.602476197542,402713,0.0,343727.02668729896,142405.5261392339
2024-12-31,2279767.126764565,28909.656368071708,257335.28246137896,53482.15670820805,101777.5607784362,28306.03218760088,609195,0.0,404327.5567983731,326433.5091902739
2025-01-31,2142397.803604609,30985.30770159595,258025.4649540941,32364.230482648338,113588.32846441922,19415.130847038,595139,0.0,412509.923350173,132696.79757356082
2025-02-28,1102822.9059867372,18011.995780212437,160084.50718344728,41492.75547550007,79559.83851046892,16914.242654685324,435470,0.0,154392.0360670325,392880.7320702258
2025-03-31,917421.0918659986,15051.09607194077,108092.10080405192,93636.94547065176,48847.20045124715,10116.25472444377,210755,0.0,114218.501779547,330889.7113373899
2025-04-30,899265.684137441,15998.240514581608,100754.9988271129,132077.23129508068,37354.42041413522,12659.655203928654,226951,0.0,102298.86408476147,70669.51268342501
2025-05-31,1352423.3033307209,20519.328770639804,117541.558504124,145974.9422511372,59631.62864145607,16303.35223493976,250651,0.0,143669.48973547143,76697.90148386105
2025-06-30,1302051.5443687134,16660.139101671128,124227.96043788144,198128.235861004,74739.59427150237,15066.357171826849,313477,0.0,180631.75138387465,63713.19575896042
2025-07-31,2272762.4959661583,22316.36921602658,261777.92613636164,235875.3260809609,107643.75341616866,24303.5153568058,628902,0.0,261672.90337901507,84722.7096285912
2025-08-31,3095393.809820919,21659.778207026004,121553.20319551132,266064.112199971,145328.08659810628,17631.92427163093,710081,0.0,226715.1161328956,89210.61426666101
2025-09-30,2967261.26512585,24886.575014130085,131507.45564924148,270208.967651653,162501.51046890125,21547.89724552135,662262,0.0,232651.98267977405,98734.73767216103
2025-10-31,2165409.374837294,23666.34529380568,122035.16991514836,405687.4307924623,177382.80588343306,14455.278098132052,883794,0.0,248274.30273919148,86165.54354351632
2025-11-30,1862626.0894060067,12866.730480179744,84168.88751958929,174138.90134379937,141691.6426799642,8475.469406697146,407513,0.0,154163.68601200025,55789.05409086774
2025-12-31,1963521.981919087,10960.688701431976,129981.28161367252,140256.40653567537,114842.13636290874,8530.331478398397,405847,0.0,128991.8880474921,60420.14767322821
2026-01-31,2510057.431421282,9858.070938060226,84668.93241793291,123685.066202299,121994.57053755644,6898.398172169567,453573,0.0,184534.9299073206,51123.99116776898
2026-02-28,1293416.8069698422,6545.357029469253,49143.70146385177,114334.42630258657,59700.90288386997,11721.6630285597,307633,0.0,115279.5687988352,37427.66934474737
2026-03-31,1289884.2895665192,8552.299649955206,47275.49002882236,112822.78058222344,63170.73958947892,4525.369077494836,380788,0.0,77196.3583882682,30730.170473207185
