date,Aave,Benqi Finance,Compound,Euler,Fluid,Goldfinch,Jupiter,Kamino,Liquity,Lista,Maker,Moonwell,Morpho,Seamless Protocol,Sonne Finance,Spark,Maple,Tydro,Venus
2021-05-30,16302602900.664509,0.0,9044342072.036278,0.0,0.0,6637820.387142858,0.0,0.0,2267288415.870446,0.0,10603706266.970663,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,3336124699.2286334
2021-06-06,20573042077.76615,0.0,9234420928.751629,0.0,0.0,6639248.53,0.0,0.0,2497512901.182257,0.0,10872644729.530378,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,3225983201.501474
2021-06-13,20193200853.147057,0.0,9500832031.71948,0.0,0.0,7782120.815714286,0.0,0.0,2433229220.6290464,0.0,10505632031.437958,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,2606896745.883736
2021-06-20,19328514047.363533,0.0,9728696412.678844,0.0,0.0,8668100.387142858,0.0,0.0,2358760268.453761,0.0,10175914307.786951,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,2543094171.8756948
2021-06-27,16473909870.783192,0.0,8467072961.050842,0.0,0.0,9010602.457535,0.0,0.0,1910903680.3865764,0.0,8752988037.211481,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,2242447732.492596
2021-07-04,16510035381.275549,0.0,7822318656.263948,0.0,0.0,10139107.022745,0.0,0.0,2141687328.6318223,0.0,9832794699.910135,0.0,0.0,0.0,0.0,0.0,21571428.57142857,0.0,2439315637.2190623
2021-07-11,16218866221.37619,0.0,8977069055.340658,0.0,0.0,10139107.022745,0.0,0.0,2222104778.816076,0.0,9919912858.847012,0.0,0.0,0.0,0.0,0.0,25000000.0,0.0,2580505179.147032
2021-07-18,16304469435.223845,0.0,10617908482.772264,0.0,0.0,13825585.812030714,0.0,0.0,1645072857.0632365,0.0,9238127806.006582,0.0,0.0,0.0,0.0,0.0,32714285.71428572,0.0,2531801901.751818
2021-07-25,17788345035.88974,0.0,11592649161.098148,0.0,0.0,17666901.114245426,0.0,0.0,1169683106.2142825,0.0,9344572930.35789,0.0,0.0,0.0,0.0,0.0,44178571.42857143,0.0,2533797322.1738086
2021-08-01,19377802121.097057,0.0,12309582703.466196,0.0,0.0,18679591.35240714,0.0,0.0,1423673748.1243455,0.0,10365344549.981134,0.0,0.0,0.0,0.0,0.0,46892857.14285714,0.0,3010206464.7281885
