date,Aerodrome Finance,Balancer,Blackhole ,Cetus Finance,Curve,Drift Protocol,Fluid,Frax,GMX,Hyperliquid,Meteora,Orca,PancakeSwap,Pendle,Pump.fun,Quickswap,Raydium,SushiSwap,Trader Joe V1,Uniswap
2025-02-01,653039.030264045,42546.60959809466,,129621.73050771574,27160.905055956344,197.8176263517999,,1404.4839175491272,22231.171432778712,39596.53,1210173.340622394,596909.0,244610.3575724669,18006.071175612225,,12064.26482513174,4959537.331373967,15913.005253427236,7559.901199572324,2915614.9053372843
2025-02-02,811640.252551962,76312.73002093947,,216282.4824480036,53280.69119467736,651.4567761082011,,6214.960427648321,70711.02931696449,44816.5,2389387.882232819,789543.0,445877.7894484557,21212.39104019063,,17675.241214060206,4211561.821832908,28836.07713744166,14595.421610074269,4820891.716865406
2025-02-03,1178935.7368265716,156908.6672737656,,468971.21037449286,265893.742140741,1697.5549242258,,10529.11561420796,201474.99574116603,63548.17,3091064.1214770074,1576554.0,926199.312841658,54589.650880410176,,39457.556406118194,5362621.721701708,154512.18111088165,31827.512248404943,9344794.862903446
2025-02-04,749856.4968573073,77309.15397982427,,262070.0281096504,67783.39281565511,426.4683988730004,,5800.261353156126,26826.44072587036,38048.18,6303077.577668401,970623.0,480799.6637312629,20490.46971353583,,18683.56602197338,4438892.308884967,31994.526438957462,10860.21336826392,4637984.8710001
2025-02-05,589164.4932079484,40627.11536308397,,153404.7125412274,66566.67625229644,103.9978557058,,2340.4980111888945,32072.1651550658,28066.25,1759353.299394994,542675.0,315062.4729162625,35547.84393731818,,19190.32299471276,4173737.489514587,18526.671777135725,8839.52421693001,2825734.2126840954
2025-02-06,616994.7104274175,39229.902898107925,,156549.81515635332,39433.99222660135,45.1241662158,,2998.2287448821457,16070.078151992782,24742.08,1177797.1338132706,444364.0,385101.97031257214,33325.30069043598,,16583.444662829694,3338070.607526381,20256.01956577941,9612.548186724463,3038578.914717125
2025-02-07,604466.6183396046,41432.64189484049,,158276.29732432278,50565.71642602122,31.93954643759999,,3184.8883096884147,15410.410427543651,26256.92,1786559.9039349318,466657.0,367016.0084962676,22768.005879381708,,16869.779146362485,3202866.3900705283,15058.548128367638,6975.653240163829,2969105.7663638806
2025-02-08,367882.4724157845,21713.2634311414,,102417.25845776522,37186.14776483307,50.343163448800055,,1220.393456926365,4964.911552441119,12055.81,1339898.9967136036,274563.0,1898828.0420559456,14747.986107360555,,16787.22918378716,2925241.2941196426,9113.097258752305,6134.647384021132,1660094.8312335915
2025-02-09,430348.6159035532,42043.07463710104,,104625.53513869192,30746.43987317326,181.8409801914,,2544.013322004117,39982.06741306845,10785.98,3921576.746702804,721526.0,3512817.393620417,10038.771988852332,,20963.259251892378,7519059.156435119,13142.572980395304,11039.281489742065,2138809.39974162
2025-02-10,538747.2734877124,33996.596117705674,,141166.74190923356,41386.89785627079,39.197268474000005,,2096.9282522309204,9572.561290626832,11998.87,4094181.393018128,844027.0,947901.956062034,9291.23463068365,,19106.42828094977,6805669.00533071,14026.613893322296,8018.300605313742,2285198.089051404
2025-02-11,624421.3461208963,33050.09555230724,,153041.34289457707,39450.28951367027,151.0384306318,,1931.2271555278708,8616.77324665099,15617.82,2584243.118890706,813846.0,833904.1910181071,21725.984327575767,,20448.26489074539,4919359.58163455,14833.98794177653,8007.565208750251,2401055.810402984
2025-02-12,657054.1265447832,42707.11278776605,,170585.61071555558,44793.745081305286,138.7709616764001,,3323.062738877313,43619.34534301391,18103.35,1825016.53436472,833557.0,993380.8787742484,14216.153429130463,,24107.879034379435,3950078.558186908,18474.140923639105,18718.944506187425,3062425.226276878
2025-02-13,515860.3027436036,41515.77780119677,,149054.3047564966,32365.346431563565,41.685677476599984,,1634.5651094533896,9009.295377219692,15030.83,2006189.6251612743,499219.0,1406472.2905002146,15105.620136443966,,21210.254486244707,3643783.093084282,10090.59644770347,12362.579727607215,2220825.966587384
2025-02-14,496862.4826630732,28652.34283013524,,129856.28034072506,34516.823306277875,148.5368124556,,1080.5971448967043,5850.435928626966,29450.2,1167212.3586819286,1598520.0,3370497.866532568,16089.723027601944,,30282.454879378223,4849671.697987595,15063.139088022835,14461.296091811086,2115178.932323658
2025-02-15,276764.1016926003,29049.18579074164,,68820.04270419353,14190.596153382425,104.8785931986,,446.607565538744,1886.5165725247168,17622.15,1065653.911259049,313122.0,1439853.777281751,12378.4155469836,,37874.18787967824,3001032.127464972,6756.022738951644,8691.628882891773,1144530.4919103198
2025-02-16,275856.58163278474,25232.993652334924,,78113.89663262924,18190.71587390478,69.9698893548,,827.0823531400591,3019.237779309068,8855.87,877914.4001602924,275262.0,884081.6314549607,14852.355962549977,,36813.76483981801,2049241.75778674,6526.620407478965,14088.100537282447,1206529.244865106
