date,Bitcoin - ETF Flows,Ethereum - ETF Flows,Ripple - ETF Flows,Solana - ETF Flows
2024-01-14,858300000,0,0,0
2024-01-21,318100000,0,0,0
2024-01-28,-416800000,0,0,0
2024-02-04,818500000,0,0,0
2024-02-11,1194200000,0,0,0
2024-02-18,2277100000,0,0,0
2024-02-25,583900000,0,0,0
2024-03-03,1722900000,0,0,0
2024-03-10,2238500000,0,0,0
2024-03-17,2565600000,0,0,0
2024-03-24,-887600000,0,0,0
2024-03-31,859700000,0,0,0
2024-04-07,483700000,0,0,0
2024-04-14,-83300000,0,0,0
2024-04-21,-204300000,0,0,0
2024-04-28,-328000000,0,0,0
2024-05-05,-433000000,0,0,0
2024-05-12,116800000,0,0,0
2024-05-19,948300000,0,0,0
2024-05-26,1056700000,0,0,0
2024-06-02,170900000,0,0,0
2024-06-09,1828500000,0,0,0
2024-06-16,-580600000,0,0,0
2024-06-23,-544100000,0,0,0
2024-06-30,-37300000,0,0,0
2024-07-07,238400000,0,0,0
2024-07-14,1047600000,0,0,0
2024-07-21,1241100000,0,0,0
2024-07-28,532100000,-341800000,0,0
2024-08-04,-82700000,-169400000,0,0
2024-08-11,-160100000,104800000,0,0
2024-08-18,32400000,-14100000,0,0
2024-08-25,506400000,-44500000,0,0
2024-09-01,-279400000,-12400000,0,0
2024-09-08,-706100000,-91100000,0,0
2024-09-15,403900000,-12900000,0,0
2024-09-22,397200000,-26200000,0,0
2024-09-29,1107400000,85000000,0,0
2024-10-06,-262800000,-25400000,0,0
2024-10-13,357100000,1900000,0,0
2024-10-20,2133000000,78800000,0,0
2024-10-27,997200000,-24600000,0,0
2024-11-03,2172300000,13000000,0,0
2024-11-10,1615800000,154700000,0,0
2024-11-17,1790700000,533900000,0,0
2024-11-24,3347000000,-68400000,0,0
2024-12-01,-136500000,466500000,0,0
2024-12-08,2774500000,836800000,0,0
2024-12-15,2172900000,854800000,0,0
2024-12-22,447000000,62700000,0,0
2024-12-29,-377600000,349300000,0,0
2025-01-05,255200000,39400000,0,0
2025-01-12,312800000,-186000000,0,0
2025-01-19,1862900000,212000000,0,0
2025-01-26,1757700000,139400000,0,0
2025-02-02,559500000,-45300000,0,0
2025-02-09,203800000,420200000,0,0
2025-02-16,-580200000,-26300000,0,0
2025-02-23,-540000000,1600000,0,0
2025-03-02,-2390500000,-335500000,0,0
2025-03-09,-739200000,-93900000,0,0
2025-03-16,-830500000,-186400000,0,0
2025-03-23,744300000,-114500000,0,0
2025-03-30,196400000,-8700000,0,0
2025-04-06,-165000000,-50000000,0,0
2025-04-13,-707900000,-82500000,0,0
2025-04-20,13700000,-32300000,0,0
2025-04-27,3033000000,157100000,0,0
2025-05-04,1805100000,106800000,0,0
2025-05-11,920900000,-38200000,0,0
2025-05-18,608400000,41800000,0,0
2025-05-25,2750200000,248200000,0,0
2025-06-01,-144800000,285800000,0,0
2025-06-08,-131600000,281300000,0,0
2025-06-15,1370000000,528200000,0,0
2025-06-22,1045100000,40300000,0,0
2025-06-29,2214800000,283500000,0,0
2025-07-06,769500000,219100000,0,0
2025-07-13,2712700000,908100000,0,0
2025-07-20,2378200000,2165200000,0,0
2025-07-27,72300000,1846500000,0,0
2025-08-03,-642900000,154300000,0,0
2025-08-10,253200000,326600000,0,0
2025-08-17,547600000,2852100000,0,0
2025-08-24,-1178500000,-233700000,0,0
2025-08-31,440800000,1080600000,0,0
2025-09-07,250300000,-787600000,0,0
2025-09-14,2323900000,637600000,0,0
2025-09-21,886500000,557000000,0,0
2025-09-28,-897600000,-795800000,0,0
2025-10-05,3236000000,1295900000,0,0
2025-10-12,2699700000,483000000,0,0
2025-10-19,-1225300000,-311800000,0,0
2025-10-26,446300000,-243900000,0,0
2025-11-02,-799000000,16100000,0,44500000
2025-11-09,-1208400000,-507700000,0,136530000
2025-11-16,-1111700000,-728300000,243050000,46400000
2025-11-23,-1216800000,-500200000,179609000,127900000
2025-11-30,70200000,312600000,243949958,108200000
2025-12-07,-87700000,-65400000,112722462,19200000
2025-12-14,286600000,209100000,93566134,36200000
2025-12-21,-497100000,-643900000,82038232,66600000
2025-12-28,-782000000,-102400000,64003617,13100000
2026-01-04,459000000,160800000,62328891,19000000
2026-01-11,-680900000,-68600000,38067707,41600000
2026-01-18,1416600000,479300000,56832166,47000000
2026-01-25,-1324100000,-600700000,-40643465,8400000
2026-02-01,-1487700000,-327100000,-52255181,-2400000
2026-02-08,-318100000,-165800000,44956287,-9300000
2026-02-15,-360000000,-161200000,7650791,12600000
2026-02-22,-315900000,-123300000,1844644,13900000
2026-03-01,787400000,80500000,11759732,44500000
2026-03-08,568500000,23500000,-4085512,22000000
2026-03-15,763400000,117400000,-28067844,10700000
2026-03-22,93100000,-60000000,636477,20400000
2026-03-29,-288400000,-206400000,2663878,-4400000
2026-04-05,22200000,-42100000,-3558752,-5300000
2026-04-12,771400000,187000000,11752968,-5800000
