date,Arbitrum,Avalanche C-Chain,Base,BNB Chain,Ethereum,Hyperliquid,Plasma,Solana
2019-11-17,0,0,0,0,83,0,0,0
2019-11-24,0,0,0,0,50105888,0,0,0
2019-12-01,0,0,0,0,75135181,0,0,0
2019-12-08,0,0,0,0,169241678,0,0,0
2019-12-15,0,0,0,0,183429533,0,0,0
2019-12-22,0,0,0,0,198808501,0,0,0
2019-12-29,0,0,0,0,208281824,0,0,0
2020-01-05,0,0,0,0,220985295,0,0,0
2020-01-12,0,0,0,0,259815627,0,0,0
2020-01-19,0,0,0,0,322805684,0,0,0
2020-01-26,0,0,0,0,338900346,0,0,0
2020-02-02,0,0,0,0,375987881,0,0,0
2020-02-09,0,0,0,0,457041803,0,0,0
2020-02-16,0,0,0,0,515735509,0,0,0
2020-02-23,0,0,0,0,449547845,0,0,0
2020-03-01,0,0,0,0,364153233,0,0,0
2020-03-08,0,0,0,0,346198632,0,0,0
2020-03-15,0,0,0,0,233394297,0,0,0
2020-03-22,0,0,0,0,230151877,0,0,0
2020-03-29,0,0,0,0,247237899,0,0,0
2020-04-05,0,0,0,0,280871472,0,0,0
2020-04-12,0,0,0,0,283107099,0,0,0
2020-04-19,0,0,0,0,335536562,0,0,0
2020-04-26,0,0,0,0,384914101,0,0,0
2020-05-03,0,0,0,0,408354819,0,0,0
2020-05-10,0,0,0,0,384089200,0,0,0
2020-05-17,0,0,0,0,416790037,0,0,0
2020-05-24,0,0,0,0,427165745,0,0,0
2020-05-31,0,0,0,0,491801412,0,0,0
2020-06-07,0,0,0,0,510160739,0,0,0
2020-06-14,0,0,0,0,466961381,0,0,0
2020-06-21,0,0,0,0,410796323,0,0,0
2020-06-28,0,0,0,0,423558809,0,0,0
2020-07-05,0,0,0,0,495115414,0,0,0
2020-07-12,0,0,0,0,548559891,0,0,0
2020-07-19,0,0,0,0,589717206,0,0,0
2020-07-26,0,0,0,0,827674507,0,0,0
2020-08-02,0,0,0,0,1079110215,0,0,0
2020-08-09,0,0,0,0,1112621504,0,0,0
2020-08-16,0,0,0,0,1276264550,0,0,0
2020-08-23,0,0,0,0,2956044367,0,0,0
2020-08-30,0,0,0,0,2998924978,0,0,0
2020-09-06,0,0,0,0,2449895434,0,0,0
2020-09-13,0,0,0,0,2596286560,0,0,0
2020-09-20,0,0,0,0,3131535245,0,0,0
2020-09-27,0,0,0,0,3525359070,0,0,0
2020-10-04,0,0,0,0,3385192066,0,0,0
2020-10-11,0,0,0,0,3620106865,0,0,0
2020-10-18,0,0,0,0,3671056873,0,0,0
2020-10-25,0,0,0,0,4309890843,0,0,0
2020-11-01,0,0,0,0,4189682700,0,0,0
2020-11-08,0,0,0,0,4600018820,0,0,0
2020-11-15,0,0,0,0,5085749989,0,0,0
2020-11-22,0,0,0,0,5714629851,0,0,0
2020-11-29,0,0,0,80048054,5527003924,0,0,0
2020-12-06,0,0,0,126070317,5813604682,0,0,0
2020-12-13,0,0,0,224141799,5934253831,0,0,0
2020-12-20,0,0,0,257217459,6522049436,0,0,0
2020-12-27,0,0,0,284969556,6711082360,0,0,0
2021-01-03,0,0,0,267233758,7830919345,0,0,0
2021-01-10,0,0,0,342082298,9513075193,0,0,0
2021-01-17,0,0,0,270033590,9971002462,0,0,0
2021-01-24,0,0,0,354520174,10660072841,0,0,0
2021-01-31,0,0,0,460275288,11575410298,0,0,0
2021-02-07,0,0,0,838365087,14529602156,0,0,0
2021-02-14,0,0,0,1852302413,17106598096,0,0,0
2021-02-21,0,0,0,4247475582,19565021387,0,0,0
2021-02-28,0,0,0,3452820608,16615409491,0,0,0
2021-03-07,0,0,0,3531660928,19346578858,0,0,0
2021-03-14,0,0,0,5434724682,23158354730,0,0,0
2021-03-21,0,0,0,5610540589,23477163915,0,0,0
2021-03-28,0,0,0,5765295129,22682951900,0,0,0
2021-04-04,0,0,0,7233076227,27561874587,0,0,0
2021-04-11,0,0,0,8425606878,29550054423,0,0,0
2021-04-18,0,0,0,11356323351,34594885625,0,0,0
2021-04-25,0,0,0,6528115183,31230435663,0,0,0
2021-05-02,0,0,0,10225561833,42395812782,0,0,0
2021-05-09,0,0,0,15236775130,51821535380,0,0,0
2021-05-16,0,0,0,9496904076,48352055984,0,0,0
2021-05-23,0,0,0,3382876200,33803153586,0,0,0
2021-05-30,0,0,0,3110034918,34290133668,0,0,0
2021-06-06,0,0,0,3110774975,38831186202,0,0,0
2021-06-13,0,0,0,2426605579,37559904981,0,0,0
2021-06-20,0,0,0,2424174539,36253893829,0,0,0
2021-06-27,0,0,0,2168353485,33411906856,0,0,0
2021-07-04,0,0,0,2520993985,35209017668,0,0,0
2021-07-11,0,0,0,2590954151,36759467065,0,0,0
2021-07-18,0,0,0,2499182449,38475694638,0,0,0
2021-07-25,0,0,0,2685107238,41186367583,0,0,0
2021-08-01,0,0,0,3184307556,45510333122,0,0,0
2021-08-08,0,0,0,3628833009,49775148356,0,0,0
2021-08-15,0,0,0,4105219813,51771521626,0,0,0
2021-08-22,0,877712173,0,4152199535,51578497594,0,0,0
2021-08-29,0,1964596277,0,3922355220,51849161547,0,0,0
2021-09-05,0,1997668008,0,3864798205,58780754883,0,0,0
2021-09-12,0,1788982587,0,3354600822,53324231037,0,0,0
2021-09-19,0,2133388180,0,3285509821,53501550390,0,0,0
2021-09-26,0,2428683155,0,3032037701,49823600519,0,0,0
2021-10-03,0,2809895687,0,3778706488,48970922932,0,0,0
2021-10-10,0,5054749062,0,3698411021,48245944669,0,0,0
2021-10-17,0,6173351303,0,4157288496,54455646500,0,0,0
2021-10-24,0,7022423836,0,3993059275,57979525735,0,0,0
2021-10-31,0,7326930724,0,3748510998,51659285534,0,0,0
2021-11-07,0,8145408739,0,4255079874,56786091336,0,0,0
2021-11-14,0,9137700215,0,4268509777,58299186063,0,0,0
2021-11-21,0,10159962613,0,3566775421,57017692134,0,0,0
2021-11-28,0,10195204794,0,3338899322,55203346998,0,0,0
2021-12-05,0,9984438047,0,3044725974,53721826045,0,0,0
2021-12-12,0,9594904374,0,3475813509,53330233149,0,0,0
2021-12-19,0,10089325142,0,3095664395,51754383419,0,0,0
2021-12-26,0,10222670650,0,3231776835,53432778087,0,0,0
2022-01-02,0,9820276937,0,3207318207,49728892197,0,0,0
2022-01-09,0,8654952848,0,2745040203,45307817610,0,0,0
2022-01-16,0,8627009183,0,3317903235,46482273750,0,0,0
2022-01-23,0,6661694878,0,2252171474,38646259467,0,0,0
2022-01-30,0,6843699066,0,2216453562,39261176435,0,0,0
2022-02-06,0,7628920149,0,2438764508,42021333731,0,0,0
2022-02-13,0,8670172349,0,2310810889,42424129312,0,0,0
2022-02-20,0,8870983711,0,2465502556,40626796594,0,0,0
2022-02-27,0,8319637486,0,2177990155,38112787717,0,0,0
2022-03-06,0,8155578543,0,2569703635,37460321602,0,0,0
2022-03-13,0,7915438551,0,2254977870,37289567171,0,0,0
2022-03-20,7014852,8016298389,0,2486021721,40959349131,0,0,0
2022-03-27,8060147,7515836174,0,2594263372,43490431357,0,0,0
2022-04-03,14350066,7863712800,0,2627495506,43439347773,0,0,0
2022-04-10,15377667,6926920503,0,2453611971,42471853234,0,0,0
2022-04-17,16917098,6684924424,0,2341247081,41027987881,0,0,0
2022-04-24,20566562,7797475423,0,2369814652,40318300576,0,0,0
2022-05-01,23926266,7351510843,0,2367803274,38262520726,0,0,0
2022-05-08,30691773,5826114084,0,2394890285,36408425939,0,0,0
2022-05-15,29568368,3107837230,0,226053725,29069240479,0,0,0
2022-05-22,33841957,3051767536,0,1203823594,27193961885,0,0,0
2022-05-29,32043233,2535179850,0,1184940953,26910166991,0,0,0
2022-06-05,35433426,5050332617,0,1207156753,26903718508,0,0,0
2022-06-12,34338095,5263520815,0,1176489537,24551969838,0,0,0
2022-06-19,29128201,3522542413,0,897376882,17586305723,0,0,0
2022-06-26,30777746,3762684884,0,994609037,19174977729,0,0,0
2022-07-03,29349935,3520394562,0,936714501,18144076665,0,0,0
2022-07-10,30667170,3091278342,0,1017107915,18447945561,0,0,0
2022-07-17,32139747,3137366543,0,990316248,18434859259,0,0,0
2022-07-24,37712273,2991503433,0,1028399874,19454415462,0,0,0
