date,Avantis - Perpetuals Daily Active Users,dYdX v4 - Perpetuals Daily Active Users,Gains Network - Perpetuals Daily Active Users,GMX - Perpetuals Daily Active Users,Holdstation - Perpetuals Daily Active Users,Hyperliquid - Perpetuals Daily Active Users,Jupiter - Perpetuals Daily Active Users,Mux Protocol - Perpetuals Daily Active Users,Paradex - Perpetuals Daily Active Users,Perpetual Protocol - Perpetuals Daily Active Users,Vertex Protocol - Perpetuals Daily Active Users
2022-03-06,0.0,0.0,0.0,380.57142857142856,0.0,0.0,0.0,0.0,0.0,115.57142857142856,0.0
2022-03-13,0.0,0.0,0.0,349.7142857142857,0.0,0.0,0.0,0.0,0.0,328.42857142857144,0.0
2022-03-20,0.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0
2022-03-27,0.0,0.0,0.0,318.42857142857144,0.0,0.0,0.0,0.0,0.0,141.28571428571428,0.0
2022-04-03,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,176.42857142857142,0.0
2022-04-10,0.0,0.0,0.0,380.1428571428572,0.0,0.0,0.0,0.0,0.0,168.0,0.0
2022-04-17,0.0,0.0,0.0,364.1428571428572,0.0,0.0,0.0,0.0,0.0,185.28571428571428,0.0
2022-04-24,0.0,0.0,0.0,363.1428571428572,0.0,0.0,0.0,0.0,0.0,226.0,0.0
2022-05-01,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,249.8571428571429,0.0
2022-05-08,0.0,0.0,0.0,574.8571428571429,0.0,0.0,0.0,0.0,0.0,269.0,0.0
2022-05-15,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,333.7142857142857,0.0
2022-05-22,0.0,0.0,0.0,508.8571428571428,0.0,0.0,0.0,0.0,0.0,278.0,0.0
2022-05-29,0.0,0.0,0.0,524.1428571428571,0.0,0.0,0.0,0.0,0.0,293.57142857142856,0.0
2022-06-05,0.0,0.0,0.0,610.4285714285714,0.0,0.0,0.0,0.0,0.0,281.2857142857143,0.0
2022-06-12,0.0,0.0,0.0,722.1428571428571,0.0,0.0,0.0,0.0,0.0,329.57142857142856,0.0
2022-06-19,0.0,0.0,0.0,912.2857142857144,0.0,0.0,0.0,0.0,0.0,305.2857142857143,0.0
2022-06-26,0.0,0.0,0.0,679.5714285714286,0.0,0.0,0.0,0.0,0.0,200.0,0.0
2022-07-03,0.0,0.0,0.0,3369.428571428572,0.0,0.0,0.0,0.0,0.0,174.71428571428572,0.0
2022-07-10,0.0,0.0,0.0,1100.428571428571,0.0,0.0,0.0,4.8,0.0,166.28571428571428,0.0
2022-07-17,0.0,0.0,0.0,1046.2857142857142,0.0,0.0,0.0,4.666666666666667,0.0,189.1428571428572,0.0
2022-07-24,0.0,0.0,0.0,1084.857142857143,0.0,0.0,0.0,4.142857142857143,0.0,210.0,0.0
