date,Backed Finance ,BlackRock,Franklin Templeton,Janus Henderson,Ondo Finance,Superstate,WisdomTree
2023-01-01,,,,,,,997000.0
2023-01-02,,,,,,,997000.0
2023-01-03,,,,,,,998000.0
2023-01-04,,,,,,,999000.0
2023-01-05,,,,,,,997000.0
2023-01-06,,,,,,,1001000.0
2023-01-07,,,,,,,1001000.0
2023-01-08,,,,,,,1001000.0
2023-01-09,,,,,,,1002000.0
2023-01-10,,,,,,,1001000.0
2023-01-11,,,,,,,1002000.0
2023-01-12,,,,,,,1004000.0
2023-01-13,,,,,,,1003000.0
2023-01-14,,,,,,,1003000.0
2023-01-15,,,,,,,1003000.0
2023-01-16,,,,,,,1003000.0
2023-01-17,,,,,,,1003000.0
2023-01-18,,,,,,,11505000.0
2023-01-19,,,,,,,11466600.0
2023-01-20,,,,,,,11543550.0
2023-01-21,,,,,,,11543550.0
2023-01-22,,,,,,,11543550.0
2023-01-23,,,,,,,11610650.0
2023-01-24,,,,,,,11625350.0
2023-01-25,,,,,,,11624550.0
2023-01-26,,,,,130.7812645701023,,11686050.0
2023-01-27,,,,,305.15559569752907,,11709950.0
2023-01-28,,,,,305.15559569752907,,11709950.0
2023-01-29,,,,,305.15559569752907,,11709950.0
2023-01-30,,,,,479.6722399402967,,11614650.0
2023-01-31,,,,,485058.23663545,,11705800.0
2023-02-01,,,,,485058.23663545,,11818100.0
2023-02-02,,,,,485058.23663545,,11947750.0
2023-02-03,,,,,15513402.89281236,,11828750.0
2023-02-04,,,,,15513402.89281236,,11828750.0
2023-02-05,,,,,15513402.89281236,,11828750.0
2023-02-06,,,,,15513402.892812362,,11756550.0
2023-02-07,,,,,24015034.708434723,,11828950.0
2023-02-08,,,,,25225841.27844401,,11769950.0
2023-02-09,,,,,25225841.27844401,,11701150.0
2023-02-10,,,,,30320419.15902501,,11667200.0
2023-02-11,,,,,30320419.15902501,,11667200.0
2023-02-12,,,,,30320419.15902501,,11667200.0
2023-02-13,,,,,35427548.98002653,,11741650.0
2023-02-14,,,,,35427548.98002653,,11746050.0
2023-02-15,,,,,36182445.2964788,,11763150.0
2023-02-16,,,,,36182445.2964788,,11657450.0
2023-02-17,,,,,36334581.36349137,,11650050.0
2023-02-18,,,,,36334581.36349137,,11650050.0
2023-02-19,,,,,36334581.36349137,,11650050.0
2023-02-20,,,,,36334581.36349137,,11650050.0
2023-02-21,,,,,36334581.36349137,,11498450.0
2023-02-22,,,,,36683691.31792331,,11509800.0
2023-02-23,,,,,35722648.51567302,,11565050.0
2023-02-24,,,,,36690657.00934499,,11468790.243653
2023-02-25,,,,,36690657.00934499,,11468790.243653
2023-02-26,,,,,36690657.00934499,,11468790.243653
2023-02-27,,,,,36787415.71293844,,11506335.919624
2023-02-28,,,,,38368722.4552895,,11507097.957004
2023-03-01,,,,,39336167.24576528,,11448897.198204
2023-03-02,,,,,39787400.59285189,,11470154.49342
2023-03-03,,,,,44523474.42129427,,11604558.087335
2023-03-04,,,,,44523474.42129427,,11604558.087335
2023-03-05,,,,,44523474.42129427,,11604558.087335
2023-03-06,,,,,47133043.53757404,,11596708.087536
2023-03-07,,,,,47133043.537574045,,11523455.785724
2023-03-08,,,,,47133043.53757404,,11530555.797691
2023-03-09,,,,,47133043.53757404,,11457550.503924
2023-03-10,,,,,46553395.28380589,,11469050.50228
2023-03-11,,,,,46553395.28380589,,11469050.50228
2023-03-12,,,,,46553395.28380589,,11469050.50228
2023-03-13,,,,,46939622.30058456,,11525000.505697
2023-03-14,,,,,45953511.6011412,,11583650.511059
2023-03-15,,,,,47765810.26994149,,11633900.513403
2023-03-16,,,,,49694152.38229588,,11703150.519511
2023-03-17,,,,,51431174.42464353,,11704000.519166
2023-03-18,,,,,51431174.42464353,,11704000.519166
2023-03-19,,,,,51431174.42464353,,11704000.519166
2023-03-20,,,,,51142197.56142839,,11716255.444179
2023-03-21,,,,,52897538.90344224,,11763955.285065
2023-03-22,,,,,52202476.572476655,,11742905.499812
2023-03-23,,,,,52178273.32535609,,11797111.365415
2023-03-24,,,,,54016428.26337145,,11816612.701606
2023-03-25,,,,,54016428.26337145,,11816612.701606
2023-03-26,,,,,54016428.26337145,,11816612.701606
2023-03-27,,,,,62505609.24765408,,11694446.524301998
2023-03-28,,,,,62566985.28460819,,11675644.408639
2023-03-29,,,,,65623738.90276389,,11750801.049197
2023-03-30,,,,,65623738.90276389,,11795924.234244
2023-03-31,,,,,65436068.920878775,,11912635.955177
2023-04-01,,,,,65436068.920878775,,11912635.955177
2023-04-02,,,,,65436068.92087879,,11912635.955177
2023-04-03,,,,,65436068.92087879,,11931337.801233
2023-04-04,,,,,65287685.21037382,,11933989.84294
2023-04-05,,,,,65287685.21037382,,11917288.252384
2023-04-06,,,,,67809824.08248755,,11952691.947606
2023-04-07,,,,,67809824.08248754,,11952691.947606
2023-04-08,,,,,67809824.08248755,,11952691.947606
2023-04-09,,,,,67809824.08248755,,11952691.947606
2023-04-10,,,,,67713704.49075796,,11911636.031329
2023-04-11,,,,,68179605.88328746,,11895283.95095
2023-04-12,,,,,68605620.7331065,,11870081.946315
2023-04-13,,,,,68605620.7331065,,11944438.344343
2023-04-14,,,,,97526709.14225546,,11908833.845706
2023-04-15,,,,,97526709.14225546,,11908833.845706
2023-04-16,,,,,97526709.14225546,,11908833.845706
2023-04-17,,,,,97699607.9881518,,11889480.452815
2023-04-18,,,,,97891757.36144276,,11894680.821039
2023-04-19,,,,,98041001.16255556,,11881229.05383
2023-04-20,,,,,98663888.02927177,,11863428.44613
2023-04-21,,,,,98471873.91169196,,11864728.373934
2023-04-22,,,,,98471873.91169196,,11864728.373934
2023-04-23,,,,,98471873.91169196,,11864728.373934
2023-04-24,,,,,100391663.46291187,,11883530.892878
2023-04-25,,,,,100967557.7255262,,11830828.452147
2023-04-26,,,,,100967557.72552618,,11812526.938359
2023-04-27,,,,,100967557.7255262,,11897562.857771
2023-04-28,,,,,100967557.72552618,,11961619.289365
2023-04-29,,,,,100967557.72552618,,11961619.289365
2023-04-30,,,,,100967557.7255262,,11961619.289365
2023-05-01,,,,,101113106.95328024,,11902361.668902
2023-05-02,,,,,105720372.55806604,,11899339.590057
2023-05-03,,,,,107054273.08078624,,11897366.259211998
2023-05-04,,,,,107054273.0807862,,11863113.931930998
2023-05-05,,,,,111649258.08664653,,11936618.674891
2023-05-06,,,,,111649258.08664653,,11936618.674891
2023-05-07,,,,,111649258.08664653,,11936618.674891
2023-05-08,,,,,111745095.7433043,,11918966.138891
2023-05-09,,,,,113421644.82960132,,11883962.625301
2023-05-10,,,,,113421644.8296013,,11956121.183735
2023-05-11,,,,,113421644.82960132,,11980324.460143
2023-05-12,,,,,113421644.82960132,,11945470.204046
2023-05-13,,,,,113421644.82960132,,11945470.204046
2023-05-14,,,,,113421644.82960132,,11945470.204046
