date,ApeX - Open Interest,Aster - Open Interest,Avantis - Open Interest,Dreamcash - Open Interest,Drift Protocol - Open Interest,edgeX - Open Interest,Extended - Open Interest,Hyperliquid - Open Interest,Jupiter - Open Interest,Lighter - Open Interest,Paradex - Open Interest
2023-06-18,0.0,0.0,0,0.0,0.0,0.0,0,538076.0,0.0,0.0,0.0
2023-06-25,0.0,0.0,0,0.0,0.0,0.0,0,825273.0,0.0,0.0,0.0
2023-07-02,0.0,0.0,0,0.0,0.0,0.0,0,960013.0,0.0,0.0,0.0
2023-07-09,0.0,0.0,0,0.0,0.0,0.0,0,1698966.0,0.0,0.0,0.0
2023-07-16,0.0,0.0,0,0.0,0.0,0.0,0,2029509.0,0.0,0.0,0.0
2023-07-23,0.0,0.0,0,0.0,0.0,0.0,0,2462316.0,0.0,0.0,0.0
2023-07-30,0.0,0.0,0,0.0,0.0,0.0,0,2794905.0,0.0,0.0,0.0
2023-08-06,0.0,0.0,0,0.0,0.0,0.0,0,2826963.0,0.0,0.0,0.0
2023-08-13,0.0,0.0,0,0.0,0.0,0.0,0,2988840.0,0.0,0.0,0.0
2023-08-20,0.0,0.0,0,0.0,0.0,0.0,0,2576513.0,0.0,0.0,0.0
2023-08-27,0.0,0.0,0,0.0,0.0,0.0,0,3090352.0,0.0,0.0,0.0
2023-09-03,0.0,0.0,0,0.0,0.0,0.0,0,2958465.0,0.0,0.0,0.0
2023-09-10,0.0,0.0,0,0.0,0.0,0.0,0,3791943.0,0.0,0.0,0.0
2023-09-17,0.0,0.0,0,0.0,0.0,0.0,0,3920768.0,0.0,0.0,0.0
2023-09-24,0.0,0.0,0,0.0,0.0,0.0,0,4865500.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0,0.0,0.0,0.0,0,5990176.0,0.0,0.0,0.0
2023-10-08,0.0,0.0,0,0.0,0.0,0.0,0,6271554.0,0.0,0.0,0.0
2023-10-15,0.0,0.0,0,0.0,0.0,0.0,0,6864991.0,0.0,0.0,0.0
2023-10-22,0.0,0.0,0,0.0,0.0,0.0,0,6707140.0,0.0,0.0,0.0
2023-10-29,0.0,0.0,0,0.0,0.0,0.0,0,7596732.0,0.0,0.0,0.0
2023-11-05,0.0,0.0,0,0.0,0.0,0.0,0,9200561.0,0.0,0.0,0.0
2023-11-12,0.0,0.0,0,0.0,0.0,0.0,0,15040795.0,0.0,0.0,0.0
2023-11-19,0.0,0.0,0,0.0,0.0,0.0,0,22644775.0,0.0,0.0,0.0
2023-11-26,0.0,0.0,0,0.0,0.0,0.0,0,33609542.0,0.0,0.0,0.0
2023-12-03,0.0,0.0,0,0.0,0.0,0.0,0,44665332.0,0.0,0.0,0.0
2023-12-10,0.0,0.0,0,0.0,0.0,0.0,0,62959956.0,0.0,0.0,0.0
2023-12-17,0.0,0.0,0,0.0,0.0,0.0,0,61564903.0,0.0,0.0,0.0
2023-12-24,0.0,0.0,0,0.0,0.0,0.0,0,81171586.0,0.0,0.0,0.0
2023-12-31,0.0,0.0,0,0.0,0.0,0.0,0,89132306.0,0.0,0.0,0.0
2024-01-07,0.0,0.0,0,0.0,0.0,0.0,0,76282474.0,0.0,0.0,0.0
2024-01-14,0.0,0.0,0,0.0,0.0,0.0,0,93569489.0,0.0,0.0,0.0
2024-01-21,0.0,0.0,0,0.0,0.0,0.0,0,101926034.0,0.0,0.0,0.0
2024-01-28,0.0,0.0,0,0.0,0.0,0.0,0,112409822.0,0.0,0.0,0.0
2024-02-04,0.0,0.0,0,0.0,0.0,0.0,0,117228516.0,0.0,0.0,0.0
2024-02-11,0.0,0.0,0,0.0,0.0,0.0,0,171393662.0,0.0,0.0,0.0
2024-02-18,0.0,0.0,0,0.0,0.0,0.0,0,180897711.0,0.0,0.0,0.0
2024-02-25,0.0,0.0,0,0.0,0.0,0.0,0,203962318.0,0.0,0.0,0.0
2024-03-03,0.0,0.0,0,0.0,0.0,0.0,0,238356220.0,0.0,0.0,0.0
2024-03-10,0.0,0.0,0,0.0,0.0,0.0,0,301246856.0,0.0,0.0,0.0
2024-03-17,0.0,0.0,0,0.0,0.0,0.0,0,255732354.0,0.0,0.0,0.0
2024-03-24,0.0,0.0,0,0.0,0.0,0.0,0,574796617.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0,0.0,0.0,0.0,0,694386547.0,0.0,0.0,0.0
2024-04-07,0.0,0.0,0,0.0,0.0,0.0,0,584320060.0,0.0,0.0,0.0
2024-04-14,0.0,0.0,0,0.0,0.0,0.0,0,428323454.0,0.0,0.0,0.0
2024-04-21,0.0,0.0,0,0.0,0.0,0.0,0,489136803.0,0.0,0.0,0.0
2024-04-28,0.0,0.0,0,0.0,0.0,0.0,0,464078977.0,0.0,0.0,0.0
2024-05-05,0.0,0.0,0,0.0,0.0,0.0,0,430635358.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0,0.0,0.0,0.0,0,407125550.0,0.0,0.0,0.0
2024-05-19,0.0,0.0,0,0.0,0.0,0.0,0,472813765.0,0.0,0.0,0.0
2024-05-26,0.0,0.0,0,0.0,0.0,0.0,0,606470076.0,0.0,0.0,0.0
2024-06-02,0.0,0.0,0,0.0,0.0,0.0,0,609443353.0,0.0,0.0,0.0
2024-06-09,0.0,0.0,0,0.0,0.0,0.0,0,597686688.0,0.0,0.0,0.0
2024-06-16,0.0,0.0,0,0.0,0.0,0.0,0,617540137.0,0.0,0.0,0.0
2024-06-23,0.0,0.0,0,0.0,0.0,0.0,0,636976835.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0,0.0,0.0,0.0,0,657633404.0,0.0,0.0,0.0
2024-07-07,0.0,0.0,0,0.0,0.0,0.0,0,482465455.0,0.0,0.0,0.0
2024-07-14,0.0,0.0,0,0.0,0.0,0.0,0,572457437.0,0.0,0.0,0.0
2024-07-21,0.0,0.0,0,0.0,0.0,0.0,0,753382916.0,0.0,0.0,0.0
2024-07-28,0.0,0.0,0,0.0,280478808.4052993,0.0,0,716824686.0,0.0,0.0,0.0
2024-08-04,0.0,0.0,0,0.0,242415921.15954632,0.0,0,622080819.0,0.0,0.0,0.0
2024-08-11,0.0,0.0,0,0.0,159008221.397269,0.0,0,478928151.0,0.0,0.0,0.0
2024-08-18,0.0,0.0,0,0.0,160703085.7635971,0.0,0,537464722.0,0.0,0.0,0.0
2024-08-25,0.0,0.0,0,0.0,190205992.9483097,0.0,0,691409273.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0,0.0,170850326.3910554,0.0,0,653037617.0,0.0,0.0,0.0
2024-09-08,0.0,0.0,0,0.0,156602984.20755053,0.0,0,653153316.0,0.0,0.0,0.0
2024-09-15,0.0,0.0,0,0.0,186732005.0640125,0.0,0,819343332.0,0.0,0.0,0.0
2024-09-22,0.0,0.0,0,0.0,200387603.8298776,0.0,0,1043012247.0,0.0,0.0,0.0
2024-09-29,0.0,0.0,0,0.0,222797870.58987176,0.0,0,1257941313.0,0.0,0.0,0.0
2024-10-06,0.0,0.0,2003245,0.0,211311632.10284635,0.0,0,1089474986.0,0.0,0.0,0.0
2024-10-13,0.0,0.0,2144226,0.0,231014389.5866512,0.0,0,1019208830.0,0.0,0.0,0.0
2024-10-20,0.0,0.0,2523937,0.0,274837130.0263711,0.0,0,1180752315.0,0.0,0.0,0.0
2024-10-27,0.0,0.0,3333578,0.0,298478688.6550354,0.0,0,1099972468.0,0.0,0.0,0.0
2024-11-03,0.0,0.0,3297691,0.0,324819132.49752945,0.0,0,1116418886.0,0.0,0.0,0.0
2024-11-10,0.0,0.0,3867411,0.0,394568002.6526946,0.0,0,1675270978.0,0.0,0.0,0.0
2024-11-17,0.0,0.0,3649594,0.0,469420891.8259091,0.0,0,1952474436.0,0.0,0.0,0.0
2024-11-24,0.0,0.0,5625265,0.0,566772193.4635136,0.0,0,2311048883.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,8108478,0.0,638130852.8762085,0.0,0,2535496846.0,0.0,0.0,0.0
