date,BSOL - ETF Flows,GSOL - ETF Flows,FSOL - ETF Flows,VSOL - ETF Flows,TSOL - ETF Flows,SOEZ - ETF Flows
2025-10-31,44500000,0,0,0,0,0
2025-11-30,330860000,75670000,32200000,7900000,-27600000,0
2025-12-31,97200000,29000000,82800000,10100000,-73600000,0
2026-01-31,53700000,7400000,37700000,4500000,-1200000,1100000
2026-02-28,55100000,-4000000,10000000,-1500000,-200000,2300000
2026-03-31,58700000,-4000000,-12600000,-2600000,0,3000000
