date,Aptos,Avalanche C-Chain,Ethereum,Near,Sui,Polygon PoS,Solana,Acala
2015-08-07,,,784,,,,,
2015-08-08,,,1214,,,,,
2015-08-09,,,1466,,,,,
2015-08-10,,,2098,,,,,
2015-08-11,,,3979,,,,,
2015-08-12,,,4238,,,,,
2015-08-13,,,4690,,,,,
2015-08-14,,,5252,,,,,
2015-08-15,,,5546,,,,,
2015-08-16,,,5748,,,,,
2015-08-17,,,6001,,,,,
2015-08-18,,,6229,,,,,
2015-08-19,,,6428,,,,,
2015-08-20,,,6553,,,,,
2015-08-21,,,6791,,,,,
2015-08-22,,,6983,,,,,
2015-08-23,,,7165,,,,,
2015-08-24,,,7289,,,,,
2015-08-25,,,7441,,,,,
2015-08-26,,,7549,,,,,
2015-08-27,,,7682,,,,,
2015-08-28,,,7802,,,,,
2015-08-29,,,7886,,,,,
2015-08-30,,,8027,,,,,
2015-08-31,,,8121,,,,,
2015-09-01,,,8233,,,,,
2015-09-02,,,8323,,,,,
2015-09-03,,,8419,,,,,
2015-09-04,,,8485,,,,,
2015-09-05,,,8591,,,,,
2015-09-06,,,8295,,,,,
2015-09-07,,,8149,,,,,
2015-09-08,,,8066,,,,,
2015-09-09,,,7611,,,,,
2015-09-10,,,5883,,,,,
2015-09-11,,,5846,,,,,
2015-09-12,,,5609,,,,,
2015-09-13,,,5269,,,,,
2015-09-14,,,5131,,,,,
2015-09-15,,,5012,,,,,
2015-09-16,,,4895,,,,,
2015-09-17,,,4792,,,,,
2015-09-18,,,4696,,,,,
2015-09-19,,,4620,,,,,
2015-09-20,,,4497,,,,,
2015-09-21,,,4438,,,,,
2015-09-22,,,4390,,,,,
2015-09-23,,,4353,,,,,
2015-09-24,,,4306,,,,,
2015-09-25,,,4300,,,,,
2015-09-26,,,4206,,,,,
2015-09-27,,,4140,,,,,
2015-09-28,,,4137,,,,,
2015-09-29,,,4146,,,,,
2015-09-30,,,4112,,,,,
2015-10-01,,,4119,,,,,
2015-10-02,,,4113,,,,,
2015-10-03,,,4123,,,,,
2015-10-04,,,4115,,,,,
2015-10-05,,,4112,,,,,
2015-10-06,,,4077,,,,,
2015-10-07,,,4054,,,,,
2015-10-08,,,3998,,,,,
2015-10-09,,,3959,,,,,
2015-10-10,,,3915,,,,,
2015-10-11,,,3839,,,,,
2015-10-12,,,3810,,,,,
2015-10-13,,,3786,,,,,
2015-10-14,,,3793,,,,,
2015-10-15,,,3785,,,,,
2015-10-16,,,3769,,,,,
2015-10-17,,,3748,,,,,
2015-10-18,,,3724,,,,,
2015-10-19,,,3736,,,,,
2015-10-20,,,3754,,,,,
2015-10-21,,,3713,,,,,
2015-10-22,,,3673,,,,,
2015-10-23,,,3677,,,,,
2015-10-24,,,3650,,,,,
2015-10-25,,,3649,,,,,
2015-10-26,,,3678,,,,,
2015-10-27,,,3798,,,,,
2015-10-28,,,3843,,,,,
2015-10-29,,,3858,,,,,
2015-10-30,,,3967,,,,,
2015-10-31,,,3987,,,,,
2015-11-01,,,3979,,,,,
2015-11-02,,,4021,,,,,
2015-11-03,,,4057,,,,,
2015-11-04,,,4121,,,,,
2015-11-05,,,4159,,,,,
2015-11-06,,,4194,,,,,
2015-11-07,,,4265,,,,,
2015-11-08,,,4293,,,,,
2015-11-09,,,4389,,,,,
2015-11-10,,,4422,,,,,
2015-11-11,,,4472,,,,,
2015-11-12,,,4492,,,,,
2015-11-13,,,4480,,,,,
2015-11-14,,,4472,,,,,
2015-11-15,,,4477,,,,,
2015-11-16,,,4462,,,,,
2015-11-17,,,4481,,,,,
2015-11-18,,,4499,,,,,
2015-11-19,,,4521,,,,,
2015-11-20,,,4525,,,,,
2015-11-21,,,4519,,,,,
2015-11-22,,,4508,,,,,
2015-11-23,,,4533,,,,,
2015-11-24,,,4518,,,,,
2015-11-25,,,4523,,,,,
2015-11-26,,,4469,,,,,
2015-11-27,,,4365,,,,,
2015-11-28,,,4274,,,,,
2015-11-29,,,4202,,,,,
2015-11-30,,,4207,,,,,
2015-12-01,,,4214,,,,,
2015-12-02,,,4154,,,,,
2015-12-03,,,4107,,,,,
2015-12-04,,,4048,,,,,
2015-12-05,,,4022,,,,,
2015-12-06,,,4107,,,,,
2015-12-07,,,4206,,,,,
2015-12-08,,,4219,,,,,
2015-12-09,,,4178,,,,,
2015-12-10,,,4178,,,,,
2015-12-11,,,4153,,,,,
2015-12-12,,,4499,,,,,
2015-12-13,,,4554,,,,,
2015-12-14,,,4557,,,,,
2015-12-15,,,4601,,,,,
2015-12-16,,,4655,,,,,
2015-12-17,,,4796,,,,,
2015-12-18,,,4817,,,,,
2015-12-19,,,4798,,,,,
2015-12-20,,,4766,,,,,
2015-12-21,,,4806,,,,,
2015-12-22,,,4885,,,,,
2015-12-23,,,4879,,,,,
2015-12-24,,,4895,,,,,
2015-12-25,,,4898,,,,,
2015-12-26,,,4898,,,,,
2015-12-27,,,4898,,,,,
2015-12-28,,,4964,,,,,
2015-12-29,,,4982,,,,,
2015-12-30,,,4984,,,,,
2015-12-31,,,5063,,,,,
2016-01-01,,,5096,,,,,
2016-01-02,,,5164,,,,,
2016-01-03,,,5178,,,,,
2016-01-04,,,5234,,,,,
2016-01-05,,,5103,,,,,
2016-01-06,,,5045,,,,,
2016-01-07,,,5107,,,,,
2016-01-08,,,5160,,,,,
2016-01-09,,,5232,,,,,
2016-01-10,,,5367,,,,,
2016-01-11,,,5535,,,,,
2016-01-12,,,5746,,,,,
2016-01-13,,,5819,,,,,
2016-01-14,,,5845,,,,,
2016-01-15,,,6059,,,,,
2016-01-16,,,6043,,,,,
2016-01-17,,,6107,,,,,
2016-01-18,,,6211,,,,,
2016-01-19,,,6355,,,,,
2016-01-20,,,6752,,,,,
2016-01-21,,,6863,,,,,
2016-01-22,,,6977,,,,,
2016-01-23,,,7287,,,,,
2016-01-24,,,7725,,,,,
2016-01-25,,,8209,,,,,
2016-01-26,,,8780,,,,,
2016-01-27,,,9142,,,,,
2016-01-28,,,9440,,,,,
2016-01-29,,,9745,,,,,
2016-01-30,,,10015,,,,,
2016-01-31,,,10338,,,,,
2016-02-01,,,10579,,,,,
2016-02-02,,,10828,,,,,
2016-02-03,,,11046,,,,,
2016-02-04,,,11252,,,,,
2016-02-05,,,11451,,,,,
2016-02-06,,,11644,,,,,
2016-02-07,,,11893,,,,,
2016-02-08,,,12169,,,,,
2016-02-09,,,12472,,,,,
2016-02-10,,,13269,,,,,
2016-02-11,,,14058,,,,,
2016-02-12,,,14898,,,,,
2016-02-13,,,15670,,,,,
2016-02-14,,,15748,,,,,
2016-02-15,,,16246,,,,,
2016-02-16,,,16731,,,,,
2016-02-17,,,17081,,,,,
2016-02-18,,,17447,,,,,
2016-02-19,,,17380,,,,,
2016-02-20,,,17664,,,,,
2016-02-21,,,18893,,,,,
2016-02-22,,,19284,,,,,
2016-02-23,,,19548,,,,,
2016-02-24,,,19687,,,,,
2016-02-25,,,19985,,,,,
2016-02-26,,,20236,,,,,
2016-02-27,,,20516,,,,,
2016-02-28,,,21228,,,,,
2016-02-29,,,22504,,,,,
2016-03-01,,,23766,,,,,
2016-03-02,,,25074,,,,,
2016-03-03,,,26578,,,,,
2016-03-04,,,28254,,,,,
2016-03-05,,,30556,,,,,
2016-03-06,,,32560,,,,,
2016-03-07,,,33819,,,,,
2016-03-08,,,35541,,,,,
2016-03-09,,,37052,,,,,
2016-03-10,,,38741,,,,,
2016-03-11,,,39168,,,,,
2016-03-12,,,39663,,,,,
2016-03-13,,,40174,,,,,
2016-03-14,,,40890,,,,,
2016-03-15,,,41816,,,,,
2016-03-16,,,42295,,,,,
2016-03-17,,,43135,,,,,
2016-03-18,,,44426,,,,,
2016-03-19,,,44920,,,,,
2016-03-20,,,45681,,,,,
2016-03-21,,,46543,,,,,
2016-03-22,,,46063,,,,,
2016-03-23,,,46270,,,,,
2016-03-24,,,46553,,,,,
2016-03-25,,,46807,,,,,
2016-03-26,,,46862,,,,,
2016-03-27,,,47267,,,,,
2016-03-28,,,47637,,,,,
2016-03-29,,,48699,,,,,
2016-03-30,,,49016,,,,,
2016-03-31,,,48428,,,,,
2016-04-01,,,47685,,,,,
2016-04-02,,,46780,,,,,
2016-04-03,,,45655,,,,,
2016-04-04,,,44321,,,,,
2016-04-05,,,43116,,,,,
2016-04-06,,,42709,,,,,
2016-04-07,,,41356,,,,,
2016-04-08,,,40475,,,,,
2016-04-09,,,39831,,,,,
2016-04-10,,,38828,,,,,
2016-04-11,,,38168,,,,,
2016-04-12,,,37580,,,,,
2016-04-13,,,37242,,,,,
2016-04-14,,,36749,,,,,
2016-04-15,,,36366,,,,,
2016-04-16,,,35659,,,,,
2016-04-17,,,34673,,,,,
2016-04-18,,,34417,,,,,
2016-04-19,,,34008,,,,,
2016-04-20,,,33662,,,,,
2016-04-21,,,33726,,,,,
2016-04-22,,,33843,,,,,
2016-04-23,,,33987,,,,,
2016-04-24,,,34216,,,,,
2016-04-25,,,34545,,,,,
2016-04-26,,,34757,,,,,
2016-04-27,,,35010,,,,,
2016-04-28,,,34002,,,,,
2016-04-29,,,35392,,,,,
2016-04-30,,,36884,,,,,
2016-05-01,,,37968,,,,,
2016-05-02,,,39564,,,,,
2016-05-03,,,40791,,,,,
2016-05-04,,,41570,,,,,
