date,Bedrock,Eigenpie,EtherFi,Kelp DAO,Puffer Finance,Renzo Protocol,Swell Network
2023-02-10,96994.17771913944,,,,,,
2023-02-11,98686.00812424136,,,,,,
2023-02-12,96981.41639556094,,,,,,
2023-02-13,96442.63686486433,,,,,,
2023-02-14,99645.66299810517,,,,,,
2023-02-15,107190.9252783058,,,,,,
2023-02-16,105353.1841207506,,,,,,
2023-02-17,108613.43146072252,,,,,,
2023-02-18,108321.2136211982,,,,,,
2023-02-19,107544.23588480469,,,,,,
2023-02-20,108812.71561595306,,,,,,
2023-02-21,106021.27165255162,,,,,,
2023-02-22,105163.09719970234,,,,,,
2023-02-23,105718.40042825132,,,,,,
2023-02-24,102918.62359384554,,,,,,
2023-02-25,102012.92632261412,,,,,,
2023-02-26,104997.2934524356,,,,,,
2023-02-27,104574.50425493642,,,,,,
2023-02-28,102824.48892510997,,,,,,
2023-03-01,106491.24974684553,,,,,,
2023-03-02,105450.5386820974,,,,,,
2023-03-03,301568.296435157,,,,,,
2023-03-04,301151.1554027941,,,,,,
2023-03-05,300139.32710508106,,,,,,
2023-03-06,300931.228132842,,,,,,
2023-03-07,300252.1309915202,,,,,,
2023-03-08,294769.968402645,,,,,,
2023-03-09,276512.1910809953,,,,,,
2023-03-10,274483.8084680035,,,,,,
2023-03-11,283085.4229250995,,,,,,
2023-03-12,304933.785994185,,,,,,
2023-03-13,322351.8018035151,,,,,,
2023-03-14,327993.7722943999,,,,,,
2023-03-15,318349.46084473183,,,,,,
2023-03-16,322520.1554319532,,,,,,
2023-03-17,344313.3699329728,,,,,,
2023-03-18,339729.6627671779,,,,,,
2023-03-19,345862.5444502001,,,,,,
2023-03-20,334932.7603123235,,,,,,
2023-03-21,1507094.1547320036,,,,,,
2023-03-22,1454036.5033909432,,,,,,
2023-03-23,1518363.939368584,,,,,,
2023-03-24,1457014.5473113754,,,,,,
2023-03-25,1459313.5535741644,,,,,,
2023-03-26,1478353.9184599936,,,,,,
2023-03-27,1430350.249265484,,,,,,
2023-03-28,1477668.3079224203,,,,,,
2023-03-29,1493886.7405923333,,,,,,
2023-03-30,1491699.937152292,,,,,,
2023-03-31,1517584.6446199445,,,,,,
2023-04-01,1516736.3160146566,,,,,,
2023-04-02,1495717.1743436877,,,,,,
2023-04-03,1506307.9245633169,,,,,,
2023-04-04,1556949.493547671,,,,,,
2023-04-05,1590233.790039857,,,,,,
2023-04-06,1557709.2397301008,,,,,,
2023-04-07,1553059.0772631294,,,,,,
2023-04-08,1540074.1583307565,,,,,,
