"symbol","EQ_SHARE_VOLUME","MC","EQ_FULLY_DILUTED_MARKET_CAP","EQ_NAV","EQ_M_NAV","EQ_FDM_NAV","EQ_EV_MNAV","EQ_FD_EV_MNAV","TICKER","ASSETS_HELD"
"eq-mstr","752697892.128","","51129485904","57651282819","0.8084061069433877","0.886875077255859","0.9118556697002889","0.9903246400127602","MSTR","bitcoin"
"eq-mtplf","14511400","","3065218503.299033","2591475354","1.182808278908692","1.182808278908692","1.2908548399411222","1.2908548399411222","MTPLF","bitcoin"
"eq-xxi","4915545.28","","2550019200","3212516937.2400002","0.7937761106999243","0.7937761106999243","0.7937683286397862","0.7937683286397862","XXI","bitcoin"
"eq-cepo","22885.399999999998","","5155840000","2216360367","2.0210230481205858","2.3262643010436035","2.3953642483844324","2.7006055013074506","CEPO","bitcoin"
"eq-naka","488476.32","","210324472.32","425612655","0.4537348127489301","0.4941687467446192","0.8738701515348504","0.9143040855305394","NAKA","bitcoin"
"eq-sbet","21338527.98","","1438841064.045","2016525521.01","0.7135248470965743","0.7135248470965743","0.7135248470965743","0.7135248470965743","SBET","ethereum"
"eq-bmnr","369923200.61","","8847018514.329","10195773598.01","0.8677142964468877","0.8677142964468877","0.8020007933409763","0.8020007933409763","BMNR","ethereum"
"eq-btbt","14590268.549999999","","547331471.74251","362041288.60899997","1.3603081671463182","1.5117929610885377","1.2799305944340864","1.4314153883763059","BTBT","ethereum"
"eq-ethm","1602777.4200000002","","394046363.06","1155347653.46","0.2072819054444821","0.34106302278792183","-0.11045795311724178","0.023323164226197936","ETHM","ethereum"
"eq-ethz","692641.83","","77999764.6","162801298.66","0.2495623483928786","0.4791102112944287","0.3908388627039467","0.620386725605497","ETHZ","ethereum"
"eq-fgnx","92242.26100000001","","252286687.821","87681614.02","2.333332960241053","2.87730433159515","2.2626225830508497","2.806593954404947","FGNX","ethereum"
"eq-btcs","281954.7","","89423285.85000001","164014110.26","0.49261900437663","0.5452170286339607","0.4925451448777076","0.5451431691350384","BTCS","ethereum"
"eq-upxi","1359268.2850000001","","155040701.735","201480000","0.41375766475580705","0.7695091410313679","1.288782481114751","1.6445339573903117","UPXI","solana"
"eq-dfdv","1525748.47","","192953573.4","184347987.70000002","0.6657696377447357","1.0466812022597412","1.6897027023528501","2.0706142668678553","DFDV","solana"
"eq-stss","189880.625","","228577171.02499998","167900000","0.6921957773972602","1.3613887494044072","0.6426305600059559","1.3118235320131029","STSS","solana"
"eq-hsdt","183912.3","","166577908.85999998","194344250","0.8571280542645331","0.8571280542645331","0.7799454260159484","0.7799454260159484","HSDT","solana"
"eq-ford","803827.206","","509191247.91599995","585968229.65","0.6613147838534866","0.8689741561929747","0.617967723868389","0.8256270962078771","FORD","solana"
"eq-hypd","482897.052","","157120102.998","83053897","0.3632807399753921","1.891784836995668","0.26427057552759986","1.7927746725478757","HYPD","hyperliquid"
"eq-purr","13754808.65","","978692000","838480000","1.141833794485259","1.167221639156569","1.0141026619597366","1.0394905066310467","PURR","hyperliquid"
"eq-bnc","205213.302","","309679049.199","318916286.26000005","0.3956233128562708","0.9710355429967935","0.23884235762077383","0.8142545877612966","BNC","bsc"
