date,BNB Chain,Tron,Polygon PoS,Ethereum,Solana,Base,Celo,Arbitrum,Aptos,TON,Other (15)
2017-11-30,0,0,0,3,0,0,0,0,0,0,0
2017-12-31,0,0,0,7,0,0,0,0,0,0,0
2018-01-31,0,0,0,107,0,0,0,0,0,0,0
2018-02-28,0,0,0,277,0,0,0,0,0,0,0
2018-03-31,0,0,0,234,0,0,0,0,0,0,0
2018-04-30,0,0,0,567,0,0,0,0,0,0,0
2018-05-31,0,0,0,732,0,0,0,0,0,0,0
2018-06-30,0,0,0,913,0,0,0,0,0,0,0
2018-07-31,0,0,0,1758,0,0,0,0,0,0,0
2018-08-31,0,0,0,710,0,0,0,0,0,0,0
2018-09-30,0,0,0,1444,0,0,0,0,0,0,0
2018-10-31,0,0,0,3097,0,0,0,0,0,0,0
2018-11-30,0,0,0,12106,0,0,0,0,0,0,0
2018-12-31,0,0,0,19950,0,0,0,0,0,0,0
2019-01-31,0,0,0,26975,0,0,0,0,0,0,0
2019-02-28,0,0,0,27687,0,0,0,0,0,0,0
2019-03-31,0,0,0,31301,0,0,0,0,0,0,0
2019-04-30,0,244,0,49029,0,0,0,0,0,0,0
2019-05-31,0,900,0,97411,0,0,0,0,0,0,0
2019-06-30,0,842,0,174043,0,0,0,0,0,0,0
2019-07-31,0,1813,0,272734,0,0,0,0,0,0,0
2019-08-31,0,924,0,491117,0,0,0,0,0,0,0
2019-09-30,0,750,0,652669,0,0,0,0,0,0,0
2019-10-31,0,7422,0,563144,0,0,0,0,0,0,0
2019-11-30,0,10209,0,545782,0,0,0,0,0,0,0
2019-12-31,0,12477,0,522410,0,0,0,0,0,0,0
2020-01-31,0,20494,0,521253,0,0,0,0,0,0,0
2020-02-29,0,29258,0,658611,0,0,0,0,0,0,0
2020-03-31,0,47432,0,935780,0,0,0,0,0,0,0
2020-04-30,0,60248,0,1097393,0,0,1,0,0,0,0
2020-05-31,0,55686,0,1500310,0,0,1,0,0,0,0
2020-06-30,0,80823,0,1968696,0,0,65,0,0,0,0
2020-07-31,0,119194,0,1612018,0,0,264,0,0,0,0
2020-08-31,0,254593,0,1655873,0,0,408,0,0,0,0
2020-09-30,14192,601054,396,1321298,0,0,1299,0,0,0,0
2020-10-31,18680,849884,3510,1823145,1,0,1331,0,0,0,0
2020-11-30,13121,651281,3006,1875922,0,0,1467,0,0,0,0
2020-12-31,22678,748831,2559,1737277,0,0,5517,0,0,0,0
2021-01-31,57418,969891,4150,1652363,109,0,22242,0,0,0,3
2021-02-28,257055,1436251,5223,1399177,15936,0,23363,0,0,0,2767
2021-03-31,548463,2631930,9491,1448502,70290,0,30480,0,0,0,2843
2021-04-30,1005285,2969612,29041,1771318,386112,0,258714,0,0,0,3933
2021-05-31,1457764,4528894,103037,1897824,397199,0,114815,0,0,0,9474
2021-06-30,1153185,2865438,191810,1700668,339079,0,28685,3,0,0,4125
2021-07-31,1168420,2816476,292189,1332835,173500,0,29602,11,0,0,4523
2021-08-31,1658105,3379668,452962,1263701,232525,0,28136,58,0,0,24982
2021-09-30,2123904,3568987,440251,1267861,743850,0,38358,66252,0,0,52169
2021-10-31,2791240,4136819,535352,1363267,1146771,0,61001,44592,0,0,76447
2021-11-30,3862333,5307083,510830,1464003,1374779,0,68680,29113,0,0,165548
2021-12-31,3661954,5231107,593219,1503523,920799,0,87244,25706,0,0,245577
2022-01-31,3138563,4719297,473353,1075275,1101848,0,68998,23300,0,0,221633
2022-02-28,2755143,4336389,385557,925432,724947,0,44666,21039,0,0,179471
2022-03-31,3104053,4687137,374214,1264463,553096,0,68020,31695,0,0,190706
2022-04-30,3364730,5583239,435558,982595,965208,0,76290,56395,0,0,193118
2022-05-31,3290919,6151698,452540,1282392,1006641,0,49026,97252,0,0,198692
2022-06-30,3234353,5203687,473198,1061581,957671,0,40585,100940,0,0,195931
2022-07-31,3227342,4958993,587418,1192403,597755,0,36260,78177,0,0,160862
2022-08-31,3022348,5371387,828929,1214799,490471,0,43376,90675,0,0,181522
2022-09-30,3407432,5796571,594812,1189262,351586,0,27249,135775,0,0,203346
2022-10-31,3030184,5205763,567714,1100529,360797,0,30406,187342,0,0,209504
2022-11-30,3840687,8223296,867084,1561382,356772,0,24294,276253,0,0,316913
2022-12-31,4371617,9392619,1267348,1718283,391420,0,22621,274740,0,0,457278
2023-01-31,3561708,7424621,1444530,1344472,465545,0,22726,271509,0,0,470613
2023-02-28,4005437,6077237,965118,1282053,360067,0,64412,350320,0,0,317586
2023-03-31,5335204,6785707,1131777,1506756,481073,0,87757,507235,0,0,373068
2023-04-30,4547840,7344788,1184718,1074028,424440,0,20821,742788,0,0,634374
2023-05-31,4861367,7908685,1385349,1042509,474345,0,19799,840647,0,0,942543
2023-06-30,4089866,8885803,1569252,1283245,346570,0,16947,914577,0,0,1233063
2023-07-31,5156225,7388215,1945631,1085375,363536,3,22647,987216,0,0,1406970
2023-08-31,5260109,7085548,1540265,1078752,339847,109640,11666,814460,0,0,1241857
2023-09-30,4609250,7658366,1070295,1093447,361569,129271,46072,574510,0,0,971977
2023-10-31,4231726,8414203,1028753,1276949,347565,181916,83477,575276,0,0,911790
2023-11-30,4003703,8620845,1149449,1191899,748795,171729,258601,640827,0,0,1010753
2023-12-31,4717680,7547569,1421395,1381262,1379852,230220,355989,641172,0,0,1384079
2024-01-31,4648375,7412620,1620644,1413191,1824797,217409,344196,726057,0,0,1218151
2024-02-29,4457935,7789422,2083829,1223616,1906960,251406,401055,706020,0,0,1487413
2024-03-31,6654419,8841043,2434893,1474102,2785775,415645,340432,1065195,0,0,2171215
2024-04-30,5415800,8024219,2270285,1477966,2209642,575631,497308,1206180,0,41333,2297044
2024-05-31,4500297,10183791,2035143,1454574,1957281,566398,629250,1017010,0,327712,2683793
2024-06-30,4640365,9186753,1928425,1480536,1522504,694143,1067902,1070315,0,378110,2450088
2024-07-31,4725818,8761604,2173322,1316892,1496408,607140,905649,928413,0,380935,2089058
2024-08-31,4534804,8437643,2535998,1496669,1413169,531384,781452,779348,0,514943,1570267
2024-09-30,5027890,9143919,1937665,1512148,1395868,531955,961254,972370,0,1060313,1375333
2024-10-31,5666525,9262864,2384517,1356219,1934187,536227,1086269,921975,26,606565,2060439
2024-11-30,5990363,8978921,2860322,1570391,3477116,635248,1316342,1122500,5279,619606,1750113
2024-12-31,7760596,8541809,3552640,1781994,3412566,927314,1448902,1669390,339538,524867,1673711
2025-01-31,9445268,8092948,3823132,1722506,4366111,1083905,1417933,1392436,584046,456488,1639531
2025-02-28,9912806,7363687,3588394,1870477,3306062,857948,1141998,1120207,582458,361911,1296587
2025-03-31,10909083,8682195,4120456,2092594,2982252,868411,1027883,1192219,557213,377882,1261036
2025-04-30,7398042,8746800,4783504,2042227,3005037,942025,912171,1154313,499941,328105,1432216
2025-05-31,10542515,9603693,5561390,2190656,3127902,1361434,979741,1306287,752912,392528,1552439
2025-06-30,11843153,9627295,4902156,2457837,3089271,3304059,999771,1380670,1172777,296705,1292953
2025-07-31,14685889,9854475,4959287,2435382,4204567,2103939,1084677,1790881,1071578,330629,1657773
2025-08-31,12360470,9790474,4491759,2873657,3738439,1986139,1224216,1792878,917571,474501,2184944
2025-09-30,11100283,10366965,3894350,3024689,3890236,2101496,1249799,1727244,854392,529357,1758163
2025-10-31,11165811,10772650,4379658,3383661,4647630,2421989,1356764,1920268,760265,354458,1597384
2025-11-30,11469945,10642880,4799101,3536501,4167117,2958878,1488980,2153490,788905,537020,1805788
2025-12-31,12623104,11208934,5069368,5042303,3428408,2280264,1610275,2140235,627778,422632,1445602
2026-01-31,13697250,9833237,5135908,7134282,4950098,2373457,1606877,2170745,583273,380596,1827904
2026-02-28,13059877,8764634,5199507,5422953,4880461,2113910,1633033,2518295,497709,375031,1305826
