date,Avalanche C-Chain,Ethereum,Near,Sui,Polygon PoS,Solana
2015-08-07,,784,,,,
2015-08-08,,430,,,,
2015-08-09,,252,,,,
2015-08-10,,632,,,,
2015-08-11,,1881,,,,
2015-08-12,,259,,,,
2015-08-13,,452,,,,
2015-08-14,,562,,,,
2015-08-15,,294,,,,
2015-08-16,,202,,,,
2015-08-17,,253,,,,
2015-08-18,,228,,,,
2015-08-19,,199,,,,
2015-08-20,,125,,,,
2015-08-21,,238,,,,
2015-08-22,,192,,,,
2015-08-23,,182,,,,
2015-08-24,,124,,,,
2015-08-25,,152,,,,
2015-08-26,,108,,,,
2015-08-27,,133,,,,
2015-08-28,,120,,,,
2015-08-29,,84,,,,
2015-08-30,,141,,,,
2015-08-31,,94,,,,
2015-09-01,,112,,,,
2015-09-02,,90,,,,
2015-09-03,,96,,,,
2015-09-04,,66,,,,
2015-09-05,,106,,,,
2015-09-06,,83,,,,
2015-09-07,,119,,,,
2015-09-08,,103,,,,
2015-09-09,,102,,,,
2015-09-10,,76,,,,
2015-09-11,,116,,,,
2015-09-12,,75,,,,
2015-09-13,,87,,,,
2015-09-14,,86,,,,
2015-09-15,,66,,,,
2015-09-16,,85,,,,
2015-09-17,,78,,,,
2015-09-18,,73,,,,
2015-09-19,,46,,,,
2015-09-20,,48,,,,
2015-09-21,,69,,,,
2015-09-22,,85,,,,
2015-09-23,,64,,,,
2015-09-24,,67,,,,
2015-09-25,,68,,,,
2015-09-26,,40,,,,
2015-09-27,,48,,,,
2015-09-28,,71,,,,
2015-09-29,,113,,,,
2015-09-30,,54,,,,
2015-10-01,,100,,,,
2015-10-02,,59,,,,
2015-10-03,,78,,,,
2015-10-04,,49,,,,
2015-10-05,,58,,,,
2015-10-06,,73,,,,
2015-10-07,,65,,,,
2015-10-08,,48,,,,
2015-10-09,,45,,,,
2015-10-10,,33,,,,
2015-10-11,,39,,,,
2015-10-12,,34,,,,
2015-10-13,,51,,,,
2015-10-14,,72,,,,
2015-10-15,,63,,,,
2015-10-16,,61,,,,
2015-10-17,,61,,,,
2015-10-18,,50,,,,
2015-10-19,,49,,,,
2015-10-20,,70,,,,
2015-10-21,,44,,,,
2015-10-22,,68,,,,
2015-10-23,,71,,,,
2015-10-24,,47,,,,
2015-10-25,,70,,,,
2015-10-26,,70,,,,
2015-10-27,,120,,,,
2015-10-28,,124,,,,
2015-10-29,,118,,,,
2015-10-30,,141,,,,
2015-10-31,,123,,,,
2015-11-01,,52,,,,
2015-11-02,,88,,,,
2015-11-03,,74,,,,
2015-11-04,,99,,,,
2015-11-05,,95,,,,
2015-11-06,,85,,,,
2015-11-07,,100,,,,
2015-11-08,,58,,,,
2015-11-09,,107,,,,
2015-11-10,,72,,,,
2015-11-11,,59,,,,
2015-11-12,,62,,,,
2015-11-13,,50,,,,
2015-11-14,,53,,,,
2015-11-15,,47,,,,
2015-11-16,,45,,,,
2015-11-17,,59,,,,
2015-11-18,,61,,,,
2015-11-19,,70,,,,
2015-11-20,,47,,,,
2015-11-21,,55,,,,
2015-11-22,,39,,,,
2015-11-23,,66,,,,
2015-11-24,,47,,,,
2015-11-25,,60,,,,
2015-11-26,,71,,,,
2015-11-27,,42,,,,
2015-11-28,,36,,,,
2015-11-29,,51,,,,
2015-11-30,,62,,,,
2015-12-01,,43,,,,
2015-12-02,,39,,,,
2015-12-03,,40,,,,
2015-12-04,,48,,,,
2015-12-05,,59,,,,
2015-12-06,,147,,,,
2015-12-07,,88,,,,
2015-12-08,,74,,,,
2015-12-09,,61,,,,
2015-12-10,,56,,,,
2015-12-11,,63,,,,
2015-12-12,,370,,,,
2015-12-13,,76,,,,
2015-12-14,,65,,,,
2015-12-15,,70,,,,
2015-12-16,,85,,,,
2015-12-17,,205,,,,
2015-12-18,,80,,,,
2015-12-19,,121,,,,
2015-12-20,,72,,,,
2015-12-21,,89,,,,
2015-12-22,,118,,,,
2015-12-23,,59,,,,
2015-12-24,,52,,,,
2015-12-25,,51,,,,
2015-12-26,,78,,,,
2015-12-27,,58,,,,
2015-12-28,,76,,,,
2015-12-29,,59,,,,
2015-12-30,,63,,,,
2015-12-31,,102,,,,
2016-01-01,,64,,,,
2016-01-02,,92,,,,
2016-01-03,,58,,,,
2016-01-04,,79,,,,
2016-01-05,,79,,,,
2016-01-06,,116,,,,
2016-01-07,,114,,,,
2016-01-08,,109,,,,
2016-01-09,,124,,,,
2016-01-10,,196,,,,
2016-01-11,,227,,,,
2016-01-12,,232,,,,
2016-01-13,,127,,,,
2016-01-14,,104,,,,
2016-01-15,,241,,,,
2016-01-16,,146,,,,
2016-01-17,,119,,,,
2016-01-18,,155,,,,
2016-01-19,,164,,,,
2016-01-20,,253,,,,
2016-01-21,,148,,,,
2016-01-22,,142,,,,
2016-01-23,,316,,,,
2016-01-24,,368,,,,
2016-01-25,,458,,,,
2016-01-26,,519,,,,
2016-01-27,,386,,,,
2016-01-28,,345,,,,
2016-01-29,,316,,,,
2016-01-30,,308,,,,
2016-01-31,,355,,,,
2016-02-01,,302,,,,
2016-02-02,,286,,,,
2016-02-03,,268,,,,
2016-02-04,,238,,,,
2016-02-05,,280,,,,
2016-02-06,,279,,,,
2016-02-07,,321,,,,
2016-02-08,,362,,,,
2016-02-09,,448,,,,
2016-02-10,,920,,,,
2016-02-11,,949,,,,
2016-02-12,,946,,,,
2016-02-13,,842,,,,
2016-02-14,,516,,,,
2016-02-15,,602,,,,
2016-02-16,,540,,,,
2016-02-17,,467,,,,
2016-02-18,,511,,,,
2016-02-19,,429,,,,
2016-02-20,,374,,,,
2016-02-21,,1336,,,,
2016-02-22,,633,,,,
2016-02-23,,570,,,,
2016-02-24,,469,,,,
2016-02-25,,658,,,,
2016-02-26,,526,,,,
2016-02-27,,529,,,,
2016-02-28,,939,,,,
2016-02-29,,1467,,,,
2016-03-01,,1500,,,,
2016-03-02,,1502,,,,
2016-03-03,,1631,,,,
2016-03-04,,1823,,,,
2016-03-05,,2380,,,,
2016-03-06,,2210,,,,
2016-03-07,,1426,,,,
2016-03-08,,1930,,,,
2016-03-09,,1787,,,,
2016-03-10,,2028,,,,
2016-03-11,,1092,,,,
2016-03-12,,1359,,,,
2016-03-13,,1283,,,,
2016-03-14,,1370,,,,
2016-03-15,,1132,,,,
2016-03-16,,972,,,,
2016-03-17,,1248,,,,
2016-03-18,,1588,,,,
2016-03-19,,910,,,,
2016-03-20,,1045,,,,
2016-03-21,,1127,,,,
2016-03-22,,739,,,,
2016-03-23,,721,,,,
2016-03-24,,708,,,,
2016-03-25,,650,,,,
2016-03-26,,567,,,,
2016-03-27,,793,,,,
2016-03-28,,775,,,,
2016-03-29,,1716,,,,
2016-03-30,,1561,,,,
2016-03-31,,797,,,,
2016-04-01,,645,,,,
2016-04-02,,590,,,,
2016-04-03,,552,,,,
2016-04-04,,798,,,,
2016-04-05,,799,,,,
2016-04-06,,854,,,,
2016-04-07,,728,,,,
2016-04-08,,489,,,,
2016-04-09,,636,,,,
2016-04-10,,789,,,,
2016-04-11,,548,,,,
2016-04-12,,622,,,,
2016-04-13,,960,,,,
2016-04-14,,645,,,,
2016-04-15,,440,,,,
2016-04-16,,433,,,,
2016-04-17,,569,,,,
2016-04-18,,579,,,,
2016-04-19,,510,,,,
2016-04-20,,652,,,,
2016-04-21,,663,,,,
2016-04-22,,721,,,,
2016-04-23,,737,,,,
2016-04-24,,785,,,,
2016-04-25,,727,,,,
2016-04-26,,883,,,,
2016-04-27,,923,,,,
2016-04-28,,726,,,,
2016-04-29,,2351,,,,
2016-04-30,,1860,,,,
2016-05-01,,1356,,,,
2016-05-02,,1804,,,,
2016-05-03,,1452,,,,
2016-05-04,,1358,,,,
2016-05-05,,1154,,,,
2016-05-06,,1085,,,,
2016-05-07,,1179,,,,
2016-05-08,,1399,,,,
2016-05-09,,1472,,,,
2016-05-10,,1309,,,,
2016-05-11,,2268,,,,
2016-05-12,,1891,,,,
2016-05-13,,2824,,,,
2016-05-14,,2308,,,,
2016-05-15,,2149,,,,
2016-05-16,,1316,,,,
2016-05-17,,1795,,,,
2016-05-18,,1859,,,,
2016-05-19,,2050,,,,
2016-05-20,,2076,,,,
2016-05-21,,1886,,,,
2016-05-22,,1245,,,,
2016-05-23,,2161,,,,
2016-05-24,,1845,,,,
2016-05-25,,2024,,,,
2016-05-26,,2140,,,,
2016-05-27,,3278,,,,
2016-05-28,,8005,,,,
2016-05-29,,1931,,,,
2016-05-30,,1626,,,,
2016-05-31,,1852,,,,
2016-06-01,,1588,,,,
2016-06-02,,1465,,,,
2016-06-03,,1382,,,,
2016-06-04,,1194,,,,
2016-06-05,,1156,,,,
2016-06-06,,1202,,,,
2016-06-07,,1308,,,,
2016-06-08,,1400,,,,
2016-06-09,,1280,,,,
2016-06-10,,1275,,,,
2016-06-11,,1089,,,,
2016-06-12,,1412,,,,
2016-06-13,,2058,,,,
2016-06-14,,2313,,,,
2016-06-15,,1798,,,,
2016-06-16,,2284,,,,
2016-06-17,,4754,,,,
2016-06-18,,3996,,,,
2016-06-19,,2948,,,,
2016-06-20,,2108,,,,
2016-06-21,,2639,,,,
2016-06-22,,2766,,,,
2016-06-23,,1764,,,,
2016-06-24,,1532,,,,
2016-06-25,,1189,,,,
2016-06-26,,1202,,,,
2016-06-27,,1250,,,,
2016-06-28,,1852,,,,
2016-06-29,,1516,,,,
2016-06-30,,1283,,,,
2016-07-01,,1333,,,,
2016-07-02,,1829,,,,
2016-07-03,,1885,,,,
2016-07-04,,1918,,,,
2016-07-05,,2294,,,,
2016-07-06,,1894,,,,
2016-07-07,,1998,,,,
2016-07-08,,1856,,,,
2016-07-09,,1804,,,,
2016-07-10,,1782,,,,
2016-07-11,,1922,,,,
2016-07-12,,1935,,,,
2016-07-13,,2008,,,,
2016-07-14,,1879,,,,
2016-07-15,,1923,,,,
2016-07-16,,1414,,,,
2016-07-17,,904,,,,
2016-07-18,,1275,,,,
2016-07-19,,11609,,,,
2016-07-20,,1985,,,,
2016-07-21,,2107,,,,
2016-07-22,,2893,,,,
2016-07-23,,2338,,,,
2016-07-24,,5411,,,,
2016-07-25,,3045,,,,
2016-07-26,,5208,,,,
2016-07-27,,4637,,,,
2016-07-28,,3192,,,,
2016-07-29,,2909,,,,
2016-07-30,,2020,,,,
2016-07-31,,2393,,,,
2016-08-01,,2380,,,,
2016-08-02,,3925,,,,
2016-08-03,,3391,,,,
2016-08-04,,2312,,,,
2016-08-05,,1855,,,,
2016-08-06,,1635,,,,
2016-08-07,,1728,,,,
2016-08-08,,1676,,,,
2016-08-09,,2199,,,,
2016-08-10,,1947,,,,
2016-08-11,,2263,,,,
2016-08-12,,1581,,,,
2016-08-13,,1263,,,,
2016-08-14,,1554,,,,
2016-08-15,,1437,,,,
2016-08-16,,1395,,,,
2016-08-17,,1362,,,,
2016-08-18,,1390,,,,
2016-08-19,,1367,,,,
2016-08-20,,1716,,,,
2016-08-21,,1685,,,,
2016-08-22,,1249,,,,
2016-08-23,,1895,,,,
2016-08-24,,1557,,,,
2016-08-25,,1931,,,,
2016-08-26,,1708,,,,
2016-08-27,,1364,,,,
2016-08-28,,1483,,,,
2016-08-29,,1829,,,,
2016-08-30,,1579,,,,
2016-08-31,,1706,,,,
2016-09-01,,2099,,,,
2016-09-02,,1773,,,,
2016-09-03,,1577,,,,
2016-09-04,,1362,,,,
2016-09-05,,1291,,,,
2016-09-06,,1442,,,,
2016-09-07,,1627,,,,
2016-09-08,,2144,,,,
2016-09-09,,1651,,,,
2016-09-10,,1594,,,,
2016-09-11,,1668,,,,
2016-09-12,,1448,,,,
2016-09-13,,1722,,,,
2016-09-14,,1653,,,,
2016-09-15,,1520,,,,
2016-09-16,,1566,,,,
2016-09-17,,1701,,,,
2016-09-18,,1356,,,,
2016-09-19,,978,,,,
2016-09-20,,2184,,,,
2016-09-21,,2566,,,,
2016-09-22,,1437,,,,
2016-09-23,,1420,,,,
2016-09-24,,1337,,,,
2016-09-25,,1832,,,,
2016-09-26,,1458,,,,
2016-09-27,,1501,,,,
2016-09-28,,1596,,,,
2016-09-29,,2157,,,,
2016-09-30,,2240,,,,
2016-10-01,,1633,,,,
2016-10-02,,2154,,,,
2016-10-03,,1488,,,,
2016-10-04,,1347,,,,
2016-10-05,,1137,,,,
2016-10-06,,1762,,,,
2016-10-07,,2024,,,,
2016-10-08,,2406,,,,
2016-10-09,,2194,,,,
2016-10-10,,2242,,,,
2016-10-11,,1636,,,,
2016-10-12,,1115,,,,
2016-10-13,,568,,,,
2016-10-14,,1280,,,,
2016-10-15,,1199,,,,
2016-10-16,,1369,,,,
2016-10-17,,1317,,,,
2016-10-18,,1443,,,,
2016-10-19,,971,,,,
2016-10-20,,1402,,,,
