date,ARKB - ETF Flows,BITB - ETF Flows,BRRR - ETF Flows,BTCO - ETF Flows,BTCW - ETF Flows,EZBC - ETF Flows,FBTC - ETF Flows,GBTC - ETF Flows,HODL - ETF Flows,IBIT - ETF Flows,Bitcoin - ETF Flows
2024-01-31,645100000,648100000,113500000,293800000,8400000,62000000,2485200000,-5641300000,57500000,2787300000,0
2024-02-29,932700000,488300000,23100000,-44900000,27800000,55400000,2280600000,-2764900000,69100000,4969000000,0
2024-03-31,731500000,480100000,315400000,-21500000,23200000,158900000,2796700000,-6361300000,312000000,6201600000,0
2024-04-30,-86300000,125000000,-300000,10800000,5400000,20800000,556100000,-2535000000,37700000,1520700000,0
2024-05-31,255900000,220100000,59200000,79100000,4200000,62000000,771500000,-599200000,47100000,1173000000,0
2024-06-30,-71100000,55700000,-14200000,-23800000,1100000,-15400000,276000000,-613000000,-2300000,1073500000,0
2024-07-31,182700000,69200000,30500000,65200000,1800000,58400000,785400000,-426900000,80900000,2298100000,18000000
2024-08-31,-276800000,-98500000,600000,-14200000,138900000,-8900000,-122400000,-910000000,-19700000,893600000,329900000
2024-09-30,404200000,147600000,7700000,26500000,3200000,27000000,165200000,-238600000,67600000,578800000,74500000
2024-10-31,-77000000,158800000,12700000,47400000,2800000,21400000,488000000,-20100000,65700000,4603200000,87500000
2024-11-30,15500000,-40400000,-6800000,500000,0,12800000,962900000,-363900000,71200000,5698800000,211500000
2024-12-31,-202800000,-64300000,66600000,-102600000,11600000,11200000,267400000,-976100000,3600000,5481900000,110500000
2025-01-31,400500000,125700000,0,19000000,17500000,10300000,1276200000,-394700000,74600000,3230400000,398400000
2025-02-28,-72300000,-217000000,-43900000,-151800000,-90800000,-124600000,-1221600000,-404300000,-23800000,-775800000,-181000000
2025-03-31,-125800000,-85500000,-3400000,-85100000,-94500000,-115300000,-285100000,-230500000,13500000,256900000,65200000
2025-04-30,125900000,29800000,0,5200000,-23900000,24900000,155600000,-236900000,15600000,2693600000,152300000
2025-05-31,-291300000,-65300000,500000,-17200000,0,-17100000,-19200000,-451100000,48100000,5914900000,129800000
2025-06-30,87800000,199800000,0,5400000,0,12500000,355200000,-34900000,69900000,3851800000,52900000
2025-07-31,184000000,138400000,3700000,35300000,3100000,26600000,445900000,-395700000,147400000,5178400000,232900000
2025-08-31,-621300000,-9000000,-4300000,6500000,2300000,16700000,-662200000,-292700000,56300000,706900000,51600000
2025-09-30,178200000,57100000,0,63400000,0,30200000,525000000,-200200000,52200000,2664600000,140500000
2025-10-31,-237200000,-30300000,-10200000,7200000,6000000,10100000,163800000,-546500000,51600000,3931200000,64100000
2025-11-30,-205900000,-59800000,0,5000000,-6000000,-11100000,-412700000,-333100000,-121700000,-2336100000,14700000
2025-12-31,-194500000,-135100000,0,-3900000,1900000,-2100000,86600000,-237800000,-110700000,-473800000,-23100000
2026-01-31,-150900000,-61100000,6400000,11100000,7700000,21800000,-841700000,-449500000,2600000,-136500000,-14700000
2026-02-28,-17300000,114400000,400000,13600000,17300000,-4400000,-277600000,-169900000,69000000,-150400000,198300000
2026-03-31,-31900000,-102800000,16100000,15300000,16500000,28700000,36500000,-136200000,22200000,1398600000,60500000
