date,USDT,USDC,DAI,cUSD,USD1,CASH,jupUSD,PYUSD,EURC,BUSD,Other (81)
2025-03-31,24734453,7608997,313654,514637,22,0,0,44251,27853,52870,427009
2025-04-30,21110567,8065507,281416,452403,1283,0,0,46291,44988,44284,282642
2025-05-31,25701210,9263141,363754,397822,52369,0,0,48689,34109,57580,350071
2025-06-30,25388045,9677239,479633,385601,2035118,0,0,75972,71961,128017,1791724
2025-07-31,30272384,12053849,656585,398655,868483,0,0,167826,198785,77854,247716
2025-08-31,28315341,11626828,758383,434230,585262,4,0,157222,79877,52375,224176
2025-09-30,27526124,11233290,660651,418892,591841,261,0,82477,65407,49501,309925
2025-10-31,27956608,13035468,707911,381842,499848,9260,0,86108,56545,46845,349218
2025-11-30,29035315,13556632,807545,377260,313097,21991,0,87416,76947,41458,278558
2025-12-31,31605964,12578803,870813,380712,321712,37429,5,96971,75639,31568,247488
2026-01-31,33197804,14541341,824840,358651,610565,167893,15237,77760,73872,29381,269335
2026-02-28,30639903,13260710,969638,348732,365672,152011,40958,65609,67497,29886,175257
2026-03-31,33476041,15397280,1400489,319808,284162,136435,79575,72861,63564,26261,176760
