date,USDT,USDC,USDS,USDe,DAI,PYUSD,USD1,BUIDL,USYC,USDG,Other (81)
2017-11-30,109970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,109970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,60109970.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,60109969.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,60109969.940000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-30,60109969.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-31,60109969.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,60108948.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99231.57
2018-07-31,15108948.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14369338.17
2018-08-31,15107924.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14273099.98
2018-09-30,25107924.91,7511726.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32966080.71
2018-10-31,35107924.82,127408827.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133614032.62
2018-11-30,25107924.84,177190278.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241299949.87
2018-12-31,25148421.86,251211147.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265073289.41
2019-01-31,25153171.86,307793723.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412044908.03
2019-02-28,55153171.85,236917931.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375650377.17
2019-03-31,60043279.37,246694703.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378976125.88
2019-04-30,411348864.55,293184173.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425445372.56
2019-05-31,572005273.31,334092928.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443997321.07
2019-06-30,1018701149.48,366634880.4500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411330572.2300001
2019-07-31,1531106907.26,436169021.8900001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475691025.87
2019-08-31,1652864811.5500002,453807792.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429555313.87
