date,ARKB,BITB,BRRR,Bitcoin,BTCO,BTCW,EZBC,FBTC,GBTC,HODL,IBIT
2024-01-11,65299999.99999999,237900000.0,29400000.000000004,0.0,17400000.0,1000000.0,50100000.0,227000000.0,26847704354.03643,10600000.0,111700000.0
2024-01-12,100277438.80886866,237730515.9667665,47428739.67811238,0.0,44514968.38092366,926147.6080990608,46399995.16576294,405535507.0384867,24380837170.44157,9817164.645850044,489450687.8246651
2024-01-13,100171173.89079216,237478590.7670051,47378479.009349465,0.0,44467795.46222564,925166.1610171404,46350824.666958734,405105757.3565598,24355000574.539967,9806761.30678169,488932012.4589799
2024-01-14,97722230.66890983,231672812.8908762,46220189.64798555,0.0,43380665.28235982,902548.0832694656,45217658.97180022,395201900.1879753,23759579643.95385,9567009.682656337,476978805.8490815
2024-01-15,99560684.2948413,236031286.08549675,47089732.58277052,0.0,44196788.091241285,919527.7693133304,46068341.24259785,402636854.97157234,24206569904.49168,9746994.354721302,485952233.9943794
2024-01-16,223171408.47940475,289338656.40116966,63009672.58999345,0.0,76678642.25829041,931633.4242126822,46674834.55305537,509937600.613747,23930851287.849613,17175314.29665443,705049833.1084312
2024-01-17,271225923.64106154,354627416.2449049,63575687.86303477,0.0,133507124.39321576,2522259.603689628,47405206.14485031,862906758.9952744,23229466125.8898,21802501.353859942,1069355829.7981124
2024-01-18,303803015.59805703,362668480.2639791,70713826.94996253,0.0,187767278.368047,2436491.370059423,45793214.74239045,1011464026.6300868,21857259220.63875,23361117.70441114,1178492895.344506
2024-01-19,368903055.6502956,422352932.95138747,81695741.51481287,0.0,252712443.1370532,5356541.61873813,46170053.895061016,1242087514.0483923,21446725846.96629,37753359.80513919,1389690888.0844393
2024-01-20,369126220.78953815,422608432.1933916,81745162.74147782,0.0,252865319.6358981,5359782.018452622,46197984.12320231,1242838905.5827763,21459699883.062305,37776198.41725895,1390531571.1739216
2024-01-21,368379495.8406571,421753515.2512915,81579796.12964828,0.0,252353785.0110345,5348939.432019228,46104527.77848905,1240324701.047933,21416287921.52809,37699778.94813613,1387718591.3368857
2024-01-22,415314567.5121519,442671183.2775128,87279211.98537326,0.0,245578630.8802431,5486633.281530495,48543612.066996135,1338200531.729352,19725556541.298443,42651022.944101766,1580266386.5434933
2024-01-23,480570454.57659376,472654708.3348061,88005473.77171454,0.0,247622122.9225432,5532288.277690538,50047549.83881221,1507035874.1155722,19374395488.069183,45205927.70788282,1753515990.7009926
