date,Ethereum,Tron,Solana,BNB Chain,Arbitrum,Base,Polygon PoS,Plasma,HyperEVM,Avalanche C-Chain,Other (15)
2022-02-28,112899938028.63,36381279591.75001,6000680096.740001,10791205983.100004,977646108.88,0.0,1810108853.84,0.0,0.0,4752420322.030001,449965112.2
2022-03-31,108049908383.14,39092642615.97,5516868310.77,10789076418.980003,1254825985.45,0.0,2344107465.44,0.0,0.0,4769183711.22,519287080.86
2022-04-30,105015676170.64,39883181766.74999,5586120979.2,10997987068.41,1266500939.43,0.0,2291360940.5200005,0.0,0.0,4523646611.98,555819142.93
2022-05-31,99422592327.52995,34710253648.590004,6119943764.96,11996244931.810003,1286754056.58,0.0,2374781734.13,0.0,0.0,3545972195.13,558365662.51
2022-06-30,96470221034.35,32139098793.7,5920146717.02,11891604820.52,1236427795.18,0.0,2343578469.67,0.0,0.0,3073083735.46,579708045.0
2022-07-31,95712480967.80002,32866056638.06,5977082543.580001,11883171870.590002,1287095862.1,0.0,2388603434.44,0.0,0.0,2850992814.99,672973232.99
2022-08-31,96484944827.64998,36492925872.56,5855230402.079999,11186397761.66,1347897062.29,0.0,2626301479.49,0.0,0.0,2614005813.53,931286850.61
2022-09-30,94817673320.58002,35877756543.88,4994555906.24,11173729534.010002,1417625570.87,0.0,2172955704.05,0.0,0.0,2460888130.81,1006221975.86
2022-10-31,92443642480.02002,36704167517.84,3845736667.9,11178140444.900003,1177831606.36,0.0,1728432544.85,0.0,0.0,1813219847.24,1042155951.44
2022-11-30,89870082732.55998,36231199399.350006,2010670555.91,10374637311.2,989875852.95,0.0,1646974382.52,0.0,0.0,1871197480.32,803177258.74
2022-12-31,87627179055.13,33081157394.579994,1819111728.07,9090921227.36,922141702.09,0.0,1702729024.4499998,0.0,0.0,1636268921.09,849419657.5799999
2023-01-31,84109721236.82997,35837426929.94,1768659325.91,9040004558.75,949503520.01,0.0,1729268390.2099998,0.0,0.0,1476085149.08,963794513.0900002
2023-02-28,82665292957.96,38828104367.23,1702607628.5900002,6925961589.529997,1415977989.25,0.0,1720657987.7399998,0.0,0.0,1395233142.54,996588886.96
2023-03-31,74314908242.15999,42921265222.19999,1511074984.6,6324279526.010001,1893746874.8700004,0.0,1501674729.95,0.0,0.0,1173494380.75,1039171736.6
2023-04-30,71313121384.09001,44015733953.76,1488231799.27,6323287201.599999,1916028112.67,0.0,1488147565.33,0.0,0.0,1192207283.9199998,1012361125.61
2023-05-31,70564950392.91,44603481890.28999,1542225837.7100005,5572202607.469999,1797938602.2500002,0.0,1460620172.5800004,0.0,0.0,1275812135.47,995721707.61
2023-06-30,70168762180.43002,43347107406.77002,1541159625.55,5602382502.679998,1826255462.71,0.0,1381966541.51,0.0,0.0,1268933813.05,1025355486.43
2023-07-31,68757495761.26,43730178234.35,1550418222.5800002,5151999865.329998,1901070126.32,10.02,1273675023.68,0.0,0.0,1228494582.35,1057074287.7
2023-08-31,68852846890.23,43412180000.68,1510506736.0399995,5167826344.469999,1737992230.6699998,134450577.31,1171587076.7199998,0.0,0.0,1181944577.4699998,1053648086.71
2023-09-30,67024222043.73997,43918924765.35999,1508228612.24,4987389697.11,1842490976.05,156393873.62,1237114821.7800002,0.0,0.0,1172484656.5400002,1089849488.3400002
2023-10-31,66066674908.16001,45247729570.67003,1499609835.6699996,4989036331.9,2074283464.25,259724550.61,1168752768.39,0.0,0.0,1128966326.39,1172145835.23
2023-11-30,67339668036.11997,47775049095.3,1548970129.3000002,4989903868.970001,2281857242.7299995,251026037.2,1199537228.53,0.0,0.0,1000682539.45,1263706815.2100005
2023-12-31,68350422700.82001,48478176041.64001,1842411088.2399995,4540726758.240001,2454264539.0400004,174805136.21,1249877972.11,0.0,0.0,1055348365.62,1214515096.4399996
2024-01-31,71262522735.14,50345040685.72,2182050425.44,4607797652.5,2937348180.84,301778248.9,1309062017.6100004,0.0,0.0,1057548443.21,1306536927.03
2024-02-29,74841566643.40997,51194008860.319984,2301118451.09,4747599598.580002,3376619310.92,314993973.68,1449667037.38,0.0,0.0,1230660704.6899996,1412782210.2700002
2024-03-31,80074831744.95999,52265598132.46,2835773346.31,4800118064.97,3774609734.66,1120026865.61,1486358223.7699995,0.0,0.0,1485741477.23,1789604519.92
2024-04-30,83340021099.09001,55307786269.99001,3265903899.34,5255391437.150001,3865785848.11,2615231749.3,1571666566.81,0.0,0.0,1818161594.45,2511773215.18
2024-05-31,81868216407.12003,56254799388.41001,3058903220.3600006,5403746837.3499975,3967088093.129998,3101591994.6100006,1617982741.14,0.0,0.0,1808740697.4,2971010808.8799987
2024-06-30,80596641029.35999,57425882650.659966,3073799622.0400004,5276552461.750001,4037761539.37,3128647402.42,1757811981.9299998,0.0,0.0,1605625831.14,3618597259.65
2024-07-31,81182392989.29,58457669285.59,3415762493.170001,5278400923.220001,4460692721.74,3146652233.03,1862788493.2300005,0.0,0.0,1703969176.1999996,4023271480.289999
2024-08-31,85496559193.48001,58820991619.95,3904564662.23,5231156622.489999,4618768779.999999,3228162207.02,1982847770.67,0.0,0.0,1952680488.64,4201012691.27
2024-09-30,86936689625.47,59308585030.02998,3764068375.230001,5258688431.139998,4619704860.0,3657561908.01,1897335878.37,0.0,0.0,2242284536.7899995,4203291556.33
