date,Exchange Inflow (Total)
2018-09-06,544257.869956
2018-09-07,169037.077105
2018-09-08,22374.040281
2018-09-09,33123.98112
2018-09-10,169318.34569
2018-09-11,107536.5
2018-09-12,325153.877588
2018-09-13,66639.2292
2018-09-14,35738.657532
2018-09-15,105859.6419
2018-09-16,63139.181122
2018-09-17,169462.04711
2018-09-18,237230.37893
2018-09-19,10800.1
2018-09-20,1085770.0
2018-09-21,213973.960156
2018-09-22,183520.476082
2018-09-23,302565.856143
2018-09-24,716268.908556
2018-09-25,47808.12
2018-09-26,14386.0
2018-09-27,129111.71141
2018-09-28,215669.494128
2018-09-29,75292.09606
2018-09-30,174160.759476
2018-10-01,135726.95558
2018-10-02,176082.71929
2018-10-03,10142026.724958
2018-10-04,56507.839977
2018-10-05,3941832.856727
2018-10-06,22049.22542
2018-10-07,203103.61622
2018-10-08,573866.3776
2018-10-09,187092.51031
2018-10-10,159875.06629
2018-10-11,1915532.210125
2018-10-12,926358.887561
2018-10-13,40969.67715
2018-10-14,250048.51735
2018-10-15,3927772.236358
2018-10-16,259878.735814
2018-10-17,451689.352349
2018-10-18,181383.762843
2018-10-19,1971430.75
2018-10-20,1130998.564452
2018-10-21,61287.829289
2018-10-22,1176062.93988
2018-10-23,457889.579274
2018-10-24,467666.9989
2018-10-25,354332.8
2018-10-26,261555.6583
2018-10-27,25476.446104
2018-10-28,62806.4946
2018-10-29,98476.0147
2018-10-30,441958.158398
2018-10-31,1449472.428544
2018-11-01,372264.49164
2018-11-02,53205.0
2018-11-03,58877.22811
2018-11-04,38275.675193
2018-11-05,380403.248597
2018-11-06,184461.21623
2018-11-07,803841.194836
2018-11-08,125078.030158
2018-11-09,282831.893811
2018-11-10,25306.121946
2018-11-11,72035.409413
2018-11-12,443713.037666
2018-11-13,5947.967753
2018-11-14,190897.904258
2018-11-15,1181929.481773
2018-11-16,401089.928651
2018-11-17,245856.808372
2018-11-18,388835.08
2018-11-19,453547.662309
2018-11-20,2197626.191131
2018-11-21,473193.817886
2018-11-22,341470.2793
2018-11-23,617089.839527
2018-11-24,1037474.060509
2018-11-25,205911.362354
2018-11-26,279430.36821
2018-11-27,520645.920992
2018-11-28,283379.197632
2018-11-29,690194.151636
2018-11-30,502890.432157
2018-12-01,406680.344081
2018-12-02,212600.355955
2018-12-03,383020.620117
2018-12-04,325421.18775
2018-12-05,149517.791511
2018-12-06,1516858.221601
2018-12-07,798279.346468
2018-12-08,664949.972663
2018-12-09,445422.387301
2018-12-10,1129106.053784
2018-12-11,1578720.160121
2018-12-12,1700038.086116
2018-12-13,2236376.44639
2018-12-14,4910776.929526
2018-12-15,1184332.243248
2018-12-16,1876066.529481
2018-12-17,5958972.9054
2018-12-18,8329229.917768
2018-12-19,10942182.764644
2018-12-20,12999471.871327
2018-12-21,628759.810221
2018-12-22,274613.527435
2018-12-23,108752.1722
2018-12-24,1540511.254929
2018-12-25,164383.469224
2018-12-26,344697.393592
2018-12-27,69564.305552
2018-12-28,448095.378396
2018-12-29,132724.242594
2018-12-30,162935.580599
2018-12-31,255523.223292
2019-01-01,362350.102465
2019-01-02,106120.250019
2019-01-03,161160.9373
2019-01-04,172485.268689
2019-01-05,288707.505453
2019-01-06,41601.996581
2019-01-07,213347.622326
2019-01-08,43552.387137
2019-01-09,27362.921615
2019-01-10,246274.478415
2019-01-11,689908.010371
2019-01-12,181249.289458
2019-01-13,97236.889338
2019-01-14,319086.770137
2019-01-15,545335.28645
2019-01-16,42026.275881
2019-01-17,227230.36832
2019-01-18,18906.335642
2019-01-19,48420.772115
2019-01-20,34827.950678
2019-01-21,58212.498608
2019-01-22,105553.9827
2019-01-23,125892.711
2019-01-24,361094.665546
2019-01-25,71215.09
2019-01-26,39424.38
2019-01-27,1062607.748496
2019-01-28,1161374.670277
2019-01-29,2069564.108305
2019-01-30,168619.111954
2019-01-31,16145.93451
2019-02-01,81723.222584
2019-02-02,49262.452513
2019-02-03,116253.130388
2019-02-04,210109.506811
2019-02-05,220706.170267
2019-02-06,46645.021231
2019-02-07,13431.63
2019-02-08,32319.745529
2019-02-09,119436.580929
