date,Exchange Outflow (Total)
2018-08-03,679127.86937
2018-08-04,244644.05357
2018-08-05,54417.9196
2018-08-06,52813.96199
2018-08-07,295689.767397
2018-08-08,1278235.9288
2018-08-09,1400190.76661
2018-08-10,208478.972085
2018-08-11,689778.94422
2018-08-12,512141.740638
2018-08-13,1119903.90964
2018-08-14,725722.67682
2018-08-15,1255879.449652
2018-08-16,51681.911675
2018-08-17,440973.67529
2018-08-18,141250.44682
2018-08-19,663417.92341
2018-08-20,95813.46011
2018-08-21,587612.32149
2018-08-22,163961.37132
2018-08-23,46574.973
2018-08-24,145122.24095
2018-08-25,60555.02732
2018-08-26,26979.49281
2018-08-27,37434.45123
2018-08-28,698298.5021
2018-08-29,81414.61449
2018-08-30,362146.99131
2018-08-31,97717.590117
2018-09-01,80110.72905
2018-09-02,195115.61233
2018-09-03,1937667.625824
2018-09-04,117277.440927
2018-09-05,1000540.957238
2018-09-06,1260910.419376
2018-09-07,576960.506183
2018-09-08,437834.56853
2018-09-09,289877.996374
2018-09-10,1497362.653207
2018-09-11,471376.65395
2018-09-12,1688960.326529
2018-09-13,1128562.23025
2018-09-14,131978.21105
2018-09-15,139297.81542
2018-09-16,863744.313888
2018-09-17,1063183.95501
2018-09-18,126086.82542
2018-09-19,1148862.833746
2018-09-20,108330.90252
2018-09-21,180342.12742
2018-09-22,80531.054531
2018-09-23,195590.99271
2018-09-24,162879.242545
2018-09-25,506045.112153
2018-09-26,440211.35525
2018-09-27,85071.03072
2018-09-28,601928.312114
2018-09-29,414173.76678
2018-09-30,123827.582638
2018-10-01,45429.459
2018-10-02,220437.115038
2018-10-03,1618179.42102
2018-10-04,347329.94293
2018-10-05,419296.357906
2018-10-06,122860.83813
2018-10-07,382733.350608
2018-10-08,154398.93813
2018-10-09,393472.18455
2018-10-10,1381758.992739
2018-10-11,1675664.005025
2018-10-12,411157.199086
2018-10-13,164083.04061
2018-10-14,497941.556016
2018-10-15,762094.524428
2018-10-16,487563.221804
2018-10-17,83479.670427
2018-10-18,348593.287106
2018-10-19,1506924.05942
2018-10-20,1061689.744422
2018-10-21,1033421.123033
2018-10-22,330489.485996
2018-10-23,393455.150573
2018-10-24,215794.29042
2018-10-25,362694.31593
2018-10-26,148557.08542
2018-10-27,41908.378399
2018-10-28,45154.99055
2018-10-29,226819.627152
2018-10-30,568783.89023
2018-10-31,1390211.859094
2018-11-01,10188412.025661
2018-11-02,173461.775607
2018-11-03,120367.61271
2018-11-04,207943.535379
2018-11-05,297322.9257
2018-11-06,296657.873151
2018-11-07,463987.686492
2018-11-08,145888.22524
2018-11-09,223880.27722
2018-11-10,130745.3
2018-11-11,149151.424681
2018-11-12,541816.950564
2018-11-13,267382.142332
2018-11-14,512315.663576
2018-11-15,638380.920428
2018-11-16,270050.57843
2018-11-17,231675.282739
2018-11-18,67055.671006
2018-11-19,187599.52237
2018-11-20,1577202.179252
2018-11-21,309108.509115
2018-11-22,87378.30163
2018-11-23,509024.064059
2018-11-24,739758.602548
2018-11-25,72432.07969
2018-11-26,353870.999298
2018-11-27,976131.569861
2018-11-28,101504.766132
2018-11-29,161791.2203
2018-11-30,359907.3346
2018-12-01,123847.56255
2018-12-02,182245.254681
2018-12-03,242900.623374
2018-12-04,248507.8554
2018-12-05,122484.051972
2018-12-06,1406978.238682
2018-12-07,360713.615156
2018-12-08,595732.036727
2018-12-09,564350.189091
2018-12-10,1343463.186489
2018-12-11,2120597.245541
2018-12-12,1789333.373481
2018-12-13,1677299.909
2018-12-14,4872266.718072
2018-12-15,1370107.957521
2018-12-16,1944787.309481
2018-12-17,6283436.731377
2018-12-18,8919423.9648
2018-12-19,11076723.895215
2018-12-20,11610081.2003
2018-12-21,1090009.976941
2018-12-22,203424.603699
2018-12-23,72236.872058
2018-12-24,968142.526803
2018-12-25,205552.739405
2018-12-26,672824.294182
2018-12-27,145918.689326
2018-12-28,243333.015541
2018-12-29,237996.797073
2018-12-30,124298.935869
2018-12-31,228293.934067
2019-01-01,104249.322494
2019-01-02,113054.402673
2019-01-03,50703.03686
2019-01-04,984081.387221
2019-01-05,39904.333175
2019-01-06,102900.077619
2019-01-07,276463.680221
2019-01-08,113790.615633
2019-01-09,74500.541116
2019-01-10,216955.97723
2019-01-11,37208.284428
2019-01-12,4283625.694315
2019-01-13,1191884.770738
2019-01-14,163289.4699
2019-01-15,144250.123721
2019-01-16,136050.307144
2019-01-17,205016.59093
2019-01-18,21848.926917
2019-01-19,42283.335087
2019-01-20,89746.579311
2019-01-21,132733.617449
2019-01-22,97095.075703
2019-01-23,107091.46817
2019-01-24,93886.025219
2019-01-25,105037.6604
2019-01-26,104394.8558
2019-01-27,48386.906146
2019-01-28,1044640.354372
2019-01-29,123760.74265
2019-01-30,717958.117275
2019-01-31,145248.458052
2019-02-01,111753.164492
2019-02-02,31935.91786
2019-02-03,172348.484846
2019-02-04,85046.3206
2019-02-05,76422.866047
2019-02-06,36198.776712
2019-02-07,15038.868805
2019-02-08,234386.31204
2019-02-09,98878.334383
2019-02-10,198642.332109
2019-02-11,125265.601472
2019-02-12,44749.319082
2019-02-13,60554.883935
2019-02-14,826166.65195
2019-02-15,506992.068091
2019-02-16,192239.483075
2019-02-17,182962.370614
2019-02-18,270951.941093
2019-02-19,69139.909373
2019-02-20,79317.73695
2019-02-21,39990.58355
2019-02-22,27167155.453371
2019-02-23,690074.027193
2019-02-24,1498766.103547
2019-02-25,1528278.931808
2019-02-26,3360588.951378
2019-02-27,1470666.46103
2019-02-28,1760228.920033
2019-03-01,1189808.828137
2019-03-02,1604413.279636
2019-03-03,1141910.26855
2019-03-04,1682144.638476
2019-03-05,6621624.827333
2019-03-06,1830584.42925
2019-03-07,1811904.915331
2019-03-08,1375448.56064
2019-03-09,1522800.46885
2019-03-10,1588446.93534
2019-03-11,3149024.546912
2019-03-12,3949875.567041
2019-03-13,2795476.427923
2019-03-14,2151319.543609
2019-03-15,1767912.753126
2019-03-16,2410636.506231
2019-03-17,1196716.459039
2019-03-18,3375647.893872
2019-03-19,2140706.704553
2019-03-20,4212215.979166
2019-03-21,2804553.22707
2019-03-22,6494243.511195
2019-03-23,2366272.174831
2019-03-24,1456777.767511
2019-03-25,3455776.481699
2019-03-26,3115716.922984
2019-03-27,3658248.039795
2019-03-28,2889273.077011
2019-03-29,2939665.762078
2019-03-30,1391341.129959
2019-03-31,3525438.177201
2019-04-01,2706560.207108
2019-04-02,10285517.979844
2019-04-03,9309811.589597
2019-04-04,15294611.017095
2019-04-05,13343536.325414
2019-04-06,25156990.581611
2019-04-07,44859091.558106
2019-04-08,38187764.832041
2019-04-09,26914600.500606
2019-04-10,54130912.333821
2019-04-11,26224900.921557
2019-04-12,17765963.212232
2019-04-13,16147067.794983
2019-04-14,19846550.400398
2019-04-15,11289339.590243
2019-04-16,12876064.563082
2019-04-17,16783887.405017
2019-04-18,8428733.772812
2019-04-19,7739697.253299
2019-04-20,19984908.598037
2019-04-21,26583505.688135
2019-04-22,26310417.374837
2019-04-23,17531259.329246
2019-04-24,23399654.555009
2019-04-25,25437657.853547
2019-04-26,90672483.137539
2019-04-27,15245364.369168
2019-04-28,17651342.857679
2019-04-29,25903516.839519
2019-04-30,19993096.59469
2019-05-01,10086596.905991
2019-05-02,15565769.668977
2019-05-03,16979195.756956
2019-05-04,15763961.082697
2019-05-05,18265664.993022
2019-05-06,18882713.762851
2019-05-07,26189090.919259
2019-05-08,28397403.618181
2019-05-09,31795187.264934
2019-05-10,36409109.28731
2019-05-11,40162654.424113
2019-05-12,32305048.983199
2019-05-13,37285764.801854
2019-05-14,62296372.174323
2019-05-15,55316937.666308
2019-05-16,64658855.972625
2019-05-17,47610846.807868
2019-05-18,30249890.23559
2019-05-19,34356186.55281
2019-05-20,32823389.784465
2019-05-21,39924328.203306
2019-05-22,29399429.198527
2019-05-23,48334086.207629
2019-05-24,165929380.911688
2019-05-25,22312408.646618
2019-05-26,27953675.960749
