Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total
2025-08-21,-127.5,-31.8,0.0,-43.3,0.0,3.2,0.0,0.0,0.0,,0.0,5.0,-194.4
2025-08-22,-198.8,50.9,12.7,65.7,0.0,13.5,0.0,26.4,0.0,,6.4,0.0,-23.2
2025-08-25,63.4,65.6,15.2,61.2,0.0,0.0,0.0,6.3,0.0,,0.0,7.4,219.1
2025-08-26,45.3,14.5,9.0,4.1,0.0,0.0,0.0,3.9,0.0,,0.0,11.3,88.1
2025-08-27,50.9,14.7,-3.0,5.6,6.7,6.5,0.0,0.0,0.0,,0.0,0.0,81.4
2025-08-28,63.7,4.9,25.0,79.8,0.0,0.0,0.0,0.0,0.0,,0.0,5.5,178.9
2025-08-29,24.6,-66.2,0.0,-72.1,0.0,0.0,0.0,0.0,2.3,,-15.3,0.0,-126.7
2025-09-02,72.9,132.7,39.1,71.9,2.2,0.0,0.0,4.7,0.0,,0.0,9.3,332.8
2025-09-03,289.8,9.8,0.0,-27.9,0.0,0.0,0.0,0.0,0.0,,0.0,28.8,300.5
2025-09-04,134.8,-117.4,-66.4,-125.5,0.0,-3.2,0.0,-17.9,0.0,,-22.4,-4.9,-222.9
2025-09-05,-63.2,0.0,-49.6,0.0,0.0,0.0,0.0,0.0,0.0,,-47.3,0.0,-160.1
2025-09-08,25.5,156.5,42.7,89.5,6.7,6.5,0.0,20.6,0.0,,4.4,11.9,364.3
2025-09-09,169.3,-55.8,-18.2,-72.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,23.0
2025-09-10,211.2,299.0,44.4,145.1,0.0,3.3,0.0,12.0,0.0,,8.9,17.6,741.5
2025-09-11,366.2,134.7,40.4,0.0,5.7,3.3,0.0,2.4,0.0,,0.0,0.0,552.7
2025-09-12,264.7,315.2,29.2,19.4,0.0,0.0,0.0,8.2,0.0,,0.0,5.7,642.4
2025-09-15,261.8,7.5,-18.8,0.0,0.0,3.3,0.0,0.0,0.0,,0.0,6.1,259.9
2025-09-16,209.2,45.8,-10.8,40.7,0.0,0.0,0.0,7.4,0.0,,0.0,0.0,292.3
2025-09-17,149.7,-116.0,-12.6,-32.3,0.0,0.0,0.0,0.0,0.0,,-62.6,22.5,-51.3
2025-09-18,0.0,97.4,12.8,25.0,3.5,6.8,0.0,6.6,0.0,,0.0,10.9,163.0
2025-09-19,246.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-23.5,0.0,222.6
2025-09-22,0.0,-276.7,0.0,-52.3,0.0,0.0,0.0,-9.5,0.0,,-24.6,0.0,-363.1
2025-09-23,2.5,-75.6,-12.8,-27.9,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,-103.8
2025-09-24,128.9,29.7,24.7,37.7,0.0,0.0,0.0,6.4,0.0,,0.0,13.6,241.0
2025-09-25,79.7,-114.8,-80.5,-63.0,0.0,-6.3,0.0,-10.1,0.0,,-42.9,-15.5,-253.4
2025-09-26,-37.3,-300.4,-23.8,-17.8,0.0,0.0,0.0,-9.3,0.0,,-17.1,-12.6,-418.3
2025-09-29,-46.6,298.7,47.2,62.2,35.3,16.5,0.0,30.7,0.0,,26.9,47.1,518.0
2025-09-30,199.4,54.7,70.1,105.7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,429.9
2025-10-01,405.5,179.3,59.4,5.9,0.0,0.0,0.0,6.6,0.0,,9.2,9.9,675.8
2025-10-02,466.5,89.6,11.2,45.2,0.0,0.0,0.0,1.7,0.0,,2.8,10.2,627.2
2025-10-03,791.6,69.6,24.0,35.5,0.0,0.0,0.0,26.0,0.0,,18.3,20.1,985.1
2025-10-06,970.0,112.3,60.1,0.0,7.5,3.6,0.0,15.1,6.0,,0.0,30.6,1205.2
2025-10-07,899.4,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,,-28.6,0.0,875.6
2025-10-08,426.2,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.1,440.7
2025-10-09,255.5,-13.2,6.6,-5.6,0.0,0.0,0.0,0.0,0.0,,-45.5,0.0,197.8
