Datetime,Exchange Depositing Addresses
2026-04-11T00:00:00Z,9219
2026-04-10T00:00:00Z,34047
2026-04-09T00:00:00Z,32415
2026-04-08T00:00:00Z,30848
2026-04-07T00:00:00Z,30837
2026-04-06T00:00:00Z,28597
2026-04-05T00:00:00Z,24493
2026-04-04T00:00:00Z,29388
2026-04-03T00:00:00Z,32893
2026-04-02T00:00:00Z,34365
2026-04-01T00:00:00Z,35840
2026-03-31T00:00:00Z,32399
2026-03-30T00:00:00Z,29446
2026-03-29T00:00:00Z,23866
2026-03-28T00:00:00Z,29108
2026-03-27T00:00:00Z,34659
2026-03-26T00:00:00Z,32966
2026-03-25T00:00:00Z,31714
2026-03-24T00:00:00Z,29989
2026-03-23T00:00:00Z,29509
2026-03-22T00:00:00Z,25309
2026-03-21T00:00:00Z,28163
2026-03-20T00:00:00Z,33853
2026-03-19T00:00:00Z,32584
2026-03-18T00:00:00Z,31087
2026-03-17T00:00:00Z,31991
2026-03-16T00:00:00Z,31629
2026-03-15T00:00:00Z,26198
2026-03-14T00:00:00Z,30088
2026-03-13T00:00:00Z,37071
2026-03-12T00:00:00Z,32717
2026-03-11T00:00:00Z,32483
2026-03-10T00:00:00Z,34020
2026-03-09T00:00:00Z,30896
2026-03-08T00:00:00Z,28270
2026-03-07T00:00:00Z,32423
2026-03-06T00:00:00Z,38127
2026-03-05T00:00:00Z,37467
2026-03-04T00:00:00Z,37658
2026-03-03T00:00:00Z,37115
2026-03-02T00:00:00Z,35705
2026-03-01T00:00:00Z,32023
2026-02-28T00:00:00Z,37359
2026-02-27T00:00:00Z,41971
2026-02-26T00:00:00Z,39421
2026-02-25T00:00:00Z,37547
2026-02-24T00:00:00Z,38785
2026-02-23T00:00:00Z,35969
2026-02-22T00:00:00Z,33001
2026-02-21T00:00:00Z,37376
2026-02-20T00:00:00Z,42211
2026-02-19T00:00:00Z,40100
2026-02-18T00:00:00Z,37856
2026-02-17T00:00:00Z,37296
2026-02-16T00:00:00Z,35615
2026-02-15T00:00:00Z,34210
2026-02-14T00:00:00Z,40668
2026-02-13T00:00:00Z,44925
2026-02-12T00:00:00Z,42388
2026-02-11T00:00:00Z,40146
2026-02-10T00:00:00Z,39417
2026-02-09T00:00:00Z,39012
2026-02-08T00:00:00Z,34173
2026-02-07T00:00:00Z,40112
2026-02-06T00:00:00Z,51985
2026-02-05T00:00:00Z,53425
2026-02-04T00:00:00Z,43072
2026-02-03T00:00:00Z,42185
2026-02-02T00:00:00Z,36964
2026-02-01T00:00:00Z,34031
2026-01-31T00:00:00Z,42316
2026-01-30T00:00:00Z,45538
2026-01-29T00:00:00Z,39780
2026-01-28T00:00:00Z,35845
2026-01-27T00:00:00Z,35238
2026-01-26T00:00:00Z,33974
2026-01-25T00:00:00Z,29599
2026-01-24T00:00:00Z,32152
2026-01-23T00:00:00Z,39339
2026-01-22T00:00:00Z,37259
2026-01-21T00:00:00Z,36984
2026-01-20T00:00:00Z,35403
2026-01-19T00:00:00Z,33960
2026-01-18T00:00:00Z,30553
2026-01-17T00:00:00Z,36010
2026-01-16T00:00:00Z,41745
2026-01-15T00:00:00Z,41909
2026-01-14T00:00:00Z,39620
2026-01-13T00:00:00Z,38196
2026-01-12T00:00:00Z,35312
2026-01-11T00:00:00Z,29893
2026-01-10T00:00:00Z,35468
2026-01-09T00:00:00Z,41532
2026-01-08T00:00:00Z,36446
2026-01-07T00:00:00Z,37433
2026-01-06T00:00:00Z,38376
2026-01-05T00:00:00Z,38551
2026-01-04T00:00:00Z,32503
2026-01-03T00:00:00Z,37115
2026-01-02T00:00:00Z,41018
2026-01-01T00:00:00Z,35323
2025-12-31T00:00:00Z,46119
2025-12-30T00:00:00Z,41886
2025-12-29T00:00:00Z,39011
2025-12-28T00:00:00Z,30918
2025-12-27T00:00:00Z,34259
2025-12-26T00:00:00Z,37108
2025-12-25T00:00:00Z,35038
2025-12-24T00:00:00Z,44882
2025-12-23T00:00:00Z,42027
2025-12-22T00:00:00Z,39248
2025-12-21T00:00:00Z,32911
2025-12-20T00:00:00Z,38729
2025-12-19T00:00:00Z,44827
2025-12-18T00:00:00Z,42031
2025-12-17T00:00:00Z,41131
2025-12-16T00:00:00Z,39414
2025-12-15T00:00:00Z,39611
2025-12-14T00:00:00Z,32155
2025-12-13T00:00:00Z,37553
2025-12-12T00:00:00Z,44722
2025-12-11T00:00:00Z,41931
2025-12-10T00:00:00Z,42118
2025-12-09T00:00:00Z,42681
2025-12-08T00:00:00Z,38507
2025-12-07T00:00:00Z,34740
2025-12-06T00:00:00Z,39527
2025-12-05T00:00:00Z,46092
2025-12-04T00:00:00Z,44424
2025-12-03T00:00:00Z,45438
2025-12-02T00:00:00Z,45426
2025-12-01T00:00:00Z,45457
2025-11-30T00:00:00Z,36511
2025-11-29T00:00:00Z,39675
2025-11-28T00:00:00Z,45581
2025-11-27T00:00:00Z,43386
2025-11-26T00:00:00Z,45390
2025-11-25T00:00:00Z,41688
2025-11-24T00:00:00Z,40654
2025-11-23T00:00:00Z,35182
2025-11-22T00:00:00Z,40535
2025-11-21T00:00:00Z,53498
2025-11-20T00:00:00Z,47464
2025-11-19T00:00:00Z,45820
2025-11-18T00:00:00Z,46184
2025-11-17T00:00:00Z,44172
2025-11-16T00:00:00Z,38495
2025-11-15T00:00:00Z,44223
2025-11-14T00:00:00Z,54560
2025-11-13T00:00:00Z,47960
2025-11-12T00:00:00Z,43684
2025-11-11T00:00:00Z,44559
2025-11-10T00:00:00Z,45240
2025-11-09T00:00:00Z,37336
2025-11-08T00:00:00Z,42241
2025-11-07T00:00:00Z,53371
2025-11-06T00:00:00Z,48450
2025-11-05T00:00:00Z,48945
2025-11-04T00:00:00Z,55070
2025-11-03T00:00:00Z,54273
2025-11-02T00:00:00Z,44184
2025-11-01T00:00:00Z,52216
2025-10-31T00:00:00Z,64920
2025-10-30T00:00:00Z,57651
2025-10-29T00:00:00Z,51485
2025-10-28T00:00:00Z,52283
2025-10-27T00:00:00Z,54025
2025-10-26T00:00:00Z,43370
2025-10-25T00:00:00Z,46104
2025-10-24T00:00:00Z,58171
2025-10-23T00:00:00Z,55549
2025-10-22T00:00:00Z,52030
2025-10-21T00:00:00Z,55837
2025-10-20T00:00:00Z,49592
2025-10-19T00:00:00Z,43419
2025-10-18T00:00:00Z,49527
2025-10-17T00:00:00Z,64015
