Datetime,Exchange Depositing Transactions
2026-04-11T00:00:00Z,6146
2026-04-10T00:00:00Z,28824
2026-04-09T00:00:00Z,27468
2026-04-08T00:00:00Z,26285
2026-04-07T00:00:00Z,25836
2026-04-06T00:00:00Z,24518
2026-04-05T00:00:00Z,20082
2026-04-04T00:00:00Z,24339
2026-04-03T00:00:00Z,26978
2026-04-02T00:00:00Z,28849
2026-04-01T00:00:00Z,29789
2026-03-31T00:00:00Z,27028
2026-03-30T00:00:00Z,25127
2026-03-29T00:00:00Z,20108
2026-03-28T00:00:00Z,24070
2026-03-27T00:00:00Z,29198
2026-03-26T00:00:00Z,27468
2026-03-25T00:00:00Z,26700
2026-03-24T00:00:00Z,24947
2026-03-23T00:00:00Z,25133
2026-03-22T00:00:00Z,20887
2026-03-21T00:00:00Z,23241
2026-03-20T00:00:00Z,28510
2026-03-19T00:00:00Z,27598
2026-03-18T00:00:00Z,26465
2026-03-17T00:00:00Z,27153
2026-03-16T00:00:00Z,26954
2026-03-15T00:00:00Z,21972
2026-03-14T00:00:00Z,24889
2026-03-13T00:00:00Z,31248
2026-03-12T00:00:00Z,27510
2026-03-11T00:00:00Z,27205
2026-03-10T00:00:00Z,28839
2026-03-09T00:00:00Z,27217
2026-03-08T00:00:00Z,23759
2026-03-07T00:00:00Z,26982
2026-03-06T00:00:00Z,32116
2026-03-05T00:00:00Z,32514
2026-03-04T00:00:00Z,33197
2026-03-03T00:00:00Z,31147
2026-03-02T00:00:00Z,31255
2026-03-01T00:00:00Z,26851
2026-02-28T00:00:00Z,31634
2026-02-27T00:00:00Z,35072
2026-02-26T00:00:00Z,33315
2026-02-25T00:00:00Z,32395
2026-02-24T00:00:00Z,32866
2026-02-23T00:00:00Z,30736
2026-02-22T00:00:00Z,27355
2026-02-21T00:00:00Z,30951
2026-02-20T00:00:00Z,34751
2026-02-19T00:00:00Z,33166
2026-02-18T00:00:00Z,31540
2026-02-17T00:00:00Z,30007
2026-02-16T00:00:00Z,29675
2026-02-15T00:00:00Z,28386
2026-02-14T00:00:00Z,33557
2026-02-13T00:00:00Z,37173
2026-02-12T00:00:00Z,35354
2026-02-11T00:00:00Z,34137
2026-02-10T00:00:00Z,32946
2026-02-09T00:00:00Z,32829
2026-02-08T00:00:00Z,28485
2026-02-07T00:00:00Z,33612
2026-02-06T00:00:00Z,45092
2026-02-05T00:00:00Z,47804
2026-02-04T00:00:00Z,36676
2026-02-03T00:00:00Z,34684
2026-02-02T00:00:00Z,31679
2026-02-01T00:00:00Z,28751
2026-01-31T00:00:00Z,36795
2026-01-30T00:00:00Z,38419
2026-01-29T00:00:00Z,33976
2026-01-28T00:00:00Z,30591
2026-01-27T00:00:00Z,29357
2026-01-26T00:00:00Z,29110
2026-01-25T00:00:00Z,24915
2026-01-24T00:00:00Z,26499
2026-01-23T00:00:00Z,33025
2026-01-22T00:00:00Z,31615
2026-01-21T00:00:00Z,31702
2026-01-20T00:00:00Z,30190
2026-01-19T00:00:00Z,29359
2026-01-18T00:00:00Z,25435
2026-01-17T00:00:00Z,29907
2026-01-16T00:00:00Z,35047
2026-01-15T00:00:00Z,35573
2026-01-14T00:00:00Z,34554
2026-01-13T00:00:00Z,32529
2026-01-12T00:00:00Z,30419
2026-01-11T00:00:00Z,24898
2026-01-10T00:00:00Z,29485
2026-01-09T00:00:00Z,35702
2026-01-08T00:00:00Z,32151
2026-01-07T00:00:00Z,32749
2026-01-06T00:00:00Z,33331
2026-01-05T00:00:00Z,34188
2026-01-04T00:00:00Z,28267
2026-01-03T00:00:00Z,31854
2026-01-02T00:00:00Z,34822
2026-01-01T00:00:00Z,29970
2025-12-31T00:00:00Z,39158
2025-12-30T00:00:00Z,35781
2025-12-29T00:00:00Z,34503
2025-12-28T00:00:00Z,26372
2025-12-27T00:00:00Z,28988
2025-12-26T00:00:00Z,31885
2025-12-25T00:00:00Z,29304
2025-12-24T00:00:00Z,38343
2025-12-23T00:00:00Z,35120
2025-12-22T00:00:00Z,33441
2025-12-21T00:00:00Z,27020
2025-12-20T00:00:00Z,32203
2025-12-19T00:00:00Z,37286
2025-12-18T00:00:00Z,35328
2025-12-17T00:00:00Z,34548
2025-12-16T00:00:00Z,32677
2025-12-15T00:00:00Z,33755
2025-12-14T00:00:00Z,26726
2025-12-13T00:00:00Z,30890
2025-12-12T00:00:00Z,37092
2025-12-11T00:00:00Z,35641
2025-12-10T00:00:00Z,35644
2025-12-09T00:00:00Z,35139
2025-12-08T00:00:00Z,32460
2025-12-07T00:00:00Z,28609
2025-12-06T00:00:00Z,32193
2025-12-05T00:00:00Z,38263
2025-12-04T00:00:00Z,37122
2025-12-03T00:00:00Z,38743
2025-12-02T00:00:00Z,37821
2025-12-01T00:00:00Z,38653
2025-11-30T00:00:00Z,30213
2025-11-29T00:00:00Z,32665
2025-11-28T00:00:00Z,37956
2025-11-27T00:00:00Z,36510
2025-11-26T00:00:00Z,38348
2025-11-25T00:00:00Z,34773
2025-11-24T00:00:00Z,34798
2025-11-23T00:00:00Z,29074
2025-11-22T00:00:00Z,33610
2025-11-21T00:00:00Z,46784
2025-11-20T00:00:00Z,40927
2025-11-19T00:00:00Z,39498
2025-11-18T00:00:00Z,39449
2025-11-17T00:00:00Z,37626
2025-11-16T00:00:00Z,31933
2025-11-15T00:00:00Z,36485
2025-11-14T00:00:00Z,46502
2025-11-13T00:00:00Z,40417
2025-11-12T00:00:00Z,37316
2025-11-11T00:00:00Z,37539
2025-11-10T00:00:00Z,39331
2025-11-09T00:00:00Z,31701
2025-11-08T00:00:00Z,35416
2025-11-07T00:00:00Z,45426
2025-11-06T00:00:00Z,40744
2025-11-05T00:00:00Z,41852
2025-11-04T00:00:00Z,47268
2025-11-03T00:00:00Z,45418
2025-11-02T00:00:00Z,36526
2025-11-01T00:00:00Z,42259
2025-10-31T00:00:00Z,50639
2025-10-30T00:00:00Z,47606
2025-10-29T00:00:00Z,42401
2025-10-28T00:00:00Z,42977
2025-10-27T00:00:00Z,44957
2025-10-26T00:00:00Z,35187
2025-10-25T00:00:00Z,36990
2025-10-24T00:00:00Z,47064
2025-10-23T00:00:00Z,45036
2025-10-22T00:00:00Z,42365
2025-10-21T00:00:00Z,45423
2025-10-20T00:00:00Z,40627
2025-10-19T00:00:00Z,34581
2025-10-18T00:00:00Z,39417
2025-10-17T00:00:00Z,51835
2025-10-16T00:00:00Z,47696
2025-10-15T00:00:00Z,46353
2025-10-14T00:00:00Z,43052
2025-10-13T00:00:00Z,42047
2025-10-12T00:00:00Z,38028
2025-10-11T00:00:00Z,47417
2025-10-10T00:00:00Z,52546
2025-10-09T00:00:00Z,46807
2025-10-08T00:00:00Z,47544
2025-10-07T00:00:00Z,48702
2025-10-06T00:00:00Z,48350
2025-10-05T00:00:00Z,43043
2025-10-04T00:00:00Z,48090
2025-10-03T00:00:00Z,55601
2025-10-02T00:00:00Z,54385
2025-10-01T00:00:00Z,50947
2025-09-30T00:00:00Z,46973
2025-09-29T00:00:00Z,44498
2025-09-28T00:00:00Z,35934
2025-09-27T00:00:00Z,40047
2025-09-26T00:00:00Z,47843
2025-09-25T00:00:00Z,49165
2025-09-24T00:00:00Z,42562
2025-09-23T00:00:00Z,42273
2025-09-22T00:00:00Z,43148
2025-09-21T00:00:00Z,35537
2025-09-20T00:00:00Z,38632
2025-09-19T00:00:00Z,47854
2025-09-18T00:00:00Z,49552
2025-09-17T00:00:00Z,48795
2025-09-16T00:00:00Z,49134
2025-09-15T00:00:00Z,49719
2025-09-14T00:00:00Z,43040
2025-09-13T00:00:00Z,49416
2025-09-12T00:00:00Z,49502
2025-09-11T00:00:00Z,48586
2025-09-10T00:00:00Z,51478
2025-09-09T00:00:00Z,49348
2025-09-08T00:00:00Z,47125
2025-09-07T00:00:00Z,34623
2025-09-06T00:00:00Z,38687
2025-09-05T00:00:00Z,48962
2025-09-04T00:00:00Z,43942
2025-09-03T00:00:00Z,46765
2025-09-02T00:00:00Z,43206
2025-09-01T00:00:00Z,42627
2025-08-31T00:00:00Z,35306
2025-08-30T00:00:00Z,42649
2025-08-29T00:00:00Z,54374
2025-08-28T00:00:00Z,48130
2025-08-27T00:00:00Z,46133
2025-08-26T00:00:00Z,42716
2025-08-25T00:00:00Z,42839
2025-08-24T00:00:00Z,35347
2025-08-23T00:00:00Z,40623
2025-08-22T00:00:00Z,47946
2025-08-21T00:00:00Z,44214
2025-08-20T00:00:00Z,41960
2025-08-19T00:00:00Z,40839
2025-08-18T00:00:00Z,40285
2025-08-17T00:00:00Z,34619
2025-08-16T00:00:00Z,39551
2025-08-15T00:00:00Z,46845
2025-08-14T00:00:00Z,48643
2025-08-13T00:00:00Z,47927
2025-08-12T00:00:00Z,44863
2025-08-11T00:00:00Z,46076
