Datetime,Exchange Netflow (Total)
2026-04-11T00:00:00Z,-13.125696
2026-04-10T00:00:00Z,-5407.910478
2026-04-09T00:00:00Z,-2533.331056
2026-04-08T00:00:00Z,2109.403975
2026-04-07T00:00:00Z,-3157.187619
2026-04-06T00:00:00Z,4157.418557
2026-04-05T00:00:00Z,682.481956
2026-04-04T00:00:00Z,-1275.761312
2026-04-03T00:00:00Z,212.632414
2026-04-02T00:00:00Z,-836.578742
2026-04-01T00:00:00Z,-3549.163628
2026-03-31T00:00:00Z,722.063613
2026-03-30T00:00:00Z,3615.417812
2026-03-29T00:00:00Z,1318.737613
2026-03-28T00:00:00Z,884.972791
2026-03-27T00:00:00Z,213.298208
2026-03-26T00:00:00Z,1693.115464
2026-03-25T00:00:00Z,-4954.108075
2026-03-24T00:00:00Z,-1916.540099
2026-03-23T00:00:00Z,-7809.95279
2026-03-22T00:00:00Z,-8427.796091
2026-03-21T00:00:00Z,223.524104
2026-03-20T00:00:00Z,183.416292
2026-03-19T00:00:00Z,-1862.024737
2026-03-18T00:00:00Z,-3073.836288
2026-03-17T00:00:00Z,-3551.148409
2026-03-16T00:00:00Z,-18933.303944
2026-03-15T00:00:00Z,12586.30591
2026-03-14T00:00:00Z,907.710596
2026-03-13T00:00:00Z,-4671.024415
2026-03-12T00:00:00Z,-10276.54905
2026-03-11T00:00:00Z,-9502.197594
2026-03-10T00:00:00Z,-5228.95969903
2026-03-09T00:00:00Z,103.65024056
2026-03-08T00:00:00Z,512.43253996
2026-03-07T00:00:00Z,517.43203939
2026-03-06T00:00:00Z,-251.19750025
2026-03-05T00:00:00Z,-5652.12482331
2026-03-04T00:00:00Z,-5764.86850354
2026-03-03T00:00:00Z,-3590.35514436
2026-03-02T00:00:00Z,-4433.33721569
2026-03-01T00:00:00Z,-312.84433924
2026-02-28T00:00:00Z,-1704.6302909
2026-02-27T00:00:00Z,-1485.90341542
2026-02-26T00:00:00Z,-4927.97581958
2026-02-25T00:00:00Z,-5218.21083623
2026-02-24T00:00:00Z,-3345.91125952
2026-02-23T00:00:00Z,-698.8652977
2026-02-22T00:00:00Z,456.2192551
2026-02-21T00:00:00Z,792.10072675
2026-02-20T00:00:00Z,4297.64935849
2026-02-19T00:00:00Z,912.7864223
2026-02-18T00:00:00Z,-6174.40672466
2026-02-17T00:00:00Z,2016.46787231
2026-02-16T00:00:00Z,-336.4801348
2026-02-15T00:00:00Z,-880.16285699
2026-02-14T00:00:00Z,4635.49242551
2026-02-13T00:00:00Z,2710.21946072
2026-02-12T00:00:00Z,7859.96368228
2026-02-11T00:00:00Z,3153.78364466
2026-02-10T00:00:00Z,-1929.60167086
2026-02-09T00:00:00Z,-10655.41935056
2026-02-08T00:00:00Z,-3804.50085807
2026-02-07T00:00:00Z,-925.85716742
2026-02-06T00:00:00Z,-3305.14910293
2026-02-05T00:00:00Z,3170.07593593
2026-02-04T00:00:00Z,5921.23573534
2026-02-03T00:00:00Z,-4359.33108738
2026-02-02T00:00:00Z,2137.47834099
2026-02-01T00:00:00Z,3725.86055161
2026-01-31T00:00:00Z,12991.53161322
2026-01-30T00:00:00Z,5717.19846939
2026-01-29T00:00:00Z,1674.53568845
2026-01-28T00:00:00Z,2105.72851202
2026-01-27T00:00:00Z,635.30129925
2026-01-26T00:00:00Z,-3102.14622245
2026-01-25T00:00:00Z,920.96329235
2026-01-24T00:00:00Z,649.84561953
2026-01-23T00:00:00Z,-2616.98744976
2026-01-22T00:00:00Z,3552.33458131
2026-01-21T00:00:00Z,3716.22798678
2026-01-20T00:00:00Z,10438.28503701
2026-01-19T00:00:00Z,-193.37153171
2026-01-18T00:00:00Z,272.37002115
2026-01-17T00:00:00Z,-1282.60551747
2026-01-16T00:00:00Z,2163.06261033
2026-01-15T00:00:00Z,-3616.95751042
2026-01-14T00:00:00Z,-6889.98002302
2026-01-13T00:00:00Z,-2834.6334904
2026-01-12T00:00:00Z,2161.02399347
2026-01-11T00:00:00Z,1773.78522786
2026-01-10T00:00:00Z,49.31669051
2026-01-09T00:00:00Z,916.24342512
2026-01-08T00:00:00Z,1091.26005039
2026-01-07T00:00:00Z,3323.84684535
2026-01-06T00:00:00Z,-1724.53291866
2026-01-05T00:00:00Z,-5230.47367646
2026-01-04T00:00:00Z,-363.0321072
2026-01-03T00:00:00Z,767.65927026
2026-01-02T00:00:00Z,1191.07290286
2026-01-01T00:00:00Z,61.1184911
2025-12-31T00:00:00Z,-5749.51584165
2025-12-30T00:00:00Z,-5133.11398555
2025-12-29T00:00:00Z,745.91724558
2025-12-28T00:00:00Z,356.20436927
2025-12-27T00:00:00Z,-240.37215284
2025-12-26T00:00:00Z,18139.23150563
2025-12-25T00:00:00Z,98.76690107
2025-12-24T00:00:00Z,-770.44735836
2025-12-23T00:00:00Z,-2991.5035108
2025-12-22T00:00:00Z,-1643.60482368
2025-12-21T00:00:00Z,-508.29642012
2025-12-20T00:00:00Z,298.4582276
2025-12-19T00:00:00Z,-1224.48798066
2025-12-18T00:00:00Z,4264.65212191
2025-12-17T00:00:00Z,7990.85076797
2025-12-16T00:00:00Z,1694.92396298
2025-12-15T00:00:00Z,2923.85328253
2025-12-14T00:00:00Z,1385.523092
2025-12-13T00:00:00Z,-1360.66220691
2025-12-12T00:00:00Z,-5487.17471416
2025-12-11T00:00:00Z,2359.03276438
2025-12-10T00:00:00Z,-2216.60570726
2025-12-09T00:00:00Z,-3060.64489912
2025-12-08T00:00:00Z,-2931.0150792
2025-12-07T00:00:00Z,304.00370824
2025-12-06T00:00:00Z,129.25105354
2025-12-05T00:00:00Z,-3906.67563209
2025-12-04T00:00:00Z,-4042.92875019
2025-12-03T00:00:00Z,-1193.01514689
2025-12-02T00:00:00Z,-4001.86005053
2025-12-01T00:00:00Z,-846.62301792
2025-11-30T00:00:00Z,-2160.87536599
2025-11-29T00:00:00Z,-1353.65302461
2025-11-28T00:00:00Z,434.85445694
2025-11-27T00:00:00Z,-188.16482056
2025-11-26T00:00:00Z,-875.44220453
2025-11-25T00:00:00Z,-2054.59536622
2025-11-24T00:00:00Z,-2302.24235373
2025-11-23T00:00:00Z,-3201.35433229
2025-11-22T00:00:00Z,3415.13046739
2025-11-21T00:00:00Z,8294.7097006
2025-11-20T00:00:00Z,6582.804897
2025-11-19T00:00:00Z,-7701.50215358
2025-11-18T00:00:00Z,-17722.7117992
2025-11-17T00:00:00Z,6356.14003305
2025-11-16T00:00:00Z,1444.59845385
2025-11-15T00:00:00Z,1952.75331189
2025-11-14T00:00:00Z,5322.32303326
2025-11-13T00:00:00Z,3021.4819216
2025-11-12T00:00:00Z,-5368.12532528
2025-11-11T00:00:00Z,133.90911033
2025-11-10T00:00:00Z,4585.47495998
2025-11-09T00:00:00Z,-1540.36393651
2025-11-08T00:00:00Z,-1589.57018258
2025-11-07T00:00:00Z,-1250.6442907
2025-11-06T00:00:00Z,1891.27898405
2025-11-05T00:00:00Z,3831.99325895
2025-11-04T00:00:00Z,4200.56123198
2025-11-03T00:00:00Z,445.45004945
2025-11-02T00:00:00Z,1462.67239398
2025-11-01T00:00:00Z,-995.21681077
2025-10-31T00:00:00Z,684.62858133
2025-10-30T00:00:00Z,5546.60400298
2025-10-29T00:00:00Z,-1141.1259342
2025-10-28T00:00:00Z,-4695.46246195
2025-10-27T00:00:00Z,-3809.87295745
2025-10-26T00:00:00Z,-3479.77615377
2025-10-25T00:00:00Z,437.16781294
2025-10-24T00:00:00Z,-2036.26548054
2025-10-23T00:00:00Z,4268.20129488
2025-10-22T00:00:00Z,-2736.34365309
2025-10-21T00:00:00Z,-180.68805243
2025-10-20T00:00:00Z,-12.82138633
2025-10-19T00:00:00Z,-27.51526108
2025-10-18T00:00:00Z,1502.39230873
2025-10-17T00:00:00Z,476.37714098
2025-10-16T00:00:00Z,4396.52441984
2025-10-15T00:00:00Z,-9349.76750812
2025-10-14T00:00:00Z,-960.90961985
2025-10-13T00:00:00Z,-1602.19432749
