Datetime,Exchange Outflow (Mean)
2026-04-11T00:00:00Z,1.66039058
2026-04-10T00:00:00Z,6.70537398
2026-04-09T00:00:00Z,4.95862232
2026-04-08T00:00:00Z,5.71733038
2026-04-07T00:00:00Z,6.19677857
2026-04-06T00:00:00Z,4.47805285
2026-04-05T00:00:00Z,1.03362583
2026-04-04T00:00:00Z,1.35376355
2026-04-03T00:00:00Z,2.44808004
2026-04-02T00:00:00Z,5.79878409
2026-04-01T00:00:00Z,7.5770832
2026-03-31T00:00:00Z,4.81217384
2026-03-30T00:00:00Z,5.97073889
2026-03-29T00:00:00Z,1.64645234
2026-03-28T00:00:00Z,1.89994343
2026-03-27T00:00:00Z,6.58076924
2026-03-26T00:00:00Z,4.72899408
2026-03-25T00:00:00Z,8.28972348
2026-03-24T00:00:00Z,6.16644721
2026-03-23T00:00:00Z,5.99978912
2026-03-22T00:00:00Z,3.98951214
2026-03-21T00:00:00Z,0.91509658
2026-03-20T00:00:00Z,4.47827035
2026-03-19T00:00:00Z,5.92616582
2026-03-18T00:00:00Z,6.54674429
2026-03-17T00:00:00Z,5.74979851
2026-03-16T00:00:00Z,12.61874773
2026-03-15T00:00:00Z,2.20104923
2026-03-14T00:00:00Z,1.38878316
2026-03-13T00:00:00Z,6.17423329
2026-03-12T00:00:00Z,7.62049697
2026-03-11T00:00:00Z,8.09717741
2026-03-10T00:00:00Z,7.12804086
2026-03-09T00:00:00Z,6.85170277
2026-03-08T00:00:00Z,1.36256925
2026-03-07T00:00:00Z,1.51000559
2026-03-06T00:00:00Z,6.03581276
2026-03-05T00:00:00Z,7.58375769
2026-03-04T00:00:00Z,9.19016624
2026-03-03T00:00:00Z,6.34016557
2026-03-02T00:00:00Z,6.75962533
2026-03-01T00:00:00Z,1.77254709
2026-02-28T00:00:00Z,2.55152547
2026-02-27T00:00:00Z,4.84372506
2026-02-26T00:00:00Z,7.43697039
2026-02-25T00:00:00Z,6.11666543
2026-02-24T00:00:00Z,6.73574866
2026-02-23T00:00:00Z,5.23090807
2026-02-22T00:00:00Z,1.6113735
2026-02-21T00:00:00Z,3.2052145
2026-02-20T00:00:00Z,8.52093773
2026-02-19T00:00:00Z,4.93612705
2026-02-18T00:00:00Z,5.97281052
2026-02-17T00:00:00Z,4.50141701
2026-02-16T00:00:00Z,2.49532273
2026-02-15T00:00:00Z,1.82471959
2026-02-14T00:00:00Z,2.3834083
2026-02-13T00:00:00Z,5.86618607
2026-02-12T00:00:00Z,5.15856067
2026-02-11T00:00:00Z,5.38544423
2026-02-10T00:00:00Z,5.91022123
2026-02-09T00:00:00Z,9.72903424
2026-02-08T00:00:00Z,3.06202354
2026-02-07T00:00:00Z,4.48636173
2026-02-06T00:00:00Z,11.06828245
2026-02-05T00:00:00Z,10.81125504
2026-02-04T00:00:00Z,8.14675879
2026-02-03T00:00:00Z,8.11192658
2026-02-02T00:00:00Z,9.31126615
2026-02-01T00:00:00Z,4.11802014
2026-01-31T00:00:00Z,4.0511332
2026-01-30T00:00:00Z,6.88025986
2026-01-29T00:00:00Z,5.3780917
2026-01-28T00:00:00Z,4.22140229
2026-01-27T00:00:00Z,2.69588799
2026-01-26T00:00:00Z,5.19055633
2026-01-25T00:00:00Z,2.57377533
2026-01-24T00:00:00Z,1.28019046
2026-01-23T00:00:00Z,4.53067077
2026-01-22T00:00:00Z,5.08104655
2026-01-21T00:00:00Z,7.14019837
2026-01-20T00:00:00Z,4.67936773
2026-01-19T00:00:00Z,2.60460079
2026-01-18T00:00:00Z,1.23599791
2026-01-17T00:00:00Z,1.76618183
2026-01-16T00:00:00Z,4.24727546
2026-01-15T00:00:00Z,6.77482129
2026-01-14T00:00:00Z,8.79436403
2026-01-13T00:00:00Z,8.80078989
2026-01-12T00:00:00Z,6.70513059
2026-01-11T00:00:00Z,4.51595269
2026-01-10T00:00:00Z,4.89816656
2026-01-09T00:00:00Z,7.02588825
2026-01-08T00:00:00Z,5.8414891
2026-01-07T00:00:00Z,4.84170151
2026-01-06T00:00:00Z,5.52798556
2026-01-05T00:00:00Z,7.14303131
2026-01-04T00:00:00Z,1.59794293
2026-01-03T00:00:00Z,1.38958695
2026-01-02T00:00:00Z,5.22322495
2026-01-01T00:00:00Z,2.90007796
2025-12-31T00:00:00Z,7.43713645
2025-12-30T00:00:00Z,5.91904748
