Datetime,Exchange Inflow (Top10)
2026-04-11T00:00:00Z,1694.156858
2026-04-10T00:00:00Z,24531.497447
2026-04-09T00:00:00Z,19502.028485
2026-04-08T00:00:00Z,26867.311822
2026-04-07T00:00:00Z,23852.957689
2026-04-06T00:00:00Z,23048.156863
2026-04-05T00:00:00Z,4302.801445
2026-04-04T00:00:00Z,3749.873877
2026-04-03T00:00:00Z,9415.958924
2026-04-02T00:00:00Z,25627.795912
2026-04-01T00:00:00Z,30176.721598
2026-03-31T00:00:00Z,22029.287287
2026-03-30T00:00:00Z,30387.99904
2026-03-29T00:00:00Z,7276.854214
2026-03-28T00:00:00Z,8372.523004
2026-03-27T00:00:00Z,31449.119724
2026-03-26T00:00:00Z,23279.308122
2026-03-25T00:00:00Z,33939.023509
2026-03-24T00:00:00Z,25101.552303
2026-03-23T00:00:00Z,19957.600364
2026-03-22T00:00:00Z,7474.402253
2026-03-21T00:00:00Z,3641.758258
2026-03-20T00:00:00Z,19670.836237
2026-03-19T00:00:00Z,26107.186673
2026-03-18T00:00:00Z,26922.618262
2026-03-17T00:00:00Z,23328.356542
2026-03-16T00:00:00Z,40987.013712
2026-03-15T00:00:00Z,20576.591221
2026-03-14T00:00:00Z,6279.85835
2026-03-13T00:00:00Z,24625.087556
2026-03-12T00:00:00Z,23094.39151
2026-03-11T00:00:00Z,26718.715075
2026-03-10T00:00:00Z,27368.15640483
2026-03-09T00:00:00Z,30895.32878735
2026-03-08T00:00:00Z,5807.87556873
2026-03-07T00:00:00Z,6691.96900395
2026-03-06T00:00:00Z,28275.1240853
2026-03-05T00:00:00Z,31209.15816335
2026-03-04T00:00:00Z,40508.32474528
2026-03-03T00:00:00Z,29160.72277956
2026-03-02T00:00:00Z,28702.10178452
2026-03-01T00:00:00Z,6867.92643046
2026-02-28T00:00:00Z,9898.05004774
2026-02-27T00:00:00Z,21572.22024697
2026-02-26T00:00:00Z,29707.47918544
2026-02-25T00:00:00Z,26045.30651386
2026-02-24T00:00:00Z,31874.25987707
2026-02-23T00:00:00Z,26608.83885256
2026-02-22T00:00:00Z,7453.40207144
2026-02-21T00:00:00Z,14986.94119707
2026-02-20T00:00:00Z,46309.61184252
2026-02-19T00:00:00Z,25152.89547162
2026-02-18T00:00:00Z,24031.39068514
2026-02-17T00:00:00Z,23679.85534662
2026-02-16T00:00:00Z,11924.04645467
2026-02-15T00:00:00Z,7189.28491329
2026-02-14T00:00:00Z,15947.7995635
2026-02-13T00:00:00Z,33977.19341786
2026-02-12T00:00:00Z,35405.66374219
2026-02-11T00:00:00Z,33166.41431775
2026-02-10T00:00:00Z,29743.91110114
2026-02-09T00:00:00Z,41073.57533937
2026-02-08T00:00:00Z,10850.88063743
2026-02-07T00:00:00Z,22550.94705763
2026-02-06T00:00:00Z,80712.5734863
2026-02-05T00:00:00Z,81787.95667521
2026-02-04T00:00:00Z,53314.93033286
2026-02-03T00:00:00Z,45187.17330862
2026-02-02T00:00:00Z,57837.42330911
2026-02-01T00:00:00Z,26185.67286044
2026-01-31T00:00:00Z,36524.47812632
2026-01-30T00:00:00Z,47454.25117732
2026-01-29T00:00:00Z,30228.47007004
2026-01-28T00:00:00Z,23355.18343676
2026-01-27T00:00:00Z,14677.30357728
2026-01-26T00:00:00Z,24595.44802818
2026-01-25T00:00:00Z,12622.05231921
2026-01-24T00:00:00Z,6111.62811585
2026-01-23T00:00:00Z,21177.20236688
2026-01-22T00:00:00Z,29735.95874334
2026-01-21T00:00:00Z,42577.83355907
2026-01-20T00:00:00Z,35310.73600472
2026-01-19T00:00:00Z,13431.37179777
2026-01-18T00:00:00Z,5830.53684992
2026-01-17T00:00:00Z,7290.94075219
2026-01-16T00:00:00Z,27303.21628662
2026-01-15T00:00:00Z,37682.21399292
2026-01-14T00:00:00Z,47300.14973481
2026-01-13T00:00:00Z,47901.29071749
2026-01-12T00:00:00Z,37074.12804456
2026-01-11T00:00:00Z,21288.91877365
2026-01-10T00:00:00Z,22002.13802097
2026-01-09T00:00:00Z,43067.91025748
2026-01-08T00:00:00Z,32774.38199091
2026-01-07T00:00:00Z,30946.48710029
2026-01-06T00:00:00Z,30250.66242809
2026-01-05T00:00:00Z,35995.28755361
2026-01-04T00:00:00Z,7580.3852831
2026-01-03T00:00:00Z,7656.41888876
2026-01-02T00:00:00Z,29959.0014746
2026-01-01T00:00:00Z,15133.68280325
2025-12-31T00:00:00Z,40504.8613808
2025-12-30T00:00:00Z,31396.88613521
2025-12-29T00:00:00Z,34987.45485223
2025-12-28T00:00:00Z,5315.09856181
2025-12-27T00:00:00Z,6312.32770913
2025-12-26T00:00:00Z,40742.94193608
2025-12-25T00:00:00Z,9574.44086513
2025-12-24T00:00:00Z,24576.94935629
2025-12-23T00:00:00Z,24478.00414338
2025-12-22T00:00:00Z,23265.40968521
2025-12-21T00:00:00Z,6885.23800775
2025-12-20T00:00:00Z,7373.28831974
2025-12-19T00:00:00Z,24746.44581741
2025-12-18T00:00:00Z,33980.18837754
2025-12-17T00:00:00Z,43668.76515614
2025-12-16T00:00:00Z,25635.87566914
2025-12-15T00:00:00Z,24388.57834631
2025-12-14T00:00:00Z,9074.15332848
2025-12-13T00:00:00Z,7463.05231567
2025-12-12T00:00:00Z,22409.34038021
2025-12-11T00:00:00Z,28526.09844388
2025-12-10T00:00:00Z,33248.66366159
2025-12-09T00:00:00Z,26184.52497671
2025-12-08T00:00:00Z,19302.31634247
2025-12-07T00:00:00Z,6853.15509868
2025-12-06T00:00:00Z,6565.56832993
2025-12-05T00:00:00Z,23899.37942168
2025-12-04T00:00:00Z,20072.07887407
2025-12-03T00:00:00Z,28425.36937243
2025-12-02T00:00:00Z,28325.7864111
2025-12-01T00:00:00Z,37262.45696928
2025-11-30T00:00:00Z,9719.58654631
