Datetime,Active Receiving Addresses
2026-04-08T00:00:00Z,968149
2026-04-07T00:00:00Z,973668
2026-04-06T00:00:00Z,935547
2026-04-05T00:00:00Z,713696
2026-04-04T00:00:00Z,748765
2026-04-03T00:00:00Z,883064
2026-04-02T00:00:00Z,976970
2026-04-01T00:00:00Z,1019936
2026-03-31T00:00:00Z,989650
2026-03-30T00:00:00Z,935760
2026-03-29T00:00:00Z,704430
2026-03-28T00:00:00Z,736354
2026-03-27T00:00:00Z,916328
2026-03-26T00:00:00Z,903197
2026-03-25T00:00:00Z,917204
2026-03-24T00:00:00Z,926300
2026-03-23T00:00:00Z,962266
2026-03-22T00:00:00Z,726646
2026-03-21T00:00:00Z,729690
2026-03-20T00:00:00Z,911820
2026-03-19T00:00:00Z,949739
2026-03-18T00:00:00Z,949468
2026-03-17T00:00:00Z,950071
2026-03-16T00:00:00Z,993054
2026-03-15T00:00:00Z,777717
2026-03-14T00:00:00Z,755293
2026-03-13T00:00:00Z,926596
2026-03-12T00:00:00Z,905945
2026-03-11T00:00:00Z,934340
2026-03-10T00:00:00Z,992571
2026-03-09T00:00:00Z,951266
2026-03-08T00:00:00Z,739283
2026-03-07T00:00:00Z,763846
2026-03-06T00:00:00Z,931037
2026-03-05T00:00:00Z,936832
2026-03-04T00:00:00Z,931387
2026-03-03T00:00:00Z,959329
2026-03-02T00:00:00Z,984502
2026-03-01T00:00:00Z,776224
2026-02-28T00:00:00Z,786937
2026-02-27T00:00:00Z,889967
2026-02-26T00:00:00Z,864101
2026-02-25T00:00:00Z,875271
2026-02-24T00:00:00Z,854019
2026-02-23T00:00:00Z,820660
2026-02-22T00:00:00Z,625295
2026-02-21T00:00:00Z,645657
2026-02-20T00:00:00Z,764768
2026-02-19T00:00:00Z,740359
2026-02-18T00:00:00Z,736133
2026-02-17T00:00:00Z,755435
2026-02-16T00:00:00Z,823062
2026-02-15T00:00:00Z,728396
2026-02-14T00:00:00Z,741782
2026-02-13T00:00:00Z,892421
2026-02-12T00:00:00Z,890962
2026-02-11T00:00:00Z,918794
2026-02-10T00:00:00Z,943639
2026-02-09T00:00:00Z,932280
2026-02-08T00:00:00Z,705426
2026-02-07T00:00:00Z,754157
2026-02-06T00:00:00Z,957873
2026-02-05T00:00:00Z,1014399
2026-02-04T00:00:00Z,955639
2026-02-03T00:00:00Z,998096
2026-02-02T00:00:00Z,1048436
2026-02-01T00:00:00Z,814452
2026-01-31T00:00:00Z,840162
2026-01-30T00:00:00Z,994396
2026-01-29T00:00:00Z,984977
2026-01-28T00:00:00Z,946503
2026-01-27T00:00:00Z,931288
2026-01-26T00:00:00Z,948553
2026-01-25T00:00:00Z,735228
2026-01-24T00:00:00Z,738318
2026-01-23T00:00:00Z,891671
2026-01-22T00:00:00Z,906483
2026-01-21T00:00:00Z,947043
2026-01-20T00:00:00Z,958229
2026-01-19T00:00:00Z,925851
2026-01-18T00:00:00Z,724503
2026-01-17T00:00:00Z,771460
2026-01-16T00:00:00Z,956496
2026-01-15T00:00:00Z,1000908
2026-01-14T00:00:00Z,949405
2026-01-13T00:00:00Z,938654
2026-01-12T00:00:00Z,950039
2026-01-11T00:00:00Z,721190
2026-01-10T00:00:00Z,775100
2026-01-09T00:00:00Z,898256
2026-01-08T00:00:00Z,913282
2026-01-07T00:00:00Z,924455
2026-01-06T00:00:00Z,955587
2026-01-05T00:00:00Z,989121
2026-01-04T00:00:00Z,764445
2026-01-03T00:00:00Z,759017
2026-01-02T00:00:00Z,847300
2026-01-01T00:00:00Z,736713
2025-12-31T00:00:00Z,897934
2025-12-30T00:00:00Z,970942
2025-12-29T00:00:00Z,981191
2025-12-28T00:00:00Z,726169
2025-12-27T00:00:00Z,753503
2025-12-26T00:00:00Z,877958
2025-12-25T00:00:00Z,790096
2025-12-24T00:00:00Z,904940
2025-12-23T00:00:00Z,957713
2025-12-22T00:00:00Z,973460
2025-12-21T00:00:00Z,757299
2025-12-20T00:00:00Z,817228
2025-12-19T00:00:00Z,946156
2025-12-18T00:00:00Z,954945
2025-12-17T00:00:00Z,988637
2025-12-16T00:00:00Z,1023351
2025-12-15T00:00:00Z,1074598
2025-12-14T00:00:00Z,760485
2025-12-13T00:00:00Z,783270
2025-12-12T00:00:00Z,952053
2025-12-11T00:00:00Z,964525
2025-12-10T00:00:00Z,992067
2025-12-09T00:00:00Z,999120
2025-12-08T00:00:00Z,986776
2025-12-07T00:00:00Z,769990
2025-12-06T00:00:00Z,812107
2025-12-05T00:00:00Z,1012001
2025-12-04T00:00:00Z,978419
2025-12-03T00:00:00Z,1009777
2025-12-02T00:00:00Z,1057797
