Datetime,Active Addresses
2026-04-10T00:00:00Z,657491
2026-04-09T00:00:00Z,612454
2026-04-08T00:00:00Z,643056
2026-04-07T00:00:00Z,638319
2026-04-06T00:00:00Z,605102
2026-04-05T00:00:00Z,495220
2026-04-04T00:00:00Z,557122
2026-04-03T00:00:00Z,632539
2026-04-02T00:00:00Z,661323
2026-04-01T00:00:00Z,700756
2026-03-31T00:00:00Z,631177
2026-03-30T00:00:00Z,640095
2026-03-29T00:00:00Z,497122
2026-03-28T00:00:00Z,558677
2026-03-27T00:00:00Z,644947
2026-03-26T00:00:00Z,623439
2026-03-25T00:00:00Z,655908
2026-03-24T00:00:00Z,595161
2026-03-23T00:00:00Z,627786
2026-03-22T00:00:00Z,560126
2026-03-21T00:00:00Z,577980
2026-03-20T00:00:00Z,650271
2026-03-19T00:00:00Z,623571
2026-03-18T00:00:00Z,622460
2026-03-17T00:00:00Z,685310
2026-03-16T00:00:00Z,683334
2026-03-15T00:00:00Z,539436
2026-03-14T00:00:00Z,560687
2026-03-13T00:00:00Z,687145
2026-03-12T00:00:00Z,639177
2026-03-11T00:00:00Z,623070
2026-03-10T00:00:00Z,658646
2026-03-09T00:00:00Z,615801
2026-03-08T00:00:00Z,543981
2026-03-07T00:00:00Z,586123
2026-03-06T00:00:00Z,685290
2026-03-05T00:00:00Z,680411
2026-03-04T00:00:00Z,691748
2026-03-03T00:00:00Z,663981
2026-03-02T00:00:00Z,685913
2026-03-01T00:00:00Z,592328
2026-02-28T00:00:00Z,653069
2026-02-27T00:00:00Z,701817
2026-02-26T00:00:00Z,689424
2026-02-25T00:00:00Z,666578
2026-02-24T00:00:00Z,642884
2026-02-23T00:00:00Z,680468
2026-02-22T00:00:00Z,535353
2026-02-21T00:00:00Z,596425
2026-02-20T00:00:00Z,647718
2026-02-19T00:00:00Z,605149
2026-02-18T00:00:00Z,602384
2026-02-17T00:00:00Z,587359
2026-02-16T00:00:00Z,613390
2026-02-15T00:00:00Z,515959
2026-02-14T00:00:00Z,602803
2026-02-13T00:00:00Z,674774
2026-02-12T00:00:00Z,658066
2026-02-11T00:00:00Z,654183
2026-02-10T00:00:00Z,627232
2026-02-09T00:00:00Z,680347
2026-02-08T00:00:00Z,579313
2026-02-07T00:00:00Z,630766
2026-02-06T00:00:00Z,865892
2026-02-05T00:00:00Z,844640
2026-02-04T00:00:00Z,725413
2026-02-03T00:00:00Z,733041
2026-02-02T00:00:00Z,716197
2026-02-01T00:00:00Z,616067
2026-01-31T00:00:00Z,706199
2026-01-30T00:00:00Z,741089
2026-01-29T00:00:00Z,673958
2026-01-28T00:00:00Z,640100
2026-01-27T00:00:00Z,613965
2026-01-26T00:00:00Z,637042
2026-01-25T00:00:00Z,557508
2026-01-24T00:00:00Z,555527
2026-01-23T00:00:00Z,654233
2026-01-22T00:00:00Z,614812
2026-01-21T00:00:00Z,717423
2026-01-20T00:00:00Z,627301
2026-01-19T00:00:00Z,630337
2026-01-18T00:00:00Z,544827
2026-01-17T00:00:00Z,597028
2026-01-16T00:00:00Z,686080
2026-01-15T00:00:00Z,721125
2026-01-14T00:00:00Z,718129
2026-01-13T00:00:00Z,677718
2026-01-12T00:00:00Z,645386
2026-01-11T00:00:00Z,547482
2026-01-10T00:00:00Z,597485
2026-01-09T00:00:00Z,675206
2026-01-08T00:00:00Z,621814
2026-01-07T00:00:00Z,642325
2026-01-06T00:00:00Z,694430
2026-01-05T00:00:00Z,704765
2026-01-04T00:00:00Z,618537
2026-01-03T00:00:00Z,634237
2026-01-02T00:00:00Z,682313
2026-01-01T00:00:00Z,583006
2025-12-31T00:00:00Z,709548
2025-12-30T00:00:00Z,738298
2025-12-29T00:00:00Z,685306
2025-12-28T00:00:00Z,569277
2025-12-27T00:00:00Z,583316
2025-12-26T00:00:00Z,609334
2025-12-25T00:00:00Z,560251
2025-12-24T00:00:00Z,671158
2025-12-23T00:00:00Z,673835
2025-12-22T00:00:00Z,666439
2025-12-21T00:00:00Z,565683
2025-12-20T00:00:00Z,622121
2025-12-19T00:00:00Z,735342
2025-12-18T00:00:00Z,718025
2025-12-17T00:00:00Z,673090
2025-12-16T00:00:00Z,694402
2025-12-15T00:00:00Z,676105
2025-12-14T00:00:00Z,566462
2025-12-13T00:00:00Z,594807
2025-12-12T00:00:00Z,764235
2025-12-11T00:00:00Z,660171
2025-12-10T00:00:00Z,686124
2025-12-09T00:00:00Z,687839
2025-12-08T00:00:00Z,646739
2025-12-07T00:00:00Z,575453
2025-12-06T00:00:00Z,615493
2025-12-05T00:00:00Z,704756
2025-12-04T00:00:00Z,709362
2025-12-03T00:00:00Z,720427
2025-12-02T00:00:00Z,731732
2025-12-01T00:00:00Z,760942
2025-11-30T00:00:00Z,601791
2025-11-29T00:00:00Z,627438
2025-11-28T00:00:00Z,708887
2025-11-27T00:00:00Z,688281
2025-11-26T00:00:00Z,703127
2025-11-25T00:00:00Z,684470
2025-11-24T00:00:00Z,671298
2025-11-23T00:00:00Z,591663
2025-11-22T00:00:00Z,647534
2025-11-21T00:00:00Z,796340
2025-11-20T00:00:00Z,721188
2025-11-19T00:00:00Z,740120
2025-11-18T00:00:00Z,785187
2025-11-17T00:00:00Z,710370
2025-11-16T00:00:00Z,608963
2025-11-15T00:00:00Z,751959
2025-11-14T00:00:00Z,803888
2025-11-13T00:00:00Z,701001
2025-11-12T00:00:00Z,677885
2025-11-11T00:00:00Z,705518
2025-11-10T00:00:00Z,740914
2025-11-09T00:00:00Z,587835
2025-11-08T00:00:00Z,633309
2025-11-07T00:00:00Z,758611
2025-11-06T00:00:00Z,738324
2025-11-05T00:00:00Z,746807
2025-11-04T00:00:00Z,783409
2025-11-03T00:00:00Z,758870
2025-11-02T00:00:00Z,587753
2025-11-01T00:00:00Z,665836
2025-10-31T00:00:00Z,736395
2025-10-30T00:00:00Z,711364
2025-10-29T00:00:00Z,682688
2025-10-28T00:00:00Z,674164
2025-10-27T00:00:00Z,744851
2025-10-26T00:00:00Z,569430
2025-10-25T00:00:00Z,600995
2025-10-24T00:00:00Z,726907
2025-10-23T00:00:00Z,695286
2025-10-22T00:00:00Z,687338
2025-10-21T00:00:00Z,733310
2025-10-20T00:00:00Z,683234
2025-10-19T00:00:00Z,595433
2025-10-18T00:00:00Z,611415
2025-10-17T00:00:00Z,779220
2025-10-16T00:00:00Z,737987
2025-10-15T00:00:00Z,706676
2025-10-14T00:00:00Z,702459
2025-10-13T00:00:00Z,690407
2025-10-12T00:00:00Z,678121
2025-10-11T00:00:00Z,740695
2025-10-10T00:00:00Z,750363
2025-10-09T00:00:00Z,727197
2025-10-08T00:00:00Z,747890
2025-10-07T00:00:00Z,777199
2025-10-06T00:00:00Z,754793
2025-10-05T00:00:00Z,690786
2025-10-04T00:00:00Z,753704
2025-10-03T00:00:00Z,793895
2025-10-02T00:00:00Z,805418
2025-10-01T00:00:00Z,868931
2025-09-30T00:00:00Z,754005
2025-09-29T00:00:00Z,746103
2025-09-28T00:00:00Z,647260
2025-09-27T00:00:00Z,650769
2025-09-26T00:00:00Z,724343
2025-09-25T00:00:00Z,726658
2025-09-24T00:00:00Z,693984
2025-09-23T00:00:00Z,678968
2025-09-22T00:00:00Z,734772
2025-09-21T00:00:00Z,676659
2025-09-20T00:00:00Z,705311
2025-09-19T00:00:00Z,772152
2025-09-18T00:00:00Z,732086
2025-09-17T00:00:00Z,704107
2025-09-16T00:00:00Z,750762
2025-09-15T00:00:00Z,775390
2025-09-14T00:00:00Z,641916
2025-09-13T00:00:00Z,703769
2025-09-12T00:00:00Z,717680
2025-09-11T00:00:00Z,694140
2025-09-10T00:00:00Z,698563
2025-09-09T00:00:00Z,737173
2025-09-08T00:00:00Z,718441
2025-09-07T00:00:00Z,600136
2025-09-06T00:00:00Z,616259
2025-09-05T00:00:00Z,824167
2025-09-04T00:00:00Z,762196
2025-09-03T00:00:00Z,758989
2025-09-02T00:00:00Z,733107
2025-09-01T00:00:00Z,726162
2025-08-31T00:00:00Z,592976
2025-08-30T00:00:00Z,628491
2025-08-29T00:00:00Z,768549
2025-08-28T00:00:00Z,701165
2025-08-27T00:00:00Z,710475
2025-08-26T00:00:00Z,714152
2025-08-25T00:00:00Z,707176
2025-08-24T00:00:00Z,607463
2025-08-23T00:00:00Z,675036
2025-08-22T00:00:00Z,745002
2025-08-21T00:00:00Z,721188
2025-08-20T00:00:00Z,732333
2025-08-19T00:00:00Z,667876
2025-08-18T00:00:00Z,686145
2025-08-17T00:00:00Z,585824
2025-08-16T00:00:00Z,656408
2025-08-15T00:00:00Z,710366
2025-08-14T00:00:00Z,815493
2025-08-13T00:00:00Z,743139
2025-08-12T00:00:00Z,743259
2025-08-11T00:00:00Z,758900
2025-08-10T00:00:00Z,647892
2025-08-09T00:00:00Z,779672
2025-08-08T00:00:00Z,938609
2025-08-07T00:00:00Z,821903
2025-08-06T00:00:00Z,847722
2025-08-05T00:00:00Z,785137
2025-08-04T00:00:00Z,723707
2025-08-03T00:00:00Z,624969
2025-08-02T00:00:00Z,698934
2025-08-01T00:00:00Z,846462
2025-07-31T00:00:00Z,764759
2025-07-30T00:00:00Z,728351
2025-07-29T00:00:00Z,725675
2025-07-28T00:00:00Z,708054
2025-07-27T00:00:00Z,621353
2025-07-26T00:00:00Z,649021
2025-07-25T00:00:00Z,757966
2025-07-24T00:00:00Z,714694
2025-07-23T00:00:00Z,759969
2025-07-22T00:00:00Z,715727
2025-07-21T00:00:00Z,731852
2025-07-20T00:00:00Z,637616
2025-07-19T00:00:00Z,648672
2025-07-18T00:00:00Z,776411
2025-07-17T00:00:00Z,808204
2025-07-16T00:00:00Z,718855
2025-07-15T00:00:00Z,748152
2025-07-14T00:00:00Z,812991
2025-07-13T00:00:00Z,633841
2025-07-12T00:00:00Z,671736
2025-07-11T00:00:00Z,855970
2025-07-10T00:00:00Z,834106
2025-07-09T00:00:00Z,773787
2025-07-08T00:00:00Z,792050
2025-07-07T00:00:00Z,696688
2025-07-06T00:00:00Z,608978
2025-07-05T00:00:00Z,568490
2025-07-04T00:00:00Z,709457
2025-07-03T00:00:00Z,795228
2025-07-02T00:00:00Z,807192
2025-07-01T00:00:00Z,789691
2025-06-30T00:00:00Z,748976
2025-06-29T00:00:00Z,565921
2025-06-28T00:00:00Z,632972
2025-06-27T00:00:00Z,742857
2025-06-26T00:00:00Z,763590
2025-06-25T00:00:00Z,747533
2025-06-24T00:00:00Z,766282
2025-06-23T00:00:00Z,684698
2025-06-22T00:00:00Z,598424
2025-06-21T00:00:00Z,665206
2025-06-20T00:00:00Z,775040
2025-06-19T00:00:00Z,722763
2025-06-18T00:00:00Z,741168
2025-06-17T00:00:00Z,724271
2025-06-16T00:00:00Z,711754
2025-06-15T00:00:00Z,602963
2025-06-14T00:00:00Z,643848
2025-06-13T00:00:00Z,813382
2025-06-12T00:00:00Z,785658
2025-06-11T00:00:00Z,759125
2025-06-10T00:00:00Z,831160
2025-06-09T00:00:00Z,732562
2025-06-08T00:00:00Z,621702
2025-06-07T00:00:00Z,654912
2025-06-06T00:00:00Z,788676
2025-06-05T00:00:00Z,774618
2025-06-04T00:00:00Z,733453
2025-06-03T00:00:00Z,859472
2025-06-02T00:00:00Z,774059
2025-06-01T00:00:00Z,687414
2025-05-31T00:00:00Z,718157
2025-05-30T00:00:00Z,830674
2025-05-29T00:00:00Z,752343
2025-05-28T00:00:00Z,792544
2025-05-27T00:00:00Z,698436
2025-05-26T00:00:00Z,759385
2025-05-25T00:00:00Z,625145
2025-05-24T00:00:00Z,653853
2025-05-23T00:00:00Z,803052
2025-05-22T00:00:00Z,849034
2025-05-21T00:00:00Z,803220
2025-05-20T00:00:00Z,747420
2025-05-19T00:00:00Z,708571
2025-05-18T00:00:00Z,607662
2025-05-17T00:00:00Z,762995
2025-05-16T00:00:00Z,809363
2025-05-15T00:00:00Z,751991
2025-05-14T00:00:00Z,802249
2025-05-13T00:00:00Z,817623
2025-05-12T00:00:00Z,738255
2025-05-11T00:00:00Z,624879
2025-05-10T00:00:00Z,675009
2025-05-09T00:00:00Z,862990
2025-05-08T00:00:00Z,858113
2025-05-07T00:00:00Z,846293
2025-05-06T00:00:00Z,778799
2025-05-05T00:00:00Z,756275
2025-05-04T00:00:00Z,617217
2025-05-03T00:00:00Z,697922
2025-05-02T00:00:00Z,924543
2025-05-01T00:00:00Z,790467
2025-04-30T00:00:00Z,797689
2025-04-29T00:00:00Z,725614
2025-04-28T00:00:00Z,808810
2025-04-27T00:00:00Z,625947
2025-04-26T00:00:00Z,629856
2025-04-25T00:00:00Z,828468
2025-04-24T00:00:00Z,774075
2025-04-23T00:00:00Z,718060
2025-04-22T00:00:00Z,791768
2025-04-21T00:00:00Z,675468
2025-04-20T00:00:00Z,566032
2025-04-19T00:00:00Z,631064
2025-04-18T00:00:00Z,667922
2025-04-17T00:00:00Z,734549
2025-04-16T00:00:00Z,729872
2025-04-15T00:00:00Z,741612
2025-04-14T00:00:00Z,726370
2025-04-13T00:00:00Z,608618
2025-04-12T00:00:00Z,648908
2025-04-11T00:00:00Z,767448
2025-04-10T00:00:00Z,765938
2025-04-09T00:00:00Z,724324
2025-04-08T00:00:00Z,741054
2025-04-07T00:00:00Z,778124
2025-04-06T00:00:00Z,669124
2025-04-05T00:00:00Z,718894
2025-04-04T00:00:00Z,810880
2025-04-03T00:00:00Z,813777
2025-04-02T00:00:00Z,763451
2025-04-01T00:00:00Z,812714
2025-03-31T00:00:00Z,775629
2025-03-30T00:00:00Z,598890
2025-03-29T00:00:00Z,678400
2025-03-28T00:00:00Z,823856
2025-03-27T00:00:00Z,783892
2025-03-26T00:00:00Z,763475
2025-03-25T00:00:00Z,726253
2025-03-24T00:00:00Z,799538
2025-03-23T00:00:00Z,613548
2025-03-22T00:00:00Z,654559
2025-03-21T00:00:00Z,774904
2025-03-20T00:00:00Z,802403
2025-03-19T00:00:00Z,751845
2025-03-18T00:00:00Z,738874
2025-03-17T00:00:00Z,784836
2025-03-16T00:00:00Z,675916
2025-03-15T00:00:00Z,658410
2025-03-14T00:00:00Z,778388
2025-03-13T00:00:00Z,769315
2025-03-12T00:00:00Z,742458
2025-03-11T00:00:00Z,780924
2025-03-10T00:00:00Z,808267
2025-03-09T00:00:00Z,674083
2025-03-08T00:00:00Z,676866
2025-03-07T00:00:00Z,858679
2025-03-06T00:00:00Z,824344
2025-03-05T00:00:00Z,743125
2025-03-04T00:00:00Z,749661
2025-03-03T00:00:00Z,815448
2025-03-02T00:00:00Z,675642
2025-03-01T00:00:00Z,814359
2025-02-28T00:00:00Z,909142
2025-02-27T00:00:00Z,882718
2025-02-26T00:00:00Z,829065
2025-02-25T00:00:00Z,834535
2025-02-24T00:00:00Z,713316
2025-02-23T00:00:00Z,515138
2025-02-22T00:00:00Z,643751
2025-02-21T00:00:00Z,711395
2025-02-20T00:00:00Z,699926
2025-02-19T00:00:00Z,672094
2025-02-18T00:00:00Z,761509
2025-02-17T00:00:00Z,732138
2025-02-16T00:00:00Z,598433
2025-02-15T00:00:00Z,643357
2025-02-14T00:00:00Z,742092
2025-02-13T00:00:00Z,758154
2025-02-12T00:00:00Z,720323
2025-02-11T00:00:00Z,787948
2025-02-10T00:00:00Z,767425
2025-02-09T00:00:00Z,638183
2025-02-08T00:00:00Z,654803
2025-02-07T00:00:00Z,750279
2025-02-06T00:00:00Z,762091
2025-02-05T00:00:00Z,764653
2025-02-04T00:00:00Z,791964
2025-02-03T00:00:00Z,864360
2025-02-02T00:00:00Z,755503
2025-02-01T00:00:00Z,757087
2025-01-31T00:00:00Z,752624
2025-01-30T00:00:00Z,775563
2025-01-29T00:00:00Z,743711
2025-01-28T00:00:00Z,733883
2025-01-27T00:00:00Z,795413
2025-01-26T00:00:00Z,649336
2025-01-25T00:00:00Z,698198
2025-01-24T00:00:00Z,765768
2025-01-23T00:00:00Z,806460
2025-01-22T00:00:00Z,813578
2025-01-21T00:00:00Z,866690
2025-01-20T00:00:00Z,849114
2025-01-19T00:00:00Z,790099
2025-01-18T00:00:00Z,732897
2025-01-17T00:00:00Z,844100
2025-01-16T00:00:00Z,775528
2025-01-15T00:00:00Z,798232
2025-01-14T00:00:00Z,787576
2025-01-13T00:00:00Z,743252
2025-01-12T00:00:00Z,710702
2025-01-11T00:00:00Z,666659
2025-01-10T00:00:00Z,793465
2025-01-09T00:00:00Z,751481
2025-01-08T00:00:00Z,752697
2025-01-07T00:00:00Z,782019
2025-01-06T00:00:00Z,769779
