Datetime,Active Receiving Addresses
2026-04-10T00:00:00Z,507957
2026-04-09T00:00:00Z,484675
2026-04-08T00:00:00Z,489248
2026-04-07T00:00:00Z,480308
2026-04-06T00:00:00Z,447367
2026-04-05T00:00:00Z,380256
2026-04-04T00:00:00Z,430525
2026-04-03T00:00:00Z,498807
2026-04-02T00:00:00Z,505943
2026-04-01T00:00:00Z,527392
2026-03-31T00:00:00Z,485341
2026-03-30T00:00:00Z,460179
2026-03-29T00:00:00Z,382175
2026-03-28T00:00:00Z,433058
2026-03-27T00:00:00Z,507587
2026-03-26T00:00:00Z,492199
2026-03-25T00:00:00Z,502206
2026-03-24T00:00:00Z,461318
2026-03-23T00:00:00Z,478254
2026-03-22T00:00:00Z,433557
2026-03-21T00:00:00Z,459757
2026-03-20T00:00:00Z,496899
2026-03-19T00:00:00Z,487090
2026-03-18T00:00:00Z,474651
2026-03-17T00:00:00Z,489758
2026-03-16T00:00:00Z,479051
2026-03-15T00:00:00Z,408237
2026-03-14T00:00:00Z,441801
2026-03-13T00:00:00Z,526707
2026-03-12T00:00:00Z,497824
2026-03-11T00:00:00Z,476563
2026-03-10T00:00:00Z,485859
2026-03-09T00:00:00Z,470366
2026-03-08T00:00:00Z,414823
2026-03-07T00:00:00Z,460571
2026-03-06T00:00:00Z,533023
2026-03-05T00:00:00Z,523924
2026-03-04T00:00:00Z,517574
2026-03-03T00:00:00Z,504708
2026-03-02T00:00:00Z,515456
2026-03-01T00:00:00Z,448169
2026-02-28T00:00:00Z,499214
2026-02-27T00:00:00Z,550639
2026-02-26T00:00:00Z,523130
2026-02-25T00:00:00Z,510940
2026-02-24T00:00:00Z,502523
2026-02-23T00:00:00Z,458916
2026-02-22T00:00:00Z,409422
2026-02-21T00:00:00Z,448047
2026-02-20T00:00:00Z,493921
2026-02-19T00:00:00Z,473283
2026-02-18T00:00:00Z,454411
2026-02-17T00:00:00Z,447111
2026-02-16T00:00:00Z,440636
2026-02-15T00:00:00Z,400289
2026-02-14T00:00:00Z,458573
2026-02-13T00:00:00Z,521858
2026-02-12T00:00:00Z,505254
2026-02-11T00:00:00Z,490712
2026-02-10T00:00:00Z,487045
2026-02-09T00:00:00Z,481594
2026-02-08T00:00:00Z,443195
2026-02-07T00:00:00Z,481912
2026-02-06T00:00:00Z,646462
2026-02-05T00:00:00Z,619462
2026-02-04T00:00:00Z,532739
2026-02-03T00:00:00Z,551066
2026-02-02T00:00:00Z,521480
2026-02-01T00:00:00Z,467774
2026-01-31T00:00:00Z,528001
2026-01-30T00:00:00Z,581214
2026-01-29T00:00:00Z,522019
2026-01-28T00:00:00Z,485978
2026-01-27T00:00:00Z,475650
2026-01-26T00:00:00Z,465721
2026-01-25T00:00:00Z,419925
2026-01-24T00:00:00Z,421944
2026-01-23T00:00:00Z,500365
2026-01-22T00:00:00Z,478844
2026-01-21T00:00:00Z,503736
2026-01-20T00:00:00Z,466636
2026-01-19T00:00:00Z,460437
2026-01-18T00:00:00Z,412274
2026-01-17T00:00:00Z,452388
2026-01-16T00:00:00Z,517550
2026-01-15T00:00:00Z,517455
2026-01-14T00:00:00Z,502275
2026-01-13T00:00:00Z,489868
2026-01-12T00:00:00Z,470181
2026-01-11T00:00:00Z,413185
2026-01-10T00:00:00Z,452090
2026-01-09T00:00:00Z,513217
2026-01-08T00:00:00Z,477247
2026-01-07T00:00:00Z,485459
2026-01-06T00:00:00Z,518452
2026-01-05T00:00:00Z,520656
2026-01-04T00:00:00Z,461045
2026-01-03T00:00:00Z,474586
2026-01-02T00:00:00Z,518929
2026-01-01T00:00:00Z,441862
2025-12-31T00:00:00Z,548116
2025-12-30T00:00:00Z,540646
2025-12-29T00:00:00Z,516932
2025-12-28T00:00:00Z,436248
2025-12-27T00:00:00Z,457706
2025-12-26T00:00:00Z,478750
2025-12-25T00:00:00Z,432548
2025-12-24T00:00:00Z,514639
2025-12-23T00:00:00Z,521824
2025-12-22T00:00:00Z,498899
2025-12-21T00:00:00Z,436757
2025-12-20T00:00:00Z,490241
