date,Number of Contracts
2024-04-23,37544295
2024-04-24,37544422
2024-04-25,37551556
2024-04-26,37568821
2024-04-27,37594264
2024-04-28,37610299
2024-04-29,37623830
2024-04-30,37626576
2024-05-01,37631079
2024-05-02,37628700
2024-05-03,37620135
2024-05-04,37622999
2024-05-05,37626678
2024-05-06,37648776
2024-05-07,37674143
2024-05-08,37707988
2024-05-09,37742852
2024-05-10,37763224
2024-05-11,37783224
2024-05-12,37843962
2024-05-13,37860321
2024-05-14,37870801
2024-05-15,37883892
2024-05-16,37895697
2024-05-17,37923504
2024-05-18,37965337
2024-05-19,38009941
2024-05-20,38042330
2024-05-21,38042416
2024-05-22,38044809
2024-05-23,38047916
2024-05-24,38048234
2024-05-25,38051390
2024-05-26,38056780
2024-05-27,38059632
2024-05-28,38060825
2024-05-29,38062746
2024-05-30,38066476
2024-05-31,38069520
2024-06-01,38069077
2024-06-02,38064979
2024-06-03,38065966
2024-06-04,38064388
2024-06-05,38066830
2024-06-06,38068267
2024-06-07,38065883
2024-06-08,38054689
2024-06-09,38037827
2024-06-10,38037070
2024-06-11,38037635
2024-06-12,38037573
2024-06-13,38036047
2024-06-14,38033590
2024-06-15,38030421
2024-06-16,38035520
2024-06-17,38040162
2024-06-18,38040816
2024-06-19,38043669
2024-06-20,38045763
2024-06-21,38048361
2024-06-22,38053093
2024-06-23,38068773
2024-06-24,38073831
2024-06-25,38070333
2024-06-26,38074929
2024-06-27,38076925
2024-06-28,38078110
2024-06-29,38088263
2024-06-30,38091588
2024-07-01,38074606
2024-07-02,38074970
2024-07-03,38071090
2024-07-04,38070216
2024-07-05,38056022
2024-07-06,38049066
2024-07-07,38066001
2024-07-08,38061705
2024-07-09,38057103
2024-07-10,38051832
2024-07-11,38040587
2024-07-12,38020026
2024-07-13,38006875
2024-07-14,37982503
2024-07-15,37979901
2024-07-16,37960851
2024-07-17,37953862
2024-07-18,37943917
2024-07-19,37914792
2024-07-20,37853236
2024-07-21,37819845
2024-07-22,37806638
2024-07-23,37781295
2024-07-24,37760855
2024-07-25,37742476
2024-07-26,37733567
2024-07-27,37758454
2024-07-28,37800092
2024-07-29,37830447
2024-07-30,37845760
2024-07-31,37850261
2024-08-01,37852831
2024-08-02,37856331
2024-08-03,37879158
2024-08-04,37911260
2024-08-05,37908010
2024-08-06,37906961
2024-08-07,37914144
2024-08-08,37925876
2024-08-09,37928944
2024-08-10,37968872
2024-08-11,38022839
2024-08-12,38034576
2024-08-13,38051103
2024-08-14,38060285
2024-08-15,38057701
2024-08-16,38059671
2024-08-17,38118883
2024-08-18,38150036
2024-08-19,38177671
2024-08-20,38194371
2024-08-21,38218332
2024-08-22,38222448
2024-08-23,38229077
2024-08-24,38270501
2024-08-25,38332935
2024-08-26,38376739
2024-08-27,38400828
2024-08-28,38412952
2024-08-29,38424319
2024-08-30,38433453
2024-08-31,38472349
2024-09-01,38547371
2024-09-02,38576562
2024-09-03,38584045
2024-09-04,38585970
2024-09-05,38584419
2024-09-06,38581824
2024-09-07,38564780
2024-09-08,38565195
2024-09-09,38574100
2024-09-10,38568973
2024-09-11,38561009
2024-09-12,38559158
2024-09-13,38559847
2024-09-14,38556675
2024-09-15,38548498
2024-09-16,38548198
2024-09-17,38543636
2024-09-18,38543354
2024-09-19,38545182
2024-09-20,38541394
2024-09-21,38528019
2024-09-22,38499667
2024-09-23,38496362
2024-09-24,38485554
2024-09-25,38483209
2024-09-26,38483477
2024-09-27,38482878
2024-09-28,38483119
2024-09-29,38474591
2024-09-30,38472408
2024-10-01,38473380
2024-10-02,38469437
2024-10-03,38475622
2024-10-04,38478336
2024-10-05,38479259
2024-10-06,38479973
2024-10-07,38481852
2024-10-08,38484112
2024-10-09,38487075
2024-10-10,38487429
2024-10-11,38489219
2024-10-12,38488442
2024-10-13,38491027
2024-10-14,38493534
2024-10-15,38496069
2024-10-16,38495787
2024-10-17,38503495
2024-10-18,38509210
2024-10-19,38508090
2024-10-20,38509390
2024-10-21,38512837
2024-10-22,38515271
2024-10-23,38518147
2024-10-24,38542221
2024-10-25,38545671
2024-10-26,38548237
2024-10-27,38549080
2024-10-28,38552527
2024-10-29,38556925
2024-10-30,38561136
2024-10-31,38562850
2024-11-01,38568390
2024-11-02,38568637
2024-11-03,38571952
2024-11-04,38575814
2024-11-05,38582081
2024-11-06,38586250
2024-11-07,38589042
2024-11-08,38593165
2024-11-09,38594334
2024-11-10,38595913
2024-11-11,38595201
2024-11-12,38597234
2024-11-13,38597971
2024-11-14,38602564
2024-11-15,38599112
2024-11-16,38599590
2024-11-17,38599432
2024-11-18,38602732
2024-11-19,38607655
2024-11-20,38610584
2024-11-21,38614664
2024-11-22,38618778
2024-11-23,38622830
2024-11-24,38622111
2024-11-25,38625839
2024-11-26,38629828
2024-11-27,38638158
2024-11-28,38642342
2024-11-29,38646183
2024-11-30,38647786
2024-12-01,38647074
2024-12-02,38650228
2024-12-03,38654207
2024-12-04,38657162
2024-12-05,38656604
2024-12-06,38657085
2024-12-07,38651691
2024-12-08,38652961
2024-12-09,38655540
2024-12-10,38662075
2024-12-11,38667460
2024-12-12,38667062
2024-12-13,38666773
2024-12-14,38660651
2024-12-15,38655849
2024-12-16,38658897
2024-12-17,38663701
2024-12-18,38667154
2024-12-19,38673650
2024-12-20,38673893
2024-12-21,38658827
2024-12-22,38649376
2024-12-23,38652658
2024-12-24,38654153
2024-12-25,38655882
2024-12-26,38653264
2024-12-27,38644989
2024-12-28,38644422
2024-12-29,38642775
2024-12-30,38645554
2024-12-31,38647347
2025-01-01,38650152
2025-01-02,38652596
2025-01-03,38652538
2025-01-04,38657962
2025-01-05,38654748
2025-01-06,38657757
2025-01-07,38658762
2025-01-08,38659861
2025-01-09,38657874
2025-01-10,38654906
2025-01-11,38639749
2025-01-12,38643362
2025-01-13,38645774
2025-01-14,38650013
2025-01-15,38652475
2025-01-16,38656629
2025-01-17,38661283
2025-01-18,38665464
2025-01-19,38667402
2025-01-20,38671734
2025-01-21,38671855
2025-01-22,38672230
2025-01-23,38676080
2025-01-24,38680855
2025-01-25,38682800
2025-01-26,38683147
2025-01-27,38686987
2025-01-28,38695726
2025-01-29,38706561
2025-01-30,38716794
2025-01-31,38737153
2025-02-01,38767630
2025-02-02,38789337
2025-02-03,38793666
2025-02-04,38807711
2025-02-05,38881503
2025-02-06,38936852
2025-02-07,38984093
2025-02-08,39111464
2025-02-09,39232887
2025-02-10,39300371
2025-02-11,39342854
2025-02-12,39416288
2025-02-13,39476899
2025-02-14,39540114
2025-02-15,39703586
2025-02-16,39860591
2025-02-17,39933693
2025-02-18,39981080
2025-02-19,40076849
2025-02-20,40164030
2025-02-21,40235287
2025-02-22,40383179
2025-02-23,40533676
2025-02-24,40617414
2025-02-25,40637520
2025-02-26,40729342
2025-02-27,40798696
2025-02-28,40820775
2025-03-01,40907786
2025-03-02,41067417
2025-03-03,41119922
2025-03-04,41148141
2025-03-05,41246675
2025-03-06,41320040
2025-03-07,41387113
2025-03-08,41528777
2025-03-09,41655119
2025-03-10,41693730
2025-03-11,41716218
2025-03-12,41816665
2025-03-13,41940922
2025-03-14,42078330
2025-03-15,42335504
2025-03-16,42528396
2025-03-17,42681885
2025-03-18,42840637
2025-03-19,42955503
2025-03-20,43081204
2025-03-21,43265332
2025-03-22,43509280
2025-03-23,43740824
2025-03-24,43792834
2025-03-25,43854634
2025-03-26,43925945
2025-03-27,44006216
2025-03-28,44045397
2025-03-29,44128428
2025-03-30,44265995
2025-03-31,44288991
2025-04-01,44321175
2025-04-02,44347505
2025-04-03,44391508
2025-04-04,44459217
2025-04-05,44623120
2025-04-06,44728901
2025-04-07,44735603
2025-04-08,44766479
2025-04-09,44797128
2025-04-10,44823372
2025-04-11,44852553
2025-04-12,44932373
2025-04-13,45066995
2025-04-14,45156193
2025-04-15,45250736
2025-04-16,45370745
2025-04-17,45501254
2025-04-18,45632661
2025-04-19,45848912
2025-04-20,46076394
2025-04-21,46181165
2025-04-22,46241734
2025-04-23,46249337
2025-04-24,46260404
2025-04-25,46271414
2025-04-26,46330630
2025-04-27,46456412
2025-04-28,46530109
2025-04-29,46591335
2025-04-30,46672171
2025-05-01,46752575
2025-05-02,46863692
2025-05-03,47065715
2025-05-04,47231764
2025-05-05,47340630
2025-05-06,47425103
2025-05-07,47473912
2025-05-08,47481092
2025-05-09,47486777
2025-05-10,47492516
2025-05-11,47497989
2025-05-12,47506289
2025-05-13,47512377
2025-05-14,47521446
2025-05-15,47531192
2025-05-16,47539334
2025-05-17,47571949
2025-05-18,47639360
2025-05-19,47651160
2025-05-20,47661145
2025-05-21,47670126
2025-05-22,47676781
2025-05-23,47682550
2025-05-24,47712857
2025-05-25,47775606
2025-05-26,47801358
2025-05-27,47810121
2025-05-28,47815789
2025-05-29,47820851
2025-05-30,47825941
2025-05-31,47831347
2025-06-01,47837630
2025-06-02,47845462
2025-06-03,47854879
2025-06-04,47861471
2025-06-05,47867123
2025-06-06,47872597
2025-06-07,47894987
2025-06-08,47939864
2025-06-09,47954409
2025-06-10,47959855
2025-06-11,47967886
2025-06-12,47975239
2025-06-13,47981895
2025-06-14,48055783
2025-06-15,48142176
2025-06-16,48164727
2025-06-17,48183430
2025-06-18,48203029
2025-06-19,48215530
2025-06-20,48232801
2025-06-21,48289029
2025-06-22,48329400
2025-06-23,48340749
2025-06-24,48351143
2025-06-25,48358381
2025-06-26,48370860
2025-06-27,48381102
2025-06-28,48444873
2025-06-29,48534712
2025-06-30,48557933
2025-07-01,48566818
2025-07-02,48581499
2025-07-03,48590670
2025-07-04,48615032
2025-07-05,48698174
2025-07-06,48797618
2025-07-07,48829331
2025-07-08,48841707
2025-07-09,48855540
2025-07-10,48861210
2025-07-11,48866591
2025-07-12,48873159
2025-07-13,48885794
2025-07-14,48892066
2025-07-15,48897731
2025-07-16,48904157
2025-07-17,48909884
2025-07-18,48916143
2025-07-19,48921630
2025-07-20,48927206
2025-07-21,48938142
2025-07-22,48953600
2025-07-23,48972572
2025-07-24,48990591
2025-07-25,49030623
2025-07-26,49155142
2025-07-27,49241414
2025-07-28,49256549
2025-07-29,49267304
2025-07-30,49284918
2025-07-31,49299600
2025-08-01,49318899
2025-08-02,49356761
2025-08-03,49465650
2025-08-04,49541466
2025-08-05,49587628
2025-08-06,49615881
2025-08-07,49654361
2025-08-08,49675539
2025-08-09,49691526
2025-08-10,49706574
2025-08-11,49713526
2025-08-12,49723474
2025-08-13,49730305
2025-08-14,49735801
2025-08-15,49741670
2025-08-16,49818744
2025-08-17,49910456
2025-08-18,49924083
2025-08-19,49955244
2025-08-20,49981314
2025-08-21,50003946
2025-08-22,50036396
2025-08-23,50053931
2025-08-24,50120696
2025-08-25,50154727
2025-08-26,50161046
2025-08-27,50167726
2025-08-28,50172700
2025-08-29,50179283
2025-08-30,50250844
2025-08-31,50337818
2025-09-01,50348419
2025-09-02,50361278
2025-09-03,50370259
2025-09-04,50378913
2025-09-05,50396381
2025-09-06,50445733
2025-09-07,50561961
2025-09-08,50604824
2025-09-09,50630971
2025-09-10,50675515
2025-09-11,50698297
2025-09-12,50717635
2025-09-13,50753119
2025-09-14,50859210
2025-09-15,50899460
2025-09-16,50914334
2025-09-17,50934621
2025-09-18,50942222
2025-09-19,50955896
2025-09-20,50995882
2025-09-21,51104101
2025-09-22,51145237
2025-09-23,51183969
2025-09-24,51202685
2025-09-25,51209142
2025-09-26,51220287
2025-09-27,51260988
2025-09-28,51345320
2025-09-29,51355946
2025-09-30,51364204
2025-10-01,51389077
2025-10-02,51396415
2025-10-03,51412031
2025-10-04,51554323
2025-10-05,51666234
2025-10-06,51731062
2025-10-07,51775091
2025-10-08,51797132
2025-10-09,51833229
2025-10-10,51869053
2025-10-11,51854193
2025-10-12,51897350
2025-10-13,51930562
2025-10-14,51969559
2025-10-15,52010214
2025-10-16,52023379
2025-10-17,52040321
2025-10-18,52144647
2025-10-19,52270087
2025-10-20,52409113
2025-10-21,52497670
2025-10-22,52583934
2025-10-23,52687149
2025-10-24,52784629
2025-10-25,52995940
2025-10-26,53153362
2025-10-27,53185716
2025-10-28,53228047
2025-10-29,53278599
2025-10-30,53292385
2025-10-31,53325906
2025-11-01,53496144
2025-11-02,53635295
2025-11-03,53655239
2025-11-04,53662002
2025-11-05,53668729
2025-11-06,53674505
2025-11-07,53674489
2025-11-08,53716247
2025-11-09,53811737
2025-11-10,53828147
2025-11-11,53844526
2025-11-12,53885059
2025-11-13,53908290
2025-11-14,53909953
2025-11-15,54024917
2025-11-16,54141474
2025-11-17,54174514
2025-11-18,54193812
2025-11-19,54205957
2025-11-20,54209746
2025-11-21,54208192
2025-11-22,54264975
2025-11-23,54312988
2025-11-24,54330258
2025-11-25,54378801
2025-11-26,54624176
2025-11-27,54930791
2025-11-28,55144958
2025-11-29,55579239
2025-11-30,55939249
2025-12-01,56043135
2025-12-02,56244518
2025-12-03,56430464
2025-12-04,56626763
2025-12-05,56908507
2025-12-06,57197507
2025-12-07,57206450
2025-12-08,57215814
2025-12-09,57225546
2025-12-10,57235550
2025-12-11,57254918
2025-12-12,57295253
2025-12-13,57438967
2025-12-14,57507078
2025-12-15,57612631
2025-12-16,57639928
2025-12-17,57736436
2025-12-18,57871626
2025-12-19,58022263
2025-12-20,58342333
2025-12-21,58664671
2025-12-22,58869891
2025-12-23,59019467
2025-12-24,59177774
2025-12-25,59366162
2025-12-26,59490429
2025-12-27,59665566
2025-12-28,59941674
2025-12-29,59975466
2025-12-30,60038077
2025-12-31,60097134
2026-01-01,60233908
2026-01-02,60290008
2026-01-03,60335142
2026-01-04,60481230
2026-01-05,60512064
2026-01-06,60549591
2026-01-07,60605919
2026-01-08,60716894
2026-01-09,60874054
2026-01-10,61140126
2026-01-11,61410157
2026-01-12,61535755
2026-01-13,61612235
2026-01-14,61644539
2026-01-15,61653964
2026-01-16,61734026
2026-01-17,61913162
2026-01-18,62202494
2026-01-19,62255953
2026-01-20,62317548
2026-01-21,62329421
2026-01-22,62365671
2026-01-23,62409671
2026-01-24,62485296
2026-01-25,62611251
2026-01-26,62655989
2026-01-27,62692669
2026-01-28,62709851
2026-01-29,62731088
2026-01-30,62741581
2026-01-31,62751903
2026-02-01,62757053
2026-02-02,62766210
2026-02-03,62775915
2026-02-04,62782918
2026-02-05,62794531
2026-02-06,62804063
2026-02-07,62810881
2026-02-08,62882152
2026-02-09,62933761
2026-02-10,62967254
2026-02-11,63031508
2026-02-12,63083455
2026-02-13,63161977
2026-02-14,63307069
2026-02-15,63525051
2026-02-16,63732575
2026-02-17,63934299
2026-02-18,64115543
2026-02-19,64210951
2026-02-20,64349345
2026-02-21,64568389
2026-02-22,64793974
2026-02-23,64912942
2026-02-24,65015961
2026-02-25,65084568
2026-02-26,65136798
2026-02-27,65214777
2026-02-28,65290340
2026-03-01,65402204
2026-03-02,65453832
2026-03-03,65514301
2026-03-04,65560194
2026-03-05,65586927
2026-03-06,65672568
2026-03-07,65811182
2026-03-08,66033903
2026-03-09,66057100
2026-03-10,66097669
2026-03-11,66165322
2026-03-12,66229377
2026-03-13,66289383
2026-03-14,66524721
2026-03-15,66704811
2026-03-16,66736509
2026-03-17,66773393
2026-03-18,66802507
2026-03-19,66819471
2026-03-20,66839045
2026-03-21,67015614
2026-03-22,67066226
2026-03-23,67085887
2026-03-24,67158795
2026-03-25,67253960
2026-03-26,67329711
2026-03-27,67377518
2026-03-28,67392622
2026-03-29,67394216
2026-03-30,67408111
2026-03-31,67422397
2026-04-01,67436940
2026-04-02,67451457
2026-04-03,67460253
2026-04-04,67442863
2026-04-05,67437093
2026-04-06,67473626
2026-04-07,67539492
2026-04-08,67604854
2026-04-09,67685664
2026-04-10,67771832
