asset,first_date,last_date,observations,coverage,rule
AAVE,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
ADA,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
BCH,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
BNB,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
BTC,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
DOGE,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
DOT,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
ETH,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
LINK,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
LTC,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
SNX,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
UNI,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
XLM,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
XRP,2021-01-02,2026-06-30,2006,0.999501743896,S2 fixed PIT-eligible stable core
