Datetime,Velocity
2026-04-10T00:00:00Z,12.878211
2026-04-09T00:00:00Z,12.87325
2026-04-08T00:00:00Z,12.877413
2026-04-07T00:00:00Z,12.869788
2026-04-06T00:00:00Z,12.867575
2026-04-05T00:00:00Z,12.859834
2026-04-04T00:00:00Z,12.855053
2026-04-03T00:00:00Z,12.862837
2026-04-02T00:00:00Z,12.864969
2026-04-01T00:00:00Z,12.851894
2026-03-31T00:00:00Z,12.847446
2026-03-30T00:00:00Z,12.845025
2026-03-29T00:00:00Z,12.824067
2026-03-28T00:00:00Z,12.822776
2026-03-27T00:00:00Z,12.833106
2026-03-26T00:00:00Z,12.819311
2026-03-25T00:00:00Z,12.81128
2026-03-24T00:00:00Z,12.80773
2026-03-23T00:00:00Z,12.799523
2026-03-22T00:00:00Z,12.780984
2026-03-21T00:00:00Z,12.773746
2026-03-20T00:00:00Z,12.779878
2026-03-19T00:00:00Z,12.777051
2026-03-18T00:00:00Z,12.773095
2026-03-17T00:00:00Z,12.763547
2026-03-16T00:00:00Z,12.752094
2026-03-15T00:00:00Z,12.726325
2026-03-14T00:00:00Z,12.721021
2026-03-13T00:00:00Z,12.722218
2026-03-12T00:00:00Z,12.715411
2026-03-11T00:00:00Z,12.716654
2026-03-10T00:00:00Z,12.723462
2026-03-09T00:00:00Z,12.722199
2026-03-08T00:00:00Z,12.712075
2026-03-07T00:00:00Z,12.711845
2026-03-06T00:00:00Z,12.728031
2026-03-05T00:00:00Z,12.723572
2026-03-04T00:00:00Z,12.714321
2026-03-03T00:00:00Z,12.701585
2026-03-02T00:00:00Z,12.707186
2026-03-01T00:00:00Z,12.700019
2026-02-28T00:00:00Z,12.701561
2026-02-27T00:00:00Z,12.721328
2026-02-26T00:00:00Z,12.730398
2026-02-25T00:00:00Z,12.746519
2026-02-24T00:00:00Z,12.760354
2026-02-23T00:00:00Z,12.751102
2026-02-22T00:00:00Z,12.739428
2026-02-21T00:00:00Z,12.749823
2026-02-20T00:00:00Z,12.763434
2026-02-19T00:00:00Z,12.751662
2026-02-18T00:00:00Z,12.7475
2026-02-17T00:00:00Z,12.740774
2026-02-16T00:00:00Z,12.730007
2026-02-15T00:00:00Z,12.722832
2026-02-14T00:00:00Z,12.722312
2026-02-13T00:00:00Z,12.722528
2026-02-12T00:00:00Z,12.71269
